,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.11664956951122449,
BMP1,-0.05393043286900681,-0.01651296394654337,-0.1088770559692969,0.06681865564294473,0.039073178814849015,0.0012356638446472232,-0.031153302024685862,0.042582875053335786,0.010820972150639563
NDP,-0.01971623055827137,0.04261923337683718,-0.03505362425316495,0.05624190076813471,0.08251306609690447,0.13012095798577994,0.02292541758528008,0.02748175676226955,0.03919983392997264
TNFSF18,-0.02634633474737531,,-0.014779307399976663,,,,,-0.01757794565824571,0.005367492456962701
RTN4,-0.02171504016579182,0.025638377474899283,0.06353412180419485,0.030955099032245553,-0.03187066727993724,-0.06443324540443043,0.023241994361484507,-0.0162220442256093,0.014849884433994279
HEBP1,0.054732015776826765,0.052705885720871176,0.010595661450190155,0.050996081295136816,-0.06442256569035819,0.05335432443879339,-0.00618497372788169,0.03521318961295626,0.037117440414278426
WNT7B,-0.029004743012058794,0.05597918502570993,,-0.03362342026978555,-0.016221372846912357,0.014030300869528972,-0.02586040448412712,0.0500571717702784,0.06264759054345986
PTMA,-0.07629085805663091,-0.038257020678548484,0.12816778532529857,-0.11138753101185427,-0.0238792454138242,-0.06169945544951472,0.03335016412299678,-0.06985278741030655,-0.020009560660592587
FASLG,,,,,,,,0.035268711982368785,
CEACAM1,,0.026006025845953136,-0.010601824709313265,0.11552957002084133,-0.002004270584430359,0.03474407742611769,-0.01716392656209143,0.014985701681995986,
PDAP1,0.03864818517320662,-0.046279724985410206,0.02717842842537507,0.03467511873852604,0.00992278311995153,-0.0446165582568386,0.0009620753784731894,0.06455528889686334,0.04406554354229319
QDPR,0.10599205260188971,0.011409648532798954,0.016889138122355582,-0.06840797076689918,0.010714229831561142,0.01816745426930198,0.01261375103428831,0.030316340102287342,0.004518186886840572
POMC,0.08033511383852983,-0.0324762071416434,-0.014174834139491896,-0.029331512207188788,-0.04267677147423447,0.0690210014605672,0.024669836266135513,-0.057719202002143616,-0.050381408512038726
CCL18,,-0.046925021064889154,,-0.021379697275563724,0.09717775954837204,0.06674701298447458,-0.04540077946953673,,
CCL17,,,,,0.041304877549482505,-0.03846116445109627,,0.013624748882856535,
VEGFD,,0.09759038163846018,0.126210387635297,,,-0.011380054721438214,,,
TNFSF13,,,,,0.01469649042697032,0.019370942111005696,0.019530415159810015,-0.023562645727516658,0.00037867522321563605
WNT5A,-0.06347329311506196,-0.02932292467207529,0.07968393210495683,0.05007027383784351,0.08065700633880217,0.012085734539672459,0.024414245594419483,-0.047042766611723144,-0.003986974687052914
CXCL8,,-0.040540390778156646,-0.053361578524082846,-0.037642323142294355,0.047904247651897096,-0.11274179103514056,-0.019781594331161244,-0.0021255412492435905,-0.036640551786149035
GRN,-0.02080521975529057,-0.043055421121148685,-0.0005435814357069075,0.06054272620683641,-0.021586463542556104,-0.026076622616778015,-0.005208850322528797,-0.06972786997649118,0.0806581836038093
MIA,0.10785100291837924,-0.001742266906027237,-0.06743494857264146,0.05331565646005408,0.07985827260652004,0.1444882244415282,-0.04587639199863212,0.03270370294014898,-0.01581502164697559
COL4A4,,,-0.014958570816922648,0.023878662497119216,0.03353635581656174,-0.023412554467574724,0.01256626762345221,-0.04246678602657874,0.024210116464158236
TAC1,,,,,,,0.08826439213266764,-0.019010175191368984,-0.011294116535837897
RARRES2,0.03986301243399015,0.007704664213027249,0.17908938549315429,-0.019296411395874274,0.011683428366641279,-0.011070113458510125,-0.01921801485818641,0.012716186631256197,-0.09936565769091747
FGF7,0.008613006132437423,-0.05977249446605556,-0.03050356577803093,0.17479262720276123,2.9410527544771394e-05,0.07009576942680767,0.0034168825941510296,0.07642769125871626,-0.005904948111750737
EFNA2,,,,,,0.09144560038305062,,,
HBEGF,-0.0083470975084962,0.10048972902825484,-0.07964557744358959,-0.030793322289773675,0.016377519445106282,0.037773639020493514,-0.00906965298157743,-0.0191247208937214,0.025658951693285824
CSF3,,,,,0.07570420603895128,-0.053946709582668936,-0.024606833296227825,-0.015224978067643963,-0.03691138692643685
PI3,,0.05567013578330108,,,0.002534187051139564,-0.12357486857373087,-0.05242952796872094,-0.008554654033875396,-0.054818029076405206
PCSK1N,0.03412302520657385,0.038498668394274106,0.04286483311168742,-0.01264286692641478,0.08305444978736524,0.014075807071100621,-0.004097153285666799,0.060291571998489675,0.049752793898526236
NTS,,,,,0.04701606443622532,0.024154981711673216,0.024055972369686908,-0.02254611642163521,
SFRP1,0.001683757574473363,0.018230433591737972,-0.07401015947074123,-0.012802607120220834,0.0030599204000228844,-0.006534746419620905,0.03044097286742403,-0.02202220179527193,0.050648222254794074
CXCL13,,,,,0.10624087570444228,-0.019549625557164274,0.0006070589032726914,,0.0890982190807271
MICA,0.0639523156772832,0.03838350848198062,0.03696006767048088,-0.02690897769250281,0.07845321355326394,0.07531958804649815,0.016383766433375205,0.056115313560733834,-0.04881268464346569
TG,-0.03376405819944903,0.08214504837463271,-0.011164277521434604,-0.013940267394175424,0.022705726897732575,0.03671914007704591,-0.020251801925688043,-0.0002687499489675146,0.029474409607188005
ADA,0.011868217273619005,-0.026577767104739032,0.03979598335508293,0.05172286784202965,0.0880170014240817,0.059401422045856175,0.07493571556240779,0.07974145705276742,0.05114897958257536
LAMC3,-0.032723679082064853,0.08638225405629324,0.049258821591856024,0.019816705948276423,0.046887459420832375,0.00588143560243863,0.08008545443059119,-0.03514303045770908,0.020098021005267475
CCL7,,,,,-0.0229261410314105,,,-0.015954301186357517,-0.0459979427992918
NGF,,,-0.02044960678786188,-0.03177157996207539,0.08783839342527197,0.00818236343565555,-0.004687801580362952,-0.02068869655777417,-0.017635908284368295
TNFSF15,-0.031121914534178022,,-0.055748831573701196,0.055945887462842125,-0.0033548521431469636,,-0.01528042102975365,0.027330257582518058,0.057684633118410315
HMGB1,0.04503839558756583,-0.09948815556641805,-0.06970787857403271,-0.07756577840808654,0.001548531582472019,-0.053523387344859584,-0.003048735768584165,0.0050120633365444275,0.06332842975658395
ITGB3BP,0.0814981571920527,-0.05194492336599547,0.06050957066947642,0.02665995306711217,-0.02653861085409247,-0.0015708365489292989,-0.053354290425225465,0.04657657452327083,0.03571632789330973
AANAT,,0.05974401261857103,,-0.022267850909650257,-0.02011269463746288,0.0784083549471663,,0.007470639818983502,-0.022538047395422096
RELN,,,-0.03400666857185296,,,,-0.01845709262914313,,0.03295828636772421
IL15,0.03121419711498948,0.005277790978604551,-0.05659176239621689,-0.018467915921152645,-0.03684728062680036,0.06938316825588815,0.0047742676398995956,-0.010578012849144659,0.0666246030542039
UTS2,0.06526776373415258,-0.0015714937940277773,,,0.059938684462061284,,,,
BSG,0.07722682294105761,-0.024573074796077024,-0.003912553856951948,-0.03828149261768363,0.08717673964446414,0.0334455387518272,-0.034147377937540496,0.11564077939029288,0.04220135819294299
ADAMTS3,-0.026253839691449912,-0.020333850744855997,,0.00044976413514135217,0.02998029622120736,0.041813851163623385,0.06440598823093738,0.07543595737431477,0.009682459571778228
CD34,-0.013691828434180077,0.008070172357716095,-0.0393194855751042,0.006245439556587536,0.01645170041099238,0.10600539012702143,0.08729163807772375,-0.046305722324109025,0.010726326468322804
CCL23,0.12075771846819269,,,,,,,,
PLAT,-0.04418473168877985,-0.006243622899257551,-0.0850232931083363,-0.03271094915085784,0.07323623078995602,0.037008058622815206,-0.0010603740468002663,0.011093208585579752,0.08238903664712696
NTF3,,,,,0.02149973583152315,0.08059147528378108,-0.019364052198625574,,
LTA,,,,,,,,0.052043331452434505,
CKLF,-0.018273806041675708,-0.019997814701744544,-0.06762109313864573,0.12854283250394954,-0.007434323392354978,0.07355501841359677,0.04126261589037714,0.021100231148747955,-0.018230785801716172
CD24,0.011084007442896627,-0.053765827781854236,0.05673577325196527,0.030350679637073656,-0.007381596307599207,0.0639052039773713,0.04922182765841432,0.07113737234820297,-0.03493705805167541
HSP90AA1,-0.052006434482015286,0.024270980625626267,-0.08610243854570486,-0.0674389219268523,-0.05067521013410775,-0.17135691599900352,-0.07377448136941653,-0.01516448750247327,-0.021552008244820366
BMP4,0.04351497273324748,-0.0024956003953756187,-0.10988924099325087,-0.03409709107778453,0.0938653455959239,0.05324476254365216,-0.023540608703852568,0.05046254726916568,0.013907745292292509
SCGB3A1,-0.015365402642632893,-0.011646426315034573,0.10663563856687361,,-0.03489455584977518,0.0052271424187634126,-0.03173261283322746,0.015084830719429738,-0.000950700949613847
IGFBP4,-0.06139483947980069,-0.022303650375660497,-0.04058149726885483,0.013632933832530654,0.014187505445210186,-0.04640517356701594,0.03389191162055906,-0.06795659570236266,0.016336613241460095
RSPO4,,,0.027462718987194108,,,,-0.021370564277409316,0.026230397585678092,-0.028419585013221577
LEFTY2,-0.07608581819056387,-0.03599010958385541,,0.045725970851106634,0.0022061727417679957,0.0977885817471769,0.06317774002174864,0.011360181695068567,0.047747916399504986
PF4,,,,,,-0.02320991608609429,,-0.003911294380730954,-0.02226266905423447
ANGPTL2,0.03135533387499263,0.057360851270992025,-0.0004523347479516826,0.023368287259302598,0.07705934972043336,0.06585488610350246,0.0022405717794805103,0.036469374618111214,0.07973846384370194
