,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF313,ZH1007inf,ZH1007nec
IGFL3,,,,,-0.02081493008171953,,,,
BMP1,-0.01772213990216484,0.0033510482884792094,-0.04467843479002919,-0.026370650529956654,-0.17485381670648167,-0.06474852722557697,0.04001569781742467,0.008192456659868159,0.057335893952524766
NDP,-0.06191066582213431,-0.004111449160942861,0.06847588945156831,-0.01456654114928452,-0.07626143927055742,0.04535099437082352,0.03972881196045666,0.08975168613353691,0.01740823572868281
TNFSF18,-0.028831488209660354,0.024583642222558297,,-0.01893053827831484,-0.030909546290028803,-0.017588837772920432,,-0.03957749924802889,
RTN4,-0.02068803433882343,-0.004965493579059641,0.04964469636490999,0.059412555281181015,0.22092946077362705,0.09784345158626845,-0.02392045614864295,-0.016297221568483868,-0.024417636703091366
HEBP1,0.012121413965779619,0.03935031894236879,-0.027455444390298445,-0.018133007571748384,-0.09494345886964457,0.028934746879195613,-0.04926557458152177,0.164917462743631,-0.038536740147024656
WNT7B,0.039445774711409726,-0.02248602939371039,0.1655541814434052,0.07509684239032267,0.21582294638436242,0.033634049985751605,-0.006267397860576593,0.13298104681947243,0.011228545737417684
PTMA,0.04874790809799847,-0.026741855761654294,-0.047722856994482726,-0.02729099633216314,0.10926681843734759,-0.030389934177846002,0.0468227575738596,0.12194226788491401,0.0006046567981215336
CEACAM1,-0.01835045209841741,-0.025060711636408835,-0.014319803903654534,,-0.04067520244155677,-0.027663051556967678,,,0.0752554043631644
PDAP1,0.044415343166384826,0.03724025211593364,-0.016782454084336772,0.013221057815236846,-0.14919349450462452,-0.03276405776604598,0.039758021372904205,0.010123840036567584,-0.06150678030660636
QDPR,0.010509139783645753,0.040654477320168955,0.020051120080156786,-0.09337590420804408,-0.023752039414484824,0.04569032277913811,0.03262234859259965,-0.05722583718560716,-0.06594622059618557
POMC,-0.010425503965680634,0.032081689995819535,-0.02446772625111839,0.07507881866824738,0.11190042827682968,0.03383610992304751,0.02390501098883013,0.06100098395266082,0.1273854300543896
CCL18,-0.02289963039421031,,,,,,0.07591989743320289,,0.016915386747869878
CCL17,,,-0.015228929199935943,,,0.028486196643469665,,,
VEGFD,-0.022899637665915518,0.02906590908748442,-0.01696670885512327,,-0.0348705913620864,0.024794223748681506,0.040416000392600536,,0.13694257910581828
TNFSF13,-0.017280801427762078,,-0.010504574528616044,0.002592262869000739,,,,,
WNT5A,-0.028797913598625133,0.019772514994178328,-0.045396630709266056,-0.04736534615067831,-0.15190867062166635,0.010659685617406416,0.028643912615074624,0.138034804036843,0.012079248848784432
CXCL8,-0.031059941503018974,0.06322550946629313,-0.04718809623636817,-0.026114021610075932,-0.04183145721105553,-0.059641344471647845,0.05361340406240351,,-0.0320772655500267
GRN,-0.04120016396604102,0.03828069175211906,0.029644771437109467,-0.02999651336572343,-0.17632776474497502,0.002996393740678996,0.05134847141247142,0.0940976180661258,0.10396590779420499
MIA,-0.030905879044370477,-0.020981327105738787,0.009565049481246271,-0.03319602145434927,-0.05945976885799922,0.021030951967832404,0.08365303377627531,0.09637024046369039,-0.06365307812675812
COL4A4,-0.02750227004930802,-0.0536833063583076,-0.004592491214594224,-0.0174674662627522,-0.020511568603870454,0.08581139600796324,,,
TAC1,0.001068281199871466,0.028882520707703186,1.5347993474449656e-05,0.0602968953395816,0.21261971808147453,0.06889574096967976,,,
RARRES2,0.059864440669077694,0.05794199642983879,-0.04228631215690402,0.010142153329240712,-0.16743781206757474,0.07141729575543151,0.01892219013260379,0.001655033242560819,-0.019006953388562755
FGF7,,-0.023178290413715035,0.020605899270542665,0.030623104411415743,-0.02666496729985388,0.025819401410750457,-0.00712809735826061,0.04746688987985235,0.05916268335877197
HBEGF,-0.03855045630181083,0.0932118585522314,0.0021199873684225774,-0.019184638685825078,-0.08925261031837414,-0.054251962005835125,0.04782092178219379,0.0984132329336784,-0.08099972146981081
CSF3,,,-0.01815155574973106,,-0.021700844784224307,,0.010995837568367956,,
PI3,-0.024091376663297245,,-0.03132410509881889,,-0.02443543764718544,,,,0.10959440450257732
PCSK1N,0.04859404560815776,-0.009035322459633453,0.015844519059573157,0.03612045125799452,0.05655261555543215,-0.021746079576439068,0.007246486403147938,0.06546575675742969,0.054205978422079366
NTS,,,,-0.02132380755564081,-0.026672948664047996,0.017188506710643956,,,
SFRP1,-0.030655168368990474,-0.028059389038815098,-0.01328782937973699,-0.01043894558394315,-0.00019174393693878385,0.03347673961806666,0.04081523878490751,0.01106613188092702,-0.06063241193739375
CXCL13,,-0.03181481704575145,,,,,0.046539933869085996,,
MICA,-0.00877238010106067,0.020205613667397752,-0.011458339745872594,-0.04526048097004833,-0.08195616012726412,-0.00631889750537205,0.10140049464549515,0.1724640633383686,-0.09509905847930522
TG,0.03617116299406654,-0.01413070530459584,-0.01433967314793247,-0.00880479042885344,0.08058037490836094,0.016864909587400636,0.06251587680237572,-0.050720413325509084,0.02668444104916336
ADA,0.014436668954980867,0.12475063490184182,0.01187625148423459,-0.03944223746225932,-0.10961072470062981,0.039400859569527484,0.1294191050660658,0.0499409075312633,0.008580458885852701
LAMC3,-0.026103521902801154,0.043558815981569,0.011443606834435675,-0.053681130342678504,-0.11970410899110771,-0.0020332168906449805,0.06344929181141562,0.18421449920184302,0.11184678471259568
CCL7,-0.014566099440317918,,-0.010367560775039149,,,,,,
NGF,0.057084843664285685,,-0.023754729734964043,0.075456708082478,,,-0.010228093312556549,,
TNFSF15,,,-0.011544785993908107,0.11740728518096216,,,0.004110408636912759,0.15740110036481492,
HMGB1,-0.009346487817512067,-0.010855061228327982,-0.010044461472254731,-0.013856288690833708,-0.12591289686765086,0.010650177056339853,0.0939258353684351,-0.005367798334023623,0.010368500585679348
ITGB3BP,0.04338794621424581,0.027020446088672902,-0.05079375920141818,0.010467748793099519,-0.1331866050197437,-0.019789659379792428,0.05873005430948616,0.026490898058893576,0.008833044191776546
AANAT,-0.02113319421059315,,-0.01050457564974929,,0.020235303497175457,-0.005976533920854927,,,-0.054223017953002765
RELN,-0.01157109995963438,-0.0032331334463626326,0.014282607539327542,-0.018378543456639064,0.1437389820292055,0.056577020451307865,,,
IL15,0.034222740287133034,-0.04341423719481529,0.021966941858284128,-0.020293105687283697,-0.05105892270331008,-0.03353383121868345,0.09292795815387576,0.08312471128767648,0.09995586978100177
UTS2,,,,,-0.06457013478221758,,,0.01484591470686199,-0.02118964273934226
BSG,0.02279775470950743,0.020009142046441126,0.006328476763908529,-0.05631142780390089,0.1368510049215725,-0.05015419930818364,0.06546795312896489,-0.0013764666710546752,0.06133050921493289
ADAMTS3,0.03168658220870977,-0.013778363045419594,0.03296406359067077,-0.03268632272225924,-0.14908153987164122,0.016937397637878458,0.04543175225213255,0.07272721668989955,-0.016168933165483408
CD34,-0.012128481663311761,0.005959696042352113,-0.009154096667180275,0.03761362060899792,-0.0837657545260631,0.010888082526168826,0.08412558523969028,0.19147714321879503,0.06502462065931713
CCL23,,,,,-0.022272957373125027,,,0.1383342124137234,
PLAT,-0.0736422389431946,0.024312547924229953,-0.04866973259873099,-5.399825620461206e-05,-0.16137058993724593,-0.08767814210471463,0.0302071836052955,0.11814114800039018,0.003303892657146156
NTF3,,,,,,,-0.006325485997249812,,
LTA,,-0.02506071420808673,0.008645851701035183,,,-0.019141714712717733,,,
CKLF,0.03805289196659334,-0.021566461262016015,0.051680960258626736,-0.045476649713107116,-0.15409690605639148,0.01898349567310439,0.06025395235618124,0.03342475059236595,0.03404076297265976
APELA,,,,,,,0.1511115180419777,,
CD24,0.004728823736013757,0.07719898054012468,-0.060979138688515046,-0.07969535707129338,-0.025934053695196656,0.006009786150363025,0.06702998615064719,0.1125303750771419,-0.02432028809457794
HSP90AA1,0.038991779492543635,0.05102677993626235,-0.023396198474963784,0.02593735436420705,0.16786792650836074,-0.03227105929408072,-0.01403266364039043,0.001269127757699802,0.016407871736235456
BMP4,0.041798928128270164,-0.0016684681419282831,-0.02067351435864614,-0.019319499973395708,0.035950287914938525,0.030620168140939763,-0.009424053240074852,0.21059135143745628,0.09326529658502208
SCGB3A1,-0.014566097983727436,,,0.0026346773521404468,,,0.08473751265675736,0.0013005993318333533,0.12632735761748967
IGFBP4,-0.04007950821535424,-0.007197859136054631,-0.04850570094422039,-0.03656572943533283,-0.05079579273011754,-0.018930438361673806,0.008824205323070464,0.16861506411088445,0.1408271311839375
RSPO4,,-0.031700326841140464,0.035577484649023286,,,-0.022262979528821024,,,
LEFTY2,-0.024067198074919097,0.02577319677868815,-0.029690497723129417,-0.058168851165432744,-0.10294813303771279,-0.008752378289374174,0.013242699521428767,0.027668509755866558,0.09601702792951113
PF4,0.12174919581007897,-0.022796125679562764,-0.00904549252309524,,,,,,
ANGPTL2,-0.003314390915939808,0.06814395436281322,0.055848058792379,-0.04131182259524721,-0.10974380615881321,-0.00626804199732315,-0.06203190920531401,0.07499123033285768,-0.016474475324459954
LRIG2,-0.007433777819430189,0.07586127449745024,-0.013918138567746607,-0.04145673046109932,-0.0328483807535734,0.022726700165318654,0.06643971983300007,0.02073316418920206,-0.08556044853038984
ICOSLG,0.01175926645460965,0.014435007150462817,-0.013757812349166862,-0.03663997900327071,-0.09306207213587021,-0.0015938743381945966,0.09762785639524466,0.06383048457108012,0.20257179757565807
WIF1,0.011636223158122815,,,0.03846379942903519,0.2910981673655823,-0.017179813988524938,,,
