,ZH1007nec,ZH8811Bbulk,ZH8812bulk
IGFL3,,,-0.017543369824621152
BMP1,0.05474255422123469,0.01229788769282119,0.0477590402204971
NDP,0.08180166214828297,0.010103346798732562,0.08144465736584847
TNFSF18,,,-0.018092167641469672
RTN4,0.07880284316103205,-0.053471803587920155,-0.08875030565569192
HEBP1,0.03975530125207488,-0.0029466793493064473,-0.0036209435325679482
WNT7B,-0.05908597293752606,0.03788006893371871,0.04155112217743951
PTMA,-0.018728083195650225,-0.025724909446167638,-0.09703080523844568
CEACAM1,0.06110041484799706,0.008396669971221913,0.01228705318758603
PDAP1,-0.006324916319862738,-0.03313215087155901,0.0616484836166635
QDPR,0.0384879223664623,0.09567463959672791,-0.028577844726432888
POMC,0.145902442996549,0.00921236373956954,0.058581336967042694
CCL18,-0.03815060945993713,-0.009745833916098802,
CCL17,,-0.02378903754021239,0.08608407325144879
VEGFD,-0.042980926083860525,-0.016479392430401606,-0.02439492627134109
TNFSF13,,0.021508563463315655,-0.024803847667258103
WNT5A,-0.010902147358337432,0.02567400345868422,-0.024737824308237004
CXCL8,0.020413299912909046,-0.09484505271550099,0.026932491054510954
GRN,-0.006609209064740421,-0.08274509834829225,0.044900937032793076
MIA,-0.07603157310268367,0.08002101290410363,0.021590822238766513
COL4A4,,0.07992802001786292,0.0675819305435151
RARRES2,0.03408526776868202,-0.1000872455081034,-0.018440742964448163
FGF7,0.10380396070463171,0.015465738861308483,-0.0034170964190092593
EFNA2,,-0.015662559653445266,
HBEGF,0.022579995732339108,-0.018170707871945965,-0.024997109085896935
CSF3,,-0.07401601143082787,
PI3,0.034710703934795015,-0.12628909417515935,0.030348597502894648
PCSK1N,-0.029818158601605166,-0.008904983663599143,0.0017328065259826918
NTS,,-0.019081856756777312,
SFRP1,-0.05080471126499354,-0.029209055416437306,-0.03114967057223286
CXCL13,,-0.04024158067640445,
MICA,0.04803470471790938,-0.004724605453640529,0.10707217160616582
TG,-0.04081691286403243,0.09685386292740815,
ADA,0.04053083749060763,0.06139253899170797,-0.006130748599003298
LAMC3,-0.05423556374104162,0.04358504533328114,0.07825709889055144
NGF,,-0.015452028501239988,
HMGB1,0.04182089618030487,-0.10504058852203695,-0.057789551156059694
ITGB3BP,-0.015114237533369568,-0.02215884674332764,-0.012698096422081586
AANAT,-0.05195588643671411,0.017361518295331627,0.07941210570723194
RELN,,,-0.006893815630150931
IL15,0.044305552311216245,0.014984098504321346,-0.0356297671068002
UTS2,0.03510892068900436,,
BSG,0.007573176481195422,-0.05326389120283038,0.01780954273719854
ADAMTS3,0.11604060911057854,0.12711138357233656,0.06131929573717738
CD34,0.07962781540768951,0.06206789122229261,0.00610685774709022
PLAT,0.01934160781550962,0.05926416034922434,-0.013637610024510957
NTF3,,0.11260568849584957,
CKLF,-0.0037883800015948393,0.05688908065388154,-0.016730877520812384
CD24,0.03532046045816496,0.03603798205261774,0.057961446747355226
HSP90AA1,0.06510930974047936,-0.17111580709437874,-0.06328394120090616
BMP4,0.018180820997723605,0.016406390591864245,0.07580667726925959
SCGB3A1,0.13621147892931382,0.01337398201047257,
IGFBP4,0.046968504937216535,-0.05552960721052924,0.015344733344729414
LEFTY2,0.051697985949834775,-0.018009129553935504,0.025122984636339198
PF4,,-0.014355820291903269,
ANGPTL2,-0.008871609868021112,0.07779144972636132,0.029822346190332125
LRIG2,0.04850375287972775,0.06773773735934667,0.01595771453013919
ICOSLG,0.012940127581915283,0.07007323665293812,0.017605267902805727
NPPC,-0.05369520825394098,0.122108495045928,-0.00892164066826061
LYZ,-0.08162058980792011,0.02968727429736781,0.02284581066667905
EREG,,-0.009950306635445612,
SPTAN1,0.04418303458181222,0.10278065907666517,0.0031739084474100817
LIPC,0.020958340515549262,,0.07054722574269733
COL8A1,0.011316680940071537,0.020243573904731884,0.07997622165002996
GSTM2,0.02374695316894258,0.03430797162114673,-0.04795986993826495
IL4,-0.03700530265770391,,
SPX,,0.027448742678286737,-0.049321179952870116
MFGE8,0.023005950572920653,0.050886037711997116,0.08200627841000141
TGFA,-0.033381451763374655,0.04731103922861566,0.005612858073972709
SLIT2,0.015116402824039579,0.0006181396253586079,0.010314171715945184
PLTP,-0.006009865011201019,-0.10291959486538575,0.13901236837373776
APOD,-0.047679792254689254,0.16637749316711492,-0.07502441207919484
B2M,-0.021026912554965773,-0.0370179555013761,0.08239340801101504
OMG,0.11703327037857779,0.14798886251710172,0.007057340033936673
CXCL3,0.06680256448783396,-0.05692930878972446,-0.020147857893650613
CXCL10,0.04335320894863469,-0.019255316713334917,0.01003061169462928
RSPO3,,0.09752069866424676,
CORT,,0.03985469072293172,
NCAN,0.04929651717979254,0.17384690670334801,0.04200104587096809
PRG4,,-0.022166819134501206,
TGM2,-0.048925924609011816,-0.03513375068173226,0.022890365884926635
VEGFC,-0.04194810287713155,0.026347729865969827,-0.008054446764713619
WNT6,-0.0008296091215733641,0.03142777223970971,
NRG4,,,-0.021339627464336902
PMCH,,-0.021077562410180967,
COL9A1,0.0973579402465896,0.11385389435575505,0.04964617748422671
GDF11,0.04684391524368889,-0.013235852831403317,0.0258146438728074
IL24,,-0.01412692403611627,
SORBS1,0.022005798089973168,0.02926692935025554,-0.0032515634849342528
DLL1,0.06417574811110818,0.13454266581642949,0.03594819789181111
TLN1,-0.025936936113155118,-0.0596210169043258,-0.008326544997646
COL2A1,,-0.03681908557000648,
SHH,-0.015611418194991468,0.046850472515324086,0.0033629273314388615
PON2,-0.011082042229631994,0.07823495332994318,-0.0079957711666507
ICAM5,,0.027731052982294654,
HPX,-0.08043213339405854,0.0176668704922428,0.36323788204694457
SFRP2,0.0238692352438444,-0.003793380985404239,-0.04663635548756587
CD70,,-0.019987359109151417,
HP,-0.05544304223706763,-0.07854845356182528,0.00886318436317143
CXCL2,0.19263801472132183,-0.05451909583863266,0.0610464222902671
NPPB,,-0.010734830870589277,
CCK,,0.11154768209603955,0.06266849091054608
SEMA6A,0.0570971528076357,0.07662936627592906,-0.020570032618676085
IRAK4,-0.011086892546194169,0.010057131250129603,0.012905872448421805
GSTP1,-0.018589818972038492,0.07849880004482464,-0.0028614263795124347
VCAM1,0.012954423782488872,-0.016131228974036755,0.026606815592560108
NXPH3,-0.053471429964770965,0.08168883499358374,0.024542812801338312
MTMR4,0.039145040385647645,0.02960212206664579,-0.022057430195598048
LAMC2,,0.06926770313836625,-0.02063212109878208
IL10,-0.0777382520171004,0.07360272061955865,0.07884896629679784
SEMA4D,0.03355070811590454,0.10999457298263086,0.02895886867808775
TRH,0.03104346694124967,0.024519201735643537,0.1069743083763406
SEMA6D,-0.005678090836815488,-0.04461159567088597,0.005869309548795312
CEL,-0.001149858396077633,0.04803855850562443,0.052091953450428975
PDCD1LG2,-3.804330917395731e-05,0.038109506708550824,0.02604716118970306
SPINT1,-0.060611277552001186,0.09114744719327365,0.027736014131763655
CTHRC1,0.08920097727592612,0.04846766952196851,0.12798102491014504
PODXL,-0.010711449592090408,-0.016649113543092196,0.018147153668312658
JAM3,0.005707989047521217,-0.06753139783048091,-0.009570100277727965
TGFB2,-0.02189927381798742,0.031938863907023364,0.108237638758886
COL18A1,0.011070119981219404,-0.07010871698410129,0.03878682861928068
NODAL,0.016602735627409358,0.0300567388183375,0.0007671035625661004
INHBB,0.008792275034516508,-0.08758246935315414,0.03290503459438199
LCN1,,-0.016479392430401606,
ARF4,0.05323949075840309,0.13873475737646657,0.06523902826678722
CXCL14,-0.01458762276678236,-0.11984319339835732,0.08492646839296562
LIF,-0.05022494229612755,-0.083408778344274,0.019767536316906056
IL17B,-0.02562058600144971,0.034839841813618516,
MMP1,-0.03051075761424841,-0.02716217264559339,
MATN1,,-0.02914747414185235,-0.02087038756886192
ADAM28,-0.005125662006220025,-0.005803604477375796,-0.008131946865386269
TCN2,0.014083582169321495,-0.013170200679541602,0.028947112689572955
THPO,-0.04692533458559715,,
CUBN,-0.044987689855139616,0.048439577188765785,0.06910900988340307
TIMP3,0.04606270782983633,0.02891422918581724,0.006025216339055459
PIGF,0.009824350681322168,0.06670839969473633,-0.053587957996847985
CRH,,0.038529963121898436,-0.035176776577228286
BDNF,-0.020714282147476254,-0.007750905450318604,0.08707697173661705
CCL5,-0.072193022506226,-0.045966439692253606,0.04363854434403361
GAD1,0.04663299381774412,0.08715186957870052,0.11228224316447113
COL14A1,0.08907594828213065,-0.055229933059702085,0.0571480488531912
HLA-A,-0.09498483397976301,-0.17365411052870713,0.0661877868519675
FGF18,,-0.025724391450529734,
ADM,-0.020164713190643817,-0.08044798368549691,0.029303864061349008
GNAI2,0.018801246769699628,-0.014563194776670715,-0.005652780847806536
COL11A1,0.05066920109152518,-0.05190062748013034,-0.028634260742868903
NUCB2,0.03100016864282013,-0.11160288628598644,-0.023556230697445626
CXCL1,-0.03522688294752801,-0.01574389976649619,-0.01571863424314033
VCAN,-0.08694163458327545,0.1228724300392764,-0.030280037125862434
MMP7,0.06099470050059951,-0.08539379069514647,
PTPN6,-0.021457055089533394,-0.00461114852248359,0.024251517385428193
PTGS2,-0.05581268882708744,-0.09581735586901396,-0.02580111447115203
CD58,-0.0577336199161646,0.06669640178946942,0.025480190920786676
TNFSF14,-0.04547854841447642,0.0011030025675760756,0.034308288351270026
CNTN4,,0.1345123887497864,-0.02619072206872372
INSL3,,0.08492397498237503,
MFNG,-0.014446647476076631,0.047718737001899034,0.033050297136614136
ICAM1,-0.00603467190488477,-0.03379613270294878,0.0929639696771739
PROS1,0.0982352901079828,-0.08022425686558592,0.021873112268732897
CLCF1,0.07543187804474634,0.028912272271719323,0.09371244208793429
PSAP,-0.04333314246188112,-0.12033980546843302,0.05482309459887278
EFEMP1,-0.03547447885182312,-0.04150548924369874,-0.014375808418347633
C1QTNF1,-0.03076301167740947,-0.13853630102106998,0.09291956147254607
ALB,-0.05239481435967542,-0.025951584760179246,-0.025929967630059357
EFNA3,-0.010620738276787424,0.047407038034513356,0.05730785228420812
