,UKF248,UKF334,ZH1007nec,ZH916T1
IGFL3,,,,-0.019211062323128913
BMP1,0.08237605640508926,0.0028826595985568977,-0.02069266099748187,0.052868200039288826
NDP,-0.0305211655241483,0.03608484581160076,0.02391815112284566,0.040421807977140664
TNFSF18,0.09681924687652266,,,0.018136090797080555
IL36G,,-0.013752909048658349,,
RTN4,-0.043250523073996246,0.02105297238636794,0.08580475983864044,-0.00753107599944886
HEBP1,-0.024945119853425974,0.06623770047971461,0.025096387393475396,0.024808062566777315
WNT7B,-0.03566761744755564,-0.015116031948961287,-0.05731194188638804,0.07625351209057465
PTMA,0.09634163083408842,-0.02871467492939802,0.002942074850712718,-0.055548632064817735
FASLG,,,,0.007565345985018645
CEACAM1,0.016916528487309616,,-0.043157329443017436,-0.023182374896857358
PDAP1,0.03420333277556865,0.021808324637718653,-0.04370472905861875,0.006941356544221767
QDPR,-0.07160731674368345,0.017360569135365506,-0.046127170507441376,0.004195508753892366
POMC,0.03212209705183959,0.015915550699162048,0.027134658693920594,-0.045087600211585185
CCL18,-0.02338957041206865,,-0.037005153737758714,
CCL17,,-0.012563672860904911,,0.11950912535629035
VEGFD,-0.023389577839352756,0.01131258445739136,0.06982355249723686,
TNFSF13,0.09595296294248042,,,0.059397583844092015
WNT5A,-0.0344448121459555,0.008359357419792584,0.03934611888957066,0.00432628002353505
CXCL8,-0.022834568833914506,-0.04048373402582331,0.013334816500157972,-0.04037205675254404
GRN,0.0629914397992357,0.020353028655578816,0.04055133356815752,-0.03319451218821381
MIA,0.01567070048196463,-0.018440766584951904,-0.0006461187797340989,0.019615264132921476
COL4A4,-0.028090684030107886,0.05914893833230831,,-0.04434983511568875
TAC1,-0.003918338846025237,-0.010364443277245011,,0.08682750616122087
RARRES2,-0.03512864612012785,-0.014125292019472734,0.06783719713689276,0.01905582606329361
FGF7,,-0.023519325346203938,-0.014075173842400146,0.02364992480505375
HBEGF,0.013159570490986225,0.024402819184363704,-0.032371582097702814,-0.004286856166692907
CSF3,,,,-0.015900079335351237
PI3,-0.02460681421881483,,-0.03872952093227329,-0.034545590112203296
PCSK1N,0.021431222091678394,0.05516228788598201,-0.024729019008512612,8.017604466733682e-05
NTS,,,,0.14964929257938925
SFRP1,-0.03235742443055409,-0.014587949156721226,-0.008143504401624344,0.0126336984430528
MICA,0.01975753738552165,-0.05827187313971883,-0.006570099474183467,-0.007339377214223742
TG,-0.01687338402489721,-0.018872409408241853,-0.05847128842396044,-0.031008187522901513
ADA,0.023615466474493033,0.014296446819958333,-0.03494989465964391,0.02965774605965989
LAMC3,0.048686153136257515,0.02390627681143325,-0.08747505470665565,-0.0006918317528243246
CCL7,-0.014877742680713627,,,-0.01666174187418245
NGF,0.029743450157506103,,,-0.04988475299437252
TNFSF15,,,,0.019175664408709252
HMGB1,0.08173799506043163,0.05207992757938759,0.04635677017147518,0.07688395922987959
ITGB3BP,-0.015087858224333195,-0.021139063567565345,0.06660343700491078,0.004938680478710988
AANAT,-0.021585341139198584,-0.016852965414614632,0.03958916583954454,-0.01762881773381373
RELN,-0.0035825244619879216,0.09042170291224577,,
IL15,-0.0009469432515948007,-0.015630346490664575,-0.018372500334901072,0.0224418451013726
UTS2,,,-0.11076730334199979,
BSG,0.05133262048563306,-0.032595198922251746,-0.019736667488770038,0.02812431796088019
ADAMTS3,0.0375192361621981,0.08286246297529623,-0.07127296636301651,0.05911386616036896
CD34,0.029972051796490106,-0.006095507993113406,-0.06848375485821817,0.004424102975211329
PLAT,0.07208418088774411,-0.007908980021929775,-0.03672319090370942,0.0450019019396216
LTA,,-0.01563034842008184,,-0.023725731943119135
CKLF,0.062252117369994045,0.06395843146950073,-0.0862094948209376,0.053314811256283894
CD24,-0.05307455055160801,0.012325808055657297,0.0903819791821394,-0.023849558863956833
HSP90AA1,0.024795546622377557,0.0002977671260677009,0.01621992338429468,-0.0066365290182283255
BMP4,0.014716867531485116,-0.013318671225466195,-0.03808823860081216,-0.029417708543285365
SCGB3A1,-0.014877741192959235,-0.010906650424820117,-0.041690401645348756,0.01368872844274089
IGFBP4,0.04169693264460204,0.01404735731815451,-0.07546790692416987,0.004205820136272257
RSPO4,,-0.021681753972993375,,0.10169205050179289
LEFTY2,0.002382607710166272,-0.019295490570575318,0.024170570963474493,-0.0209857029757583
PF4,-0.015433268260901824,,,-0.023725726452808783
ANGPTL2,-0.03814240821312531,-0.025327911507000193,0.03875231641181904,0.057992837115360074
LRIG2,-0.004816222045865287,0.008650827670943797,-0.00227693249034112,0.03422833918761806
