,MGH258,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.115030389108977,,,,,,,,-0.029840192251872896,,,0.07673519791522854,,
BMP1,-0.037939628432554336,0.13071549549751435,-0.05209208586889046,0.06152774857117094,-0.06305375118790572,0.038935474932881096,0.05509025250886176,-0.05115599325991845,0.1458997407486918,0.03884728458087152,0.05925402117888386,0.030206336088489508,0.07597297559871066,0.054484760549063885,0.07220987060838774,0.06922710555031969,0.03423930274137934,0.10885270591229144,0.19433186152939377,0.05102164507737614
NDP,-0.017110077778758243,0.05448532597511278,-0.0675597879022581,0.07789768088309226,-0.07722956347536832,-0.002309061370742971,0.04067715396012241,0.028812851108760758,0.02931622262278775,0.060198390398215194,-0.022729413919928047,0.1272863667133454,0.09478114904610153,0.15615814718268642,-0.009352835886868298,-0.035822627024624874,0.09515136541836886,0.08880555991690019,0.036090174824582016,-0.04455805659454632
TNFSF18,-0.024727752819204477,-0.007893687932818484,-0.02998952436794903,,,0.05687367728159099,0.029125688335971896,-0.014682541304140399,,,0.10314748515693833,,,,0.0027061441566209907,,-0.03314016409085649,0.03126661069535833,0.06827865197443797,
IL36G,,,,,,,,,,0.06652537599529205,,,,,,,,,,
RTN4,-0.024739327326174107,0.05997030045913576,0.064461311334789,-0.047270704851701706,-0.003920905339766221,-0.1252031365633697,-0.07000029063209649,-0.04797898858273637,-0.2874615608100243,-0.0704812383842003,-0.05250609191392143,-0.02102788184393042,0.020150481309813933,-0.008949742799477621,-0.00027894717666407485,0.04161897110180007,-0.04875336578776747,0.06573729759096171,-0.2724519470489253,0.09426819368884297
HEBP1,0.09836563540358231,0.06221211632178846,-0.02197726099336413,0.035187903580400796,0.01399864704085603,0.06088783557947446,0.04735844775399706,-0.004953149977978005,0.15034360820926004,0.0294936742618637,0.0030770788548316786,0.006490748078405052,0.03380502350070734,0.1280367510403859,0.02182309091959813,0.03757319456802708,0.02994882425600983,0.04114688394812663,0.1199093442285742,-0.09415846332265097
WNT7B,-0.021784375738963746,-0.009062346670475379,0.017077910094799708,0.06617362722054447,0.03416703811753317,0.0027803996313590013,-0.061508556737063534,-0.02003510384125681,,-0.02788954836649207,0.017253375706989645,-0.07467049022337831,-0.057969314104687523,-0.03452993988198007,0.05492367574570594,-0.02302113534488755,-0.03314012972699581,0.09081678070712071,-0.04266606477892211,-0.046813450227084163
PTMA,-0.017346713562162632,-0.01213225979105455,-0.02040043853662046,0.0013141798281613819,0.013638369307725549,0.16670100912312566,-0.04135853886805418,-0.02146198032776712,0.4165859168326056,0.02182088083939043,0.08642214303468891,-0.0341081822820154,-0.08063128019928659,-0.03969960626732061,0.0862084562487303,0.07395613433546717,0.10181617851736863,-0.1034188477449907,0.04328872357650273,0.02936916444331547
FASLG,-0.00010923033811018244,,,,,,,,,,,,,,,,,0.04470347248238869,,
CEACAM1,0.03307753664364234,0.012183686277315335,-0.014296301592682489,,-0.02486263696845531,,-0.015588325475050102,-0.023092139590318382,,,,-0.020317319346296114,-0.012768377630279656,0.05103600660645727,0.10652761936078797,-0.02385542634177248,,0.04492004189309137,,
PDAP1,0.014542334900124916,0.03172221439958632,0.006068581208516647,0.11281363008451382,0.04241111285288116,0.12885341785893656,0.053398557920411774,0.04036508083008496,0.05984902439895056,-0.0021689437707599394,-0.016469354034195596,0.09043188861857256,0.029772277400593503,-0.007135806619766277,-0.06173749082369272,0.0937498682391029,0.03316494506201844,-0.05131501551568807,0.07405210880759087,0.011507066916084253
QDPR,-0.047371079237230745,-0.14717637143814416,-0.03240070704997133,0.026441001013105845,-0.030629638480173946,-0.041891961193747045,-0.03735873166302148,0.009030130997799861,0.20546195907309525,-0.0011702676492896193,-0.003280782220724858,-0.009726564270860796,-0.009245236566926955,0.07303800938641392,0.03708693343719494,-0.039697406155153,0.12009561930822611,0.1577858810099717,-0.18301355883759649,0.028609397925967978
POMC,-0.044048409997780126,0.11001786870879161,0.001609973948216787,,-0.016691746901905037,0.0013784925094410688,0.004101916092338073,-0.017036459861307945,0.08211893595977887,0.029731204187165076,0.0658536877103653,0.01946088596397789,0.12026947250074357,0.07745746254689712,0.12599653311878165,-0.030682501621398368,,0.06570321441062013,0.04993659398703074,0.05850914126129066
CCL18,,-0.06577735101929408,,,,,,,0.22989414818576986,,,-0.07042106938237874,0.058620080380019375,0.04437522813484835,,0.03316154947983458,,,,
CCL17,,,,,0.05681235212012987,,,-0.018311987609250038,,0.06404574545300873,,,0.04802655779077931,0.03526502349512497,0.01241748842309864,,,0.06782859394037176,,
