,MGH258,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
DCN,0.045489954904780534,-0.02418711610863613,0.012319878698738395,-0.03372865795398025,0.049363731353298204,-0.0520540520799498,0.16455916861920913,0.0032036804389494774,-0.020890015022170246,-0.02992288584583513,0.011632319560067038,0.06360393098441251,0.03871982606320427,0.02045627053301637,0.013934922766531159,0.013214289963193602,0.012681093079559079
RARRES2,0.049115340508477295,-0.022845640171958673,-0.034801266994514905,0.02542275302577944,-0.012101618169812638,0.1827447735704463,0.12778104100502535,-0.005247035555640648,-0.009635329287449415,-0.11590958294158171,-0.003949620343063687,0.008356159061443335,0.07134120942192616,-0.05390213421063442,-0.018060430306567638,-0.049361671769958954,-0.07184190084530771
SEMA4A,-0.0311643037025786,0.025109864819544147,-0.014273866015719967,0.015035402480295102,0.0025736182904754646,-0.11368020894977923,-0.05356674302390685,0.04848589569268537,0.008735894079615128,0.028883256784163546,0.016152001448431496,0.04254480094329039,0.0371182604982257,0.06385300768088707,0.04405452573633954,0.00943793621314314,0.1109852598800298
GDF11,-0.005365278449743145,0.04599911872607937,0.03419615160561236,0.0466592278960024,-0.02296787341036978,0.15104813173080223,0.09465644377680028,-0.03539292627776614,-0.0049545847713939,-0.014076284827004787,-0.012823253571623212,-0.045096790590494484,0.005799765559165356,0.04739038156305119,0.01291361102254154,0.012975268626699784,0.05464829309699977
GPC3,-0.00800152274738073,0.004990895785501199,0.022907177680325026,-0.016908652194520705,-0.034732910644243886,0.27256338452936263,0.00424480129679478,0.026837398561610326,-0.009601361986049864,0.03870039452881148,,0.06666078371919847,0.11947940293774206,-0.020419597351561163,0.014442978353110137,0.043647927728799114,0.09994387597541436
OSTN,,,-0.035120255538764696,-0.008069917560635392,-0.02223058574858027,,0.0006732456845436043,-0.03687110659065532,-0.024501488804417205,,,,,-0.018506051479663325,,,0.01966727609580519
GRN,-0.08401692415502296,0.00988160341499741,0.010240674035990164,-0.0011122050143909674,0.057893740466644965,0.1343452721453706,0.09003187282321952,0.03969922713992252,-0.008829484587517415,0.012733238240234644,0.06376952194620275,-0.01020067838298168,-0.01296154707412366,0.0680954337420791,-0.033973711598261146,-0.036573572795303,0.056145650710574604
CALM1,0.13629611320068874,0.039218381411806405,0.07931789713845812,-0.03802301119172494,-0.0016355253720891677,-0.22538641291387626,-0.11519725556865508,-0.016927400727403303,0.05383529298118986,0.06814073080210253,0.050235348935018985,0.05462915242568945,-0.002951911881993814,-0.033718760872437706,0.054415530551555256,0.09536162737850669,-0.015489362642258224
ANGPTL4,0.03074585811976924,-0.0509321174442934,0.02140481551373771,0.03407427955061505,-0.02449445350205826,0.006422445849876896,-0.03307622133781087,-0.06730739493738225,0.07418269698435619,-0.12662999878841263,-0.055805611774262784,-0.03454538105789943,-0.07656687324053485,-0.008027748375870237,0.01376293652492074,-0.04414961980639093,-0.009299973287972732
BMP8B,0.09567396542668298,0.06416139693493347,-0.01465602464052897,-0.01669895649084065,0.011227840214370326,0.2137618998749654,0.01604899523325094,0.008494061486504069,0.07409776300133722,-0.04009098716149404,-0.017395092524335284,0.06805326424438897,0.028777445633218754,-0.01295045766930969,-0.023129581508260482,0.008410650829596923,-0.011239017411333584
