,UKF243,UKF248,UKF259,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8812bulk,ZH881inf
IGFL3,,,,,,,,,,0.10043945308480302,
BMP1,0.028536856728349075,0.057732698311748626,-0.001613957702703412,0.04735440004465781,-0.01393747759089313,0.09871062425521107,0.08176395509771499,0.022225040742851986,0.0050827892243158115,0.030163431070473024,-0.05447635933048613
NDP,0.003936278333151471,0.0300805354004864,-0.005369291766988239,-0.012760161564868111,-0.02080274393498684,0.09820228113181152,-0.0021811504335363776,-0.11046188132436109,0.03128068210604816,-0.01615580980871323,-0.07352665059647898
TNFSF18,0.20863357498150048,0.12322727428612969,,-0.0209506637031995,,0.0016542222014643152,,-0.0472347539622831,,-0.01809216369958619,-0.031128494088425832
RTN4,-0.0001895654608329625,0.017436408499935382,0.059838949664494816,-0.020897364242634105,0.0234242155307789,0.05619309309869765,0.0619207786688457,-0.09422225861637841,-0.05953455584871883,-0.07115398056816388,0.025011980989771747
HEBP1,-0.03561383506495516,0.013579644983904378,0.02016486695607538,0.02639394197054847,0.049320802366199686,0.03588980809248806,0.048095317099590446,-0.014401579955980577,0.02288912626309895,0.004302538592232484,-0.03749013565614185
WNT7B,0.05935604296829185,0.02164834321009113,0.012764724311598917,0.029670548358242066,-0.018785648136914898,0.020729774694263816,-0.040474793824903224,,-0.035835665704881,-0.03783217791379418,-0.03112846181051583
PTMA,-0.05231405904797169,0.040251797805668135,0.009646764248221529,-0.042660995344805,-0.0724118740784324,-0.0123610867066844,-0.11894136262176193,0.06168236481685031,0.033522814310253536,-0.02525503519173966,0.05833703209109038
CEACAM1,,-0.020060548091604093,-0.03734185101137681,-0.03295040284393218,,,-0.07182440488532386,0.027386069108809204,0.02463339930600259,-0.025996550388849658,
PDAP1,0.05239969289729251,0.036648312359679885,-0.01115441274809932,0.02185938029650559,0.023320756448381393,-0.013487032362483286,0.03263658594152899,-0.004889312697119805,0.01711765825325932,-0.07162147064268762,-0.014444255839318208
QDPR,0.03356757533817782,0.0010203932157813972,0.06104868524314962,-0.0090597599439975,-0.0014571084841380531,0.04273145833697194,-0.045448916712910646,-0.07178124897151973,0.025908783039366685,-0.019215143930673174,-0.04085900996261395
POMC,0.07350525092965214,0.04234003778098749,0.03620677917926261,-0.02430949342173269,0.02313481455480041,0.08100526064273743,-0.024399348555095037,-0.027618207817717698,-0.04821463348201853,0.04977895378190079,
CCL18,-0.026650780047979584,-0.025033668616951006,,,,,-0.0057672483928727395,,0.0743898811963488,,
CCL17,,,-0.008233579349619767,-0.026129556606823024,-0.01060176993412218,,,,-0.014246136424656714,-0.023129914681171673,
VEGFD,0.01012015990073225,0.05725617565201601,0.02526688144022114,-0.027838832496265276,-0.017055158333862,,0.030513590764619996,-0.00023188118353232757,,0.14236701033908702,
TNFSF13,,0.12221344635381616,0.024433314289341243,,,,,,0.03791442055405549,-0.02480384226304787,
WNT5A,0.027623981777161893,-0.004398990222804071,0.0019671263272518715,0.0007708096840700846,0.03402227641910049,0.02985738897184309,-0.028041138153869133,0.048979713242069886,0.018217104483840427,0.008673184315639786,-0.010495068079579574
CXCL8,-0.05564496108914017,0.022609890362446827,0.09626568575694945,0.04314315348766821,-0.01588250502343078,,-0.06885051298594076,0.03459644109432265,0.017921953833295277,-0.002331818628853631,0.010196030948375498
GRN,0.03096023666950856,0.016300138429623277,-0.014845942094967816,-0.020487607072612248,-0.014589961595086886,0.12685736057249888,0.01094686706173422,0.03241415377320419,-0.041398192169369345,0.01570299216183239,0.08458168429370154
MIA,0.020848626837383286,-0.021947557447383796,-0.03863007605268123,0.03944125193576447,0.14434521467004455,0.13201399273712972,-0.007160543740430624,0.014739590677784915,0.08989672843071819,0.012168523323799842,
COL4A4,-0.03022805960670338,-0.03006523261625839,0.041630962378697636,-0.01682800776125925,-0.0050374897387728676,,,-0.007933606980959903,0.012125535581441565,-0.03562976385909254,
TAC1,0.07456285810103003,0.04600483513997315,0.00664844110542698,-0.019343451996124673,0.043501013175645226,,,,,,-0.020735440068883598
RARRES2,0.024572245006773234,-0.011006512449855331,0.04276367959720198,-0.026258121375785017,0.02351745728181914,-0.0962791247570483,0.08446189893322932,0.04288302422697628,0.053646189446550974,-0.05417985146234957,-0.10464648983768438
FGF7,-0.006085678316042993,,-0.03836564137971551,-0.013508016758509775,-0.0071158026527411156,0.12975595456353378,-0.011316641535500778,0.05756500205397522,0.0029821269048980804,-0.04953723267271981,0.05047523810737583
HBEGF,0.031071807332560437,0.010851978817770743,0.010230125472941765,0.012939417905021724,0.036644491753799475,-6.903112643980194e-05,-0.027638064646162586,-0.07019889622352989,0.05124677361749532,-0.036560455732899795,-0.04190973824342652
CSF3,-0.03022803567505829,,-0.025797520868936826,,,,,,0.033896202658047686,,0.12110534471220218
PI3,0.08789045929508355,-0.02633647484841547,0.013735820361355828,,,,-0.020273109544837725,,0.010279575558438444,0.16538330113256958,
PCSK1N,0.03409469602587403,0.0491900144108442,-0.026884814249960764,0.04985340796858307,0.006779622438641326,0.05558571452119252,0.09700755431935264,0.03326331516534171,-0.00718482318475824,-0.013966924111401829,0.029067102547888416
NTS,,,,0.00569605767635198,0.005215641844794039,,,,-0.033234753310575876,,
SFRP1,-0.018737002784628143,0.028983429323005384,-0.018885050981468397,-0.047437766836562104,0.03987336098494938,-0.04326603778036233,-0.0061792207147989935,0.026620940029009093,-0.011446449107299783,0.015283102889573612,-0.013734620146499059
CXCL13,,,,,,,,,0.013356907498380989,,
MICA,0.06716988345430994,0.05972144396083652,0.023189304932673786,-0.01063259390510265,0.03128530089808643,0.02377864918972154,-0.05774995467601771,-0.0549823308075368,-0.04361758430326186,0.04690278788908341,0.04668302300687083
TG,0.023890378930231784,-0.01228005509668607,0.03684265094182676,0.006299770411543061,-0.016826912784060153,-0.03376410199060302,0.10871774235435618,0.018685878715043777,0.18358961282065236,,
ADA,-0.0029844392972535436,0.047008726884979424,0.01030888458136466,0.08685935841193544,-0.017087030604325155,-0.007194627918485537,0.09588950464800443,-0.06458357743415406,0.03455180441049069,-0.016369081558377237,-0.05969511516438243
LAMC3,0.013135643474433096,0.028603743074593947,-0.009609067190817213,-0.022717882370993623,0.02218129709760395,0.057905427190146797,-0.047381341072275596,-0.04187345582217371,-0.03491589819880747,-0.016993609921172406,0.07562110630815752
CCL7,,0.005359429527666209,-0.014734679998875911,,,,,,-0.021351674757255412,,
NGF,-0.017415230629610992,-0.027339906877531038,-0.03376091529139417,,,,,0.019462581989466453,-0.024659475013824206,,
TNFSF15,-0.021544813768933184,,-0.016407786842715485,,,-0.031121954898536586,,-0.050809183744981265,-0.020815485302033854,,
HMGB1,0.08693501695237833,0.028307033629874617,-0.0441094617735808,5.8358345346815834e-05,0.0035980427552679962,-0.029262659756762555,-0.07094823676063275,0.05713027272464363,-0.0775191518115661,-0.051786534984046374,0.07349460527581189
