,UKF243,UKF248,UKF259,UKF269,UKF275,UKF304,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.022758196301672348,,,,,,,0.06384729978508695,
BMP1,0.13949556922279757,0.045274440188099487,0.007736383093786253,0.1712280253001067,-0.01979954383953947,0.02347446041523126,0.05415628308364645,0.03587003341430609,0.06961006920099228,0.039740302698757585,0.045893960388804125,0.027669886130277904
NDP,0.047898525255225026,0.013629159254316285,-0.047039124741436844,0.06722428581269045,0.011099888469411576,-0.029299988487388903,-0.017316823065813447,-0.004497843474616834,0.07032976518559647,-0.07488781194251838,0.07617027623630372,0.056485139506124285
TNFSF18,0.0603357115876655,-0.018730511405067294,,0.01430112798731806,-0.02292645013953,,-0.04155873372552861,,,,0.012334505899363763,-0.025203407087379632
RTN4,-0.08349725279889038,-0.010549310628118064,0.007802301771044936,-0.14788769640656269,-0.02057917764765097,-0.07898658715927985,-0.0037572824907174986,0.002765624861141074,-0.013968592692926588,-0.01827559528573467,0.08564172766222726,-0.07440728451225077
HEBP1,-0.02656588289404227,0.0575035610991935,-0.03136140769614001,0.08738509070803441,0.033144232146809754,0.0019706613294929788,0.0002519181081244164,0.07214149800313063,0.04511424941662274,0.05347536402274868,0.06694258853682229,0.027200614261777643
WNT7B,-0.059981324451140315,0.013708443549067055,0.02304184922738647,-0.037555421879827064,0.002912758600004148,,,-0.023810416865762716,0.012998588016269024,0.007379980349431455,0.03967319570502942,-0.044212661035871494
PTMA,-0.058148479025815866,0.08916146355048217,-0.01707820437085942,-0.14670757612131133,0.09855941792882075,0.04664481157796068,0.07764538747230809,-0.02034171203399665,-0.10196949623037314,-0.03908925787507519,-0.05924986857998431,-0.030760927730008485
FASLG,,,,,,,,,,,0.030062749360653153,
CEACAM1,,-0.023918189896056655,0.0696870255561073,-0.01670692829664631,0.025975571089352625,,-0.029222842923449142,0.0023495333290096693,0.12892021184417046,-0.020508214370599347,-0.014959885934560989,
PDAP1,-0.03693577737782335,0.02209989219831872,0.004495278980994283,0.13975633305588858,0.014979431028269078,-0.015539172040439652,-0.030933992175483697,-0.005085896624227897,0.009751828453023088,-0.05375264693944873,0.02799797967700988,0.008808299092934372
QDPR,0.008374997981428734,-0.06527993337932751,-0.008095448342975455,-0.13292389806781288,-0.0460033622636143,-0.018671157173507244,0.03922060394769244,0.03239277156518128,0.020962538030292816,-0.022118887299827267,0.11179932847806509,-0.018438985234334647
POMC,0.08453130692392155,0.058078684320841165,-0.01950203777480267,0.017614528389729357,0.016441768924239184,0.06352502598808371,-0.06038085942121232,0.03168717961791033,0.08802571498445937,0.0323658106765239,0.042899050727852356,0.102242536627378
CCL18,-0.043656225171273814,-0.02984764110337475,,,,0.05752006572620091,,-0.026428357570905635,0.004961582039669206,-0.023621049885417116,,
CCL17,,,0.05422941494721931,,0.04922942003465612,,,-0.020318316489858084,0.16205087653296774,,0.015465279670575358,
VEGFD,0.022379712164963032,0.016134703862988622,0.08144192212329925,-0.006719740419118287,-0.0033167327841692506,-0.021584123996621456,0.05418627239748301,,-0.010618799798419386,,,
TNFSF13,,-0.0074477735156607645,-0.0195161052887561,,,,,0.039456767680830035,0.14556411257307741,-0.03658872585188867,-0.03092618399034739,0.017597449817316802
WNT5A,-0.023769187165195205,0.033810187510090954,0.04748757206948448,0.07638922627226964,0.01852228107361148,-0.07054730716907734,-0.039541371079125844,0.02216956398655691,0.015078771402552558,0.06761743224406791,0.02208068629465494,-0.01812767474807482
CXCL8,-0.11394992309323392,-0.00097947515963673,0.01394261067253438,0.1096461402941864,-0.0433238577248762,-0.005870023293708422,-0.01979701719044278,-0.054248424624771224,-0.07556242404472152,-0.0635013118541883,-0.023681201829787148,0.023861324255890597
GRN,0.06347040289373931,0.11944396477950843,0.025678206481696893,0.12395315320857436,0.07032143851819055,0.037648026739920876,0.017044544564411335,0.07357969048736063,0.06477193780392616,0.09661747411035285,-0.09472551788944009,0.021230644232829585
MIA,0.018954763984520825,0.04666364635606145,0.03335846220314686,0.05828550413244586,-0.056201387898585,,0.06033249570149785,0.09269898592341383,-0.0009248476218104621,0.1636242916967031,0.19331876299716777,0.07473721560725155
COL4A4,-0.0372285913407479,-0.02652991469279787,0.0076278939579543965,-0.022426513224374004,-0.029852756485811094,,-0.031107661217147593,-0.02961196573928279,0.01820870015617109,-0.03560820356308679,0.00959661070563606,0.07591225475347475
TAC1,0.003901741722899776,0.004379543796914784,0.06261455887720743,-0.10337590239465248,-0.041744632179835026,-0.06613814518927277,,,,-0.049509738383793626,0.004153727254240815,-0.07178020999539927
RARRES2,-0.018362768003463103,0.027963435971335476,0.03363364494319195,0.14624908838965103,0.1398218482966587,-0.0009660223059038962,0.006485007360895502,-0.000644445118546183,0.022755192513878014,-0.039178173271214936,0.007066431438778277,-0.0064400958969596965
FGF7,0.059128191451724134,,0.016330518071963767,-0.03802275346769576,-0.02902203615858014,-0.02619916378201426,0.04206937705660742,0.018571035628901437,-0.004347619040161053,-0.04154500133042664,0.04911794063901204,0.02489594473245794
EFNA2,,,,,,,,,-0.03437511210571223,,,
HBEGF,0.0774539214108865,0.047535202111987925,0.03724274156505738,0.08118548925501202,0.008843724758705259,-0.028451659605265762,-0.0109706742420666,-0.02121162209895792,-0.006760479341926005,0.061283671476573404,-0.0047031483325652825,0.005275815349562172
CSF3,-0.0012638033531352224,,0.0364362407539877,0.06178602307118702,,,,-0.010813559259224136,0.012213122965184446,-0.038178733619396686,-0.020834189283693832,0.018208245440167158
PI3,-0.058659170644992556,0.024792489039554735,0.030039182440547475,0.18356145918976277,,,,-0.03773349343384606,-0.02727749761931506,0.05759607013529063,-0.07360791617316868,0.0383433077395961
