,MGH258,UKF243,UKF248,ZH1007inf
BMP1,0.0327720429650065,0.016826973061880413,0.059867296805666964,0.05476491397243618
NDP,-0.04839364254569142,-0.014131037505998924,0.028975297199548722,-0.040177955819035216
TNFSF18,-0.04227870153645055,0.0722009732151098,0.056438395122890186,-0.026346370735510327
RTN4,-0.08517629007514133,0.05593525362189018,0.06653350449632735,-0.08744839873079861
HEBP1,0.01918311639683312,-0.033496497770557805,0.017341484646690167,-0.04284245155373396
WNT7B,-0.0372462118478574,0.14037889403686224,-0.015406491285749373,-0.029004782631482814
PTMA,-0.041235506108143374,0.10384780348514464,0.018987877607532882,-0.03605019307814354
FASLG,-0.03724622237726607,,,
CEACAM1,0.02181658210144768,,0.008754665538629247,
PDAP1,0.05751051282581328,-0.009402792515370538,0.06343694164204577,0.010617667425934925
QDPR,-0.08003032691039977,0.06684928292132078,0.02870513132414137,-0.018294851063369432
POMC,-0.07200517564783916,0.06458335111794429,0.09874276416339467,-0.059067688626937856
CCL18,,-0.03165772829292358,-0.038899921977584496,
VEGFD,,0.09469815553425191,0.008354077377848537,
TNFSF13,,,-0.012250321558983056,
WNT5A,0.04897364292128035,0.05978181786316698,0.03525266894860409,0.03739649925114832
CXCL8,,-0.06230528083475993,-0.0696855646105254,
GRN,-0.05328550357227482,0.026761664072690712,0.060403887385721444,-0.01623666105572412
MIA,-0.0487520925249562,0.11430279914213301,0.02279526086022072,-0.05032029598480494
COL4A4,-0.008840991981107878,0.048826306739498004,-0.038982159333723156,
TAC1,0.028587221223619744,0.1528868907611458,0.05686497777158991,
RARRES2,0.16974016207658915,-0.006000284041184113,-0.007985588613374119,0.1184886908560263
FGF7,-0.03437732523183158,-0.051596370881791774,,0.011336200737056368
HBEGF,0.040752544559818846,-0.05056481462124114,0.03354190642308952,-0.10664470967506846
CSF3,,-0.035907051820134,,
PI3,,-0.0425372573758243,-0.027548926267473683,
PCSK1N,0.06655860913199275,0.09782361150052468,0.0013887461660464517,0.01993290501294736
SFRP1,-0.0351125142113579,0.08374304958294272,0.06575675991979527,0.04971096829438283
MICA,0.08345628291134045,0.01736451231319301,0.07279218820045454,-0.0087044478778115
TG,0.023519010427042485,0.05417983904548978,-0.025318452290756795,-0.03376410431992449
ADA,-0.05445118448874186,0.053953089289346966,-0.015820796561510468,-0.022531986028327664
LAMC3,0.06185483724732438,0.00850317224550069,0.011604411854877674,-0.010598010326608653
CCL7,,,0.04378235465970609,
NGF,,-0.02068707326533287,0.024135896259247454,
TNFSF15,,-0.02559249144642703,,-0.031121957045581333
HMGB1,-0.02920095810781535,0.040672964816136546,0.10009925524987777,-0.07379808072220467
ITGB3BP,-0.0023830499515801636,-0.04534692071395072,-0.04345167112842567,0.03731966503919942
AANAT,,-0.004232392760675247,0.05230964981723287,
RELN,-0.007851156086035862,0.04565119506904711,-0.020752014937572717,
IL15,0.0749298109172047,-0.03637928482849704,0.057754951089089936,-0.053124810177796765
UTS2,,,,0.10489478507835695
BSG,0.09928298260446879,0.04470261787319668,0.05224173235922626,0.018803657032577636
ADAMTS3,0.04622609135905863,0.02195923976232169,0.05587652713030054,-0.03325275935338509
CD34,0.03705182689826269,0.13215742107288203,0.047625046380783985,0.006966060917780914
CCL23,,,,-0.02936697475718825
PLAT,0.022781213931985685,0.01549125124823877,0.09343235956863913,0.005661953257412616
CKLF,0.04564301239982688,0.05489968709288909,0.07841944318643779,0.002156122798650833
CD24,-0.03167520010538945,0.001534154977551355,0.03889090959662981,-0.01884919676711648
HSP90AA1,-0.06102846495418526,0.07232545573871328,-0.07735683265203407,-0.11927296681376603
BMP4,0.08805207138487188,0.11566189482981379,0.01807510013517973,-0.0516552243648506
SCGB3A1,,,0.0115805320614159,0.05151874078751418
IGFBP4,0.017053332186605114,0.05372080341050255,0.03760316303957957,-0.024028252354264566
RSPO4,,-0.025271380910448782,,
LEFTY2,-0.009108337249783176,0.001389192777541771,0.08254315624423371,-0.060939599050102315
PF4,,,0.02638335573490973,
ANGPTL2,-0.05454554014407665,0.023241512020358724,0.09459779762615006,-0.0939816860911165
