,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk
IGFL3,,,,,-0.022640973110067728,,,,,,
BMP1,0.033446973844388085,0.011648267598483352,0.0018331666070179509,-0.03692648406090223,0.14275947741194503,0.019154265985921327,-0.03872929340457049,-0.028655692456815134,0.013198704056518684,0.06623030129098993,-0.012127324803006477
NDP,0.04182658622370774,0.03970291452934826,-0.03866780869158503,-0.015151808516545667,0.011011927866633653,-0.024415594382400745,0.04633090703667666,0.012213394015711695,-0.06750048682759377,0.04608150140423466,0.052480989672394576
TNFSF18,0.014307019579353122,,,,0.03876570877889682,-0.01262208865651755,,,0.04457599025768083,,
IL36G,,,,,,,,-0.014714572857431388,,,
RTN4,0.0048197410816324055,0.028732470804171167,0.01278838436825657,0.004669301658272189,-0.16062619897727534,0.021944013565088637,-0.025144406852158935,-0.001823481965725054,-0.02691925833081296,-0.013310086549648648,-0.0021580096057953187
HEBP1,0.062034424926550286,-0.03067656585794394,0.014012940521938333,0.0036113989712867676,0.044633881021698754,0.035281667517670624,0.006039343533983489,-0.027889986624073285,0.05388822516506536,0.004659623569259932,0.0014788324757513951
WNT7B,0.019488209709360996,-0.0352871076782529,0.04571278687714492,0.00905729108091304,0.02036318886646473,0.00665240348523247,,-0.01617301129828601,,0.015009973745131995,-0.028742171123252096
PTMA,0.03045851157953491,0.024264291760095775,0.017659203092572448,0.010355524697756767,-0.06937554320841291,-0.03353653633934334,0.020395596006911577,-0.020020696975881883,0.010255571745944565,-0.046274048791852714,-0.055601696887113375
CEACAM1,-0.022149908098817932,,-0.006838374414853987,-0.01620797247592196,-0.007753566260358374,0.008107943136801484,,,-0.031932033508052085,0.0237334673000695,0.013663341515521434
PDAP1,0.03921378654522168,0.022462230670500988,0.014550528947577765,0.01195276864747794,0.1189604215071937,0.015185817882770018,0.03387727742184917,0.005302994062200286,0.04472071780687481,-0.028540815338134507,-0.022812061935792143
QDPR,0.009629910716095733,-0.0024149692527287345,-0.022274423558756654,0.01289087894645486,-0.1381913709748804,0.0244195032941938,0.008829525246707205,0.010421884797392105,0.01911269964566154,-0.023503894801142722,0.07446429010913165
POMC,0.018947508293245027,,-0.02594904873500848,0.03716482228403667,0.019011466327124384,-0.01464567354576368,-0.016749956889591446,0.010555997590937507,-0.056823792157279576,0.04205396812375772,0.09356435923598815
CCL18,-0.027640992494806196,,,,,,-0.0019225136889878093,,,-0.01937286183449665,0.04832324108249187
CCL17,,,-0.025028906272036654,,,-0.01574220199985583,,-0.013442180051845356,,,0.00813009543399479
VEGFD,-0.027641001272115936,,-0.02788496552217216,-0.015506870399406876,0.06952824791245639,-3.353937503922734e-05,-0.022955809792469934,-0.014406400710732207,0.11999281638280014,,-0.022566771731488917
TNFSF13,-0.004469473349960307,,-0.017264379382987773,,,,,,,,-0.024183650116919263
WNT5A,0.008582441382424111,0.027762314874418586,-0.010684476792012157,0.07341675265316164,0.10411570162959573,-0.015801947926879594,0.03285320218303674,0.006917876582291982,-0.007635229915716983,0.008271143344986553,-0.03865330219189037
CXCL8,-0.06476302502671226,-0.05233441572604718,0.012418956187940552,-0.039568622417153095,0.022492932306457474,-0.04516413971703904,-0.031124774257463475,0.04191884355722288,0.02444327789614579,-0.03410897338563537,-0.020612635710940918
GRN,0.027246409823695056,0.019398609294495304,0.004463429160723593,-0.004775080280553108,0.14249201282786714,-0.037236855715514175,0.04870328171877905,0.00654863882066624,-0.024439533082741192,0.0768945068903929,0.008410770506296357
MIA,-0.013697077594893057,-0.022933360587479155,-0.041492493241226946,-0.0470532028727019,0.1415906320735283,0.08396855098037874,,-0.019730225983544337,-0.06313392410825062,0.04395802616840002,0.1326277732115673
COL4A4,-0.022949255395170003,-0.03578395879540053,0.007639585199842937,0.04239867868259919,-0.005194175268794382,-0.01643534593066581,,-0.01913905117763337,-0.03399158948857832,0.12194630753988267,0.06730287269959365
