,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.06301377817024155,,,,,,,,,-0.031671736085691786,,,-0.019429623300209906,,
BMP1,-0.061228605196725884,0.01926982701986214,0.020495026948763803,-0.08771598950961908,0.02191368554250451,-0.07756864730317183,-0.07839902501232295,-0.3748659487368435,-0.0878602475162587,-0.015062466404994472,-0.11783768066936902,-0.15241436399470967,0.004490043118268927,0.037154388265474854,-0.07766445279125232,-0.09498938161822248,0.03984783282072709,-0.04098100977321157,-0.04416192877549422,0.021085938228782967,-0.08434962634816887,-0.007560858610590882
NDP,-0.08820662930164377,0.06045148400211427,-0.00462317159663609,0.05840292921508503,-0.006909298246223884,0.20781332527624088,0.030572420161629487,-0.12005064567098625,0.06020461800834707,0.008774462870872237,-0.06317445125568284,-0.021108152920886136,0.05489250051583975,-0.010255836200413104,0.017658995126986123,0.051771203704225555,0.008006012775737861,-0.09430109848454939,-0.12483176048072454,0.11280739879238376,-0.0029463330902298663,-0.1365939868996019
TNFSF18,-0.060044332193677746,-0.012229207621348263,-0.018912450289684492,,,,-0.026517690541883986,-0.0343294275213226,-0.04830873813809097,,,,0.017117050735192773,,,,0.03475539230163569,,-0.03332271469331331,0.04393974874396255,-0.10241106083887917,
IL36G,,,,,,,,,,,,0.008648882508350253,,,,,,,,,,
RTN4,0.3079008137839305,0.09273009482659783,0.003554452435090552,0.03123288421883151,0.048350144050304474,0.23036663860577614,0.3576916350705991,0.5155957610176221,0.1454874368508394,0.15009083167191153,0.4409010840354262,0.27404946659394525,0.04509972758043737,0.02654172242025227,0.08930226582743375,0.061144466065171356,-0.06166587432369573,0.1958291721413022,0.07357122331757801,0.03291452979002403,0.29071163503682473,0.03442463648606784
HEBP1,-0.10479868932728535,0.018599733677705087,0.029138580812540366,0.08657784055885269,-0.027405930904522164,-0.02977923635468828,-0.0881594887964422,-0.14795420875255966,-0.00044805220594890485,-0.06145532273303188,-0.15851453315677844,0.0176061229097649,0.03115943052119169,-0.05531090586649925,0.1055065388751955,0.0750590969016368,0.02228424669612156,0.05825683925974375,-0.08131696850878986,0.06907979124079068,0.004175520072152309,0.0016176225419828765
WNT7B,0.4191224902736721,0.027037437588542882,-0.0339223133948379,0.022859053495253575,0.016921085481799235,0.038046012555555356,0.16209577701047967,0.431214911645813,0.058238405763461086,0.09013588897433979,,0.059210566574604995,0.02110363600458873,0.003343881182449482,-0.03197212781860729,0.05649882252321257,-0.028278766175447386,0.037854847074132704,0.19465851917750449,0.04407238648238839,-0.02944712261093624,0.09540893743178773
PTMA,0.01589827394902765,0.0025475109524499555,-0.055814815814375675,0.1163483684697343,-0.04869409939971407,-0.20144953791987016,-0.3108005398764727,0.06397949828785288,0.12130666662067402,-0.14252364605221268,-0.5128694171302229,-0.2708877358496461,-0.018631022767998485,-0.006394326449234508,-0.015969729560434465,0.011020586232722042,-0.014117252167060093,-0.004582253876540578,-0.08662020998382623,-0.06884221387825158,-0.10825260331769991,-0.22297073071683207
FASLG,,,,,,,,,,,,,,,,,,,,0.05642979948327642,,
CEACAM1,,-0.015276474770415677,-0.026033335240773822,,-0.027350417313933676,0.02251819922729547,,-0.11123822427415067,0.01093868453235766,,,,,-0.0431573354199041,0.060344119898857886,0.03268595462696309,-0.000680465675360742,0.012082376587797943,,0.07220538200855393,,
