,UKF243,UKF251,UKF259,UKF275,UKF296,UKF334,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,-0.027293822254750574
BMP1,-0.004893464129286397,0.0037105644679581978,-0.0675963813107596,0.04698745293932577,-0.042468961748158555,0.061905005853958014,-0.008512141863326167,0.03545565945228485,-0.001519208362083352
NDP,-0.037898671266520856,0.03047723687200486,-0.04215097506262143,0.0022777856053470165,0.01849363323477288,0.04775311769183955,0.01605657654429823,-0.024274168368696485,0.0004267730064484385
TNFSF18,-0.038522834918794754,0.010593960403113677,,-0.010492886466379098,,,,,-0.04603979850922828
IL36G,,,,,,0.028545865065737197,,,
RTN4,0.0666360821962783,0.0228340957576994,0.011365059340952275,-0.03775999600549461,0.008187527425079427,-0.09336614515993515,-0.03749095064579545,-0.12566595902568437,0.06505747177981368
HEBP1,0.04726650661732437,-0.02787680733965117,-0.020767884208656034,-0.023209734445636704,-0.00677861498299117,0.010929433093267035,0.03554996291133177,0.02096139058371381,0.024700151627591815
WNT7B,0.10589115049948333,0.07510946258507896,-0.0126399436715567,-0.030076882297587124,-0.013194807771521546,-0.016577860248930827,0.007617435947937688,-0.03502525605599487,0.07895870984677289
PTMA,0.03849368798044043,0.05538968266285621,0.030308932260352955,-0.04007133618104118,0.05600385989535849,0.09753516492864066,-0.030768694646494996,-0.016864811683504892,-0.08569665588126862
FASLG,,,,,,,,,0.047190547239399847
CEACAM1,,-0.025506577142543087,0.09074009577974693,-0.016502810648907254,,,-0.01583991615213656,0.12798563727680176,-0.032936003706366734
PDAP1,0.022389125710627882,-0.05044370014848242,0.03478705744277302,0.009481260413139136,-0.006490039299592325,0.04253690381465101,0.008112469636832539,-0.0703872654528363,0.04159462795765145
QDPR,-0.02634836255475157,0.015521510910371997,-0.012964587469809023,0.04167088186536723,0.03964978604187498,-0.11115379690532948,0.05894246165608996,0.03173405652321172,-0.01733447087596771
POMC,-0.006714936609705627,-0.024088815216183432,0.013272267920098198,-0.012175115697670063,-0.019130217656703113,-0.00939215099695785,0.03362280995232296,0.05571833686237866,0.04977924877598224
CCL18,0.0784841515392922,,,,,,-0.015095252153707368,-0.002831025948066201,
CCL17,,,-0.007153287600178461,-0.013086672325819879,0.052740743968948095,-0.01377866979936349,0.04738437811945957,,0.07414618994161613
VEGFD,0.05020818042366621,-0.036533054388289084,-0.015197551233464076,-0.013942742477186857,-0.011979333057237291,-0.01476702719535766,-0.01583991615213656,,
TNFSF13,,,0.016662893119608127,,,,0.02557385927038225,0.014665704131680458,-0.02292534886976434
WNT5A,-0.024479596005838187,-0.049295392730781484,0.03605456805974157,0.0469999095101703,0.033263681480431226,0.03491090096665905,0.00014278222798555704,0.034685420456450886,0.039856690846362335
CXCL8,0.08264772969501796,0.0738107927618823,0.10587538733668803,0.03506427015884125,0.08980975368367464,0.052313496948095665,-0.039527211724179126,0.01630498461502431,-0.03313656663427781
GRN,-0.05879262595235225,0.029924975997341046,-0.017865417708854282,0.006742956760532473,-0.038834852341262424,-0.04553999837270765,-0.032390418662085266,0.13964726673362346,-0.05934896480408752
MIA,0.023663991753639167,0.07006613909686825,0.04343803204974893,0.03282415863272037,-0.013623968528556265,0.04867872479830196,0.12707882014599173,0.25126930931386743,-0.006357059556348311
COL4A4,-0.03787531691759299,0.05616767358823088,0.028099289073172325,-0.013662890792412036,-0.022887183649699574,0.06643267106266473,-0.00926151639130316,-0.020286309077089615,-0.037092672830168046
TAC1,0.07206481382719064,0.05080340771239127,0.00791589544767461,-0.02954112830175111,-0.06607730360521188,-0.034767462503046694,,-0.07116083733859152,0.17052486372722414
RARRES2,-0.01691923062350481,-0.04523660147534158,-0.022506081020591887,-0.00017703869664247455,0.020867549301459485,0.08231769516871938,-0.001431182436844419,0.06345330923491951,0.04760118912366331
FGF7,0.04628075724868533,-0.008867192033798202,0.03119787584450858,0.009481617797036657,0.1241043576974611,0.029037713412567716,-0.002161511571047869,0.003643088172138916,0.012717838171255165
EFNA2,,,,,,,-0.015054780246674667,,
HBEGF,0.022899549804301818,-0.0337971689248448,0.07704073343228465,0.013474236203160557,-0.03076407590067218,0.05933260268815773,0.03739116941213858,0.09106572049685922,0.11189583060184206
CSF3,0.08705774254402433,,0.030377216416878978,,,,-0.020727413435940756,-0.04407609536811635,-0.0225897939383098
PI3,-0.06941660719575228,,0.08382718835583841,,,,-0.062380902551222875,0.08899174879381022,-0.049080117504630434
PCSK1N,-0.06296903009649497,0.04441988287477954,-0.12379599542730306,-0.005035322452832584,-0.030447332871130692,-0.06508790595681649,-0.011299635134379817,0.016735389791057684,0.010314922141543588
NTS,,,,-0.015608264521022734,0.03343492126504878,,0.0695769054380685,-0.04342322334399067,0.019419026300193792
SFRP1,0.018143970411483946,-0.027512944485380515,-0.033954812246319376,0.028040622308669737,-0.016331473312096122,0.004032977022792119,0.007496771738488669,-0.06283131596208064,-0.03267505532111762
CXCL13,,0.021422346482511904,,,,,-0.03868002212070334,0.09769867774968014,
MICA,0.01777814839206587,-0.005818988010581946,0.07107183836389902,0.03701903962148144,0.035793739572943024,0.003714479309346044,0.06772264546924975,-0.03495715985890793,0.03939516808435374
TG,-0.03394899576047006,-0.015675988063644244,-0.036642622018771887,-0.013184327122866532,-0.011819016195535697,0.011240148356415207,-0.022589430352077486,-0.03376252385312782,0.04332745553667633
ADA,0.16867499818907195,0.014559199174170884,0.017954671768024042,0.07452666895959104,0.01112960098771703,0.034778089221514055,0.04738122683508733,-0.03326061468777697,0.0219794364343674
LAMC3,-0.05501752161880995,0.020271753184557147,-0.09112387500774871,-0.0075374515790297796,-0.022798111187593267,0.0004853036666856912,0.025862368795317805,0.06839284395009902,-0.04643027995204753
CCL7,,,0.028620972059621923,,,,,,-0.02367191431266999
NGF,-0.03375926252606767,,0.06304277868801991,,,,-0.014852418672215633,0.12907343271964372,-0.05741360669756119
TNFSF15,0.0562369215738065,,-0.01976686809238339,,,,,0.01036572643206469,0.034806315319083264
