,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.006787525788703496,,,,,,,,,,0.13468941582538058,,-0.031086188970209018,,
BMP1,0.06320230809975273,0.03126046369324588,0.02201597634679029,0.033447674446066666,-0.011961782681402189,0.041055684747998505,0.07168840319818302,0.1674345731394111,0.025313332696486904,0.020551212282234495,0.07503417383331797,0.00713278232595308,0.06253784063569436,0.047545057445080106,0.06716335952356982,-0.024270009646100335,-0.03546529990383179,0.05480564213905757,-0.034612864108537165,0.002384623196411352,0.011062160730547188,-0.04697977058526088
NDP,0.0604510078292502,0.0614883814184674,0.03878844237861637,0.01190689991636941,0.038989482715852876,0.009296737175038133,-0.01041811566489042,0.007466408384907816,0.013330423360599853,0.033631556229062526,0.020952140972235432,-0.01642209057372735,0.004567906219630783,0.04769466566133629,0.1362735817961198,0.09277313495535221,0.1000294720118285,-0.04307091412926115,-0.01859018681782607,0.17199748640764245,-0.07110736585189324,0.08257596103627961
TNFSF18,-0.006361278283982941,-0.033666216711289276,0.09777006148712115,0.026210611514611005,,,-0.017643351208127152,-0.015238478351198185,-0.027108819374176207,,,-0.02488529262448077,,0.08834885394850427,,,,-0.03165645758363244,,0.06467605962513391,-0.03593494472669329,
IL36G,,,,,,,,,,,0.07162229680066343,,,,,,,,,,,
RTN4,0.010999273990994601,-0.048445897764365226,0.0575754706645056,-0.008885593307173527,-0.024581803672605547,0.09439203125608293,-0.06618704187920975,-0.19938240297905,-0.03397273842090992,0.04563862220558731,-0.09599495257431598,-0.04519839488932466,0.004178386448836781,-0.031074356906735455,0.0619500293707975,-0.0596136285879703,-0.11724186706680703,-0.007778736993963409,0.04936713624678988,-0.0978209534342491,0.0006612565879132662,0.1134773087891246
HEBP1,0.016035797975475954,0.004258252875152134,-0.007923440867396783,0.07623244011972446,0.01373422561368733,0.08652423244515296,0.07176063648829979,0.06440866007364894,0.019016950708050442,0.05661148165481187,0.06025084753498959,0.030332889056408158,0.06361432441766234,-0.062174805815075826,-0.04229998217963127,0.08908225075795066,0.08271555578082146,0.013387475054366193,-0.020482259212442632,0.08747391887396615,-0.06297934429297965,0.03455773320304711
WNT7B,0.004378680183409649,0.04883559313903456,0.03820365881786803,0.0668237466321443,0.0562238800284277,0.04911345485953413,0.054359722387757485,-0.07911173933490441,0.022350759883337318,-0.01490162770778509,-0.03974367631464781,-0.027396278240367146,0.026166204744918868,,-0.0462675874234225,0.013016646397389699,-0.024980591524622467,-0.04950757499899749,0.013984180331741274,0.005103269447265712,0.06722967668938361,-0.05185489162259378
PTMA,0.013008592486952892,-0.008689048815704816,0.029614076340181206,0.04289835783791386,0.023611378171891094,-0.025738810685013137,0.10732036041123642,-0.08524845372019482,-0.02838797147960013,-0.04699185403203266,0.0706558320784771,-0.07515580093640734,-0.03174397588833913,-0.023483010005581596,-0.04408350250223113,-0.03779798120075613,-0.09253173632097518,-0.027680087874927657,-0.0181168951086247,-0.136402266899706,0.06068978470219125,0.04661965064371716
FASLG,-0.041710078316154975,,,,,,,,,,,,,,,,,,,-0.03619637102842531,,
CEACAM1,-0.0086364362707439,,-0.0001296254165212109,-0.012055895765191327,0.04446186309171024,0.01551151191743641,,0.05291173489449568,-0.008955491900619358,,,,0.1171728632573942,-0.011186940812397734,-0.02388446868921899,0.030804306211729006,-0.029885666227755566,0.0449437815044643,-0.03888160878463486,0.01132806411873862,,
PDAP1,0.07823644408376088,0.06780385124020234,-0.02593654869164149,-0.03598852471390519,-0.006528543616135094,0.0008120518684776878,0.030355544142828834,0.10962498635350873,0.055067150050636844,-0.007264284986446792,0.02462590418197732,0.008364210634388138,0.053628373262611335,0.025109104062022287,-0.06720340840513706,-0.08489726398206429,-0.06113586876315256,0.03600308882260078,-0.011268560402441489,0.02389504737494147,0.02693778531470723,0.02152357693311846
QDPR,-0.058238197256449686,0.02485280732102301,-0.007987491386934957,-0.03213521744736404,0.008547810232951926,0.059039941397037665,-0.04463178951834351,-0.1652945435919206,0.025506785201334113,0.037384554551725575,0.015201884915162995,0.05363951564274528,0.04520232264670273,0.047201407686473774,0.07600793328318131,0.09233510139114295,0.11595821711278238,-0.01411291915571177,0.06461324225450532,0.06940383530279134,-0.04304824659861262,0.060230548089368265
POMC,0.0025553323405578736,0.043460857685377684,-0.005140267043523409,-0.021421403345818518,0.01132006940236009,0.009728524878393433,0.0017150030512824018,-0.01976747143468455,0.015113541586528676,-0.040079465867006094,0.028680135756117345,0.025174168746900347,0.034891611452317214,-0.009257182032825204,-0.06809265158550004,0.10274493261149362,0.079344408761432,0.08707704042957058,-0.017866380045349173,0.04023554274234926,0.027641245785163353,-0.014578140058864214
CCL18,,-0.045149164788469455,-0.0329431666074329,,,,,,,,,,-0.00305405938215056,,-0.02941958327994219,0.006501207760399739,0.018180200711691775,,-0.02692858186453365,,,
CCL17,,,,,0.005573082026309559,,,,-0.025396103867981648,-0.003276010665196665,-0.033032911626072727,,,,,-0.04370528723336032,-0.0070868251870380445,-0.027236660302173372,,0.04856433692118076,,
