,MGH258,UKF248,UKF259,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.12637664438228793,
BMP1,0.07478415842087759,0.11173726378422753,0.02786815262480197,0.05863792276739625,0.01822897525423652,0.07745395007004545,0.05174543330161881,0.009110886967545053,0.05904299349748865,0.025308557156333015
NDP,0.011897468239563011,0.08885377100057143,0.05831710617148449,0.056451689019684316,0.01507858879410594,0.06541064190259059,0.023558731788815835,0.006175301002072116,0.03936758339952223,-0.012852456906535905
TNFSF18,0.024927553060400922,-0.0010347612165485306,,,,,,,-0.0020670527425260612,0.0477390229495221
IL36G,,,,,-0.013752911436744552,,,,,
RTN4,-0.03349517164380059,0.05798280741807877,-0.025011315645038317,-0.03732753900809101,-0.0182740595763269,-0.005487591588043777,-0.033015733462505074,-0.05007799978060092,-0.022641614874605896,-0.08002918727543457
HEBP1,0.006422853700947362,0.06829452316602162,-0.005343358137419533,0.0006571192733042575,0.02500477328615424,-0.04721286985281389,-0.050024663534722257,0.03535424060648334,0.004961625999724162,0.04661814493426521
WNT7B,-0.01817843977419002,-0.04353018461766954,-0.028867302110798618,0.04122179912290793,-0.015116034573743229,0.036733581127949395,0.0285482157086069,-0.02233890984864436,0.019722386973032892,0.043514526132312284
PTMA,0.03001022775066081,0.047322866843537335,0.03483222174372086,0.16362998184477984,-0.009546072237036131,-0.04018869195666024,-0.03778122789066264,0.018398216523665918,0.04573548812822127,0.009213894174970563
FASLG,-0.018178444913188374,,,,,,,,-0.021834922920206435,
CEACAM1,0.17732489148958033,-0.037044718353421255,-0.03333345780958037,,,-0.02448576386371772,-0.018272034012226886,-0.014826659356958415,0.0654615387569232,
PDAP1,0.07084907059576287,0.022104002102123224,0.019407777043775193,0.09806581427702186,0.02000731182574386,0.013817783215400706,0.032826275167987744,0.06940299170592582,0.010488501793036651,-0.08186870187780348
QDPR,-0.017893394582298206,-0.08264751825586024,-0.034213884027909154,0.0759875837027397,-0.051807341077878814,-0.018905014414303454,0.02438827791123033,-0.058761205967317515,0.016923557876691173,-0.06440300517777885
POMC,-0.00574310576961095,0.06572238822918669,-0.031041468368117095,0.04799606883993298,-0.029465760158764898,-0.008719343070333835,-0.021486262963678157,0.05468105188375683,0.025896877141060416,0.11928297414370807
CCL18,,-0.04622830837089437,,0.1561485852512231,,0.04227754686739351,-0.044619097090575606,0.03186406396076571,,
CCL17,,,-0.0037926143205940376,,0.013625781203473878,-0.017371464317023154,-0.026376828204600862,,0.0015670655050270335,
VEGFD,,0.030363228643154803,0.005810746603152918,0.10574118539723476,-0.013464879681973988,,-0.018272034012226886,,,
TNFSF13,,0.1800989008819481,-0.013326837753698462,,,0.13713331024616096,0.04373069648716807,0.02849008595429266,0.12376020450907536,0.07636337914093635
WNT5A,0.025347945386005447,0.049869217676833964,0.0029848861414626103,0.11430932891648768,-0.03284385851770542,-0.012628574616885779,-0.029826343901858638,0.01403042201528189,0.04621984699113334,0.03841960080453499
CXCL8,,-0.019287366892394554,0.007526227907163107,0.07864686854036176,-0.00603341331920998,-0.021338063478962672,-0.07086069527802613,-0.0036904913317422315,-0.02201326765665187,0.07289669035550152
GRN,-0.03949954920641855,0.14254387415280345,-0.025890207555909376,0.05114634419492214,-0.018673058942953204,0.05166925668931784,0.029111295933345733,-0.018985210909414556,0.07142605048795139,0.08971874610480071
MIA,-0.02379401646134483,0.03160293809988236,0.015369335710290054,-0.02799366276970866,0.03862268795387878,0.03339829174722267,0.02177463865316768,0.043859680767887405,-0.0004417394283111092,0.04663431913809275
COL4A4,-0.02105285424118617,0.06167715296948685,-0.039445702968123685,,0.0008734540741941846,-0.008329188605828472,0.08134756294574703,0.01919887363590103,-0.0015902928184442524,0.14688073928634302
