,UKF248,UKF259,UKF296,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,,,,-0.022198087554691215,
BMP1,-0.019546092227207466,0.039957950174740846,-0.0048384733708441326,-0.062036720529606314,0.03936901508027387,-0.006925937977936608
NDP,0.06673654524400925,0.021950948282468175,-0.021124057438234794,-0.023622252828371944,0.048221887787862384,0.0459668992637061
TNFSF18,-0.00422635467731369,,,,0.0067360799816270096,-0.030906795172420377
RTN4,0.06741295744688267,0.016744019366436144,-0.015801909094758232,-0.11978824031701088,0.031105018728439744,-0.06673368761495585
HEBP1,0.02216776010931144,-0.0054740536408644245,-0.004843455572581934,-0.10089763107295957,0.08003869939559158,-0.009490703412533368
WNT7B,0.034656760201650275,-0.021747769514333472,-0.011083478235781858,0.035933526372805114,0.016215651992385467,-0.015528440851933046
PTMA,0.02690774687824723,-0.04533477807428316,0.03551569763725541,-0.013037796894891528,-0.03594170472764604,-0.07266148818728684
FASLG,,,,,0.023471119209994198,
CEACAM1,-0.0005301179639582696,0.02642221172384155,,-0.019693373406820674,-0.026786878259541323,
PDAP1,0.030421126526140516,0.027952224200307303,-0.05281850723662586,-0.10956197096252357,-0.027088763219811074,0.001725921042098205
QDPR,0.017091304671243156,0.002935575167311486,-0.05366656640673721,-0.17016426130986353,0.025780085918424036,0.0289792632868425
POMC,-0.004550124786195505,-0.023385721910041263,-0.029810158752432737,-0.009447552096080775,-0.004785744160547434,-0.010380050657141924
CCL18,-0.02314581607865435,,,0.019629439696898447,,
CCL17,,-0.014555480129304226,0.09060974020382764,,-0.017450132524806983,
VEGFD,0.006825288041139091,0.001946199035601542,-0.010062494241533094,-0.04361366285579419,,
TNFSF13,-0.01746658110428955,-0.010040044431929547,,,0.017137255785470314,-0.002875326500119491
WNT5A,-0.015939958605165488,0.006203205248897798,-0.008541280091804387,-0.02148101665511262,0.0200214363345487,-0.036789249492417096
CXCL8,-0.039585552756488916,0.017848687138950773,-0.009370632169511103,0.0033961812742212692,-0.028529493533328548,-0.06207489344173253
GRN,0.036386104287839546,0.004761079329451226,0.04775463801577951,-0.04706799746877476,-0.037515621205147676,-0.014373471992643865
MIA,-0.015325427234660995,-0.010316176092907662,-0.011443968058188531,-0.044651168645524944,0.05951638267579285,0.016492633112158477
