,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,ZH8812bulk,ZH916bulk
IGFL3,,,,-0.01486083090256617,,,0.1113428686198432,
BMP1,0.0050076481911234,0.0012209530888949865,0.010810183311285557,-0.09532090155559568,0.0232229692151853,0.024331612203732644,-0.07173265306537041,0.11688590628175825
NDP,-0.02243282195159536,-0.021522419746700418,-0.025885894893565988,-0.06037695344864279,0.10234006229651235,-0.015304170657838283,0.008038335302047976,-0.04192395358786406
TNFSF18,,,,-0.022067887755941637,-0.02337951806826499,,-0.016617880282032964,-0.020431974730324456
RTN4,0.012275536560152917,0.028412531850699457,0.011754484235854139,0.1510925560353852,0.09528238632570042,-0.006051076418047548,-0.027236112141183762,0.1387205917936751
HEBP1,0.03598428792616625,-0.002072430284432876,0.02670453610292855,-0.023799476480918486,0.021749797257641867,0.021176142075989748,-0.0051887353609488054,-0.04070938881513683
WNT7B,-0.03528710018029658,0.045818853777971305,0.0088345987616074,0.1777730020694465,-0.013946511287576789,0.08024007957870948,-0.018936733535408628,0.02819133933709872
PTMA,0.03652758436129465,-0.01057148132370513,-0.0191483088263177,-0.03113212489740592,-0.004662427176392424,-0.012496942015513428,-0.011970370857086767,0.014387668117936417
CEACAM1,,0.014491823541667153,-0.016595312497784814,-0.02904008339391389,-0.0367704121243985,,-0.02387815903509773,
PDAP1,0.03692835026130169,0.003275395458720423,0.051381143058468776,-0.08226843485658744,0.02358125027995189,-0.047362352405461876,-0.001148568930883762,0.01033167876120493
QDPR,0.07393755913455367,0.024306133957855552,0.007035976979859506,0.02184952254161364,0.00532235541737406,0.03836331539934309,0.0002928366603171064,-0.039464330045384646
POMC,,0.013751305516482787,0.038225206278743734,-0.0034032992806324607,0.014788908752982456,-0.03909265605412477,0.03087335535223889,0.054717016168203424
CCL17,,0.036493768287006255,,,0.039934987985744616,-0.0018064052882734237,-0.02124511802389556,
VEGFD,,0.06418948419800219,-0.01587745540184649,-0.024895878087025574,-0.012229967731260704,0.044466034332144425,-0.022407042224003845,
TNFSF13,,-0.021085657742469052,,,,,-0.02278264159588534,0.05037649996840707
WNT5A,-0.03743260367097953,0.05323167769382857,0.03369347893495988,-0.09256531311247011,-0.0033357247215369777,0.003159067266545098,-0.00404558676461562,-0.018040802276824155
CXCL8,-0.06061815853621942,-0.020133440887177077,-0.05361443665290654,-0.04950259962006131,-0.10825027154013571,0.03159997012766609,0.0027099417113755513,-0.02747605762469079
GRN,0.01324528576279578,-0.02455354037255253,-0.002245112437924051,-0.12135150267406865,-0.022780077939608834,-0.09774235124242839,0.01805765695919561,0.1378503989381341
MIA,-0.034838650256496594,0.01845438670497467,-0.020700105058411408,-0.04245133502900531,-0.03511032004077545,0.006261669418367176,0.08475739208875566,0.050268490002032505
COL4A4,0.027877393574877236,-0.03298272528585544,0.03436314785479285,-0.014644245806821509,0.08113370695702357,-0.010765554934645018,-0.03272638696614531,-0.04682040639030119
TAC1,0.1680048069452384,0.21398144187231838,0.01365888195662399,0.187372634806023,0.18585595448468026,0.037460943666451335,,0.21388011702513635
RARRES2,-0.0516944177270123,0.033486597379551765,-0.04247485095991414,-0.11867491167357234,-0.007999695833404461,0.015057776400696644,0.0502295187705917,-0.09206740881737482
FGF7,-0.04255339864170601,0.056735272878874365,-0.030400709486363336,-0.020816216632968232,-0.04458118230271768,0.02266076377678637,0.037957415202509996,0.12659130188841256
HBEGF,-0.008797580318093315,0.007635416242294381,0.008853730093251012,-0.08064131956464636,-0.07207818620429335,0.020901158708114785,-0.04589339485857769,0.12257478243771139
CSF3,-0.02504740559444766,0.011491375876432735,-0.022048248869742756,-0.015493330196886798,,,,-0.02607255572541172
PI3,-0.04908259153003507,-0.00040558337400817284,-0.015410315754984558,-0.017445694291519036,,,-0.01805119276176782,-0.006214315636020214
PCSK1N,0.05223028748325778,-0.00466158648073521,0.01755846434461563,0.05997868053407583,0.014795390964672077,0.023143801166942955,0.00047470135768511987,0.13149352219627367
NTS,,,-0.029778268122427884,-0.01904316652580849,0.02541952980537169,0.02482991230915226,,
SFRP1,,0.016287810786130234,-0.01811342700614483,-0.047520139947912626,-0.03275359775374652,-0.013578318801923636,0.0003052397590077197,0.04502511973367009
CXCL13,-0.01818738014053736,,-0.017950637482119204,,,,,0.09614039034316227
MICA,-0.001726565904959295,-0.029293361853530386,-0.049063077425638736,-0.0678425770887373,-0.019672754743745833,0.03813618693702789,-0.051857631659444285,0.07225477695749033
TG,,-0.01837514524006966,0.06804475549733086,0.04433723053470095,0.00916545989005478,0.01327762189843291,,0.042909273358966875
ADA,0.023962975017721485,-0.008181027719438861,0.03267068682880969,-0.09610869946237037,0.04546060275613973,0.03817467620000277,-0.06789059016280807,0.05726251188016506
LAMC3,0.05192537575391481,0.0023150695260763243,0.04786008704741682,-0.08554625965493413,-0.04610009792162698,0.027684144795189426,0.003912980315573217,0.08904891172305719
CCL7,,-0.02081063231368436,-0.008429577599080256,,,,,-0.0894025048464501
NGF,,0.0005551967297148087,0.03210490721601978,,,,,0.07820900117681488
TNFSF15,,-0.023173656916275702,-0.01762086996559749,,,,,0.055067824131920455
HMGB1,0.002183956125577438,-0.002286975412087267,0.001299691140875573,-0.10681203620901071,0.029641239483518437,0.044976236686936066,-0.039418838300959116,0.11522462035987494
ITGB3BP,0.01583644689200352,0.016038643711418898,0.019987911511317298,-0.1111610735313237,-0.0016334905967619882,0.02060131992100662,-0.019309119424307065,-0.002212661971771822
AANAT,,-0.021085659992901167,-0.015877457668442722,-0.01397540311686297,0.044936590136241614,-0.020900853134613144,0.07446045773626912,0.075345824650952
RELN,-0.028207205757024897,0.00323491363557927,-0.029906760683837637,0.02646610042997621,-0.0006408810120767535,0.037506283977248416,-0.03286417193866289,0.0404514624290211
IL15,,-0.04536483992356575,0.007254223120923801,-0.03645354624695454,-0.016250544272570142,0.04083542779259467,-0.016084885811908412,-0.026012701894670764
UTS2,,,,-0.04609988362138047,,,,
BSG,0.022499948492098035,-0.0350535206085758,-0.04470506469030684,0.13068734267674317,9.941258845678129e-05,0.049420297709073795,-0.014020747897240761,0.11455663318194273
ADAMTS3,,0.05071834472143253,-0.01798540753921183,-0.09388100513291145,0.01964370627360215,0.035996849616585294,0.022290743533179447,0.07691826845000103
CD34,0.09038178122882609,0.04820751984466825,0.008445045835789552,-0.021613271372889976,-0.00886830380980873,0.10331586920109852,0.03939674268457028,0.010927573562571971
CCL23,,,,-0.01590179029776169,,,,
PLAT,0.006611032822414647,0.03716406125939016,-0.035224139682516836,-0.09763183814145683,-0.03043827323665705,0.045051630565832924,-0.054531841472958587,0.1929685571365836
NTF3,,,,,,-0.01689179214972417,,
LTA,,0.028065303780630876,,,-0.02544364049298134,,,
CKLF,0.023848060740748224,0.04486064290243157,0.04382324580234304,-0.10885443741591155,-0.03283838352360739,0.07533353290582935,0.01289580828275545,-0.07710549519666882
CD24,-0.032218421583542524,-0.0489174793422439,-0.015463296686836353,0.034271345617262645,-0.005338783945696546,0.0011451121366509987,0.010163421253030184,0.08877386939420875
HSP90AA1,-0.016699299001373694,0.03874571464670796,-0.012254929855275326,0.11793071137907542,-0.030645932833718838,-0.0004518768986189412,0.056722072559188014,0.0883034310593142
BMP4,0.024217886823315132,-0.015115800013981237,0.016333239041603394,0.026916303752344783,-0.012196186065661146,0.018017877492670153,0.013411289400886704,-0.006940065094077183
SCGB3A1,-0.007428321982575795,,-0.018908092017279627,,,-0.01763007404380027,,0.09455900786490377
IGFBP4,-0.01919647421010702,-0.062085891907643596,0.005790073485503383,-0.07086987418319296,-0.035643009475607466,0.0035780123781338595,-0.05003020757598731,0.193920073246136
RSPO4,,-0.025545854320544317,-0.0218230117959201,,0.01933206363489114,-0.017630071465003123,,0.022764465349335482
LEFTY2,0.0031230003195453523,-0.018795839276128153,-0.01149465729567593,-0.05963935289013222,0.07667298804723109,0.03894650955925983,-0.0418020012945527,0.20102693463668506
PF4,,-0.018156866699786018,,,,,,-0.07187981441150157
ANGPTL2,0.026149363784982515,0.02123063765735426,0.05049016315068242,-0.091530159719379,0.04193874316791682,-0.008403017690277632,-0.014841680362091329,0.16610247100835362
LRIG2,-0.018235306563879516,-0.01756368185441817,-0.013241642945224967,-0.0595441168866412,0.04589620651063504,0.02049558718546193,0.043394229092510866,0.043121197995516336
ICOSLG,0.009238907146927627,0.05342329763036081,-0.041051351467148715,-0.03169827592523947,-0.018416954887177185,0.0017899504727274702,0.011155563319115954,0.10437727094570606
WIF1,0.09525690619186666,,0.02254073641305415,0.1744355022720392,0.1090013064201838,0.019744869610912933,,0.052564400536185996
