,MGH258,UKF259,UKF269,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,,-0.014688241869837446,,,,-0.014974387102758824
BMP1,0.051639316215140146,-0.033669965218934936,0.09352510528144546,0.0030103031240321897,-0.008489158142659794,0.014966568956309904,-0.03358741962122538
NDP,0.021777026104617552,-0.03381561168081223,0.017416587172067368,-0.0272318972624844,0.007358086466635788,0.06918202593100523,0.0803981932834123
TNFSF18,0.0887708360306938,,-0.021811598223604223,-0.010647505764060518,,,0.044833637841182
RTN4,-0.05033114771826422,-0.08899418521276212,-0.11684869474104609,-0.058133301151955724,0.017968036040601362,-0.05304692813895142,-0.07564210469668259
HEBP1,0.027209642866080075,-0.02262943421773951,0.012640316465614098,0.029429852049545093,0.0872562150427556,0.028165907171600345,0.08037218573370809
WNT7B,0.03091877748949881,-0.03114022998722488,-0.015774907301597602,-0.030520084121241697,0.03859337817403789,0.004338082440808361,-0.03196156701721764
PTMA,-0.05562355585405993,0.08145145291941988,-0.04813311885373309,0.023613986978617878,-0.012272225778079996,-0.05036698440593033,-0.0923901356294007
FASLG,-0.02456749228786647,,,,,,-0.01298728082563675
CEACAM1,0.048892264816101455,0.047618432785057514,-0.02870282096651815,-0.016745989968580576,-0.026928997335206303,-0.021930864446447203,0.004671309996711858
PDAP1,0.07982810897226286,0.04118442558218806,0.08557619573383236,-0.020190320082687143,-0.013256161520716446,-0.05550557137155706,0.04406444335146813
QDPR,-0.11635565764754009,-0.020524218560266934,-0.11654329921717069,-0.059693548453799955,0.0006565923886823964,0.037134792827525034,0.05013216996252
POMC,0.018922281220280432,0.01781832566139107,0.05875073167300078,-0.012354523703693538,-0.027610481893921214,0.023149062809355893,0.006302735443427098
CCL18,,,,,-0.0492797347963463,0.019638538915619834,
CCL17,,-0.020841723492714098,,-0.013279512693481205,-0.01910482020922019,-0.018423217413737966,-0.011771511342006546
VEGFD,,0.02570853310477204,-0.02460674516127308,-0.0141481975782673,,-0.021930864446447203,
