,UKF243,UKF251,UKF259,UKF275,UKF313,UKF334,ZH1007inf,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.05414600677939128,
BMP1,-0.02256899090442486,-0.012565749228513706,0.019855877921074964,-0.005423298035251716,0.033359984043966055,-0.003497442733984195,0.06146776223599664,-0.08694059725272343,0.04918365949410637,0.03440623520745213,-0.04038220230052446
NDP,-0.009231428670026728,0.03872985134053812,-0.034995657197325655,0.047441332149667156,-0.00931889961933509,0.08686673960029158,-0.03982515379344937,0.011430738338370194,-0.041280640993909525,0.013912277020359298,-0.010882881909594301
TNFSF18,-0.02642755098760376,-0.038998445427144854,,-0.023899034868736378,,,-0.02412485950322796,,,-0.024004378331326442,0.11223089490317044
IL36G,,,,,,-0.013950290958525548,,,,,
RTN4,-0.042062634672840854,0.019335705167288306,-0.03414140351453174,-0.03909245233826425,-0.0472129021962171,-0.02573814155030999,0.06499146615182459,0.022682323790987044,-0.031153025654018025,-0.0807993873294814,0.03343338528340368
HEBP1,-0.046422308168982664,-0.02668430186806092,0.008887272787433268,0.03181955710743548,0.007310517532603787,0.0020429506263437264,-0.025033571465380187,-0.07202176480427017,-0.04221653563166513,-0.053148368045119916,0.06544652216446938
WNT7B,-0.01197387015617074,0.002187796932338093,-0.028330217456988115,-0.01568801265089387,0.10034573869786796,-0.01533297741447286,0.05945285788363256,-0.032696473272002424,-0.03163838600672278,-0.08808129644120191,0.019739215460864514
PTMA,-0.030163921346018776,0.11101831147628848,-0.012997323911631008,0.009141544903394938,0.061799391742260575,0.04851493871371712,0.018172729643812335,0.09496561453716906,-0.07731223787062103,-0.046987740614880084,0.02098840525835906
FASLG,,,,,,,,,,0.06333146599752425,
CEACAM1,,-0.018590942978345123,-0.03476041334266122,-1.086168033353264e-05,,,,-0.015839919075198577,-0.02099885693187062,-0.035403062709338705,
PDAP1,-0.010043023755851534,-0.016515287778706735,0.027411077782235203,-0.026270387213313814,-0.04042567727224346,0.021703046144866612,-0.015634602062936147,0.023491472072446413,-0.009199959073632344,-0.04979064673113718,0.035509632276962154
QDPR,0.020599550963169476,0.07023720357631016,-0.07674256148749935,0.05939943490615246,0.05718352938266141,-0.05705199516798872,-0.03171403301150968,-0.0639692298384739,-0.03047768388947678,-0.010778697628836462,0.11555987810962094
POMC,0.07088379964208817,0.005364546259885189,-0.02647755585150167,0.015049776516922643,0.003231760748846641,0.06862131537754125,0.043891228496260516,0.007169239256040097,-0.03435137141243809,0.014985744936912807,0.03496444517135578
CCL18,-0.0021757869003007466,,,,0.06306802868509558,,,0.010793400915366428,0.13710818204820446,,
CCL17,,,0.026976400118310147,0.08411901065178011,,-0.012743986839239118,,-0.022865917606201595,,0.07580815825742417,
VEGFD,-0.009303169352524076,0.023202127818424505,0.009876550206263629,0.05756949551745342,-0.03663970315804869,-0.013658125419408603,,-0.015839919075198577,,,
TNFSF13,,,0.039567969756498816,,,,,0.009995336558314147,0.07294769370912432,0.0444461592210535,0.07260575878750597
WNT5A,0.0811913510132268,-0.042733752958503804,-0.04011248168681992,0.019297095798930824,0.065911734645934,0.019067926058205793,0.08053646985869381,-0.01990349762127913,-0.03564501947406276,0.20344396511305315,0.013734530091666159
CXCL8,-0.0245581394196317,-0.02493268982659432,0.06678319306496168,-0.012395815623062212,-0.024751631465722804,0.11803365975190802,,-0.01821144208217736,0.05261286273027442,-0.02666828446216867,0.022177481277953555
GRN,0.017348296811038846,0.026867238017958563,0.04316829296212234,-0.018324314335928953,0.022820701437831412,0.000716224376077342,0.027275192995657286,-0.04245763207096294,0.06674097252437186,0.17194755562772876,0.10353287472783225
