,UKF259,UKF304,ZH8811Bbulk,ZH916bulk
BMP1,0.021162199902152394,-0.06517354736121393,0.05257837076015568,-0.05047205977762893
NDP,0.02487679787913486,-0.05752881872084473,-0.02533064770207305,0.008834989641609977
TNFSF18,,,,0.05715979213539384
RTN4,0.008460566947541968,0.13740408013958416,-0.04624282733604732,-0.00026552642480045363
HEBP1,-0.0019531555122040715,-0.11326806647040516,0.019352493468337253,-0.044167179610631525
WNT7B,-0.014579930951973982,,-0.016425350433816554,-0.010774933519192781
PTMA,-0.013845603880388723,-0.19704037737538074,0.038996463844075215,-0.06234184185682366
CEACAM1,-0.03841569231405992,,-0.01448155814707964,
PDAP1,-0.06509898794774435,-0.0010972050841553834,0.015909717916944014,-0.011576810272334684
QDPR,0.002286450363031139,-0.19127484487204394,0.022643157970177595,0.07546986210182528
POMC,-0.0007046434712586728,-0.007212369448345305,-0.03392512034143524,0.03162694871460211
CCL18,,0.017096604327267624,0.017211696884115665,
CCL17,0.028570130394863877,,-0.020905038329331823,
VEGFD,-0.02480701724445657,0.09616456662979264,-0.01448155814707964,
TNFSF13,-0.015358733606038774,,0.04806973637795244,0.012093496973165111
WNT5A,-0.008723002691199931,0.0854988347806578,0.05077899148829247,-0.03160948890865095
CXCL8,-0.041668669639075506,-0.0602758019627861,0.07601987298334555,-0.03267567128749439
GRN,0.03374931222406971,-0.09984320519964841,0.018906576467067202,-0.00640215583898359
MIA,-0.0013990126607413907,,0.033262117461031825,-0.018205163948411922
COL4A4,0.015492455449101267,,-0.023187238914160208,-0.030403209511890194
TAC1,0.037307590900361925,0.13595562738032052,,-0.012664748347360488
RARRES2,0.04206630720543557,-0.015212408639983197,0.05448739494859519,0.0007182723825709112
FGF7,0.07366077377642648,0.08868542386735091,0.028640598000166037,0.06105313092035239
EFNA2,,,0.044843968039473873,
HBEGF,-0.05310372100087021,-0.04910633007134209,0.06584531044487245,-0.024130897856231355
CSF3,-0.026539381346272397,,0.06901014593577265,-0.031980697796367974
PI3,-0.01681627329529391,,0.09055057863347084,-0.018704617779326728
PCSK1N,0.01987018800091129,0.1838480135129412,-0.020164079420776065,0.0365464977752385
NTS,,-0.023815509954308742,-0.01676851979492431,
SFRP1,0.041922394202173245,-0.016641511074679094,0.05256315684558506,0.030465750816864163
CXCL13,,,-0.010384608046434311,0.013666642748642056
MICA,0.013217006321510965,-0.01946387891406124,0.041246324138386366,-0.03083277219745383
TG,-0.020966029540444252,,-0.020652265202104055,-0.028586774771791033
ADA,-0.026679476302358705,-0.06555832918484215,-0.0313182558631104,0.046872947832708005
LAMC3,0.01310972742127194,0.0034871480789238434,0.05291757991371339,-0.024166072780769623
CCL7,-0.015158405859701367,,,-0.043156880095302094
NGF,-0.034731779463211446,0.2273974628146978,0.10424506565289653,-0.03624394625011429
TNFSF15,0.051164439921400864,,,-0.035394505529235946
HMGB1,0.031002748379452556,-0.060779592939428036,-0.03075616276490164,0.04026148348975445
ITGB3BP,-0.022211090900091126,0.019729560027677315,0.018754565269305558,-0.0363574182021131
AANAT,-0.015358735245247179,-0.022390096555901306,-0.01852228216271559,-0.019527374685478705
RELN,-0.026659324873145047,-0.017317405979937826,,-0.06633988520068033
IL15,-0.011429875885881518,0.016412800012836255,-0.03358072528344387,-0.05112676881314784
BSG,-0.005994713065599637,0.14240053932885227,0.03262328249801321,-0.0027921405124956447
ADAMTS3,-0.06177781869828902,0.0872990730581381,-0.03590263670172942,-0.06760943913157332
CD34,0.03318594518918122,0.005085850752858524,-0.03872425555566309,-0.07425973692179164
PLAT,0.02968912876090425,0.028988564075261253,-0.009963753560064645,-0.03758569170855903
NTF3,,,0.008127550181693984,
LTA,-0.019428128339947375,,,
CKLF,0.007740574097509045,-0.06054337286426574,-0.06440080680314787,0.0005325200877506803
CD24,0.001985711925078714,0.03533028607196422,0.02027116534840374,0.03344539644378805
HSP90AA1,0.02816032159002463,0.18726299330661092,0.059635341637527116,0.051729871079063676
BMP4,-0.038627384645595196,0.09958232419373235,0.07290214290484227,-0.013084926314492646
SCGB3A1,,-0.03941283576211899,-0.026347358063775788,-0.03924037264023769
IGFBP4,-0.02282335968868849,-0.07160179222708228,0.03687400946628411,-0.10878311994820639
RSPO4,-0.009683033941354884,,,-0.02462324598144717
LEFTY2,-0.029563031359872354,-0.023815525635241915,-0.01582584175448583,0.031944780335502444
PF4,-0.013225410474186879,,-0.012615431496290705,-0.01928878187598232
ANGPTL2,-0.030743382975874648,-0.13855056252545422,-0.02270745608489713,0.03795418781798559
LRIG2,0.03300452983059288,0.03295194526180331,-0.0015192305935020866,-0.019135337527064682
ICOSLG,-0.0012869642125885,-0.08412107193713544,-0.035513682037173526,0.04582042403547405
WIF1,,-0.05455461420678513,,-0.020560110529390822
NPPC,0.04928948871034176,-0.011421278974430366,0.028635183576534814,0.1124379342678495
LYZ,0.009011055165375925,-0.09330002453606955,-0.007843256645418161,0.03553896888999092
EREG,,-0.024499216068446825,0.04326251092902483,0.0013040883618168336
SPTAN1,0.033676066609808396,0.12491460717345997,-0.03173587975152651,0.050676565170697054
LIPC,-0.023767047615674344,0.04002942109368882,,0.040321382058378305
COL8A1,-0.04251418482139439,-0.07503171921065331,-0.006918998322471062,0.0016516149354642486
GSTM2,0.027156500784900853,-0.02545436508874617,0.006849658050463763,0.03796619526724506
SPX,-0.014481192109751784,0.08173726618000172,0.09109673477346497,0.04687849136353434
MFGE8,-0.024390891107706703,0.004428890942943702,0.0717998894466173,-0.0866263150449069
TGFA,-0.05652570140260518,-0.07852914969678333,-0.006213498362350545,-0.011937169330455957
SLIT2,-0.045012441093226135,0.09916818029252779,-0.005535826570678853,-0.014558705988526904
PLTP,0.07880477126970944,-0.1472477975296971,-0.02417146694065823,0.052202681942115976
APOD,0.03015736338599297,-0.10835728905905534,-0.06472943665872491,0.0042795515539586545
B2M,0.024170351955564075,-0.15071967986194731,-0.05258073848783339,0.06529163166584762
OMG,0.05708526574276815,-0.019892894601824796,0.021323584182518316,0.04082782009323421
CXCL3,0.0035765231789314633,-0.003062701468884476,0.05258816564071928,-0.05270131937398321
CXCL10,0.005660922545153834,0.018431927018657767,-0.016920950805817937,0.14331791394642404
RSPO3,0.05991282186250883,0.06330536333003974,0.0252105499808866,0.01559288172447089
CORT,0.02458491365157023,-0.005661720550695977,-0.013201407867635646,
NCAN,0.07783575685279047,0.02683094097750594,-0.011440178559338593,0.03106177958113169
PRG4,0.11676756021395307,,-0.019479485156253043,-0.026847356520502512
ZG16B,-0.017593186610931715,,,-0.016455309194049805
TGM2,0.007372183184464081,-0.010581716815877181,0.08422559826333799,0.05929136630885677
VEGFC,-0.027016342262831727,-0.02768400748454696,0.006521896973856473,-0.047512098421746266
WNT6,-0.020966030410964922,,-0.024535406575218775,-0.017003271346455583
NRG4,0.012830609322763713,0.0911161197896477,,-0.02557031216152198
PMCH,-0.025562161147049012,,-0.018522281505878136,0.09861060895634084
COL9A1,0.0841715454212616,0.021804244261710782,-0.03283022941412768,0.024983136701552257
GDF11,-0.023099709374310384,-0.05646799598525566,0.029085999706193903,0.008582618979880519
IL24,,,-0.01241428485500355,-0.028586758356466995
SORBS1,-0.02068683368944858,0.045072379623307735,0.028615347091787084,0.031135561962511427
DLL1,0.0840878604788921,0.03024018732126679,-0.04209383537979179,0.004902001978511679
TLN1,0.012730722682812256,-0.11629781574567079,0.007634380384453893,-0.03253957151254171
COL2A1,,,-0.0035206968973452257,-0.02303747878421588
SHH,-0.015752074941980485,,0.011733671035224833,0.022116991883005113
PON2,0.01873423442262735,-0.04156247284057827,-0.009235319290363279,0.01500239315520868
ICAM5,-0.024550726819180673,0.06789985643287672,0.005691811058527676,-0.032895838903659075
HPX,-0.038326941285670706,,0.008197699327326228,-0.02871614129192234
SFRP2,-0.017939906308754704,-0.05939876287238588,0.003928687710062905,-0.021798872608045132
CFC1,,0.1449402556617715,,-0.022625702965275066
CD70,-0.030492736320688135,,-0.05113427878431828,0.0015101582143492256
HP,-0.011970211526718266,0.029992445086425075,-0.03845377390429396,0.049821515744496135
CXCL2,0.0152317917101611,-0.00309333028454621,0.018942434596151185,-0.016570052643249254
NPPB,-0.033454216880706725,,0.008897763019970027,
CCK,0.03133275161755357,0.18982870198255652,-0.03324906156970899,0.07597796996621015
SEMA6A,0.06070214281187549,-0.11506126771955824,-0.01720825792786268,-0.04526427213598352
IRAK4,0.013050562275061284,-0.06483862690385658,-0.06615333363808415,-0.04101604465725769
GSTP1,0.04867778519951823,-0.18163648993008175,-0.0103211985394994,0.009892070772436982
VCAM1,-0.004463224766829284,-0.10018523626097814,-0.019259576371986314,-0.06161721165527808
NXPH3,0.07698958205587511,-0.014691501450732359,-0.01778684324185951,-0.014940307672385567
MTMR4,-0.012874189962227974,0.03242932565805951,-0.03046199364844894,-0.008957352665915377
LAMC2,0.01701970904322688,,-0.01630343939610677,0.09769043616853182
IL10,0.046377138527137665,-0.08349972000110442,-0.03805005182212896,0.03110536835513646
SEMA4D,0.05494718985710713,-0.05724571046142043,-0.0023672517419392695,0.08590259803924508
TRH,-0.020885058996803162,0.1547444368125469,-0.04461427194183518,-0.01711297313597104
SEMA6D,0.008648887114098001,-0.031025901553921542,-0.02003679195181111,0.031621937741106595
CEL,,,0.058659081888482796,-0.02630659347706751
PDCD1LG2,0.04488011712330011,0.001309133567324948,-0.02543316682726696,-0.021495382996409584
SPINT1,-0.04389529071531717,-0.03806036593833794,-0.007596019508074777,0.00019887491892421388
CTHRC1,-0.0395477826804764,0.03332493197232119,-0.001930451505175523,-0.025592205869563022
PODXL,0.019294542011669937,0.08365745812689947,-0.03168852092113421,-0.003214847325989623
JAM3,-0.004406202509461061,-0.11838811227706297,0.014768442147963384,0.025159785098732977
TGFB2,-0.015395260873020603,0.010053617197733952,0.014520385574141162,-0.045136819493366134
COL18A1,0.01025842095023445,-0.07004586010889402,0.10413140148464443,-0.056944904300710045
NODAL,-0.001859444773785468,,0.09286123412179517,-0.05129422826994181
INHBB,0.024668397487535073,-0.0011917690811474825,0.06519144777422937,-0.020614602066578405
LCN1,,,0.014071686955161642,-0.017271115758556242
ARF4,-0.04670336978939927,0.03642137060072502,-0.0049895844907406825,-0.002653076068191538
CXCL14,-0.0472492376558807,-0.014122545239371658,0.018337841970084378,0.00720765308625606
LIF,-0.06021162583599783,-0.034239349192621046,0.06040336547536351,-0.02563987717404475
IL17B,,,0.05124173158218045,-0.019527370763847512
MMP1,,,-0.00577522237508704,-0.043700758654124476
MATN1,,,-0.025613859455584826,0.09664530855133845
ADAM28,0.10416790349570211,-0.10360306244341493,-0.020875538084119818,0.036102709054694336
TCN2,0.007988956566054256,-0.07865139365426485,-0.02279486583601683,0.023389167045631543
THPO,-0.0031474707874678148,0.12848604938958727,,0.011556437549378431
CUBN,0.020648781633209625,-0.02613605607144787,-0.021463807210310524,0.07492662686918973
TIMP3,-0.020001087124672367,0.006744598209877209,0.04976918945681,-0.045735723191149526
PIGF,0.02968312286633533,0.04983842900250832,-0.02619080882251769,0.009932387383312816
CRH,-0.017767343579457296,0.17544230760174992,-0.04062373458651911,-0.03897492984706604
BDNF,0.02982189492796304,0.16102419812235452,0.05729420795602048,0.019035519829152553
CCL5,-0.012319334255541995,-0.03786299101866427,0.04271220996182189,0.034618784359991474
GAD1,-0.02744873395691612,0.16700061721580722,0.0004920112420230229,-0.021318760958245413
COL14A1,-0.05281060236200965,-0.059949019690724435,0.02741864026790306,-0.0061743481723301645
HLA-A,-0.054380682829914415,-0.1683385244995718,0.06942499202594768,-0.005018802330109149
CD5L,,0.07073040588246372,,
