,MGH258,UKF243,UKF248,UKF251,UKF255,UKF260,UKF269,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.01171906504359215,,,,,,,,-0.032068145098306994,,0.12888822703651212,
BMP1,-0.05801141559385053,0.015846263666788866,-0.023752988637502234,-0.04516979396322824,-0.020205954235459265,0.005437760198968704,0.04483696723181375,0.03304108949209911,0.022901245259980184,0.06666539628740234,0.0017787809838484224,0.06114946622475608,-0.05728181760031769,-0.12723553025474738,0.038071714849947515,-0.08671894195658753,0.06869544310636405,0.08710839194126486
NDP,0.007061802248734434,0.07084210839229886,-0.02472703679576357,-0.00573585267655403,-0.04011550210580714,0.06096365153899491,0.00892631445707144,0.11462682358464879,-0.03589890964396129,0.06677912986293225,0.07240697344089922,0.06961589795959656,0.05663354030550255,0.08559572654659457,0.04737852767085857,-0.012962917939190369,0.07745085339638229,0.04769241517397518
TNFSF18,-0.02427899282216236,0.05375373280097814,0.024644098906847094,-0.04472561496723807,,,-0.02155243617604054,,,,0.016831132233700006,,,,-0.04495259037998819,,0.03177720197514624,0.004072323862043682
IL36G,,,,,,,,,0.07171053094390406,,,,,,,,,
RTN4,0.04157840421936779,-0.1638642162333876,-0.05016153227050092,-0.03105969562802591,-0.03423363677126967,0.02006171503518013,-0.03312304301894492,-0.012209381370567042,-0.04575489130596369,-0.061233037883373496,0.11493855672044032,-0.008214705340242767,-0.007478288157543294,-0.02507629322634932,0.020943167949329884,0.04772627094757175,0.020518560595682876,-0.08244460013091164
HEBP1,0.0003331670851665711,-0.041360220624023745,-0.021770144738923164,-0.010145255676206503,0.019200479030047,0.07542099247605313,0.06592002633707691,0.0809151459863387,0.03750090199688763,-0.010262811218812073,-0.056113187798818284,-0.010728578287652687,-0.002299647408328755,0.04624018324960236,-0.05053470893965542,0.0768738511208612,-0.003936323123492665,0.042610066394992374
WNT7B,-0.021389032237123604,-0.02748913811778356,-0.021716889099392747,-0.015877878354167003,-0.004002276797921482,-0.01690847261033641,-0.06007183238829749,,-0.03041494004194044,-0.00843496512800823,,0.023937904852393277,0.05485213731056164,0.034755976256308635,0.02342857602372761,-0.0013419100545693865,-0.019870626332688664,0.09841100360977156
PTMA,0.0019604394206192755,-0.05431586849127103,0.005881135718127066,0.013328868695140097,0.0015495383808726286,-0.06912885642274809,-0.0011610286575306913,0.12329217519069229,0.03371981891702427,-0.020531047621451894,-0.06236523482388005,-0.03780052178387758,-0.006950354011216823,0.042561302491875265,0.02388832934670961,-0.001388665959341114,-0.015273421704237124,-0.020303571781988373
FASLG,0.024334531106242417,,,,,,,,,,,,,,,,-0.025633108197167687,
