,UKF243,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,-0.013736004469831697,,,,,,-0.019296709677168115,
BMP1,0.020899078770527553,-0.018426580043066836,0.044568794478115056,0.01280175441071284,0.12006937863232614,0.006038718873825195,-0.01768505443563927,-0.016859915702503944,-0.004437170115153716,0.00025600614254881696,-0.02313860703050279,-0.012610032245549027
NDP,0.09017275808519865,0.023194021059019822,-0.007498122927251714,0.04728453814978399,0.0035379978563720342,-0.02716094179066827,-0.01652731422171058,0.006767834648775222,0.03022690385379029,0.10717093416816771,0.06837234263328987,0.014293670142659764
TNFSF18,-0.023106352644201914,,,0.0709502656651689,-0.015576370464689853,0.009233238671382553,,,,,0.00620508076035423,
IL36G,,,,,,,,-0.013950288644747944,,,,
RTN4,0.05774622181455675,0.03271639206802053,0.06180838589135852,0.014004584743786826,-0.17795603484403014,0.012559983524421064,0.0531401370123936,0.017459154250383892,-0.054776905736987486,-0.013424727144248248,0.013687474374948525,0.007530565015989684
HEBP1,-0.005569067006129716,0.05586015715957409,-0.03265287928338732,-0.012964152675121542,0.03354402105955022,-0.045143532029098855,-0.002561191998707896,-0.010734893143466458,0.04001143303288443,0.038840499407253135,0.02232492785205788,0.012977548073189352
WNT7B,-0.006229867032089277,0.05050335986616765,0.019417823810682997,0.016268888705205695,-0.03911824709925862,0.008132696459635547,,0.006547075653740239,0.011857574613634474,-0.019070585634611656,0.005868710214510243,-0.014187485427074624
PTMA,-0.033899594767454855,0.06128084815761417,-0.06561211351238457,0.004367087307364143,-0.010782774978473632,-0.03153408374118716,-0.09583850672158684,-0.006088726046024242,-0.06919990010189202,0.037683184583440214,-0.06420000975580567,0.0016299987858361166
CEACAM1,,-0.01764836454966952,0.03963060615899902,,0.06575497433159515,-0.019645278999412423,,,-0.02573331747538685,0.03908264095462791,0.041103790664213796,-0.023947034372275584
PDAP1,-0.11738219760374344,0.04337398062576746,-0.02495739727272854,0.08115925375232268,0.13819403317119305,0.011995959357337707,-0.0012701827250108546,-0.010485415941250343,0.026509901945130625,-0.020509190864400326,-0.04220397903327621,-0.011224261131983056
QDPR,0.11195643254768785,-0.03918098612613395,0.04933104330828293,-0.02279137907525274,-0.12742106277046858,0.014351821959390046,-0.024911266254571095,-0.022598459081073503,0.03420472035924374,0.021324666244538514,-0.05393850844112566,-0.03607643034325653
POMC,0.07069919840274957,-0.012474014234581571,0.0022644263580843173,-0.01579800663490488,-0.054947010874226494,-0.014493503550359891,-0.04451163553434786,0.016981445659157494,0.07185739189002527,0.05924480722381784,-0.02928817723174876,-0.019336240395481888
CCL18,-0.030987518797849726,,,,,,-0.06110438066687367,,0.060713706592452586,0.06327051700128827,,-0.07226505743065771
CCL17,,-0.019839662062446285,,,,-0.015578638965456745,,-0.01274398472553759,-0.018256543221210262,-0.014855952178134929,0.05235597480147922,
VEGFD,-0.034913876505871404,-0.022103574425900968,0.03102892118232664,,0.022308935348332285,-0.01659772215828167,-0.00330762478122653,-0.013658123154089208,,0.005509190264638678,-0.026833032339848996,
TNFSF13,,-0.013684954865927138,,-0.01604907353534013,,,,,-0.035031564266640475,0.023389438507166658,-0.02728282263308664,0.016173136000600535
