,UKF248,UKF269,UKF313,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
IGFL3,,0.010260448894806989,,,,,
BMP1,-0.0015213040548170205,0.056832765635244316,0.08588855214053925,-0.0028976547541100833,-0.02577796520292882,0.05359935252524651,0.01817114541765298
NDP,0.025697731418085665,0.054797784815565756,0.03550744432148988,-0.0013633334067172747,-0.02306638634287657,0.043471709563321706,0.011114059509033457
TNFSF18,-0.028201997404065038,0.012414023522947158,,-0.024507792026620262,,,-0.02825215732996868
RTN4,0.10116827190300223,-0.10106778916431244,-0.05556860756463061,0.06414743123578387,0.02990456630349069,0.04459732059327133,-0.01868709857471952
HEBP1,0.025182267884307618,0.020401545994222798,0.04253133055030339,-0.02114923041069054,0.07098589921851446,0.013407496681514286,-0.032325896390249007
WNT7B,-0.04173586269603637,-0.04794098170232303,0.09720290877825692,0.002146319200238834,-0.0334858786319272,0.01369429179920365,-0.02721333423584689
PTMA,-0.03447257494056458,-0.1136327275760557,0.09762400354847414,0.01587946138171448,0.06879489194924501,0.0020457972483040225,0.11425575093720096
CEACAM1,-0.017949798452290302,0.051621394589589455,,,0.026414473430784187,-0.014481553781030977,
PDAP1,-0.012023273923307154,0.03366095578536533,0.005143774868403118,-0.0734796523800881,0.03636904412522841,0.005536778276165358,0.039198176335052896
QDPR,0.043641102734025716,-0.06841784326173653,-0.015199684042201223,-0.08146338433685464,0.07382264273741976,0.0016927902538957332,-0.04030743025507351
POMC,-0.015472022789590348,0.005131020757795745,0.011953731505482195,-0.04063943041581595,-0.003122342053480995,0.09365511537436244,0.007415376711053327
CCL18,-0.022399652499213666,,0.09754677109195761,,-0.03433750440404625,-0.010358717935352512,
CCL17,,,,,-0.013312000374670204,0.05682081607463865,
VEGFD,0.008819596433129807,0.021617097316371237,0.0862948692850111,,,-0.014481553781030977,
TNFSF13,-0.01690350194419085,,,,-0.025543729225859808,0.12146449899964025,0.07126358964039664
WNT5A,0.05220290401611365,0.056612164661549516,0.07774204023891411,-0.0302618281230068,0.017813513667342087,0.03398519685214517,-0.03324891376766347
CXCL8,-0.014152469061049595,0.002996163510786074,0.002752955129022811,,-0.08581460592629067,-0.05599596821195221,0.02873396151550885
GRN,0.03253780527370428,0.02373748578194409,-0.009800372370340303,-0.01324986912857239,-0.011269864694383147,0.05675389594787127,-0.006423759003824796
MIA,-0.03664999691198357,0.03130179108267119,-0.020393452481555576,0.003059502296825811,0.014070744800410208,0.02077985853471741,-0.0035569322134638226
