,MGH258,UKF251,UKF269,UKF275,UKF304,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,-0.015697214941080874,,,,,,,-0.02295563963549128,
BMP1,0.020282198351348084,-0.01067197305188023,0.04424040531858335,0.009086511688516798,-0.004744967595027519,0.03751686859166847,0.045662541574382126,-0.0035966931312334726,0.04652439716030401,-0.002328866995282093,-0.039031916034634684
NDP,-0.029844790089221557,0.010876615838590445,-0.0413296073392945,0.008707898570643495,0.05676031983535798,0.008909735340278268,-0.038326675218050575,0.005683373607416127,0.10640920199013783,0.04387356843638749,-0.022354868332050085
TNFSF18,0.08673512158560284,-0.035434911898829455,0.026510817854403422,-0.021917964922424014,,-0.025257707227668406,,,,0.013785089224694628,
RTN4,0.0061893962302697085,-0.022664600927846217,-0.05228970099011874,0.03474144031519613,-0.04044411954075821,-0.00024644425063135824,-0.013534704710581045,-0.07459329407234991,0.022677835090025685,-0.11161915296059553,-0.0092239389801114
HEBP1,-0.010148366556463985,-0.0019124008593381701,0.05445438721006087,0.06880135896060553,-0.02141811470995086,-0.011476183523067396,-0.07718497054676575,-0.038673230885924434,0.023121673751143143,0.023588492905345756,0.04973579607466206
WNT7B,0.020520572039059624,0.008352394386474764,-0.036104697473063836,0.008738352804020896,,-0.02780627036879674,0.07241756605644228,-0.019325956720407197,0.06810872498806632,-0.007411714489654499,0.06748227720483736
PTMA,-0.016885783206454844,0.05475113787351442,-0.021427824694741627,-0.022212476597414915,0.02224551363201347,0.02349092904059003,-0.010953490461726683,-0.04293920575177091,-0.002099166756309528,-0.09742299819814199,0.005670021654993419
FASLG,0.005700897203955376,,,,,,,,,,
CEACAM1,0.023114576692604166,-0.016892171452949405,-0.01804479163354964,-0.03447173721769748,,,-0.025579325396688172,0.005335257152311493,-0.0008713833007139407,0.002879206806044131,-0.01603498306079712
PDAP1,-0.019952475270851134,0.039298468466126335,0.0451945015623947,-0.04359479036343988,-0.038575423748804794,0.08375075696633842,0.047204963671562815,-0.06507080221480001,-0.011472105525761844,-0.009738735080175052,-0.015445937225736861
QDPR,0.007792646683313179,-0.019087850141842777,-0.04615838313719868,0.00885020487172268,-0.019066985716850702,0.06489762678411685,0.02025678702917261,-0.010872124527198105,-0.0021575782604538346,-0.08036316256361768,0.02770701524559926
POMC,-0.00857190444185768,-0.008350081199301885,-0.00054329780675668,0.018142824489102337,0.004259015068449417,-0.0564462256835417,0.07511425326277293,-0.0010241254148275075,0.030437726446828555,0.03236532232715509,0.015971693533982874
CCL18,,,,,0.16471120599448558,,-0.01813616227070458,-0.033327934357873935,0.04450378606797447,,-0.028318728159713195
CCL17,,,,0.024180485910496343,,,,-0.012920609181100587,0.02548938642302603,0.0064559259006842454,
VEGFD,,0.031691353711016,0.004149739695251008,-0.009854257745275732,-0.020426090459502378,,,,0.07763482189315103,0.06786990875619543,
TNFSF13,,,,,,,,-0.0247927083132589,0.0187932640177086,0.02598198755324205,0.0026443540614427604
WNT5A,0.04383510475527099,0.03279612951021482,0.05111439577334966,0.04276311033382235,0.014552258243712939,0.09832036456478532,0.014318295725611595,0.006521671521580522,-0.0034634222025451355,-0.003933364063153999,-0.023797038100520383
CXCL8,,-0.00846433009478354,0.04438583819907303,-0.04865608485047901,0.004564712962595961,,-0.03193156909360158,-0.0727714145802245,-0.04279381571112592,0.049620809362006045,-0.008479239389225117
GRN,-0.013255433409124865,-0.004120616204056843,0.022026280112435313,0.028483739620849467,0.06536313153972365,0.08371469973038012,0.04262307986604572,-0.004046971905569115,-0.03563613680110979,0.08734082444503341,-0.0395339323079002
MIA,0.012889672776036051,0.009300697312088942,0.017515556666676174,0.03853479117370994,,-0.011008328279411889,0.12588789143902548,0.06943827937660785,0.05921516465099834,0.05481427778358356,0.02780543154730689
COL4A4,0.039582467090178465,-0.03618523002548255,-0.015468440196032704,0.011129563149141387,,,-0.022929775813404177,0.020361855192655234,-0.03299463115513895,0.08860156444398454,-0.020758731470407906
TAC1,0.03701847115218751,-0.016884246831622558,-0.00773682119490467,0.05533724916444073,-0.06144780922691307,,,,,,0.025386878304780605
RARRES2,0.02811049536078001,-0.010264200226443752,0.05256938534217448,0.07001094169370022,0.023812514260179277,0.05897057926797473,0.04493830887102639,-0.027945931560446963,0.008075941362780876,-0.003311251083953247,0.005009320920235364
FGF7,-0.042667111053853735,-0.027308132403239455,0.04907691867469368,-0.005962582682729893,0.029289098864154678,-0.0285977491372768,-0.004408847192187677,0.0022862840393298614,-0.013942447836623262,-0.07023419576507647,0.025769581465497876
EFNA2,,,,,,,,,-0.01958533820644973,,
HBEGF,0.01000768324072835,-0.026817264817221784,0.026055079060727387,-0.0507597445541322,-0.018907157746997517,-0.012384674800118338,0.03318534802268117,0.030836515017890646,-0.021308556308993098,-0.07157739535514583,0.08771033886649536
CSF3,,,0.14661651062414202,,,,,-0.01919671493059393,0.021036669071171923,,-0.022988338574946296
PI3,,,-0.018427557307248116,,,,,-0.09090105701597377,-0.03176318171317283,0.11825832182258335,-0.006229008304558008
PCSK1N,0.0018688085295981754,0.006308774000866985,0.032666048848838204,-0.025862569345214675,0.003927716179393263,0.02768343139077932,0.04866242284974316,0.042062248696800884,-0.021865591181515154,0.06388410835063148,0.029990137219654867
NTS,,,-0.020114937049905725,-0.01479696188369701,-0.018390042827294516,,,-0.016008912043103837,-0.02386101802372411,,0.028815933011917122
SFRP1,0.1293143433838347,-0.04618987135879805,0.012605523980330904,0.02583500020136995,-0.048892379030969074,0.03658157353885273,0.11151088652090221,0.07777214908488642,0.008464481838705722,0.06905902493688815,0.004057439691895032
CXCL13,,0.009289971183077598,,,,,,0.034641398336454965,0.022005604033565003,,0.06387785648085106
MICA,0.05106924205544557,-0.03619873055910409,0.008568042119306377,0.05700139875368793,-0.014402005784346049,0.032088443583911136,0.04873943636599498,0.027991144456315935,0.053698728367503196,0.03277681607992095,0.00039389779350326433
TG,0.0377067065367281,0.11787827487986893,-0.0005764586608606808,-0.02753995483803911,,0.06035082128376033,0.06275957231729468,0.08104186974603907,-0.02938745209742942,,0.058567943310221186
ADA,-0.03236753010813987,-0.018549840238543266,-0.0026457636697379155,-0.011885445974853607,-0.04326161455616854,0.016406525126614096,-0.025511500817538814,0.002201347694387366,0.05505592619647781,0.06726189221450454,0.0023994163370971732
LAMC3,-0.042096381178973144,-0.005401502932656352,0.02351705238303852,0.02084772504508361,0.020192978230132084,0.08508517082137552,0.02781373461248896,0.007306157682100134,-0.022482513476921078,0.041674177321207775,0.004152719605301421
CCL7,,,,,,,,-0.019365014954018708,,,
NGF,,,,,0.03812834982533081,,-0.026951482163756323,0.057105533587492076,-0.019322078310866384,,0.08762283952858457
TNFSF15,,,,,,-0.003528805164590604,-0.02721871827829619,-0.01887871507653372,,,-0.01427536359396378
HMGB1,0.0028547429416630682,0.015796041166265033,0.026898551864294427,0.010888892628712144,-0.031018347935567816,-0.03471589418631834,-0.013307794086632607,-0.07347306602402577,-0.05618965461258998,-0.06913942445972256,-0.014941143984024484
ITGB3BP,-0.013032700887424599,0.04274207997096455,0.0030229748070665363,-0.022026616701965367,0.007850681403851655,0.08798873006480576,0.003388676792596756,0.01211521785658756,-0.012801520190796258,0.035021079714659564,0.001969560983021266
AANAT,,,-0.014761954297977234,0.05544626037021921,-0.01728935619519619,,-0.018889573239133955,0.08226077732172454,0.05039350953627783,0.0799412769225455,
RELN,0.04167163931923491,0.02122286504607319,-0.0035038682527873326,0.09584696707727439,0.027508520814730195,,,,,-0.013537026186668796,-0.017243092167123025
IL15,-0.05273530047852778,-0.02926336445803032,0.03244977370892329,0.05882959691898537,-0.03542975269362516,-0.03466057394536635,-0.03193165254959145,-0.0005132707021331132,0.0988931771999869,0.019202336528083206,0.010692284557353516
UTS2,,,0.028207113991753133,,,0.012751850032920805,,-0.014467021133030368,,,
BSG,-0.017909357563641724,-0.0750326432698419,-0.004965429931745692,-0.09437189421099611,0.051782391942317346,0.012392351758809424,-0.022687866854064712,0.011768195806320207,0.036874534773367995,0.12511510579706564,-0.023589984714547815
ADAMTS3,-0.018818257432350115,-0.04035986692593114,0.019452815840665254,0.050704181698341774,0.04966404309740575,0.07153506742697022,-0.02261834091559364,0.026500454852215576,0.0349436086299671,0.058880414463005064,-0.029919672031182773
CD34,-0.03184403163873454,-0.034999553305713735,0.06030089864827157,-0.00018043393931791018,-0.044449331048664234,0.05606354578765099,0.020951901770438937,0.0008567381339045611,0.08675794376545663,0.06113066567375208,-0.006216160954065596
CCL23,,,-0.01679676068508769,,,0.07642735791027017,,,,,
PLAT,0.013880753275810238,-0.02064141263970381,0.04985164647261601,-0.03623987700984153,-0.022032920970716074,0.08201237252558244,0.04331231082963157,0.05936315603971888,0.01770104445911293,0.12182876517729016,-0.013376854185478348
NTF3,,,,,,,,0.043052336036903394,0.09231637445405366,,-0.00605002141796335
LTA,,0.058894517687365935,,0.023016654209038416,,,,,,,
CKLF,-0.02237144098781033,-0.048142749065009524,0.06776310023368234,0.03967063588943018,-0.0250114401279879,0.012160196702344023,0.033829019839343055,-0.031014436649085347,0.027447378437794302,0.06473793532628351,0.021899143103877708
