,UKF243,UKF248,UKF260,UKF266,UKF269,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.017990302000855517,,,,,,-0.010550432278728396,
BMP1,0.059761500583925604,0.09895350946260485,-0.016183031113274928,-0.06357575775542522,0.1059067170749893,0.042118688576163195,0.038627208318118354,0.02702517514329599,0.08403824403289283,0.02644942015339969,0.13438355211879047,0.08766586003034987
NDP,0.00036917538674378783,0.0019796299721233073,0.06539642430502443,0.025402080589827142,0.032040702739803716,0.056475368044000156,0.07600287846841178,0.02417015986394631,0.024550682490084914,-0.009068023579917154,0.0017898651172615486,-0.06869785740754111
TNFSF18,-0.02181211104418764,-0.027890772181217632,,-0.014925469715386172,0.13552333530835284,0.01843664207654541,-0.046633876543430486,,,,0.0820398786602264,0.023740531461302505
RTN4,0.04484953133041742,0.032902079617959434,0.04935204652054679,-0.010111117500611055,-0.0799019859008091,0.0020580615648584308,-0.029406772495782205,-0.04388656457795891,-0.022167015910527815,-0.011869746863382434,0.07463293660884271,-0.017556322417826734
HEBP1,-0.013079687190559366,0.048753921770907996,0.03942571768089245,-0.021462226237896335,0.02160648168941149,-0.027129100099207232,0.07957977300506422,0.042610678420550746,0.03890334026081425,0.02186381810137465,0.04952381049073805,-0.031715241588650744
WNT7B,-0.02531415937584746,0.09855355955000276,0.043644224551618344,0.06994063092496874,-0.015828130973081677,-0.04272960399147106,,0.0828007932993448,-0.0036742715863675303,-0.025623811439099094,0.12088982686383344,0.04709631830853834
PTMA,0.033260218379413974,0.020534194430624614,-0.06903275173822308,0.06568661141178574,-0.10788993257159256,0.02410633712381796,0.036185589702243975,-0.024379093119609518,-0.03326529746837839,0.0035182778736496975,0.06773161714931164,0.00521618487784306
FASLG,,,,,,,,,,,-0.016888682048920328,
CEACAM1,,0.0058825049802175965,-0.014122254887404758,,-0.023773405400953396,,-0.032791529649111195,-0.02511650495189706,-0.02094482414090359,-0.017006896317167952,0.03761999682630132,
PDAP1,-0.08231233345113086,-0.009068726843747304,-0.0341560680430003,-0.018091893190035638,0.06525885461964676,0.05165259912230492,-0.013187047469520112,-0.0009532831867976843,0.0004446282313160611,0.010130811545287022,0.010921611112565264,0.00961707386340783
QDPR,-0.015825941120642822,-0.05219518466438927,0.01915718465329126,-0.004735385579184665,-0.12085232524292612,-0.003295561741252471,0.04510483753790523,0.032143245535071543,-0.040503557482052324,0.023129676977628546,-0.0041116159459722275,0.008277478303793752
POMC,-0.041184905802362844,0.0032085136338537916,-0.00024861229780142035,0.021342434504493826,-0.027867445946440576,0.01616607992779153,-0.00022016246054794373,-0.04527267233026289,0.0474087403206589,0.02905668649720979,0.09849017317173533,0.008990251641918374
CCL18,-0.029251834394216036,-0.01792981426712425,,,,,,0.026365453989203355,0.034801893559097456,0.016923989254190624,,
CCL17,,,,,,,,0.1310647500437137,-0.002059451689415253,,0.030593241066221348,
VEGFD,-0.03295826749706496,0.028157386706310746,-0.013511373900202713,,-0.03013858163776902,,0.13002281576421718,,0.05759697183496431,,,
TNFSF13,,0.15862816033388408,,-0.014474591995302133,,,,-0.008783442841440586,-0.007439193514023257,-0.01909760471887167,0.04021195763764561,-0.03744056303060582
WNT5A,-0.031876087575996206,0.06671143171040878,-0.007527244770925053,-0.020315934113182683,0.13901788918483748,0.010492898776891128,0.01425449725553136,0.04034243924089094,0.054205202756696255,-0.009171327009814415,0.01576658521418688,0.034102226527686234
CXCL8,-0.021666487662215787,-0.012046269207616828,-0.03021987892499762,-0.020589168303502905,0.028890802982203662,,-0.0188619706134572,-0.011859577521884938,-0.07817339164341901,-0.01833445006796395,-0.027679855453139654,-0.0022938749724605648
GRN,-0.003675287837076042,0.11613722672756376,0.0405858288744533,0.07046524021699302,0.09147492997419333,0.06887936108360822,-0.032867698906206944,0.04523126997967026,0.11809179124115106,0.05621103087706967,0.09053748945080667,-0.018736402256000328
MIA,-0.03820085785918809,0.02034634204488326,0.03316031253619694,-0.026172853914870575,0.10150847856564524,0.06711711159737294,-0.0032597006760194673,0.062173880921017964,-0.01605236492564051,-0.02520062879358097,-0.002502785039352672,0.021840603097285933
COL4A4,0.0011770870687283714,0.04440106358893457,0.026989058291279892,-0.013771934790036279,0.0042652269430895106,,-0.034906521510885365,-0.007368286995238157,-0.033535938359515474,0.008511177197074792,-0.019297892641194605,-0.04184549835615744
TAC1,-0.04155316919261761,-0.05532601875022616,-0.015508079693716495,-0.035794508619347305,-0.07922051451273053,,,,,0.02176486331896801,0.033095408577086684,-0.007891433472884794
RARRES2,0.05340815275994909,-0.033541270506685,-0.06668003627150718,0.049766174705631556,0.08550155995890199,0.0068757628770381475,0.13949045421704878,0.019500764783444462,0.0009751103606552036,0.040740374765339135,-0.029473880030866706,0.05138109484475302
