,UKF251,UKF259,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH8812bulk,ZH916T1
IGFL3,,,-0.017990302121116162,,,,,-0.016360142398809726,-0.0188073239856146
BMP1,0.02079177223612954,0.030097674894946937,0.10017332378457422,-0.008027477522837952,-0.009342187445229057,-0.006553334787110448,-0.003240808534257778,0.047596799562890243,0.03351168168733182
NDP,0.03071921971907507,0.046198361225471433,0.016277616606042645,-0.012851812861973904,-0.03813003459770575,-0.007890749442180822,0.05483139017723006,-0.04757326076363357,0.032501534503145954
TNFSF18,-0.02904320172428793,,0.0169283447510456,-0.012358479138511052,,,-0.02907107582836084,-0.0168719260824209,-0.03172459315934625
RTN4,0.03264659473855138,0.031466982004727875,-0.10751057037077219,0.03311170492091891,0.05651366971354465,0.010875583035639128,0.008295102727413175,0.011376705158854503,-0.07089207289463331
HEBP1,0.005371224901315373,0.0032968304809071424,0.010546162123592497,0.016018415255400154,-0.015176179946515926,0.06947436756695502,0.01765920450154946,0.10229384250734708,0.04592322719525978
WNT7B,-0.018040736607989594,-0.022753995280856167,-0.05352807292896181,-0.03542443002858976,-0.011246855396774986,,-0.03200441699275389,-0.00377027579281498,-0.029923056577709006
PTMA,0.03527414287058295,-0.03568017072859269,-0.08940207643929564,-0.03866565227956518,-0.029784297744553597,0.014944558343253013,0.009252421089409647,0.01383421849354539,-0.03475583382849524
FASLG,,,,,,,,,-0.01631158567651225
CEACAM1,-0.013845180269390592,-0.026274341079143768,0.04386791605785386,0.03690131010781727,,,,-0.024243196327514645,-0.022695175733007767
PDAP1,0.04188879742302556,0.010082026703181365,0.06077483502644481,-0.052679509715823025,0.01158612651657636,0.03389736772320145,-0.009854110621849767,0.014543573467427977,-0.02657992583742669
QDPR,-0.019109831034473775,-0.0027862086598985825,-0.09788254027757844,0.0029416466015027938,-0.03445529639442146,0.012883583919721284,0.02545661792725347,-0.0032097543977433795,0.021170360683940098
POMC,0.07903622122930781,0.024994044055286914,0.05225633891336851,-0.014339801906818586,-0.03024957849072425,-0.02481892154560352,0.12590064167250098,-0.004255519143812047,0.05685325206456778
CCL18,,,,,,0.04119671758240225,,,
CCL17,,0.023902081741143548,,-0.01541342960770502,0.006302062167695635,,,0.0750532275263374,0.041285936608425076
VEGFD,0.0930863165011981,-0.01696671315743807,0.021687844236786206,-0.016421705561196938,-0.010210821482018302,-0.02760484005228116,,-0.00047337229902333816,
TNFSF13,,-0.01050457719230214,,,,,,0.064634005528503,0.029065701804023823
WNT5A,0.02141206367235951,0.017456636461025257,0.1017569207225736,0.004131944419713262,-0.017154692630939328,-0.004111049567907181,0.08767286836334112,0.02521109441647593,-0.01598837717032859
CXCL8,-0.01856805142439994,-0.040848961247712735,0.0436242973523797,-0.008114928718547668,-0.00950876094533376,0.06165567247500484,,-0.030624559939637117,0.004367729250596307
GRN,-0.024328140726210798,-0.01377320176205678,0.07693105329630955,0.003401998355898079,-0.04512382945020014,0.05282587708439425,0.045389384181082126,0.03147996966732032,-0.011667820711295877
MIA,-0.017635809193022593,-0.012673087033727522,0.05114581254964411,0.033505278480318396,-0.011612659056814467,,0.06584055957049317,0.055222898069272115,0.0761035973247407
COL4A4,0.04807865833007138,0.059440181855241275,-0.017728107407178294,-0.01609209738147932,-0.004912287864933222,,,0.049588597619526276,0.015022104982372253
TAC1,-0.028874378482711845,0.02926528481477996,-0.04384884644615347,0.0235546212642868,0.0014811859145828043,0.05252277537715078,,,-0.019435886753959512
RARRES2,0.05422727309229382,-0.02027564203965382,0.08083213120740644,0.03560666570561015,-0.046882237006999485,0.03388017677683593,-0.041802946510321834,-0.021824858293941273,0.00943488250804177
FGF7,0.021185036398315576,0.07917693331131014,0.03405180080059413,0.07473377251711337,0.12121825162197056,0.024069970458329353,0.05955590218844771,0.04649620410244447,0.06349699029032276
HBEGF,0.0012964665547028993,0.04480258128976744,0.03261663829175316,0.02203578733343181,-0.026222368606009013,0.026068146055938466,0.016173504506313455,0.06679039969528637,-0.03972984464016782
CSF3,,-0.01815156035249213,-0.018755996413099253,,,,,,0.09122459086837013
PI3,,-0.031324113041794874,-0.0211194995135072,,,,,-0.01832715032285811,-0.03381958241487986
PCSK1N,0.020344601925908992,0.007506340413823511,-0.045697689124768216,0.025056995093705504,0.0427771789645092,-0.028117329737756522,0.043639633444140076,-0.0228288552211333,0.021166544151085456
NTS,,,0.011746548367457197,0.07081982184812853,0.007411453732717043,0.01787843871310194,,,0.1064837755370973
SFRP1,-0.05103729167743432,-0.013287832749183917,0.08284097131130666,-0.01803321674929894,0.02647947698247434,0.03691264857243185,0.07086375319724249,0.05037111068662239,-0.004015147339389383
CXCL13,0.00928693907998475,,,,,,,,
MICA,-0.03522588322419825,0.055015708031675076,0.06950136717715094,-0.006628177969066545,0.010901061341583577,-0.03057734534238849,0.05914490381966628,0.03776390422349269,0.04384124780980442
TG,0.1175927871370573,-0.01433967678409954,-0.022636809609585674,-0.015528447031742113,-0.010074172233886458,,0.002965896878199882,,0.026659674004940685
ADA,-0.012826960972792512,-0.005921608602102116,0.07224596280906984,0.03394379616199575,-0.016361265873301892,0.03126863758357649,-0.02920582163844726,0.039399051025947374,-0.003134794273980617
