,UKF248,UKF269,ZH1007nec
IGFL3,,0.07390186473393111,
BMP1,-0.030837261007859083,0.0148865691227681,0.009022960483142009
NDP,-0.006054176788222488,-0.037662828642847875,0.07101601187566171
TNFSF18,-0.007449780749186928,0.02043017014506464,
RTN4,0.012136558863772587,-0.12604626555138948,-0.0490890647944198
HEBP1,0.02314594778689872,0.01615183867240101,-0.048586162687763
WNT7B,0.012676452932363498,-0.06395471239467004,0.022274298285454856
PTMA,-0.010214993032875284,-0.013643929887067415,-0.009575935280018714
CEACAM1,-0.014619445136456173,0.062486552945031686,-0.05012636647909983
PDAP1,0.06737717026168913,0.06269229818201376,0.08831849928360722
QDPR,0.04052514339966023,-0.07845390825062389,-0.007654145739562665
POMC,-0.03464971799124619,-0.042326838061328004,-0.016745752576911316
CCL18,-0.018243686226245844,,0.011417858084549785
VEGFD,0.05962042371675062,0.013931382223050409,-0.048422606541484926
TNFSF13,-0.013767275434535431,,
WNT5A,-0.03903226710879145,0.12487315551463006,-0.07103304415084774
CXCL8,-0.06166349036235982,-0.01062506486491675,-0.04445818399402087
GRN,-0.05177696759370577,0.09939814017316259,0.002025262484424377
MIA,0.013128567627470425,0.0538520412163758,-0.0091169601191682
COL4A4,-0.021910518932039595,-0.016558209819856007,
TAC1,-0.03496905369690001,-0.04627725317756516,
RARRES2,0.052689118389936805,0.11350787337409912,-0.02126093662000723
FGF7,,0.04484087508797524,0.0017245208291424771
HBEGF,-0.03385579947117728,0.03561072468979367,-0.099432705415589
CSF3,,0.04693526187961314,
PI3,-0.019193127095825043,-0.01972580017725984,-0.052145424206689654
PCSK1N,0.025297441203258303,-0.05171625588040972,-0.009995206519523693
NTS,,-0.021532057787633847,
SFRP1,0.05688364096861956,-0.036594508317746056,-0.01928388399204805
MICA,0.055074678078284395,-0.0020174125575391547,0.018965659942191744
TG,-0.016080680996616924,-0.021142981287211836,-0.049896811438630166
ADA,0.06043252357235853,0.05632276150545252,0.013400569621037604
LAMC3,-0.03302760239258133,0.06002838108583238,0.0862492085555119
CCL7,-0.0116045256257342,,
NGF,-0.01992439422924687,,
HMGB1,-0.041825744616768495,0.09654695634730243,-0.011599821439275284
ITGB3BP,0.06817377979440667,0.09420824123524786,-0.004460833183159316
