,MGH258,UKF248,UKF259,UKF266,UKF269,UKF313,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
DCN,0.052295143818491305,0.05485002518945239,-0.0072473208441243935,0.003499992930429701,0.11193326037393403,0.010703612691422395,0.022456893782717733,0.09002587055751338,0.08333811001174735,0.10311296743740732,-0.10371828204779576,0.05059028675715497,-0.03723331792599338
RARRES2,0.0800639584551892,-0.024477609861821778,0.006979829322890768,0.029665689431389315,0.14779017882253645,0.11432507721091029,-0.007884674537916076,0.09100382168077549,0.04161794864803203,-0.04856263485992228,-0.025151188457695543,0.029984712673465756,0.025906100501975796
SEMA4A,0.009334476738059231,-0.009581727934337257,0.03171791027688152,-0.021533543009600028,-0.05788306499518347,0.061200678720398284,0.09453283430289575,-0.02029404302565259,0.007498785516709069,-0.040134198215420136,-0.05385057066450326,-0.013541231411043306,-0.011129612915243366
GDF11,0.06200924440942025,-0.02651453140557471,0.021852417765906677,0.06374120769024869,0.1044469577862947,0.006221410584693098,0.07005015302755725,0.019968771662547312,-0.026509380867326054,-0.01914891601908162,-0.02464604592348568,0.06078853640781687,-0.026146892546851135
GPC3,0.027396442978995142,0.017887354002617258,0.001174674852759684,0.16979214935060896,0.008202744220037774,0.021006583334272806,-0.0317035475057435,-0.041019247830566104,-0.022929397322458724,0.18033479523502297,-0.03349593147769526,-0.015286906186973592,-0.014342152329249732
OSTN,,,0.006501134355304758,,-0.018349042427292864,,,,,-0.019600704868923013,,,-0.02741981784473158
GRN,-0.1469230302346593,0.060866137857766574,-0.01675398131443239,0.06056740945035288,0.10653220162329782,-0.005254802116048163,0.0317763046604671,0.04274293349534705,0.02477391449706726,0.06975672895064239,-0.00883851621138605,-0.03652079285682316,0.01714446435336962
CALM1,0.06016302384172583,0.024206381093056107,0.004290407984822643,-0.09862926797885521,-0.09187011507827772,0.004602272616247191,0.03319056589076779,-0.053717672418566016,-0.02192082446468585,-0.10142431648724365,0.08140424509559213,0.06866599811879977,0.025151316015392392
ANGPTL4,0.005803140018174422,-0.033427514811889575,-0.046552114359090055,0.014631259371733266,0.036850247737792066,-0.08707863205257158,-0.01063401825379927,0.06998968326350373,0.014285085991380965,0.007398553682701409,-0.006400892640533554,-0.0613119117506973,-0.014142056486961077
BMP8B,-0.02747873381337116,-0.011743464715523127,-0.016084700148696802,0.08257703549869302,-0.032905248512822845,0.09285965963458633,0.0503523281040803,0.08413177096790724,0.01106882689663264,0.013845731173467608,0.0019219511428701954,-0.012042568963673771,-0.023073504564404948
