,MGH258,UKF248,UKF266,UKF269,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.017106949119090022,,,,,,-0.04834348439090376,
BMP1,-0.0638487820828452,0.1517125034418546,0.05152964069265669,0.07249720531901804,0.1762197233083159,0.15819568008795312,-0.08464851053449494,0.07478026261050193,0.08575739033367184,0.13469865206374793,0.12470873843433916
NDP,-0.00791984764628997,-0.0012170313319977914,0.024108283691718014,-0.007624532474457501,0.04971284630894725,-0.07387996356023535,-0.0018747249204368684,0.005182059784808,-0.012094787032465157,0.05698822072386924,0.005222636849663217
TNFSF18,-0.020370404619806808,0.13502274323353666,-0.01553397702130073,-0.0254033058771629,0.07843255685042047,,,,,-0.021236838133282396,0.11610370162838235
RTN4,-0.04186545248772219,-0.0782656410112051,-0.028653179065233642,-0.06441060146333842,-0.0049129171291011865,-0.06084263557725379,0.016070300650403664,-0.04420500314541726,0.0187380952402667,-0.015906285292333115,-0.2506827070016527
HEBP1,0.06734909925464845,0.05520957752863339,-0.010475139827855815,0.01794428423194535,0.0018011710184863594,0.0022508840913428,0.035884055615740665,-0.009990686839247658,0.027492501249551587,0.0773961352228406,0.06362013229676507
WNT7B,0.08724049268186332,-0.004403371125569276,0.01709483913497093,0.018252283000083552,,-0.03925395442743904,0.020659840009122334,-0.03611580348369536,0.10980778989854359,0.059081666488772194,-0.04571408345908095
PTMA,0.023105249589062717,0.08182594585205863,0.0246620600938468,-0.03439285089614573,0.015085673799625944,-0.045340595188709566,-0.005245051824062859,-0.0029535356411205613,0.005418312642951886,-0.012885576132298555,0.04839365000537764
FASLG,-0.017945693524435275,,,,,,,,,0.06270260005879612,
CEACAM1,-0.02491775251377483,-0.014801069231271623,,-0.021109577569435475,0.0334492778005355,0.046356658911169156,-0.018763782485373456,-0.017496425371581796,-0.01822827754273522,-0.02876466131805905,
PDAP1,0.007538942121587119,0.0016293013997381518,0.03181695472770819,0.0401771224441462,-0.0876729095210935,0.0010695183857162257,-0.03566238896117621,0.007740462153445751,0.02706633998141424,-0.014439494372084524,-0.07388180283453763
QDPR,0.045050372069017144,-0.08804382467375796,-0.040848511193271576,-0.09446778918242257,-0.04049068545846282,-0.17740441929605882,0.004862550173058802,0.030706634503493008,-0.057484653553125264,0.04147654431675479,-0.1491824776988662
POMC,-0.040290085877498265,0.09684694840022179,-0.001009487305806651,-0.004112091240895659,-0.05542466915870723,0.2044708286525054,0.07859522871255957,-0.020004639676731432,0.07039410847380763,0.08083489037619397,0.1595456475714874
CCL18,,-0.03421827275610342,,,,-0.02495991353031896,-0.008903778930961469,0.028552646160839773,0.017724768787160467,,
CCL17,,,,,,,-0.013311995480771523,0.007753307514925247,,0.0962879273459461,
VEGFD,,-0.024018454755540354,,-0.028658728606909295,-0.04942438135381786,,,0.028994589000741686,,,
TNFSF13,,0.03004369435085713,-0.015064717140254449,,,,0.05977230747698829,-0.02745370031799997,0.015342561442947171,0.012945889627509673,0.03242978938743473
WNT5A,0.008767015801254482,0.014109242203667945,-0.015393332500415332,0.0020940696685628093,0.005317761007731673,0.023187083470246884,0.029036304595164753,0.007186321798538226,0.05597423220096268,0.09015289792761334,0.1904839313629132
CXCL8,,-0.09123158000352831,-0.0034018274292918977,0.00870183653740357,-0.02442562747108347,-0.04394585753961374,-0.01715162268475942,-0.042814055702166356,0.011270026489624567,0.007237034263867846,0.13906739190509979
GRN,-0.021811497095180078,0.14947565699097132,-0.013784025061482059,0.06427296433444227,0.1546086597703698,0.1583523870963589,0.010569713070611875,-0.010466438856416082,0.11172471101502648,0.08888757589099647,0.08331776071508462
MIA,-0.023489364968775503,-0.06817462678193485,0.05893863330293863,0.01532046565854199,0.07024080025914847,0.09563633740284537,0.06912394180767424,0.11297728880609811,-0.041230796336470824,0.021425270793697673,0.17258361459625993
COL4A4,0.11540672350319911,-0.007578550883707975,-0.014333412793484098,-0.01685762859070575,0.16405444769265964,-0.0315571295089616,0.16417654312838997,-0.028014512741949233,0.04575361913150057,0.04122846772720698,0.2086829573857492
TAC1,0.059239859275883405,-0.08659657985206133,-0.018137677417641284,-0.05396106687430832,,,,,-0.031448971678356315,0.00944625405656923,-0.1299509464860904
RARRES2,-0.022916431196644493,-0.13425294273699587,0.05453771398813921,0.04766953033655974,-0.0682875049029089,-0.031233352862030005,0.0014299011476019195,0.026053803906784804,-0.00946641373592961,0.06574700990034364,0.02581179323219173
FGF7,-0.01025691488047374,,0.015814458349173752,0.0247678496922041,-0.004989944348755503,-0.016284009831988324,-0.01051237398343261,-0.056884879542136474,0.0072556712714053175,0.030979463496178045,0.06844508024504248
EFNA2,,,,,,,,-0.016629181401063023,,,
HBEGF,0.07300489228233065,0.14783495517102618,-0.021128486309507144,0.005426107547346761,0.12710446909675127,0.1241144248165942,0.008755824081211243,0.09563415073649562,0.018881321736860194,0.04228517050363832,0.221498574789284
CSF3,,,,-0.01783504657990797,,,-0.02201207179229716,-0.02795040740486704,0.04843997856004774,0.019584689569549348,0.0630626085441195
PI3,,0.0013960361645972733,,-0.020082497846111706,,,-0.011822469847222569,-0.07457079373467804,-0.03975654118044978,-0.0561498295520892,-0.07905881797307907
PCSK1N,-0.049365693008413945,-0.04199860811890074,-0.027164096849607026,-0.0458542769699768,-0.01374633629028267,-0.052508213573336945,0.007097895031630404,0.0020268808246048553,-0.05002467538112196,0.03616160487963884,-0.18530612685063544
