,UKF313,ZH8811Bbulk,ZH916T1
IGFL3,,,-0.016190504295687958
BMP1,0.11052754327489678,0.07402806237173679,0.12020315995781819
NDP,0.09758495577682133,0.007720594978920567,-0.0474142499565351
TNFSF18,,,-0.011859976006721017
RTN4,-0.06610021068650994,-0.043132528651157596,-0.03702310538184308
HEBP1,0.01242250529343229,0.009568196969358327,-0.00682573807014256
WNT7B,-0.0038978773578840194,0.009849692865805108,0.09138462691712028
PTMA,0.18367627832532732,-0.01251269060712758,0.10344831711845096
FASLG,,,0.10225893728822709
CEACAM1,,-0.015399751345296819,-0.019537406835640668
PDAP1,0.13573177526104363,0.0038966060740443253,-0.060737789506509494
QDPR,0.09472516098352875,0.00942672116891741,-0.04090074178022356
POMC,0.021311437521660304,-0.024811339966349072,-0.0006611844701148924
CCL18,0.09071851716084835,0.08935722374528361,
CCL17,,0.015466161357920977,0.11605413799219673
VEGFD,0.01641927084337541,-0.015399751345296819,
TNFSF13,,-0.006340148061167902,0.09708904672306644
WNT5A,0.04844875497615938,0.09282878034561584,0.045933592937811206
CXCL8,0.02928942780474997,0.08254687364738107,-0.012171183861989811
GRN,0.03572131112481743,0.061530078632745136,0.11701105557077103
MIA,0.00500739599457124,-0.007901757288784984,-0.05246778466496588
COL4A4,,-0.024657409792196005,-0.02610787188617831
TAC1,,,0.032071829577586544
RARRES2,-0.116617128558225,0.0419772118043369,-0.014845833893902878
FGF7,0.08146337522329893,-0.020338613978336906,0.010105975809071941
EFNA2,,-0.014636433054956832,
HBEGF,0.11319951788488469,0.03599434817547375,0.06423645637693626
CSF3,0.019945258311795937,0.09785343818641823,-0.013400107628137441
PI3,,0.04057343244224705,-0.029113982126606718
PCSK1N,0.06360622927485858,-0.054917992845145085,-0.051595339856409315
NTS,,-0.017831716217815763,-0.019843732142280936
SFRP1,0.040144656672243574,0.015804359741314115,0.024429862988003058
CXCL13,0.07357077953952963,0.0707774976918296,
MICA,-0.00829884735069348,0.05441749684590818,0.052683041091679046
TG,0.06685113851683655,-0.021961707821728054,-0.02613276584328251
ADA,0.12551785572366356,0.024531853177059422,0.09311242577383436
LAMC3,0.03811906568212545,0.10994012517747807,0.1226701128012528
CCL7,,,0.10095162448538882
NGF,0.13041766654959844,-0.01443969477057573,0.05998022909379943
TNFSF15,0.019530556632480656,,0.029579839752694535
HMGB1,0.18046377824280535,-0.0781508780552316,-0.04737237620783317
ITGB3BP,0.07233091348997542,-0.023982766003034593,0.005777799691902316
AANAT,,0.0016110074375533425,0.040639020947921926
IL15,0.05292043129025895,0.04809834202318889,0.03986694549229453
BSG,-0.04146972055639893,0.0704215711939523,-0.03874943549053136
ADAMTS3,0.06954431069009157,-0.040608427330977366,0.017325966221714447
CD34,0.11214290090144409,-0.0007568946300395146,0.12419679663613974
PLAT,0.06598062661191287,-0.013596051262746616,0.11032994656030531
NTF3,0.009407031445222326,-0.025000123576419463,
LTA,,,0.06354818889190496
CKLF,0.10577059124799171,-0.04963833823101091,-0.035032318654904186
APELA,-0.03910852406858391,,
CD24,0.12034022173606089,-0.04107915562972393,-0.030434573135701037
HSP90AA1,-0.021854401920313838,0.043189207074669125,-0.01315274073938657
BMP4,-0.05509281932651868,-0.04027989443947633,0.14411959280543254
SCGB3A1,0.00539618927085678,-0.012743889153596607,0.014600250759708874
IGFBP4,0.11300707223430874,0.07863103820933554,0.13596557519434063
RSPO4,,,-0.009600356122061903
LEFTY2,-0.029264691614713362,0.08006778519354128,0.10578976268474667
PF4,,-0.013415304222334676,0.041722239418924965
ANGPTL2,-0.05915557806403043,-0.021998703966532206,0.07072413806829941
LRIG2,-0.012360688258308557,-0.015830956877107668,0.030041735937018962
ICOSLG,0.039219554677327656,0.02511477837480007,0.04018973268198723
NPPC,,-0.025382654950727015,
LYZ,0.054719506204695414,-0.014537870787973268,0.058367481263523785
EREG,-0.010187454320282159,0.15180392123548359,-0.002148696253863562
SPTAN1,0.039092937733523944,-0.06182020820990745,-0.018647735740408306
LIPC,-0.006182924059324707,,0.07424346003587394
COL8A1,-0.10813347456265233,0.07903423894856623,0.018961585661207446
GSTM2,-0.007128105376569879,0.007472162107706119,-0.044050958227803826
SPX,,-0.01665681491725959,-0.043853516587665425
MFGE8,-0.004854586001107262,0.10970932533032078,0.11099512225762448
TGFA,0.07512169604945704,-0.010992970169701214,0.006080682504765697
SLIT2,0.0027153420741821855,0.06987919111305964,0.08368011045873494
PLTP,0.027054885099563532,0.03887513789264564,0.006661832800855893
APOD,0.0987974808441534,0.05326086233242181,-0.01219659380655674
B2M,0.14174085149866267,0.029018386762942796,0.12178073264373017
OMG,0.013355753120466902,0.049548302777354634,-0.030809753956961974
CXCL3,0.07146890356544798,0.09795702838556838,-0.04997436036315074
CXCL10,-0.029530352599089187,0.027247772474916717,0.033364951304831816
RSPO3,,-0.025991503575595876,-0.014249898285060155
CORT,,-0.014038434021026345,
NCAN,,-0.03383528353904526,-0.07371146620091841
PRG4,,-0.02071456846659772,-0.03227986001382131
ZG16B,-0.03860544317578346,,-0.017768089589109578
TGM2,0.06218216487728191,0.10126299433776148,0.08246300286238531
VEGFC,-0.027487655173552904,0.1627943543415744,0.06356947164023771
WNT6,-0.0431687768061567,-0.009279804393138002,-0.02145861993484049
NRG4,,,-0.014249899882133774
PMCH,,-0.019696673979494022,0.039215634869190316
COL9A1,,-0.03025233180445426,-0.08003566784356156
GDF11,-0.045619250364138414,0.0012370321569104119,-0.013988841588870845
RAET1E,,,0.14234761914955904
IL24,0.041246039273602444,0.049084813475971066,
SORBS1,-0.027621548875561203,-0.026518567995344047,-0.048548441959040005
