,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.009216966208031753,,,,,,0.009875679559674423,,0.06928180125249501,
BMP1,-0.028037449277709812,0.08489224408488867,-0.03409716606936317,-0.07277523865518042,0.0840717185280015,-0.0059468737220195605,-0.038017754996088476,0.07368117784624696,0.0033697647618514564,-0.05037721917045594,-0.04933598829299907,-0.027236190652479703,0.02215977448600284,0.05925385522515076
NDP,-0.022959174231960464,-0.023671949925471548,-0.05938526382132425,-0.003948462698396738,-0.0006160988552693646,-0.03155700155080289,0.08914020714744694,-0.054025774722095674,0.0801997544967942,0.05268472111926083,0.010878256740275307,0.06337956667123869,-0.015324241390701146,-0.017643556602221704
TNFSF18,-0.016987115344664783,,,,0.04352122476655009,-0.018617219223536433,,0.07486009451563311,,,-0.01855938479564374,,0.0215946163698518,-0.022094828205747912
IL36G,,,,,,,-0.019128752038925473,,,,,,,
RTN4,0.024625344334892045,-0.016698091481897458,0.01590785560269994,0.0051505190515096205,-0.05663380103250861,0.028526401365019993,0.02574512427516476,-0.004391463192445628,-0.05044466288533159,-0.03845284530606739,0.024387031880954795,-0.014495683185516103,-0.004775784794511442,0.05269494590147641
HEBP1,0.010484213972863872,0.07601419620912862,0.03604202020207173,0.005545025717469553,0.01837082823641723,-0.010215553061422997,0.06031135919039225,0.019082147509525273,0.025969776517055582,0.1137197863940541,-0.0052710320289045855,0.08781487130200502,0.021051946027772266,0.014596274070728976
WNT7B,-0.003067116206894814,0.09757241824430819,0.014815628825004366,-0.01789341490650579,-0.04074901719592053,-0.012472995269734359,0.010969015817318897,,0.023669610241884513,-0.03434826605997034,0.04054044756962965,-0.02006997217502752,0.0740626117033535,0.073298888746562
PTMA,0.007617732935115637,-0.023825144020158767,0.057282436722394574,0.052697362223835705,-0.011258260577521188,-0.01615107742235406,-0.07112135088040883,-0.05378942737231676,-0.05785924308687418,0.007058327756630775,0.05188675478878756,-0.0676249948559974,0.036280925433064784,0.042299046466778296
FASLG,,,,,,,,,,,,,-0.01648752982592115,
CEACAM1,0.05596676453694221,,-0.0436563957262309,0.017686640560233904,-0.018237079889248546,-0.0002529003668880553,,0.02167009880264324,0.040625080522891696,-0.021278061648445746,-0.02666789832534171,-0.013320732424229058,0.05040915074737686,
PDAP1,-0.03265577947301274,0.07370825470314991,-0.003690217827376668,0.04974296800100288,0.05782606034645849,-0.02220952650217104,-0.011730808659851244,0.04545029849338096,0.00995031126861732,0.0039030469302138186,-0.04186450809184904,0.010596010250218802,-0.026781129261151594,0.06920445529120042
QDPR,-0.004509006509979276,0.04019872440919176,-0.015588957709266254,-0.024000403040863406,-0.023661275036439885,0.06421015480836087,-0.0460159141482236,0.043656532379378866,0.016210959824380575,0.09082732943168349,-0.0031664761704698415,0.012570760080232264,0.01644986766817496,-0.07756283375867973
POMC,-0.03614907346388433,,-0.010658760276437652,0.06423220473843437,0.08546772655885114,-0.021601948971974514,0.0100901194105582,-0.029704376807173975,0.03752955779880401,-0.03190962508272446,-0.03887470621657043,0.0799815027961336,0.001008178887574723,0.015330029181560997
CCL18,-0.023389570784440282,,,,,,,,0.019201533187148116,0.06962570459900427,,-0.011653038602986809,,
CCL17,,,0.01013626511787097,,,-0.02321929703299752,-0.017474658052644674,,-0.01495409297284983,-0.030716217814196062,-0.023727233181517864,,-0.014944093914130515,
VEGFD,-0.009171531173497647,,0.012198129004904953,-0.019063377902793516,-0.01181023815002276,0.008657154310769391,-0.018728132283487933,0.09556715278596893,,-0.021278061648445746,-0.004442744200073961,,,
TNFSF13,-0.017650526285729436,,0.01642651594347222,,,,,,0.0465564125651875,-0.020458856471920688,-0.025444389107582826,0.0845220221987012,0.04232688747890341,-0.0021938578374788233
WNT5A,0.021076448634940036,0.001802213802517189,-0.020406130910933355,0.08180015160223929,0.050251961462948906,0.004690525686176882,0.04010537467959679,-0.08137931463956107,0.008788762298803406,0.0030740103241702526,0.0456477287776028,-0.05237142284262193,0.004914707333028406,0.05265998906876913
CXCL8,-0.00448104186036704,0.03437826744476755,0.06899779774868181,-0.014758222875128508,-0.037144012362056715,0.06534476869837114,0.013404033037025902,0.0263190551821761,-0.0709767295557472,-0.06829773384143573,-0.03368749894590739,-0.04889004415352333,0.004620004619226566,0.05778863232260417
GRN,0.03134471449635874,0.07721756248104765,0.013928607222988798,0.012383716936215743,0.09539193536277009,-0.0015825730225427028,0.016134876107027976,0.1643969342105249,0.033523542254778674,0.005627248276195102,-0.04407031577068745,0.0015237581147136217,0.020296524404444505,-0.055982515414750716
MIA,0.0033383494348823892,0.007010243300081539,0.057749262239017385,-0.028470590462872307,0.03362571379513569,-0.03270407580851126,0.00034343107702306506,0.060745555981518186,0.10170058469100411,0.05871412988361567,-0.04159586003739282,-0.05804508736109633,-0.03846473208158189,0.10848143224094964
COL4A4,-0.028090684477323193,0.0887802373359424,0.05911232274840349,0.0022533640349278405,-0.015468441762836219,-0.024241664476652717,-0.024880515920131286,0.014583066128503656,0.037635079733312586,0.115009045356762,-0.022174246024699452,0.12897330721624817,0.014877643230452259,-0.0070919644378377835
TAC1,0.0002696371825152688,-0.001144605808386951,-0.0078776158687014,0.03586054474901958,-0.06096308079099293,0.06679012211077374,0.039538694320301285,,,,,0.04092054300784164,0.022392287394019654,-7.648772745401046e-05
RARRES2,0.020923955209164652,0.039018809502392116,0.01516494583897528,-0.018292310652004717,0.10219569672183094,0.04797882464517894,0.050852551489061426,-0.019207204618275426,-0.024313417282658015,0.012083102110335071,-0.02172234818224455,-0.07354299772648785,-0.02000891002280944,0.028453945682919198
FGF7,,0.08485389790599081,-0.03840761373967644,-0.036500824520293455,0.09909953130465761,0.07304258705053465,0.011869493930141079,0.07516099494086952,0.03724144591515885,0.05174323797279945,-0.03938509248762341,-0.006998551928234394,0.0020362841163082605,0.022975693750999122
EFNA2,,,,,,,,,,-0.0202233736034858,,,,
HBEGF,-0.006084334886525438,0.07194080726027147,0.01568377942553882,-0.014171615825486253,0.0582113182186907,-0.0028182070360526458,0.0028668921097049554,0.08049241210822505,-0.03323567303901247,0.0446446962508788,-0.036671685323437925,0.008233930691831806,-0.017983184042520858,0.015686651474308498
CSF3,,-0.02938394434669936,0.028750531520385484,-0.03604019563345077,-0.01636531365454813,,,,-0.05009992225943982,-0.07281364514594477,,-0.01909708952441014,-0.015733825492989763,0.2157731535542125
PI3,-0.024606814610565488,0.048042548566322424,0.08016575415190924,-0.020323288601287397,-0.0184275591737816,,,,-0.09043307856416909,-0.06385393272427459,-0.020160154412004413,-0.06635135022238138,0.04455429109666853,0.08482781413173705
PCSK1N,0.05290516527856069,0.02696201946096272,-0.03395320722584944,0.03027276531798747,-0.07463290364851638,-0.020157389326856404,-0.03086026082110055,0.00834373164590532,-0.008773417917488258,-0.05386574428765835,0.0686906574885318,-0.024874026507274997,-0.0034970221100691116,-0.03163356143225112
NTS,,,,0.02224682911653997,0.05726119519737742,0.02285096838160109,,,0.004243263507030929,-0.024638343079231094,,0.1078021529182322,0.06733439534867063,
SFRP1,0.03441870200405635,,-0.022078532173079635,-0.021748012851772656,0.04010403744281438,0.09835311383424249,0.007935056951360554,-0.04266877314236725,0.05016685017304446,0.025054112562904872,0.07366133088498987,0.026760466175289994,0.052426828870584176,-0.007080203371411017
CXCL13,,0.07459086135523972,,0.011570141311107476,,,,,-0.03358995883566884,-0.02043639473807102,,-0.006975257202929196,,-0.022920867507909476
MICA,-0.027178152207357278,0.07433331954178053,0.013317701544987974,-0.0070915339471890205,0.15152411349152797,-0.02727977116413885,0.032607803880347494,0.04938563985009476,0.0573062422415201,-0.014747213900907719,-0.04504498966446037,0.012311797667218256,0.0600517114270323,0.005170908523389411
TG,-0.027818803012120655,,0.10798378321416384,0.06234234794177186,-0.019751469409560626,0.05752984160134407,0.026461508205668394,0.037193986967691404,-0.019870250823400354,0.09059256571357506,,-0.015717198135559128,-0.01612415538615416,0.05858970150979623
ADA,0.001105733960561926,0.11643039852240002,0.042319965719280664,-0.00316834357645288,0.0582335502152782,0.03573279129349008,0.00417569045148579,0.0919963811764202,-0.01927448236184724,-0.027202533140808265,-0.024740165996655877,0.06210868317370858,-0.0023866990560060366,0.027658851875769074
LAMC3,-0.029872021721656365,-0.0446061998288833,-0.042437153900815455,0.020215451019818094,0.04004907103806445,-0.023178265716542978,0.0466739913225428,-0.007323887293423063,0.06097280580146203,0.004947853452594341,-0.10617394170918207,0.023061819687828018,0.053844878283464445,0.03223838371899802
CCL7,-0.014877742917573442,,0.06683146812024171,-0.028574713345915374,,,,,-0.02241273843857228,,,,0.008275493466758049,0.14557151698242662
NGF,0.04351428875030376,,0.015187263521199758,0.056440316698460176,,,,0.02259479373191545,-0.025884918621174893,0.08493900279361065,,-0.02085207230847045,-0.022941483599262954,0.0342358609601331
