,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH881T1,ZH916T1
IGFL3,,,,,,,0.018591968699985206
BMP1,-0.051563813895758225,0.02408754286098476,0.05329783759946532,0.005864909454803232,-0.025499998085937482,0.03706908686130766,0.036688783014858846
NDP,-0.012497546754734922,0.002327178272211485,-0.0649553539073426,0.04139739849841074,-0.010315958766099916,-0.016962155745622185,0.028812725182419643
TNFSF18,-0.011674764661574738,,0.1070707402475225,,,,-0.03563087673042841
IL36G,,-0.01631018900900801,,,,,
RTN4,0.03354869187842677,-0.04032909508776936,-0.050657458190655466,0.09673800084853883,0.01760192308725444,-0.0036325530619613264,-0.024231465015582543
HEBP1,-0.000750094698428389,0.04113300423713958,0.004271554959394415,0.07129784029429942,0.010635473791301902,-0.03646557544915804,0.0043466711720094855
WNT7B,-0.014454885864469002,-0.01792677732990707,-0.029779755412245087,-0.05908590335233453,-0.0039270892703614346,-0.008307828905667518,0.07680968803300846
PTMA,0.043610732381145025,0.08220260441877575,-0.04248545940452078,-0.06195650531721783,-0.021608788218903507,-0.07655691860792807,-0.014162498070195017
FASLG,,,,,,,-0.018320048915943497
CEACAM1,-0.01836162348633581,,,-0.04449316691222827,0.079217938447325,-0.016034979978481082,0.007503878200598884
PDAP1,0.04845019918986924,-0.02326230526432764,-0.048305765418254855,-0.11989776429056029,-0.0013474920103827834,0.021125699136382473,-0.06695445171057768
QDPR,0.012166829269275882,0.010838051784480824,-0.030359748030984644,0.02242885395488284,0.011907927514923339,-0.07803213094595447,0.007851745181012913
POMC,0.02657030186147176,-0.034944754766581564,0.04738565883994741,0.08987275264588801,0.09265365574670875,-0.026231120799523625,-0.040892423375365854
CCL18,,,,-0.007244485351004094,-0.032812164538043455,0.016171422828298188,
CCL17,-0.01456070453984554,-0.014899820705837785,,,-0.012720654986583818,,-0.01660506664138991
VEGFD,0.055825905657681175,0.13367384263442086,,-0.04298087546548488,,,
TNFSF13,,,,,0.07955592287145816,-0.018006207810823387,-0.027056570123547022
WNT5A,-0.012823314110672087,0.0259618759690875,0.050528320804323394,0.0681124339355134,0.015725573723374093,0.04874136902085136,0.054748706744686265
CXCL8,0.013681569169398571,0.01146896098377159,,0.018645115817583834,-0.047164995471163075,0.035137577373197,-0.027497835817518954
