,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF296,UKF304,UKF313,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1
IGFL3,,,,,,,,,,,,0.022299197815611262,0.0553287366408191
BMP1,-0.04302639285530927,0.03198387036703694,-0.003046881905591631,0.034208026002575186,-0.01295945129742401,0.022466004167698575,0.024745217396330576,0.10995690485539092,0.07010661373125225,-0.04808792474371899,0.15640699448690598,-0.0703551714993901,0.08479241342923137
NDP,0.045124735554096074,0.0028526344436441884,0.03518451951997503,-0.02392747945088166,0.024430162380760043,0.06364447938300535,0.03164177099375207,0.01107654523674224,-0.0248293437707033,0.012687261171236579,0.06608425606975796,-0.03626507572996926,-0.01816229011308093
TNFSF18,-0.021911209901797953,-0.03217507451028685,-0.03123043576041365,0.03611828185367211,,,,,,0.055638162036135884,,-0.023506808019545116,-0.0022572968073482054
RTN4,-0.013122579283822171,-0.028167102131458975,0.03278667045319869,0.07078247392431246,0.021044908031539404,-0.018399673599175225,-0.04912604144938238,-0.02495249610815183,-0.05945807958694885,0.08996387054667028,-0.051300830741497355,0.05548165916224821,-0.011766891842358707
HEBP1,0.015132150049713288,0.07201246022654323,0.046944380141496184,0.00788575782138083,-0.018259006056643663,0.019195407885507335,-0.0037437847614261773,0.07242066776238593,0.06266406887112165,0.03549966256192721,0.05493388223925357,-0.023209769563194215,-0.0029826912951565984
WNT7B,-0.019303089645305898,-0.04121129044818369,-0.013182470158731514,-0.025119146440052937,0.0033152201287719335,0.009006619345682112,-0.005201237282193685,,0.0786520408692794,,-0.02639650334160489,0.07453368530083344,0.006022579037933486
PTMA,0.02176717489646388,-0.011730521964060185,0.054060757400477305,-0.06224824011060187,0.03443049740983316,0.017027352982419076,0.045996433938626416,0.06632653577308667,0.045786147618460164,0.06893645083363881,-0.11541824372585462,0.02644522110600793,0.10583560773327108
FASLG,-0.01930309510223989,,,,,,,,,,,,0.023962317882316196
CEACAM1,-0.026802516484110566,,-0.019877316469642064,-0.01927743407781559,0.053449990833485866,0.026201107775448512,,,,-0.08043789242691932,-0.0007708053795845917,-0.0017243604019991456,0.005498694303050528
PDAP1,0.03527497973818764,-0.0025221260642756204,-0.005452337567458473,-0.016435239982415563,-0.0330443964749667,-0.02155351522403994,0.0371910096134021,-0.02968947304592041,0.028521788402982473,0.008504198919330632,0.07357982506356948,-0.04145826468023776,-0.0714824383628494
QDPR,-0.030657020087012953,-0.023350284179044386,-0.10718959488477674,0.04435744235572834,-0.011388596313479972,-0.0126313753375495,0.005697424819121735,-0.0009326514809540717,0.058912334180522156,0.08947211873980457,-0.17115347464183542,-0.03550361958795099,-0.0044572681161505956
POMC,-0.007218859982982463,0.04889042996599521,-0.04711146036441201,-0.034252924784370954,0.02665990518743378,-0.005946033909602508,0.012519134185887938,0.04242738681680767,-0.04079987856313085,-0.050075601229482895,0.05143565602324137,-0.01539443185161196,-0.014070650916837938
CCL18,,-0.016033915880658636,-0.02480501286520395,,,,,0.003686153114717316,0.06958247625324249,,-0.026039131472533086,,
CCL17,,,,,-0.007404814638283168,,0.0533493651934969,,,,,-0.030052263120479976,-0.01731187248233887
VEGFD,,0.024812472829309568,-0.024805020741957326,-0.015983465113571873,-0.012139965089195221,0.05874040244335322,0.01578504823466186,-0.025497233031471493,0.05000544130506178,-0.01588131248144523,,0.0008041079820757807,
TNFSF13,,,-0.0009494325012181584,,0.06236492918184476,,,,,,,-0.016399758120689358,0.07558321327318931
WNT5A,0.020467630504025523,-0.06051062857632412,-0.01485114025693971,-0.04090729383399629,-0.027265314861275525,-0.014420518005468784,0.06911463916746706,0.014976693527548384,0.014487373441006384,0.0027258395895675912,0.12799240787067223,0.01888549452933145,0.06647655364428595
CXCL8,,0.06821719780151891,-0.011355493144331487,0.0001113924576474466,0.05889909969208775,-0.0653162815927077,0.06294493856944816,0.04376798043008769,0.008745630132970058,-0.009358272783078683,0.10425057579648431,0.07181337729810677,0.023538361184331513
GRN,-0.021461972240336722,-0.01728503975308176,0.00030817569326142504,-0.03145893115365899,0.009479075476495008,0.03392716585965316,-0.019848899775302235,0.037796654895122454,0.010344009056766327,-0.031373634200687284,0.07931150387677581,0.029349634327888494,0.10656912323545246
MIA,-0.02526608655531267,-0.05790893038328887,0.06802082844175777,-0.024555342907239115,0.05895435059942206,-0.021533192253088734,-0.006555016139286171,,-0.04491475130068482,-0.04190239240121288,0.047340586046470574,-0.007271612995988263,-0.024401482601935802
COL4A4,-0.022355336198003416,-0.03734183992205293,-0.02979061891618465,-0.023704607504865475,-0.0008136264492135106,0.017393708304739665,-0.014270029722830693,,,0.11932557756954985,0.008811479070255744,0.10563997900594253,0.008510171057323351
TAC1,0.07776289543405095,-0.061295136092171035,-0.046737619551417454,-0.007029550746776168,-0.00620636178135714,0.009541765554615616,0.006491356192666782,-0.037839926796488954,,,,,0.04899232050879277
RARRES2,0.07480312321469634,-0.059176633188300326,-0.018862808178819537,-0.03504030347626612,-0.007844475684263304,0.030148075735657833,-0.03479135748732177,-0.031766399569651244,-0.02975009421238388,0.11444886228661288,0.010688516638719241,-0.038154054227528815,-0.022985288507402314
FGF7,0.00012910461306837802,0.010851556271189182,,-0.031164182986065568,-0.007170214797854322,0.005617508242988866,-0.01537544089726645,0.03384978502991752,0.04613273257642235,-0.0661180214405531,0.025671622104437034,-0.017935012191293242,0.008887448324670272
HBEGF,0.015137429220908298,0.09164768465373156,0.006183193673360221,0.008760127801547031,-0.022384015335618842,0.06189009863148749,0.004746489249215155,0.06343820731507062,0.0370223563712932,0.027103721809079374,0.07987398733918034,-0.03713117144629839,0.06340414298224376
CSF3,,0.05080824038440084,,,0.04262265997217126,0.03075127470891567,,,6.034149372446285e-05,,,,0.02664477184382678
PI3,,0.0573044943083595,-0.026095919357049958,,0.06650037645522822,0.020423639888515886,,,,,,-0.025534298934230152,-0.03960063133899823
PCSK1N,0.029183847253274327,-0.05355474248909144,-0.0030686316992170675,-0.04302627485618083,-0.042019031707954554,-0.0016416632057307385,-0.07395562799490596,-0.03348464875196419,0.051555581879703986,-0.06817666566778974,0.06883545716909205,-0.08384576970064211,-0.05124568858305302
NTS,,,,,,0.071632320286612,0.035062809980911186,0.07032404111177666,,,,,-0.02699130326930258
SFRP1,0.007308014067156197,-0.02576234621931599,-0.040524125190896515,0.07033435638780651,-0.0032127457988425315,-0.030059265388166532,-0.0062613120665634915,-0.016124495202094306,-0.022848498522893713,-0.06309824369811295,0.05277799082783641,-0.005770693643676476,0.0061678805956006345
CXCL13,,,,-0.018671265626317664,,-0.017600828503719294,,,0.0417965630998112,,,,
MICA,-0.03397738795495891,0.06812611587908236,-0.02261040110900037,-0.016639459759559765,-0.054830706502786514,0.010523138160550592,0.05163596544965071,-0.010457225058615825,-0.02489606566436197,0.040249145156204126,0.09848051253118886,0.04084827342205711,0.026543261920717647
TG,0.06451807794525563,0.038179227813894254,0.01604464550434031,0.06463253216767312,-0.020231000720513367,0.016932980539282706,-0.018248729224614034,,-0.019012393711346744,-0.02309590309312809,0.06335104995659992,,-0.023963606300340445
ADA,0.02179225595862767,-0.025854834534007616,-0.0017087790439996684,0.04671988304521576,0.00958267827845112,0.05462586814432517,-0.0037935305918693034,-0.04782980374223854,0.09083030883103739,-0.010496061644271274,0.009773346144725642,0.007104363452095032,0.10181410984731067
LAMC3,-0.0046908271620475775,-0.022079989993875945,0.02553239105628026,-0.032228428968462806,-0.016968781320513052,0.043710043535909494,0.024781714691694462,0.04897715792827062,0.0009958852603733468,-0.05611270984632891,0.15466293881696647,0.017395569434576753,0.09449666230724912
CCL7,,,-0.015778083654322917,,0.043895560232106244,0.008495501241013458,,,,,,,0.023165899806233098
NGF,,-0.0070918182310300126,0.06471663999871842,,0.02542861471664747,-0.04215666066696238,,-0.022955715245279285,0.0802061842877025,0.13324835171209923,0.026034657967583145,,-0.026355432777570274
TNFSF15,,-0.03488251477057443,,,-0.01628785895964464,-0.01631484450387607,,,0.06856503096744299,0.09053629165114757,0.06317642862614146,,0.0981015650431206
HMGB1,0.023833095825620522,-0.0427987259079764,0.016719691214752603,0.05077279507365746,-0.05843943760049218,0.01764613731593289,0.02369618049711895,-0.004884030722816337,0.03529893380625394,-0.04350299441238661,-0.059092005628585506,0.06061299841373093,-0.06481550414848979
ITGB3BP,0.0019994877712832424,0.05116763508532036,0.0020043670495689474,-0.04666419570045306,0.0024886704599839876,-0.012163026943296388,0.01108032797948923,-0.004845508566180492,0.05047980046913247,0.005512065414526079,0.11270095015724249,0.0032193228884309644,0.047523156318396854
