,MGH258,UKF251,UKF259,UKF304,UKF334,ZH1007inf,ZH8812bulk
IGFL3,,,,,,,0.04869934444871273
BMP1,-0.011314968366240363,-0.07189792115527936,-0.06375955406503352,-0.017363578997669434,0.04460758043151838,0.04098292024028677,-0.02022156365914066
NDP,0.024226866659426315,0.020227456507168524,-0.03455685639871435,0.04384921996961392,-0.0037527971056845453,0.08508035416872059,-0.04277378346030631
TNFSF18,-0.018998240692298884,0.019733246386152554,,,,-0.008627034814769258,-0.023130924295459696
IL36G,,,,,0.21098183765208509,,
RTN4,-0.05473453820537669,-0.02035236075935908,-4.6585551881534337e-05,-0.09175306669911172,-0.03500333797651069,-0.038293474644827255,0.0005885339514610432
HEBP1,-0.004658826375874362,0.0040649933483300855,0.006262753534797585,0.0783916858529817,0.010937219442697797,0.025340009902879504,0.002611520541267848
WNT7B,-0.016736855008469963,0.022679142112248137,-0.02495040085018759,,0.0146042951253995,0.039441269722607857,0.029273941504054633
PTMA,-0.09169520920820073,-0.025370876514061294,-0.05854500683488913,0.11293319801212949,0.025148432138011524,-0.04910910100938132,0.06529351146953626
FASLG,-0.016736859739935998,,,,,,
CEACAM1,-0.023239276224662413,0.03270273693630385,-0.02881055981191716,,,,0.07781996086113727
PDAP1,0.010418403805662708,-0.05455486090263303,-0.06256089848737359,0.06029785358147553,0.04030121356429804,0.10815582819781915,0.04746437584313054
QDPR,-0.021000189344980047,0.07046011933199252,-0.02469087481566885,0.1377879603452906,0.05517476001461109,0.03974846770138324,0.026111843940508448
POMC,0.04489351808751021,0.021588241684014447,0.041560100911767206,-0.034320835373270894,0.019174173430665704,-0.011684594609365459,-0.05822827952217952
CCL18,,,,-0.029623268211168282,,,
CCL17,,,-0.01669895680813275,,-0.01623457030162731,,0.0036495141894305272
VEGFD,,-0.015542032617091044,0.04440238282162345,-0.018045598633335845,-0.0173990918310671,,0.03435774404270307
TNFSF13,,,-0.011518566672560836,,,,-0.03171183984125717
WNT5A,-0.0451843156774892,-0.021204418780327045,0.012723768325129023,-0.02373894961940173,-0.002848992639273615,0.061035354188039674,-0.03616679894338607
CXCL8,,-0.03251032564515492,-0.006053553995648369,0.045566472504149406,0.005628413000412746,,-0.0419853888693585
GRN,-0.05569356349338233,-0.009646286123094953,-0.025317835339160304,-0.002278663972275919,0.004253783366728283,0.05820878149606934,-0.08192688081294085
MIA,-0.021907105809382935,0.0008719042373874989,0.0031863684485294586,,-0.023828853620575602,-0.0438812128439378,0.0503394942144772
COL4A4,-0.019383322954342214,-0.010720427766113243,0.030362072507842293,,-0.023114872040943743,,-0.03374858304889804
TAC1,-0.01673685063409927,0.005568001080657878,0.007519717103013612,-0.02971377906497699,0.002344275860066061,,
RARRES2,0.020840288788908205,0.015059267638767566,0.05462042053149259,0.005203480960107494,0.008873752690925524,-0.01483994704008563,0.08098596223563728
FGF7,-0.009679697260080269,0.0026684796772965995,-0.029600450319297197,0.012540585162717085,0.04026432323404931,0.06474805857917644,0.053399254576272454
HBEGF,-0.009972927412288482,0.006284137531410157,-0.02593046607980426,0.0017624465851308552,0.07996598180445542,0.12357529259929091,-0.012908916746841833
CSF3,,,-0.019903700482529502,,,,
PI3,,,-0.017345447501695508,,,,-0.005574561848135035
PCSK1N,-0.05838074400264133,0.08481406414615963,-0.04074406851276064,-0.09445106139501559,0.0023998880033920993,-0.03714409821722271,0.016462061410070835
NTS,,,,0.038202823923083884,,,
SFRP1,-0.02435254044189559,0.019803480259110974,-0.014570485289733877,0.013026285259612622,0.05123916608176125,0.0802434554654983,-0.03314749498276593
CXCL13,,0.00825633024971119,,,,,
MICA,-0.05464403099119307,0.01744360964133856,0.03939156618106542,-0.005158143979277927,-0.025217893641026466,0.03942025875235451,0.019475381839137433
TG,-0.019383318586235754,0.06198262185346732,-0.015723862091437953,,0.033801069687311655,0.015115329068757954,
ADA,-0.008750794463234037,0.013437943792373439,0.02946006776581449,0.03692681086775041,0.018403958447816216,0.028637217667575775,-0.05798050879170851
LAMC3,-0.0067027773591280945,-0.017942177746968307,-0.025714678340664696,-0.022707686519890195,0.09767302456572104,0.03758857921075168,-0.04164812040149934
CCL7,,,-0.011368327169634374,,,,
NGF,,,-0.026047741152720034,-0.030945412945777555,,,
TNFSF15,,,-0.012659188321147246,,,-0.023291059164005857,
HMGB1,-0.07366155010895423,0.03309290700549498,-0.03515866848497512,0.012147564294038904,0.04670349247631878,0.04419533433860661,-0.034555967856760024
