,MGH258,UKF243,UKF269,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH881T1,ZH916T1
IGFL3,,,0.024204402980268394,,,,,,,,,-0.0209390767460582
BMP1,-0.054215424364254125,0.10724842888377678,0.1100424316485678,-0.003717519640722192,0.0404502896391053,0.06957646158551219,0.09252618002468585,-0.06580813346664537,0.11177363844264045,0.03427302619203858,-0.011424958241846006,-0.050696687034235376
NDP,-0.015788796840781192,0.03606082785505431,-0.04420269322072782,0.005132588058399649,0.062423860785530035,0.09333451616469447,0.017871545211299952,-0.0140180537044441,0.011291382635152685,0.04272630522790435,0.01588099972530995,0.04559567969767564
TNFSF18,-0.031125636186617678,0.08627756268751807,0.0014134951429620858,,,-0.00267149872561193,,0.060876750018470475,,,,-0.01079508358196899
IL36G,,,,,-0.02026531359215228,,,,,,,
RTN4,0.05377276373065503,0.016799904143557743,-0.13785610409378643,-0.01036240505177154,-0.015868696648189188,-0.034605914599273674,-0.06693646455217026,-0.014978512492075114,-0.03581777944699998,0.003281193955824332,0.0005849465220821637,0.026498515953333673
HEBP1,-0.006786350582265705,-0.012325531388484967,0.03145564244905493,-0.08563689321718825,0.0468318043465261,-0.022487655668825268,-0.003888020670878014,-0.003913013968454233,0.01609481337042408,0.018067151314730644,0.012516166805328128,0.05766037971393612
WNT7B,-0.027420710598375354,-0.054002220855344764,-0.04679310428267291,0.014583119264081127,-0.02227391504087472,-0.025867293839472113,-0.0119589223107892,,0.06793147637937968,-0.033485867347362516,-0.020366673885378588,-0.0010075446912808988
PTMA,-0.02774451888770982,-0.14837988150649822,-0.060346901164756106,-0.014949532252639511,0.023999777688126993,0.004623476475308721,-0.10673161814729332,-7.883283561553394e-05,-0.10235562277492638,-0.05625617303844853,0.03370105748734554,-0.04488871188762581
FASLG,0.04317321399697928,,,,,,,,,,,-0.018160454118387022
CEACAM1,-0.013177031510685408,,-0.01435564584819256,,,,0.017610067875823844,-0.011877145285747528,0.05845452254088358,0.1642651868726395,-0.01351765766452986,-0.025267604620530376
PDAP1,0.039251835314049424,0.04583280229416732,0.08392376169350643,0.013332667606662688,0.02753889354257059,0.1510807482414629,-0.08619600328670132,-0.0029055803185664966,0.029442296333601403,-0.026305247268142228,-0.016114845430361256,0.0344137289801123
QDPR,0.026350451234095438,0.0686311611008438,-0.09764438531564697,0.008399979821942892,-0.09294770291863483,-0.08190447678859984,-0.03313044557662891,-0.02904984170201288,-0.08847599109754711,0.0360021809474251,0.01761459862703361,0.03044191702542461
POMC,-0.04287736705533896,0.06966563967698818,-0.014052820557425747,0.009762595800457165,0.008311507173984408,0.1005008737692712,0.046597090558338154,-0.07485412115116537,-0.001392856429517222,0.06217569083067127,0.047985513814453144,0.019566086538437843
CCL18,,0.045424745042413756,,0.027616137563147843,,,-2.7177534299810806e-05,,-0.02192263062549804,-0.03433749283248817,0.02475668705692189,
CCL17,,,,,-0.018512939298488917,,,,,0.01917851074667536,,-0.01646041188303181
VEGFD,,0.13615783446660717,0.01732518894920676,0.032763193518653755,-0.01984089045369389,,-0.0762301234718398,-0.05162056193950073,,,,
TNFSF13,,,,,,,,,,-0.025543720617757632,-0.015179423569579693,-0.026820867268644587
WNT5A,0.03231933580317794,-0.042214875288980276,0.10260953400457157,-0.026120320602816192,0.0011627818075022258,0.08131609079778476,0.05718412047750225,-0.06249983260635651,0.05072334345519376,0.05059538646948655,0.03614752562482618,0.011650564778818963
CXCL8,,-0.06192362366016819,0.032037444912065345,0.10011125573732708,0.07099186798466955,,-0.06823756815926504,-0.04717039041112417,-0.038598242786035755,-0.027341346801970697,0.0660708229167223,0.03971383119080273
GRN,-0.10559741273115716,-0.03560973047381644,0.1180685317156508,-0.0014115599794685665,-0.05787913032540317,0.010784750087560793,-0.04143755614020965,0.03721837009258402,0.015434547423936445,0.012663027475826549,0.00414327189073235,-0.021334839779808618
MIA,-0.0358913552243285,0.03357052621267755,0.009150233586891505,0.014962726310775406,-0.027173008735936494,0.05243223359204622,-0.029358360982136726,0.060025091440804555,0.14101666158052883,0.0987564298015438,0.022314848939922513,0.08631076144693736
COL4A4,-0.03175653304619578,0.020778449723738747,-0.018424911008186884,,-0.02635882656798352,,,-0.04041991662592216,-0.0014387170241639134,0.051596092394426744,0.015513261489749335,-0.04833905515180198
TAC1,0.0247101728623935,0.012052685526026598,-0.06590945774850684,,-0.046713357113117436,,,,,,-0.02332181041532054,0.03726134724717229
RARRES2,0.15782800250807213,0.07982859382535015,0.1375974747077925,0.10571127234903363,0.015230836059234277,-0.0407651464975108,0.12146812739047805,-0.014833807444502092,0.03854542551917084,0.04497287041131742,0.02215068061300772,-0.006010406808662085
FGF7,0.04231169708907503,-0.016871655718153026,0.03192248781644179,0.03488966023689869,0.030961582703751094,-0.038478918556199865,-0.07478578086146308,0.04414026331824838,-0.0361179825869573,-0.03466001259819413,0.02780399914172546,0.05368353809787703
HBEGF,-0.03521508186839991,0.10414415648075978,0.08040031853957168,0.04924423082342053,-0.031574712397932456,0.05663245659667061,-0.07242156027534696,-0.023876396949347248,0.04897436378188205,-0.009347322079194002,0.054857427132314125,-0.015868111004536927
CSF3,,0.009038271980495751,-0.01949320121116246,0.07851127558593576,,,,,,0.009967814663105508,-0.019379408756106446,-0.01733027439458687
PI3,,0.0133063267986466,0.01344827071743889,,,,0.048493620613551516,,,-0.013045698650956419,0.03875307512203886,0.006564766732020586
PCSK1N,0.05425125560341651,-0.03436873141049515,0.009315858610652167,-0.019205099244191847,-0.09832313889651076,0.034820710460001715,0.05107911307370399,0.02848451103119305,0.10269312227142238,0.05212334031224264,0.052491102596820396,0.08348712740040654
NTS,,,0.041631416108093684,,,,,,,0.023227174379836284,-0.035906244899705404,-0.025663773201067344
SFRP1,-0.02726725119849741,0.023325301681413144,0.06565748995421254,-0.035338875047665065,-0.032028234150719835,0.06521801054860761,0.0275355693028916,-0.052347976976746265,0.1247115030275026,0.06439645709357661,-0.02221441514339331,-0.025067412129552307
CXCL13,,,,0.10507712220634649,,,,,,0.13639240346321022,-0.03161184845612294,
MICA,-0.059824863229289704,0.08842058639389243,0.031067615094295724,0.0510010081101909,-0.007092374845446834,0.025193633918231473,-0.035911351196014574,-0.04497783131203758,0.0902310640566815,0.08745090261517595,0.0036234241069931557,0.038286441931877996
