,UKF243,UKF248,UKF251,UKF255,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
DCN,0.11761309096833283,-0.022269339665358885,-0.003207142907922863,-0.055220408315318506,0.03261172934526561,0.10586344864890371,-0.0074745257871492,0.052845139127271144,0.11642555509861503,0.007325703257853085,0.054918520032138346,-0.005012254791300706,-0.00769641523099501,-0.015511603872943676,0.08954938038568656
RARRES2,0.057828278415908624,-0.07732098208785049,0.009362724126722304,-0.01333948010746789,-0.03357531575882236,0.07741743328316136,-0.09045612108541574,-0.037255838281666724,0.009730898858406676,-0.047579312897256684,-0.041511028760619316,0.05705797972716481,0.004904913757155001,-0.04639802569127445,-0.030811066755574736
SEMA4A,0.02370613035443938,0.0384195477204377,0.0052407248032584255,-0.00196676357440095,0.04571911224808148,0.006717005147904777,0.044860674027855804,0.06320944140547058,0.0005755676129544901,-0.013166262885580335,-0.046104206736913664,0.1261205379390669,-0.016816758511004438,0.0014368559152516285,0.04696387740638477
GDF11,0.08174728710348211,0.006074284090423098,-0.04396203703233155,0.0021211893542186456,-0.004468072698704235,0.07763200276355195,0.01572541632707506,-0.0006999076976431016,-0.08291830783964643,0.003900161627585076,-0.023431766557358423,-0.031561365212200036,0.04854259632887327,0.014771959801175313,-0.0341683890109033
GPC3,0.02147231826679506,-0.03720617414705852,-0.01701648775775374,-0.008692627491410039,-0.0027602608892071277,-0.03312878180204259,-0.02101704215190069,0.07737076305015282,-0.057204538921479725,,0.0013155149024459516,-0.046957178616064334,0.06945256061406775,0.022535351212445386,-0.04067739955815201
OSTN,,,,-0.02739572109945578,,0.020044754688213002,-0.02359736084839293,,,,,,,,-7.927167928643992e-05
GRN,0.03313065340578178,0.07213131523359166,-0.007205042242298446,-0.02695215512208332,-0.04777979852897062,0.0312840805703069,-0.06764986938362544,-0.053119760162573894,-0.017460964315308154,0.01151811253876383,-0.004004405560845478,0.020681978329866693,0.009518693939865954,-0.02368700105934847,-0.012970798631051243
CALM1,0.12256220851568385,-0.0080834326165516,0.09550659792500173,0.0317642654502737,-0.0012324683195649832,-0.08002285689600513,-0.06162704941528508,0.05635176507251191,-0.11914352075809749,-0.025210190360462334,-0.022455533693345502,-0.035772668770103475,0.031725240528274086,0.07436847180738125,0.016031439468816428
ANGPTL4,-0.17093466465033957,-0.03467869526194416,-0.03410494278210083,-0.04333302315907108,0.02022264607863672,0.00827062604664307,0.06219469874956094,-0.011570879214571119,0.16584904944600368,0.013656968939005051,-0.04555097070621285,0.016822046934709747,0.011445849268744998,-0.055019799072897474,-0.06554407997860673
BMP8B,0.02717429178108941,0.04828740372324123,-0.02993698671895088,0.058327167458498,-0.052853230341027305,0.014265511778893566,-0.02519863593308236,-0.05337778615009451,-0.02743672358570367,-0.015424458878259908,0.08342584316844959,0.10082159584077159,0.05969912971154975,0.03499218032989096,0.08764653161632326
