,MGH258,UKF243,UKF259,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.01569721557707129,,,,,,,0.04887619920997076,,0.006676115208619506,
BMP1,0.0566347563315618,0.09863467251623083,-0.04262834170514422,0.12247135509317428,0.01128607435281879,0.02545581415379666,0.04627184705529793,0.09654904056407689,0.08378002863643297,-0.055711026898864494,-0.017038860573934955,0.003431929858307119,0.034202288245063724,0.04258910542591165
NDP,0.018255711732241508,0.0451720661963205,-0.04382123133469426,-0.040212404602812266,0.015607858028546731,-0.019218548983956623,0.06539150361161465,0.05732041435070533,0.022401170417525842,0.03666398978057739,-0.010660244099068465,0.006014984002164332,0.09759323223335406,0.060130268781573765
TNFSF18,-0.011657183681635163,-0.024338513646005193,,0.15944972936227994,-0.014222981047197495,,,0.06437853240181378,,0.06555202193121286,-0.01609853884721083,,-0.0027070889630354173,0.05465927266010238
IL36G,,,,,,,-0.01927415280364909,,,,,,,
RTN4,-0.03071630518694807,0.04718769301647944,0.013497249238611217,-0.09449150399497983,0.007216737129296176,-0.020562685116734036,-0.022477583634552108,0.0012300530206690026,0.04272152778421034,0.03802795394200548,0.032650166973284454,0.06699887689992583,-0.00037391865719994577,-0.06286266016025022
HEBP1,0.09239278171309741,0.0500269128195721,-0.002893850449185345,0.09557691963359913,0.03552242026889152,-0.025220339311801062,0.006632108560488492,0.012297187297096251,0.014254286423502672,-0.0035485516079017477,-0.043970683747140575,-0.014882576998705236,0.07054493692950593,0.03199534889454909
WNT7B,0.03918657020464028,-0.05680636140077919,0.020381738994279322,-0.03978881279076958,-0.04076885118771246,-0.012332311869204114,-0.021184515111553337,0.032147832582545666,0.13616232715145685,,0.043538760141960425,-0.02006997217502752,-0.05538660787232854,-0.03275015374076202
PTMA,-0.011385655539899186,-0.06658702062464297,-0.003701219107173339,-0.11698172671884233,0.023119115374066117,-0.02510367604437154,0.028829422820867284,0.0303154018931059,-0.11333559616781902,-0.02812657214895671,0.08100879067969144,0.01346131180390748,-0.044485910358468536,-0.023646347363685035
FASLG,-0.03234853379687755,,,,,,,,,,,,0.050346176289501526,
CEACAM1,0.0702961666615674,,0.03639499460370354,0.03255242149038625,-0.010190624677280196,,,,0.0322489620464347,-0.030603815919253267,-0.001446701920166264,-0.013320732424229058,-0.03131354982685743,
PDAP1,0.053562096839319756,0.035336013761723295,0.05701108281465075,0.1339454757513444,0.013787501333738118,0.012216410708584279,0.007396810204748069,0.0625282682089136,-0.030323432173091126,0.046580025270261845,0.0006381659002775472,0.016443560456362954,0.052294340820135156,0.027872739191183125
QDPR,-0.06880074282380817,0.04094942478087795,0.004539152372613933,-0.10830478841977932,0.034272784238899553,0.013388227582030445,0.0266698958165889,-0.020584014859898858,0.05146436478311009,-0.043195286835864224,0.026327783556213225,0.018712578954736006,0.03257010275264163,0.0008502691138567428
POMC,0.061687069420861475,0.0226718029147843,-0.018402875860766086,-0.019155999555153673,0.052151956164853276,-0.03316902571420547,0.034598425939202114,0.1129008082415157,0.03420490514577792,-0.008443625772999246,-0.008901989632303027,0.04511054104286132,0.006555580858249529,0.042007947258176866
CCL18,,0.020791987089667372,,,,,,,0.00355463756738621,,,-0.019346061967503967,,
CCL17,,,-0.017677479153820123,,0.044209078259979065,-0.015263945002270879,-0.017607485779146014,,,,0.0034810796103540887,,-0.0004278263408741985,
VEGFD,,-0.03677568125345477,-0.019694663896437217,-0.026297046771795434,-0.018899219260057082,0.08823155039930296,-0.018870487872097327,,0.014126172910182125,-0.04160521709547232,-0.021706778095171724,,,
TNFSF13,,,-0.01219352948663922,,,,,,,,0.001653327457679419,0.2551817091735704,-0.03323847179933446,0.11699677669605565
WNT5A,0.008596183766463433,0.034916521133623396,-0.004536642850551289,0.03865901750835894,0.0021543897612539206,-0.022794694779195223,0.011718886148449527,0.04225688187407517,0.03237148016054659,0.050244341070038334,-0.01998657663614904,0.014422574145152273,-0.005277655612164518,-0.012431380066986462
CXCL8,,0.030068573222073722,0.02220223250259345,-0.0011134495756137442,-0.018458841806328133,-0.010426470451570807,-0.020160482660484653,,0.04536162672187313,-0.029160585865023094,0.0974944956657622,-0.05398421830361582,0.042148125800985266,-0.018016732450407972
GRN,-0.15171020133341284,0.03741631180138216,-0.01643884535414581,0.05759641824393696,0.0015571304905051782,-0.014564544857281782,0.06032592474070556,0.0011375563780350064,0.014934365534369396,0.090469301771711,-0.015371897814641803,-0.008629453519628686,-0.04224156944033639,0.004228167210952479
MIA,0.05055513651280494,0.04800784778548938,0.03168507664199022,0.011005415270258738,-0.018216325632330194,-0.012733419970922644,0.026589165629036387,-0.04754882046961948,0.07007513022914609,-0.01987951707838524,-0.02457070059387262,-0.05034317098788133,0.09352901222961431,0.14718446821401507
COL4A4,-0.01228634341443608,-0.03702114130893743,-0.04260511206412342,-0.01546844082275405,-0.0035805447984966613,-0.0074126703690338734,-0.025069636780401923,,,0.17647807852208722,-0.014672544706663324,0.10111873772776526,-0.015390815731131088,0.0028056635893351123
TAC1,0.07411611049878461,-0.04636609328553657,-0.002433245587334767,-0.07993822280708258,0.0695470247832346,0.017207960850649934,-0.0047282829059807595,,,,,-0.02298205827524839,-0.02681656293209991,-0.0668862065727439
RARRES2,0.11195357367529118,-0.032736879728694115,0.0334801424421989,0.12039188160026006,-0.015425531683158276,0.02999001052923831,0.03927243635334131,0.03624312783086381,0.04676470502641081,0.007343833856959335,-0.06794955988136335,-0.04269565123917304,0.0030140535207190317,0.010808926351879274
FGF7,0.02607076156865639,-0.03843507459177457,-0.03133497196712462,-0.0074850040457031496,0.01981334455230102,-0.04440359606205347,-0.010008140404110534,0.07967156200792172,0.13954924631995075,0.023927407725762097,-0.01125640825936302,0.03661578349368213,0.10960355291367817,-0.028263396088908762
HBEGF,-0.006904239901794561,0.013556505516073496,0.020886492152099177,0.06621551577477913,-0.010367255898226138,-0.028753141761852785,0.08883052561916847,0.06716919326842626,-0.07560684241041825,0.02555771092118906,-0.009928841186366893,-0.008336448558949222,-0.050434614228839054,0.020663072011352795
CSF3,,-0.004786813411449141,0.04818245631066524,0.1440569456684837,,,,,,,,-0.01909708952441014,-0.00142324828770627,0.1267693046103826
PI3,,0.06708077599198696,0.023992433292026473,-0.018427558053861443,,,,,0.1914863793938182,,-0.017487057493608304,-0.07389804053569878,-0.02925289459651769,0.022591110159465192
