,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.025515044233501035,,,,,,,,0.033967214053795505,,,-0.013799798456779406,,
BMP1,-0.06105279835785263,0.0541481827261101,0.014681316509709233,-0.05155957684574057,0.011555823255598433,-0.03776148177298638,-0.07965626713376515,-0.3300924872388233,-0.029966074532966003,-0.03500796319357127,-0.12607490153125311,0.09103071082638757,-0.2475891108897534,-0.023016218944061938,-0.09302400074434837,0.0923185188285141,-0.05500485016511191,0.10752048499414515,0.11642513888217293,0.09815463786846979,-0.018268149841489306
NDP,-0.040571548474316384,0.054175239541764425,0.007208456085534167,-0.029485431356627713,-0.007972637931054297,0.2176044870046628,0.10561269663129705,-0.06177134227239058,0.03872178769123746,0.04437342117189233,-0.11418694848763151,0.14004263060412753,-0.10980876604301805,0.018160589798348097,0.060005159988335,0.09937873174782584,0.036549449634027044,-0.04810314123265628,-0.02457133194061051,0.013184997054259785,0.019047815600127124
TNFSF18,-0.041101216091617404,-0.015295535230563092,0.050905958192533435,,,,-0.021546343198168533,-0.07946951023268418,-0.03619126876263715,,,,,,,-0.03487709569822192,,-0.06247732645286896,0.09760679272436062,-0.012884080109047966,
IL36G,,,,,,,,,,,,,-0.04443727099393113,,,,,,,,
RTN4,0.24771872174137105,0.10194043945570909,0.10253511186715272,0.04803091279755442,0.0724293525605417,0.21461620121501535,0.40695134497717556,0.43434550164692387,0.1332457817130589,0.1666318275941084,0.379517663806936,-0.03327504831842999,0.3975870242646397,0.0247110915154832,0.007170051483549161,-0.10263290027758959,0.1688354690116264,-0.009139374114825018,0.0042748307592581644,0.20718312648285253,0.09386882629074365
HEBP1,-0.012501962816568256,0.010347688790550548,0.08956587655547497,0.08562397906517621,0.036418959073116645,-0.016048280158773263,-0.12785149755070738,-0.19700742167218804,-0.024892914632295645,-0.042309552428999336,-0.2185321879153842,0.0031369210211694793,-0.018158164156584743,0.026573226738905813,0.046156676987614643,0.03069639674359358,0.04165655979844557,-0.014384649587794689,0.00830342949104536,-0.03704521373835056,-0.08093645328847036
WNT7B,0.2913779336802553,0.01954084798218186,0.030271340619663818,-0.04575542584185533,-0.013646511146565694,0.07063679910452646,0.13740618142716393,0.3327517861599715,0.010948099318538958,0.08906034899278634,,0.05359722355319821,0.05508240333865013,-0.027289388268483247,0.0066389183102423255,0.0811931802978386,0.00731929166889396,0.13866079979506676,0.03948074698609765,0.11226937610368473,0.15373558190291237
PTMA,-0.012262742626485848,0.07939832216154825,-0.035799393642009854,0.022853432054199957,-0.03524748366142349,-0.16750032680741145,-0.3833494444903189,0.09821537038887254,0.1202242006431471,-0.11569903819322279,-0.4621461366912774,0.044440786118882095,-0.42475977420355,-0.10337811935432115,-0.019228037256468503,-0.09423748138110229,0.005778436102778596,-0.001293723460581313,0.10780115635294336,-0.041668614321731946,-0.20142082514687212
FASLG,,,,,,,,,,,,,,,,,,,0.2304128385648024,,
CEACAM1,,0.01420974318700099,0.04908817874776271,,0.01903647641632335,-0.020776174898805524,,-0.08609643235329441,-0.04468310702203113,,,,,0.030873863466482476,0.07903548770439868,0.06708895431938348,0.03476808634294272,,-0.0346625573859405,,
