,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.020044167980897167,,,,,,,,,,-0.04135129351133222,,,-0.042258449084983,
BMP1,0.028824038433576095,0.01568141094465168,0.03804619787201413,0.023358537259483232,-0.025732556265419555,-0.03628610323471272,0.01900561488056051,-0.025962206188991782,-0.014819764960784477,0.0016612173426820173,-0.054088405608595846,-0.08841656844052995,0.034350159317660806,0.04745721326828057,0.01658885462111145,0.0637962272694379,0.0482121379229556,0.11592030724607862,0.03626208187973871,-0.0053199827074740524,-0.005548382548528241,0.12391183241499641
NDP,-0.015280736772093996,0.07798348665812502,-0.04183619990971403,-0.037339342776582435,-0.022246931531540344,0.09291266904950973,-0.009142295396983335,-0.07766324696056216,0.02519549414687891,0.011887337728238362,-0.029770267971613296,0.04103841446908914,0.014178312432760172,-0.03256346361866488,-0.00040077543569932734,0.0007858097737600329,0.06844798221438506,0.04789966273010869,0.0428464429067488,0.03264677801676898,0.04572721959077631,0.023622452819775357
TNFSF18,-0.03184657064399496,-0.02154481932458995,-0.016730123147494638,-0.01773233314572389,,,-0.022181094858516583,-0.017187935950547982,0.014017772775828174,,,,-0.028742969563577574,,-0.05814472927602782,,,0.01072941863756313,,-0.03214810438112906,-0.052348691478561145,0.030972703166128945
IL36G,,,,,,,,,,,,-0.021740078193274004,,,,,,,,,,
RTN4,-0.11318678735343539,0.054472411332837437,-0.0012434090998296305,-0.014633884114749288,-0.04598059269723607,0.11581323386631552,0.009542955812399943,0.04959699107266608,-0.03408245767483183,-0.04085227802515303,0.10180339223856646,0.12405516714322286,-0.10921712161425175,-0.01389701057142058,0.135434809031241,-0.03713487951023216,-0.06274712248143947,-0.07905103092887743,-0.03838751407453154,0.05292933433057136,-0.012995073461923528,-0.16928252440610309
HEBP1,-0.03594005653350317,0.06440293643520245,-0.021022993419273536,-0.011977425050163866,-0.014352322355863666,-0.047546745537140736,-0.03536143136538856,0.0027208693825910442,-0.05295297242852755,0.014668446442350724,-0.030766689937954308,-0.006357353903482079,0.05804603031823779,-0.0007642717099996371,-0.0025901439587641545,-0.06896427420373644,0.04276202880215908,0.012631821591776891,0.059063918471454195,-0.036733579351206525,0.0005834156144089096,0.06345067556100983
WNT7B,-0.028055831275029627,0.03646843917524824,-0.014767723526790932,-0.018040739480509375,0.022811227292180537,-0.003536858191379075,0.027919169730291397,0.02340381727676522,0.05488346017846853,0.007326417929853298,,0.005341888958844946,-0.03164320402017396,0.035302293226823885,,0.04492811811559895,-0.015653009563326943,-0.0022311735074725435,0.012766878571353002,-0.03214807104595977,-0.007397546512761337,0.04269245168452212
PTMA,-0.08507838305836245,-0.12625935328392532,0.029608750804291987,0.026928325431856397,-0.02295573193894241,-0.06895808142910308,-0.012277864253227784,0.01286946393209246,-0.03319139472003008,-0.014352690438686802,-0.17763934408260335,-0.07223259591232299,-0.04395818590388503,-0.12453154407998346,-0.10550624821668002,0.006835129309401449,-0.032124251287576004,-0.10361957856330672,-0.10641860370171301,-0.018470783987406803,-0.08316606982891726,-0.0117520470479255
FASLG,-0.02805583920634126,,,,,,,,,,,,,,,,,,,,0.14640931999351886,
CEACAM1,0.024105389050598024,,0.04054109959226041,-0.013845182473876751,0.0073091108654440955,0.01105274542191524,,0.0006000322273031385,0.10513129739097651,,,,,0.05758127562478121,-0.04088561267727182,-0.03129633826557626,0.0421424936076074,0.061124370986174514,-0.031009862822533932,,-0.016575215266341786,
PDAP1,0.050031158329587155,-0.031553008331568745,-0.010028276749317208,0.028512544355385295,-0.018259490793485874,-0.08259648631177398,-0.018360871865894825,-0.05366714677226734,-0.0014637936371038847,0.020440691335656,-0.04413529071537353,-0.04492251202334977,-0.001640238472322125,0.04332054523496094,-0.017914773882986793,0.0034317752573898358,0.003638539175493557,-0.011349833365268338,-0.06112721627340463,0.036764380428837014,-0.06467708116716568,-0.047606902322896556
QDPR,-0.10324255220871613,0.02401399614395901,0.03082741501592129,-0.028593888770768055,0.02032577873275574,0.11129104827957025,-0.016669201649140312,-0.041531683431722095,-0.03429847535669827,-0.08499924613135035,-0.16553041656530726,0.05219486485049227,-0.06755147349226297,-0.008682644397244733,-0.07515601352961325,-0.11245999352865434,0.021995280374716417,-0.07507755642098092,-0.015306873481563036,0.06642703615229832,0.03315167840125316,-0.1261184072187467
POMC,-0.037954016361590966,0.07693813556614665,-0.04394507450851955,0.04146692207288582,0.005078330211108881,0.026152807898002412,0.004167493909949598,0.08488792989015376,-0.026602040792943243,-0.04009738668046473,0.033312030981521856,0.015205539523829492,-0.03590740806482171,0.002884170222873908,-0.09733351730855146,-0.02462338781817218,0.1299162802351629,0.014643527072276378,0.027331010049623586,,-0.012324381444172156,0.09446700105917857
CCL18,,0.04880928419217761,0.020456588082313685,,,,,,,,-0.05833259510347771,,,-0.04498771851027467,,-0.02218961839145454,0.09835506698642994,,-0.024479452355509173,,,
