,UKF243,UKF248,UKF259,UKF266,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,,,-0.020322177022854607,,-0.02830176518780574,,
BMP1,-0.036994792749124004,-0.016549586905602924,-0.04592882400037748,-0.04240553852691992,0.038458460762094845,-0.023094753183229646,-0.02603513048901205,0.05560247182087334,-0.00582782897130577,-0.17609121504652478,0.021549499728254918,0.06576021435271863,0.0026901437120064138,0.016931752516316227,-0.009144371704994107,-0.05318251077785024,-0.0011763340315404142,0.05241584997490129,0.08329236849289241
NDP,-0.0922063280420266,-0.03286459222893056,-0.055744247663675243,-0.06056736910642801,0.009034454315762384,0.00675585093230449,-0.01083231369844542,-0.003956692095812474,0.0698578400109281,-0.022495688128587165,0.07043916838793705,-0.02119168519204602,-0.02742223537395993,-0.008979191633017539,0.01707097642770159,-0.054805697116635625,0.008899499179293988,-0.03367047624164892,-0.05848148767019022
TNFSF18,0.016045948536214306,-0.0385446673859506,,-0.010398511043761704,-0.013383383838686697,,,,-0.02739622677476643,,-0.04782908191772893,,,,0.026441690001640133,,0.04234622936601127,0.010811132553974763,
IL36G,,,,,,,,-0.014337272188861532,,,,,,,,,,,
RTN4,-0.018422679763574586,-0.041951037093448676,-0.042358775955786195,0.017695045449546205,-0.03711125837935655,0.015180521313395152,0.011205933703430367,-0.04178856603525044,-0.017730072476454813,0.05043798917498276,-0.004829017745001499,-0.015399461654208331,-0.03269575334821441,-0.006335653794432874,-0.023749253145676916,0.04709063370178772,0.02903634390397503,-0.05202856662854169,-0.020011614548757967
HEBP1,0.032851395334477076,0.025605084223553957,-0.0054001204590825806,-0.03696937799045326,-0.006587576057497046,0.01518251563170446,0.004020342063499533,0.03591415719487906,0.053267813127944826,0.03729005237499531,-0.11760796114627438,0.027712427111095696,-0.036397556258929424,-0.005939055552241543,-0.005721347670586134,0.010499700137777217,0.02162923387438805,-0.019035481463297435,0.01836302341346194
WNT7B,-0.05685467784311312,0.0019317551898099725,0.06296131446109418,-0.020361092845617615,0.0682775653120975,0.06244732935578344,-0.037895357476590646,-0.015758314382870668,0.0693498348851667,-0.023024887232140946,,-0.03693324493170259,-0.021292618215587002,0.024081804599549853,0.0028156971823556755,-0.023135556584168587,0.04767303240007294,0.10796440210327324,0.026643898043214556
PTMA,0.1700827278308181,-0.06122481800392246,0.06964464815776476,-0.05952973296121241,0.06640478395277914,0.08393525291770292,-0.007691007457886518,0.06774552260057116,0.008457681084418902,-0.005485012622279451,-0.11443937092678343,-0.04757923096461584,0.02299648944639602,0.04355353710932878,-0.0740568089590615,0.030267940125690156,0.03107946258307606,-0.04602160924375335,-0.005546160364252228
FASLG,,,,,,,,,,,,,,,,,-0.024546111292097206,,
CEACAM1,,-0.02453262444768024,0.022610365695010726,,-0.0078223600682527,,,,,-0.013837452266727909,0.022888315621702383,0.030131960363545384,0.1750182001517591,0.04047481879792997,-0.013811765659194411,-0.015355405381517327,-0.034152308695424585,,
PDAP1,0.0687478584141867,-0.022585388875845856,-0.021154209931247236,-0.01943416962303763,0.0030929371008601467,-0.005814108747634201,-0.022844137733151294,0.056817540505809644,0.023376501100076892,-0.10123881936661278,-0.029053679013803548,0.07208230092250509,-0.05498191660001495,0.04591219064901519,-0.04539730152840714,-0.015215151626454431,0.022290077037041115,0.046591831635264876,-0.1067028878940208
QDPR,-0.08536074801511206,0.0017811584803430157,-0.020454770153411832,0.05639426092723085,-0.06329751151927375,0.0023258637161652634,-0.002962569422847992,-0.028605497508140353,0.07366857054197858,-0.1693508761327231,0.0767986830874717,-0.06941291236834797,0.04029764796745923,-0.09832363598681308,-0.045603832465874794,-0.04339820315282712,-0.08120574451220293,-0.06520323896753195,0.003915973978728931
POMC,0.02299640827600835,-0.0249039992154006,0.012772725031939911,0.028957541135484263,0.019814535900101137,0.015674569036600798,-0.030925019677767257,-0.030717759333432036,-0.06272839787655966,-0.014820269773412163,0.018178917207470925,-0.07887886298751498,-0.06025086665073312,-0.0152999008943276,0.191131472334752,0.0329367926162365,0.06147583015532983,-0.02530216593503126,-0.05677033081464028
CCL18,0.06033877134322403,0.05129512726068709,,,,,-0.004258685509510153,,,0.04225634336313252,,-0.023484273453097036,0.04459221876455108,-0.01636815005629942,,-0.02053405460739606,,,
CCL17,,,-0.022112117468337553,,0.04961061456864905,-0.018597195145561095,,-0.013097505179544446,,,,,-0.019921018150067582,0.05549977466614006,0.12547238628573265,,-0.022248292876419776,,
VEGFD,0.04829054475918226,0.03921145285281055,0.04595175950683957,,-0.017783578897384727,0.07132060173891297,-0.020894193390379102,-0.01403700197435643,,-0.053930995084464695,-0.045721915158294026,,,0.05656410027223817,-0.028258995569363822,,,,
TNFSF13,,0.03723772129161791,-0.015252443745857165,-0.010084386460677604,,,,,,,,,0.006793960771958047,-0.018603555848947285,-0.011404775570717628,0.0039051817643972193,-0.03625173625257289,0.005861241864569167,
WNT5A,0.04939550839010355,0.028916898057882227,-0.036698354258298094,-0.04845420046735308,-0.0302051428992176,0.009877505645380763,-0.030814724966260698,0.0661408625043371,0.07827562743272964,0.037780749463363454,-0.030712673750841784,-0.0028674722188448062,0.00022487934783313573,0.02056645561393087,0.05573104519482951,0.007198168185588325,-0.00869110584596947,-0.0004892555927556521,0.011763569486400912
CXCL8,0.10158522875850805,0.08056768270703067,0.20364665365554552,-0.014344385675523373,0.04325032150039274,-0.012703341478133014,0.024875650188651503,0.0997101509058854,,0.1605123081258629,-0.008312154457120443,0.06563066477184129,0.0500379419775387,0.09312515582267178,0.004139804627238206,-0.023241194678972156,-0.006074107077058559,0.029419179705179526,0.07104888189291585
GRN,-0.03882705594049259,-0.014216223353929093,-0.05963546479273946,-0.08368201154871208,0.005507958011163071,0.030056963545278245,0.004927986167230719,0.012139261666523106,0.06094747020926677,-0.11282442184753273,-0.16235387614671812,-0.04252046536743799,-0.004497173150880215,-0.006206778936942148,0.00947493295402979,-0.06649197472718021,-0.030248835333394418,-0.05479516248591866,0.04430515264769249
MIA,0.08918409125720021,-0.01722323969081945,0.07961562982622333,-0.01823451560790639,0.020665494121748864,0.0032231421622346632,0.029246772961877807,-0.01922431748543486,0.014496514553969551,0.06516290634604001,-0.004567583403092348,0.05055585759722819,0.009460385719609846,-0.046943279603989654,0.03818591644576976,0.02801914802884676,-0.007878676180410618,0.13249022510365138,
COL4A4,0.011148335827857896,0.0014839250566850456,-0.05329318928994443,-0.009594848184947255,-0.017426635883920762,-0.002779058877113278,,0.01746287339067002,,,-0.03580116002692252,-0.029691459382783423,0.006563641404818809,-0.040661075969968055,0.008786194712658898,0.016692723875959676,0.027302259714174167,-0.0320357908600674,
TAC1,-0.07483107744134723,0.013023420020959959,-0.01313419625996727,0.0303133049350402,-0.05653065509048619,0.043891929041491355,,-0.03304869242416325,,,,,,,,-0.02649244876927389,0.04449629070094127,0.021070079453170375,-0.05909383992886671
RARRES2,-0.057930422582627344,-0.08517251271426815,-0.029739726547289104,-0.01622193563901664,-0.046827806866898025,0.03174514494312702,-0.0004872757337318375,0.06277634729500228,-0.009123350839176777,-0.03268806301921833,0.10526345807802988,0.03129894634683175,0.062110831121824216,0.09802839043689357,0.017098000275855823,0.03903653733732677,-0.0005738039435128161,0.035652246670929685,-0.048058766597993935
FGF7,0.043880156518257475,,0.012048968985885701,-0.027500448465436342,0.0016763417991712457,0.011295992417463159,0.00705838011523694,-0.03398237991303959,0.020480158969592162,0.04297189664084414,0.09685258013022166,0.01832701228144492,-0.024576782919564874,-0.014622375738753697,-0.05274508505346023,0.033510912202837535,-0.0864371057842417,0.005055143106343239,0.05298377185212816
EFNA2,,,,,,,,,,,,,,0.011231716035586998,,,,,
HBEGF,0.013274268013373738,0.03380850305768046,0.065547951256777,0.003951912646137045,0.011446556442711907,0.02392762025317184,-0.06006366091247928,0.018343329342578013,0.015078736958904496,-0.07675775207379593,-0.04045246553410841,0.030371441590479626,-0.0009955821261137148,-0.01607805628703456,-0.01360438324942742,0.027076393503588526,0.023153562860900485,0.07386364570757988,0.007589334477964287
CSF3,0.06429242350792502,,0.24697799960098676,,,,-0.03138989497825474,,,,,,0.04347743938442057,0.08381198375413512,,-0.022014071142294356,-0.004940550165113071,0.08896148544098405,
PI3,0.019424411322699876,-0.032207636789463666,0.19992886755017558,,,,,,,-0.0027765905983030163,,,0.06333076873718543,0.1134754575802678,0.06498176173153088,0.03592252211357736,-0.015221638560838623,0.09717756044507066,
PCSK1N,-0.15588318650881067,-0.06331396990820749,-0.07258337597356289,-0.027732745120959322,0.01390202788315331,0.06505435244975781,0.044877676046374784,-0.017921236518434226,-0.07314322001912289,-0.09974751446765227,-0.006391505971068538,0.04914700455915763,0.07721584858189125,-0.05881950410937433,0.11129007172501089,-0.04760904955159861,-0.05286782847148312,-0.08112908528411492,-0.010776602168716074
NTS,,,,-0.011713129605848624,-0.019907905780732916,-0.015344249843516317,,,,,,,0.02305745892871391,-0.029405228445243927,,-0.013094762574829565,-0.022593142855869698,,
SFRP1,-0.0136787272461658,0.04299412198858228,-0.019293677203857978,-0.03564839321461929,0.013463060504913384,0.07122470751169456,0.02881330363068311,0.045044823593332506,0.04062989713502576,-0.03503866127579346,-0.05478348738070453,-0.03659735905602568,0.06222073979406687,-0.018992291702791993,-0.01993767875933407,-0.015610806965162165,-0.033881723657663086,0.055052742171233696,0.031899298791431246
CXCL13,,,,,,,-0.052433484564184306,,,,,,-0.0447466911460469,0.09028091588746115,,0.06766727186151385,,-0.00820606546971346,
MICA,0.06542838094016416,0.02033866580743409,0.13474946765528648,0.0251843735598078,-0.00568475264641746,0.01600799909900338,0.006338695617840021,-0.00926495018085643,-0.04287053350447346,0.0003962227772741093,-0.02606129914046973,0.002617573038470955,0.03946692629381794,-0.004889882813877443,-0.025540021537622054,0.004717559149033942,-0.06311381407887452,0.006221964017520231,0.058690879446444584
TG,0.006951255241167024,-0.04821024880162204,-0.020820934482115933,-0.01352003930160375,-0.016816241279795398,-0.013458709366269993,-0.005381572065895399,0.05021380603496251,0.09448584355699266,-0.07563879403217474,0.15951219971388367,-0.0016305856547790254,0.04019953214694457,-0.024753384758948716,,-0.018117918831111617,-0.000862231641137986,-0.030121817816464218,
ADA,-0.05180205323166121,-0.026548148113167983,0.0001850390212341966,-0.02641272482920542,-0.006503707910322015,0.004977889317670384,-0.0016114852084567616,0.004337487571107476,0.009054267903267792,-0.06667847330820469,-0.06463913719133672,-0.05438878385364369,-0.05431176324546929,-0.039137138618557,0.002321213299100857,-0.013004246237613471,-0.00990419310250957,0.04632370485152203,-0.0289394450559238
LAMC3,-0.07070918137140166,0.0008827716761564893,-0.029405488766847204,-0.007300809880751383,-0.002484847288645895,0.04600703397615135,-0.04457325007757017,-0.051330821310314856,0.022362909490635116,-0.1561441739771826,-0.07204079084349974,0.04052883005071964,-0.11401046771210656,-0.03110589891773596,0.020517962586006903,-0.002281186247346205,-0.03112599926488312,0.01751170681004734,-0.0068097789122423015
CCL7,,-0.01947334296290734,-0.01505350236435262,,,,,,,,,,-0.0298570143998796,,,,-0.02454610256379302,0.10462998852276435,
NGF,-0.03804924982805015,-0.012136993241410505,0.051900434950413264,-0.012901743798432456,,,-0.02314245361588699,,,,-0.05537655434830425,0.006134149467812379,-0.03448246139713402,-0.0238116465191472,,0.0007071649720723714,-0.0050645986605183865,0.08528658013949264,
TNFSF15,-0.03487323175459828,,-0.016762811140075953,-0.01566554546003816,,,-0.019989702110799205,,-0.008517264439458433,,0.14854980102756132,0.08381375152779551,-0.029107236386322437,,,-0.013670360244394985,0.08670043619622625,0.046828453222817576,
HMGB1,-0.17926337391423203,-0.07736034111495985,-0.07347076226151064,-0.03740631038264255,-0.003291092827651364,0.026221765764889715,-0.029013749180751777,-0.07739382371859388,-0.012205493288932754,0.0233097597141808,-0.046076042500383614,-0.033809065228915275,0.00871046682368424,0.031785024084307244,-0.046732316762267606,0.02948017809806688,-0.004325213460613835,-0.07098100379063965,-0.04236274708173717
ITGB3BP,0.017078145835384938,-0.0608733887405823,0.03169068961434925,-0.01707425211009818,-0.02353946320932501,-0.01920898717754538,0.012518880357903033,0.10662966285163337,0.051474188018670104,0.04146734581599744,-0.03824182694784156,0.05141585888408925,-0.040229747963957306,0.04738219791624368,-0.0038242971261372724,0.0785921316139018,-0.005655072061411105,0.09264596816335609,-0.007083060406069534
AANAT,-0.021757248007895927,0.03329005428642085,-0.015252445373721455,,-0.01512294405733993,-0.015514069868972354,,-0.017569050408456757,,0.0629763255563544,,-0.024459855218470748,-0.026193026230989954,-0.019214849166924033,0.1044597324056044,,0.03847505974883975,0.07451687417871163,
RELN,-0.05700697618707826,0.035667186564249845,-0.0264748294592661,0.02507208188127845,0.0012672350189824881,-0.0021949712186753578,,-0.019450455249096256,,,-0.010707927115617395,,,,-0.001953178096725331,-0.01651231368646534,,0.020718317290938457,-0.05498719256325908
IL15,-0.017606807563914695,0.02766507190208317,-0.029779100586914006,-0.01114696690073344,-0.042895239286208225,-0.024095547890932493,0.00398229984219133,0.16842586270076582,0.042286855469626294,0.03341399220958586,0.06376479844177979,0.10363179961106363,0.047777779537639585,-0.05152846492677135,-0.016022376151252515,-0.033346215975222256,-0.03660569841082311,0.06532091457665283,
UTS2,,,,,,,,,0.023265139953134995,-0.1432892188425195,,,-0.02230527884010809,,,,,,
BSG,0.1138405715487027,-0.03422596323213124,-0.012015442920248908,-0.020946555134971144,0.0722475743465499,0.03847761846035156,0.011451033156654137,0.08000523151843769,-0.01307770661700447,0.02340727020158634,-0.022474577489084754,0.030525519386306803,0.01472911792252814,-0.01848899226463471,0.08818224254085927,0.005346901106224522,0.01771626829235769,0.1420253363356584,-0.07175847413083292
ADAMTS3,-0.030953313962575543,0.0045702223891412935,0.023895188161849355,0.0676998529980946,0.03212061871099479,-0.01606170194177329,-0.009688275405026965,0.07926401463688051,0.0035460934858514456,-0.1579440224915876,,0.018606588500616725,-0.04070915853878566,0.003465684150631862,-0.03191449988203671,-0.02976874842299057,0.06162159838019859,0.08459887429110001,
CD34,-0.05297791077796798,-0.00835081130301844,-0.015930081240926024,-0.02487421627513486,-0.042972749223731226,0.012147127115607092,-0.011836708729943074,-0.037735410135586296,0.04330868591940278,-0.15466345451718444,-0.03964695546457274,0.037034189588650464,-0.02493513261532358,-0.0010662360836665755,0.056825522730757375,-0.059084454980260666,-0.07162146761282472,-0.013962947848209725,0.08421429168038619
CCL23,,,,,,,,,-0.03053719649713973,,,,,,,,,,
PLAT,-0.00760873056486862,-0.06183267784634487,-0.10834242704246143,-0.058254318690044736,0.07530309834042902,-0.0365115364061442,-0.03443006962728295,-0.0018960542561230706,-0.04976894498985544,-0.08806974216952414,0.02140703474775815,-0.05465793868791207,-0.05190460100624711,-0.07528168044205627,0.001257687891968711,0.0644920194145522,0.04024711453983504,-0.0035833256397125295,0.06847769147291219
NTF3,,,,,,-0.025043409720053925,0.03625875581883352,,,,,,0.03945065497643772,-0.03128849675353625,,-0.004310348085338787,,,
LTA,,,-0.019293676301269432,,-0.01456497118447195,,,-0.01629448423694161,,,,,,,,,-0.03495278309282043,,
CKLF,0.007881812954510138,-0.043734390999939005,-0.046542398427088565,-0.014405943339352856,-0.03500576223902121,0.009574744634765315,0.055868251169742915,0.04783501249418098,-0.003940762804973259,-0.06855995156322267,-0.10922739071729776,0.042813488163702625,-0.05264543562382417,-0.07728978344709266,0.049005946118004316,0.017928236994493838,-0.005016570686526447,0.009442008451068774,-0.03618324641624001
APELA,,,,,,,-0.03684994450723811,,,,,,,,,,,,
CD24,0.047289956628272956,-0.09050362626904969,-0.012001205308308956,-0.01646017673483626,-0.06826130206816337,-0.017383868470979023,0.0005606282187028944,0.04801208777010363,0.04451999383609753,0.07237299612198084,0.12038801571025402,0.11144708490730638,-0.025799865598355416,-0.016929677761823258,0.06469563994950349,-0.02234829708003001,0.009663611096026859,0.054263011182540025,0.015016171047223394
HSP90AA1,0.0052024452994625684,0.09272530871899423,0.08739295924887028,0.05180460995902588,-0.03583825262490817,-0.05405374305761728,-0.006677740425123407,-0.005278915013619831,0.06978679535977324,0.047387078408213136,-0.03269156063271778,-0.09719322372153902,0.0823662461272214,0.12174117551705797,-0.04625941202395768,0.0497318753586093,0.09392765982769714,-0.014403372116238034,0.11671549125404154
BMP4,-0.060477688134154356,0.018681958038164137,0.05564500204607595,-0.044668743260132614,0.02939550174863479,0.05113654240706164,-0.013245666146314502,-0.013884583536317,0.05113227924347609,-0.049271163886216,0.0289706953851808,0.03483700987247979,-0.034508936756234135,-0.02861850834754275,-0.0028697737981022227,0.039824509758947184,-0.008018602134454053,0.006023348488123569,
SCGB3A1,,-0.01947334101559906,,-0.01422930039753855,,-0.013086269672777926,-0.0418501195343827,-0.011370075614996011,-0.016379966819235748,0.04731865896408734,-0.049058583061542774,,-0.045443638118457585,0.015765587061566607,,-0.014340182206798766,-0.005721707857179271,0.006189431655082593,
