,MGH258,UKF296,ZH1019T1,ZH1019inf,ZH916bulk
BMP1,-0.01642179509043003,-0.002010439666788864,-0.06820834073818381,0.039971917003269845,-0.01330023585297694
NDP,0.0674025699870816,0.033020977921049396,0.10419330230824521,0.04505668903388634,-0.013758239284538456
TNFSF18,0.024995341118111438,,0.06240214275320814,,-0.02247802884023492
RTN4,-0.006529581332486676,-0.043272444152377076,0.09223146024740067,-0.02559671710557695,-0.04203898421840476
HEBP1,-0.07028839088930373,0.006552447947355361,0.060694050521810324,-0.04743370885216973,-0.011266648660101547
WNT7B,-0.018635837770224307,-0.012031754836437428,,0.045190681229780275,0.12487682119176491
PTMA,0.007776369566243738,-0.003875540841871541,-0.07509778990500672,-0.12955512097254746,-0.07019176245654167
FASLG,-0.018635843038527902,,,,
CEACAM1,-0.025876031154065122,,-0.039812731125423786,-0.008840217660193078,
PDAP1,-0.06087816246288237,0.029868633952114296,0.0695962925378589,-0.008166974999704115,0.02153377675897649
QDPR,0.04750083861471731,-0.014226011653695476,0.0009895561695943925,-0.044910978445952925,-0.005314249040961063
POMC,-0.022372525332356223,-0.03236064655106427,-0.032742780068625396,-0.027608898779332588,0.021087477407238233
CCL18,,,,-0.022715284039633108,
CCL17,,-0.014891939650244984,,,
VEGFD,,-0.01092341782801805,0.05831561861711536,,
TNFSF13,,,,,0.05613094554899896
WNT5A,-0.06508639064316253,-0.005823533215599691,-0.025036739937320075,-0.030728622270424832,-0.015805555671814964
CXCL8,,-0.010172361647447944,0.007074494108602659,-0.039993833919536884,0.0031506535144281045
GRN,-0.023653869449593756,-0.0013956859832672502,-0.013642718746334978,0.0018172700841527722,-0.06400954750227109
MIA,-0.024392711155841018,-0.01242308732899607,-0.043472656474210225,0.07864191496954873,0.07076036722274391
COL4A4,-0.021582577003994047,-0.020869798737352136,-0.04238057724990481,-0.028719216490907046,-0.027329806194531524
TAC1,-0.0186358328995325,0.019971363634065487,,,-0.01178205106348784
RARRES2,-0.05856739074684218,0.04920417152700081,-0.022400805285923676,0.04048969539042865,0.07720055095548554
FGF7,0.08042845089941317,-0.02108365651989285,0.00048190308104107505,0.05996558364225033,-0.027005513395949754
HBEGF,-0.01579578566219203,-0.028052384348131947,-0.062412414928888826,0.0434814826551997,0.07628015525373201
CSF3,,,,,0.039967396477489606
PI3,,,,,0.01133200736240944
PCSK1N,-0.05374035612721082,-0.02819739366700479,0.18669026071588177,0.04643473830789173,-0.08830678132976093
NTS,,0.04371214829045177,,,
SFRP1,-0.02711560760598838,-0.014891939800219049,-0.056509118848566346,0.012915538965201114,0.1193194719521153
CXCL13,,,,,-0.023318394516955818
MICA,0.0653454353092385,-0.013156789714711228,0.02722615754203215,0.06742012770876897,0.0626605643166925
TG,-0.02158257214027722,-0.010777232054830525,-0.04038484638091846,-0.00014817625905513948,0.050529130054229855
ADA,-0.007287235495741396,-0.017503091562623488,0.14963034482304505,-0.03784278962936366,0.01770481017403361
LAMC3,0.011888752927394304,-0.001734340994814267,0.0742630563495844,0.06273482312977015,-0.026588994755702613
CCL7,,,,,0.015709631980287398
NGF,,,0.03410391237012963,0.00824800572857346,0.03396429029906364
TNFSF15,,,-0.04366374792623326,-0.03409105563005263,-0.03181654147687888
HMGB1,0.027784485710497898,-0.01130431426603527,0.04471559766452277,-0.07739236133255338,-0.05386844012113829
ITGB3BP,-0.02996955766540136,-0.008415650347331728,-0.012976033968083053,0.05959183155744302,0.0035947580037583317
AANAT,,-0.012423088019999907,,-0.023658920509741922,-0.0175533890733944
RELN,-0.017892524504729834,0.050080727209884386,-0.057831421803404275,,0.048471100507097443
IL15,0.026735435030002048,-0.015330853530356311,-0.0017192130434633202,0.12863209939009343,0.0818330247485827
BSG,0.010464438755041506,-0.002654324327184424,-0.06018530061598922,0.07718308438499166,0.05478252674080208
ADAMTS3,-0.06097772650079613,0.036984989541629,,0.0697562370720316,0.05287398729546674
CD34,-0.013598735288130145,-0.023243260372584753,0.06198693843866895,0.021192363876536932,0.026534712653460215
PLAT,-0.04866810149595971,-0.019425321015657495,-0.07172209925761086,0.0655632951997803,-0.059974062164544845
NTF3,,0.06719682367536896,,,
CKLF,-0.05019459868267169,0.002058088672943694,-0.08297274057061499,0.10146757703457372,0.008707480299012733
CD24,-0.040140202948546234,0.0335980641491301,-0.004574249472162027,0.01739777356959359,0.03168599563668475
HSP90AA1,-0.04678651384397823,0.04058933295387862,-0.022637996334483303,-0.06162446826507348,-0.063808707292969
BMP4,-0.0009521082849812584,0.05177659216843865,0.08838407964777724,0.07104139530482718,0.044867793485334574
