,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.01857800900743724,,,,,,,,,,,,-0.01839537537468108,,
BMP1,0.08406143639242422,0.04296510071911599,-0.025178373878509967,-0.035246789864629646,-0.032485592470802176,-0.029151161737244937,0.11234408212844686,0.014780081934859343,0.06019913916095999,0.12605009588406865,0.09318964048992578,0.06834931797621666,-0.013821281550357192,-0.034486645948226695,0.024139971296155298,0.005606654171360291,-0.023095746335651802,-0.0002909392578888432,-0.032435520961498966,-0.015573392444774955,-0.006978744579392072
NDP,-0.018388911834095235,0.020790858724302145,-0.019013730190720064,0.018420347977624103,0.015153496169293176,0.04248783204735124,0.06071436463269368,0.0059570364891190905,0.020470429346237527,-0.004117981580660272,0.12857813950390193,0.02658879369820983,-0.07316794118582295,0.13859311267419425,0.03374631835313287,0.04049377070812949,0.10056877061608169,-0.05663841484292472,-0.01785377032795233,0.04337265024743172,0.16538091128128382
TNFSF18,-0.02880079963134857,0.08409081598650982,0.06031289991579854,,,-0.011601652957980262,0.008843959949648646,-0.02337951948343859,,,,,,0.06902988501175036,,,,,-0.03102970950155315,-0.006651953365876117,
IL36G,,,,,,,,,,,,-0.027353906869949096,,,,,,,,,
RTN4,0.05553302302895916,-0.005814655105030072,-0.0376192876735958,0.00024101432990822756,0.037450207957654906,-0.0003736008581497183,-0.1296607053420313,-0.020576698324759442,-0.025712898103628392,-0.07475788073161962,-0.03217672116079244,-0.048026575375801496,0.025407748793074322,0.01266492410269214,-0.08696436133780477,-0.01992163084976733,-0.02363923164618008,0.03324585420385474,-0.0312883854792156,-0.010952679511278611,0.07733595157297198
HEBP1,0.010886034234412702,0.02680607901724302,0.0033783363040094873,0.04088025583792018,-0.01941418714149093,0.004895064159158384,0.07967120976724179,-0.018883651846310197,0.0014524019441298852,0.06949761964756261,0.020716344482731543,0.023245078408442112,0.01588481557223622,0.06740478172458694,-0.02170440180174565,0.03655445105721184,0.04857613894840064,0.025522881451867284,0.002544075441388965,-0.0016338220966037288,0.1559044772693431
WNT7B,-0.017650577823891754,-0.015452648342791536,-0.03265495246846535,-0.0116153745689763,0.02020959071846234,0.008861116533113856,-0.05065782123010226,-0.03270675930012076,-0.01868493604627868,,0.028567468668502523,-0.01815968556711898,-0.047664294736259855,,0.03349190351780103,0.05580006699196936,0.018591752235695088,-0.027686169280324798,0.04855917197121965,0.046212311550800494,0.026816445080127017
PTMA,0.008824260915134309,0.04624905270127956,0.007327785681171066,-0.020025756864401764,-0.002731731059736155,0.040764357211092755,-0.09640132494806446,-0.03237391162486147,-0.046420421889146385,0.08649187536066305,0.11339634692912742,0.05442883096179198,0.0006322879238059669,-0.058707116062071886,-0.152611570080203,-0.05409277685950019,-0.05812331065891757,0.034523291247941325,-0.04455783010688131,-0.021826551399104038,0.09640764534394668
FASLG,,,,,,,,,,,,,,,,,,,-0.015954302786787906,,
CEACAM1,,-0.02360560684979358,0.05710376912610326,0.012881344754250106,-0.05392654853327319,,-0.01945449072426479,0.00255724180014573,,,,,-0.04892169112194491,-0.004053347760644466,0.04558252947366649,-0.03232349986040631,0.03884000614653987,-0.018375713210704112,0.10997174775748311,,
PDAP1,0.005494310018014648,0.004051935837492388,0.018297935705358176,0.01209718551295741,0.021024920905146755,0.018019186183848065,0.09447535422130587,0.02204411304701331,0.01919618409967129,0.10007885802496294,0.05025769600150991,-0.02317885159889751,0.0033715442581728015,0.05874806135671759,0.08372265080996835,-0.07049843520221838,0.007360355984676621,0.02192636957914741,0.022575739842382998,-0.0529628855601251,0.0067290372896689305
QDPR,0.013845435321956446,0.09235085283983226,-0.007433409808538154,-0.07034398074585527,-0.012938534840656324,-0.0017591947257541846,-0.1552344296574423,-0.03348248421842936,0.015058121809296594,0.003129402269121624,0.03416080433645289,-0.03609142024002918,-0.028108893318603535,-0.0011901986806029526,-0.06112948827388941,0.09424779746528533,0.08683551576221246,-0.03680733438233255,-0.02003027499504948,0.015448848529043057,0.0891898577909099
POMC,-0.007517972524148281,0.05407016543321948,-0.015098766775568088,-0.01796969466019163,0.035130555804308086,0.01692864405569555,0.07377098378997882,0.04606765262002861,-0.01585735789875158,-0.04625238909668578,0.012165471260521329,-0.03241253077396966,-0.06885813910306225,0.022777600002758656,0.030491945846283237,-0.01914380182930528,0.07689740304440647,-0.01791481559829775,0.0072450029383550885,-0.05540006442125123,-0.07084817682849252
CCL18,0.02154325969472486,-0.029457566995743468,,,,,,,,0.03123364904568293,0.04860374937102814,,-0.041947792517352346,,-0.02495991440476567,-0.02495745722395607,0.0356697953268709,-0.05040938257040574,,,
CCL17,,,,0.030105573995171043,,,,-0.02915881264847647,0.025609637343399386,,,-0.024988570502851234,,,,0.09657910174051546,0.02798903661407867,,-0.01446078349501406,,
VEGFD,-0.00033942311769574003,0.061508284690936284,-0.016744983094519498,-0.034082712946864664,0.058068456754094985,,0.03648630702905939,0.005745515790022759,0.10078854609809716,-0.022142144565513684,-0.022691741309300784,0.04733652175403297,0.04646665194863215,0.07759347913942724,,,0.010027515910398615,,,,
TNFSF13,,-0.022229632401715247,,-0.002627778822558296,,0.06126850792856414,,,,,,,,,,-0.014289692280513947,0.06621077293785381,-0.0027295114713443754,-0.005682951867114605,0.017366908766996387,
WNT5A,0.08553647384611342,0.008940417422239985,0.04044611144415979,-0.006061726953847367,-0.0024431831863045168,0.03327933805085718,0.07823339956404855,-0.0076797316451507084,0.02056162293145596,-0.036763829801906185,0.037453680926062306,-0.0462528084216726,0.04435815509909042,0.03524775009813462,0.07482913589010252,0.03175330083446135,-0.011323872186236409,0.0041983380145675965,0.011124132329889194,-0.017219709541549142,0.048639297541791825
CXCL8,-0.014491916658602264,-0.05834373162376243,-0.033609427922542526,0.030536663411284876,-0.06017955142982197,0.05946228102001426,0.02153592811577634,0.04502599256177208,-0.015797357027801783,-0.008894512525359367,-0.04368000206986319,0.018131553975933686,0.11903515627874346,-0.046737330110007295,-0.04394585907921485,-0.03944753856099958,-0.10901237516534779,-0.02130590324369819,0.06438373982046842,-0.009748684824582035,0.055405725606319754
GRN,0.06963248583793413,0.013917534259255404,0.024007554610749066,0.026065465420152777,0.07052898654563408,0.009040647247027838,0.09717185142695488,0.0048006774721236255,-0.02324290669865208,0.02820907006997422,0.012751537556913533,0.05820470089326021,0.024551518640868346,-0.04862753370705651,0.008221946716749653,-0.08821836650913205,0.03598465719608133,-0.025835800131748035,0.01235182975840682,-0.07069444631832647,0.023033778512555902
MIA,0.03003352140910544,-0.01456086745005699,0.009759919857544444,0.023107253352922325,0.02298507046878736,-0.005574395620597808,0.05547894214267792,0.002554058801362953,-0.01929266307327436,,0.019831504179375518,-0.027501910704438554,-0.051792943764813595,-0.010343603446429142,0.16393658325552754,0.10162227478814682,0.11607498815874,0.05535438970922035,0.01781149062706914,-0.0064314725908974114,
COL4A4,-0.017382083811740928,0.04219208601193747,0.05429809841217714,0.0174796207161603,0.05091817978313868,0.007394650613775202,0.059042531867400924,0.02549590388291484,0.03330322243470658,,,-0.03557886651312291,,-0.08783431403079768,0.08324248059226755,0.023938050081272182,0.03802900980757606,0.02288239992041958,0.0317242283961313,0.018287423502591563,
TAC1,-0.010283756211311357,0.004909421563128991,0.07998962901925716,-0.06731935309424315,0.002890651313898477,0.05196687164898965,-0.07077771027615164,-0.08314194279636043,0.016788586932014612,-0.042080240730076685,,-0.03493543070386331,,,,,,-0.019487068657484046,0.003008261871269745,0.029008584667249968,-0.04828612312823182
RARRES2,0.040754817089875106,-0.0013849008011641631,0.0036423926545247373,-0.016845402085618397,-0.009526252746824952,0.004604654461218011,0.1277139321879614,-0.0010535411513318417,0.0014825031778065024,0.0427813840951557,-0.04714421867460049,0.09603064398498348,0.04525695112461072,0.07724390436538286,0.05370734018908017,-0.004120666022366006,-0.02096663085006089,-0.033650999317869,-0.035895353472006224,0.022301260768883405,-0.05781786273875227
FGF7,-0.01993586592794618,,0.016781429642753,0.003319352417185989,-0.05248231688995653,0.0721581048138621,0.01341801411180699,-0.039507368615912586,-0.015070415296770586,-0.030334360862624397,0.052342736576444594,0.01475060517834074,-0.0485496725446199,0.00673590927390457,0.0852971897432847,0.004834378838392542,0.024660320287278093,0.04819445378822037,-0.007012602848590269,-0.030773531968307677,-0.01799133373363163
EFNA2,,,,,,,,,,,,,,,,,0.0004961752069722136,,,,
HBEGF,0.02987721455987982,0.010340011760323635,-0.011545464560515514,0.016324688853994657,-0.018771733194902756,0.008022386641029859,0.09793233185397042,0.028493323594620784,-0.0005100136101148407,-0.0014451327151790174,0.11354775614173179,0.04425738664051434,-0.009130564450189206,-0.15111992582675907,0.004811157105954819,0.04203671186792545,-0.0046108986474282885,-0.045711644596819284,-0.026468337374482932,-0.013508727184810516,0.027752994209418732
CSF3,-0.030426659026399572,,,0.015762781104149234,-0.04480236850656758,,-0.02089728536369548,,,,-0.0340903983831535,,,,,0.0010939984812973183,-0.04426984520497439,-0.026344094985453648,-0.01522497418109245,0.02183568545527956,
PI3,-0.051897888593798236,-0.030990602462221198,,0.06191443791851593,-0.028374595410283393,,-0.023530619133833613,,,,,,0.001863020477439017,,,-0.08810064835409424,-0.12064289862879896,-0.03324992987556059,-0.007862501555888378,-0.0516882019016365,
PCSK1N,-0.051904357765005925,0.04001587939111619,0.0021446577274143374,-0.0182665895155167,0.054907958216831414,0.022614049662040413,-0.0020165724990420467,0.03135135988494663,0.0057152770014113384,-0.08303486062061154,0.07649181560823856,-0.0337556857256154,0.02965083145000756,0.05217407821707752,0.0390895277286355,-0.03088663254618893,0.009457562363174767,0.06715314317376685,-0.009880438502903157,0.04241089137716741,-0.01835566352857541
NTS,,,,,0.01846892368514204,0.08613485859841076,-0.025685277474958683,0.016549142020158135,-0.002314579075868493,0.007434034879747551,,,,,,-0.053497872400569066,0.06520926310171214,0.02178034085760717,0.03390654369264871,,
SFRP1,0.02118985151074478,0.053159589818552684,0.03886859376722362,-0.01292913683176595,0.12191808223598843,-0.02347114930447803,-0.01594305956283894,-0.038125759747915565,-0.010956212400000765,0.05802147960073179,0.09162719766611366,0.025035473786169552,-0.06408010499119719,-0.02070310162507635,-0.00020054324273104609,0.020422158631871003,0.03571391835016371,-0.032019305022019155,-0.022022196173561256,-0.02756933474129514,0.06605121294391997
CXCL13,,,0.04076418744573851,,0.03894580755276386,,,,,,0.022074813679141474,,,,,0.03787261812538212,0.008644673250666306,0.08163163907648736,,0.06062297618813278,
MICA,-0.008171259278840343,0.02700526381979852,-0.007793205285681357,-0.019175104741799582,0.024496191709528325,0.025036980187036355,0.05561535550871211,0.014494708676378677,0.06016682962042826,-0.0443017795628318,-0.0053470564908753284,0.03990396417758542,-0.029596204251067085,-0.06834997201227581,0.10516191733571513,-0.011068145752267099,0.09199342530713092,0.018355126607380833,0.02707688986914157,0.00028880914634285364,-0.015146418402683463
TG,0.04817953428681074,0.11753423679246289,-0.03407751892058118,-0.01740146869494423,-0.00977441460382259,-0.022445948515377713,0.020880757100586646,0.008771285182818864,2.583461381866143e-05,,-0.015280089249019734,-0.03753635885601669,0.0625005459726328,-0.05671103564639428,0.0850263499501742,0.0269875842349283,0.012623119710764059,-0.021681594991693046,-0.02969160370093335,0.052264908569580076,
ADA,0.0290378266993934,0.04118217500554743,0.017196291897686983,0.025657361044765875,0.009758610551171873,-0.025419178444456736,0.0632697146027064,0.04299935942925417,-0.027181749537427972,0.12673938938339832,0.07390533877608244,-0.0009013614810447746,-0.07924353217926103,0.0973606794597888,0.07333619941046944,-0.049217009525740166,0.06271193144050712,0.034661841850134385,0.0061037635996287875,0.04540969474020564,0.03249770458681095
LAMC3,0.010963568037738807,0.05946969901401782,0.0470689705689149,0.0500097464627551,-0.02966814964132404,0.06305873199989176,0.12912147617837205,-0.04972785419295058,0.01063008100301246,0.04638979384560266,0.05422360760181765,0.03213974349729324,-0.12432739268618062,-0.030498272713762903,-0.034954716005311824,0.031003726014776484,0.038703566372197816,0.029327257857423593,-0.012276039724157138,-0.004380613108976729,-0.04867624472425792
CCL7,,-0.01873750111872159,,0.022209363379866495,-0.06740468691564146,,,,,,,,,,,0.09457165237980182,,,-0.015954297113628273,-0.04325411937554198,
NGF,-0.025239413396364572,-0.03217135893366109,,0.021855814298727152,-0.005331088005912684,-0.032535689742324486,,,,-0.019935055891686537,0.014653648350242132,,,0.05983961549679584,0.0013087032722491456,0.02678291771914663,-0.014380746772787365,0.007242619074311943,0.05757273645710536,0.010965540928823266,
TNFSF15,0.12359333064279793,,,-0.027877286345225977,-0.022558194121094353,-0.0200138451852739,,,,,0.10468194442839954,,,0.01830123509471007,0.0431553820262365,-0.007402851572324225,,0.05281293987953134,0.020210856246774964,0.09641651838102527,
HMGB1,0.04524341602963302,0.013523200463682163,-0.028080778559027245,-0.022461001549556093,-0.0016353893883083587,-0.004006053541006747,0.06716168388901497,-0.03708687911135253,0.003663345929216405,0.07155241788541383,0.12232437424242308,-0.017307547426437527,-0.002594665253401284,-0.03822285113825352,-0.06671363140387941,-0.049325788425359215,-0.0794211030624424,0.056825423527944445,-0.05330083712163936,-0.028795353545197175,0.08094167918711903
ITGB3BP,-0.04844737544039804,-0.01831458029702475,-0.08005861694249174,-0.06316770566022027,0.007702454986022975,0.07340991406077675,0.09513783023806173,-0.025079026525186128,0.01183827948165971,0.06988703440203188,0.03689868807825659,0.07184200749221181,-0.004309004114591576,0.002565848395926986,0.06914566870631915,0.007403218454954056,0.018912952523724633,0.029053082119882393,0.03221701472465673,0.03808503909439748,0.008289458805994666
AANAT,-0.0452376576661457,0.048251623458892536,,-0.025365482173309487,-0.05159387578007689,,-0.018849916918729864,0.01697100735169982,-0.019292664146381543,0.09368577352669327,,-0.023253578335296933,0.0033952308852343263,,0.027961893755738907,-0.0010782737730951385,-0.018047060708876014,,-0.01688031167515994,0.009336887887875152,
RELN,0.02893213298659081,-0.00456459611592088,-0.04706190063980485,0.12714342202690748,0.035004377603863275,-0.007044913120301791,-0.03378260421307935,-0.03799823556863747,-0.03379249703457416,-0.029881009963860866,,0.03793624190185407,,-0.1036832688188234,,,,-0.019760177814184723,,-0.004820691644889593,0.0033776472396277275
IL15,-0.004809791740113915,0.026673231976231053,0.02957393980795622,0.038584937822718185,-0.006411694786804028,-0.02811048353744925,0.03143646180517535,-0.006296098506098436,0.006247557396998913,0.09037730070669002,-0.03616648318305254,-0.031088044044934895,0.0044315720859655575,0.05219807207372901,-0.02676392274802094,0.06827956763627925,0.02043554713969004,0.008818993582342288,0.04552634071027544,0.021958150488648135,
UTS2,,,,,,,0.051753635619928996,,,,,,0.07727262137357832,,,0.024745698495255423,,,,,
BSG,-0.03043079200946891,0.08946474026845935,-0.02519918199001007,0.005112167188908015,0.048462025611195836,0.09166643242744474,0.018817427138045628,0.003850658762360269,0.021957102311331182,-0.09107637255062416,-0.029435966133694213,0.013366002567258492,0.07018147737602778,0.03813207474420317,0.058237658694055616,0.04212373938012443,-0.0015302870164817177,0.024628133797026462,0.01330357898167889,0.006343132830429934,-0.049369433778204935
ADAMTS3,0.03831237229535111,-0.0246446799543836,0.018363842847350268,0.006625268897930596,0.06558566959649803,-0.04527785696989638,0.09018069424104136,0.03117137569678834,0.016561837349189056,-0.03009506234439385,0.031863702262964276,-0.051658295774518255,-0.08808871606253679,,-0.03112851797444211,0.0626228767036254,0.05878344566701596,0.0015089918738977,0.060921255092108266,0.015837111813999907,
CD34,0.04505281999791273,0.03606213181580722,-0.03473865303138302,0.027465392327000536,0.06009581607207942,0.006352358442827324,0.10102484228787194,-0.0031333024016667052,0.029874098278728663,0.034027210129173945,0.04750029974186279,-0.03459789457297201,0.03505170348722578,-0.003266806462805507,0.03567684604819877,-0.015312518705690588,0.046998730428908043,-0.01848077611062092,-0.04665794068249394,-0.006851041743927536,0.07696060437359045
CCL23,,,,,,,0.1222814585029695,,,,,,,,,,,,,,
PLAT,0.034656790762327895,0.05829174041554011,0.036169745225975825,-0.0033744884567076723,0.007403200992847327,0.011901687339180707,0.10514696701267463,0.04191294191787942,-0.013525937024540193,0.07012849604314776,-0.01828370217204813,0.001836976928217922,-0.03054367075397367,-0.08758852504166281,0.08535361466195923,-0.017014968379541175,0.0688936352309262,0.07962783295009525,0.020550699392121285,-0.007529264060040804,0.003033462329405233
NTF3,,,,,,,,,-0.031142962284546633,,-0.0023908522392150464,,,,,-0.01278105066461352,0.12282971028978752,-0.012996470216112799,,,
LTA,,,0.026243166000840007,0.0050878615863755375,,,,-0.0037533786121892745,,,,-0.008165791623493247,,,,,,,0.013500922703287016,,
CKLF,0.004991999524036742,0.10496172384318696,0.03535604931684103,-0.001137622183852318,0.02932888235041691,0.056080534553260716,0.11635218806527535,-0.038551269755107385,0.04234486156545399,0.04532923164530902,0.04951668196560673,0.040490738842255986,0.10948116900767677,-0.015447021396920705,0.10518052051838864,0.019761419660332867,0.023246571465687912,0.07006637575578725,0.00016243193679367924,-0.00043284353548763576,-0.020934556278136285
APELA,,,,,,,,,,,0.0015508993779131007,,,,,,,,,,
CD24,-0.017989606262690198,0.03214962494724723,-0.005062284054894747,0.07219280647817423,0.047752206359724374,0.06099853617307836,-0.01458502394954435,-0.04827673021073572,0.03902905262526115,0.03162236677072608,0.07502173131850016,0.0576413843358097,-0.09358653560831659,0.11009012644361622,0.07478815083087668,0.04269633998584188,0.05402158710929094,0.02161455257524157,0.027043184245983242,-0.03668735921169708,0.1024110350114223
