,ZH1007inf,ZH1019T1,ZH916T1,ZH916bulk
IGFL3,,,-0.02184506208249777,
BMP1,0.10058054895217267,0.07804750186912211,0.12673607122918618,-0.011997829442348862
NDP,0.13563388879613653,-0.059519042614485186,0.01188666765386391,0.04987898970276549
TNFSF18,0.12397441090841688,-0.03880395255493128,-0.012427597886341167,-0.013923616377944243
RTN4,-0.04257478516842152,-0.00738677743419646,0.026416026949563704,0.06004061131670652
HEBP1,0.09564685250695948,0.0367831209067685,0.009429111222595848,-0.019342094991378234
WNT7B,0.02586520981263709,,0.06993927515918977,0.057943790480509794
PTMA,-0.003133395819539221,0.0663118496357961,0.048133383425350396,-0.023586383646930293
FASLG,,,-0.0189462148915997,
CEACAM1,,-0.02728576423456238,-0.026360875329204902,
PDAP1,0.10752880197726525,-0.04506207050378793,0.059693260485183884,-0.08011330569313452
QDPR,-0.13181541970952437,0.05550557072779535,-0.024133451972637537,0.047243849402135496
POMC,0.0755912528522413,0.10634595392422373,0.017816690004417747,0.0535561785075541
CCL17,,,-0.01717261576759849,
VEGFD,,-0.01137650409985635,,
TNFSF13,,,-0.02798134405330313,-0.002813842788115343
WNT5A,-0.007083553102528984,-0.02875495972544346,0.07291532433302367,-0.002117487679381206
CXCL8,,0.01986193054873493,0.04188161015615744,-0.040127222338264074
GRN,0.033778175684632844,0.17005319887666598,0.10316799990938405,0.024803229760240058
MIA,0.08431951561922627,0.06897455026255646,0.006991328990562165,0.03591571468872469
COL4A4,,-0.02904564460354517,0.047435588657487655,-0.009141174738542188
TAC1,,,0.014304190375121444,0.01133906119398417
RARRES2,0.0010472961571386609,-0.06424974339682862,-0.00359577566021571,-0.11247206785423904
FGF7,0.007946257990566858,0.0435002922472337,0.010110007195178624,0.025518699219115995
HBEGF,0.16319724735950436,0.08190089959830799,0.06980805142853017,0.011285835445394665
CSF3,,,-0.01808011521461852,0.01262670690010206
PI3,,,-0.03928208383193106,-0.06971057781071802
PCSK1N,-0.0015968754026851118,-0.0018330667950994062,-0.010276701331979325,0.0909752766377065
NTS,,,0.05164149123014833,
SFRP1,-0.03998400234306201,0.017729099818884864,0.20245766322793898,-0.00383512463575367
CXCL13,,,,1.4585137267684214e-05
MICA,0.11421722542928348,0.023274127752519615,0.06204024657796239,-0.02162076203637171
TG,-0.042016040316681456,-0.03994266840145394,0.015091715799572872,0.02408395491662121
ADA,0.02418562840915988,0.15017103773053636,0.10379814949448916,-0.01655737766247663
LAMC3,0.19345154549125254,0.13255808694807256,0.10360802721456323,0.06970449485745865
CCL7,,,0.0027781289576255673,-0.0656948924937799
NGF,,-0.07253810032393122,0.04484909384930338,0.03197341117187667
TNFSF15,-0.03872815311702301,-0.018123937759832825,0.05118866524605238,-0.030122049599357107
HMGB1,-0.0003022978235203898,-0.023969555793408443,-0.1093019825423486,0.01928306475095229
ITGB3BP,0.06584576827851003,0.08166945212275452,-0.011618984325655448,-0.04836457002207841
AANAT,,,-0.02004587832566444,-0.023689014822534642
RELN,,0.0697733533890288,,-0.019873072780415845
IL15,-0.030905412781980935,0.005258914471411577,0.018733623298771897,-0.004477915787694919
UTS2,-0.04135218776870825,,,
BSG,0.11549534026377918,0.013530421974927478,0.05202584532685021,0.009868180919617907
ADAMTS3,0.13921849658134614,,-0.0019458659669673213,0.08127430965995011
CD34,0.14588545042374093,0.1437236982727654,0.08492257266380687,0.01985422516552077
CCL23,0.04734281068128861,,,
PLAT,0.07872868337138238,0.15931943531210901,0.05329911148292967,0.08125270117015229
LTA,,,0.035194233481435626,
CKLF,0.014700351125893504,-0.03511627855987811,-0.029960349976315012,0.011267749025197614
CD24,-0.05242354992818632,-0.11569999544263958,-0.04428114737725536,-0.010652280801185356
HSP90AA1,-0.0020008793595091513,-0.037809053116491353,-0.0878017147891155,0.03556995946822936
BMP4,0.14839173373937262,-0.01856642176635038,0.06869932067114741,-0.012564965639952167
SCGB3A1,0.02288695615371346,0.05782695243934382,0.00659200262413654,0.008201375013506441
IGFBP4,0.13335354859966544,0.09150479326950134,0.12529055836648484,0.09933577638893251
