,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.029538274670444495,,,,,,,,,0.044727834871135276,
BMP1,0.09313004754259423,0.04579481151025971,0.01383407635616038,0.061006512421559,0.07064701201220398,0.02741027266564956,0.06538035876495177,0.11290316474895604,0.005455177517614169,0.07315254810471923,0.11242308991093064,0.053468677110778386,0.04714860231429151,0.05646997839210719,-0.056229348634731224,-0.04682275126064042,-0.019551717023386084,-0.03305319049275245
NDP,0.030776468404489363,0.07238184965852358,-0.020885387981325595,0.10758509517517158,0.03201830457308028,0.021958777201171356,-0.031849097399656516,0.052241915923134805,-0.01401512215990975,0.010198629000103768,0.1124090243596357,0.0498618593445253,0.0791051644565732,0.004609583656988083,0.040145734866820874,0.029949490250418053,0.12161513596149623,0.09129435651563239
TNFSF18,0.018340539726519122,-0.019157048759384225,-0.02134013678305701,,,,-0.02014405846061164,-0.00926785042213576,0.013982063260571581,,,,0.03767718785118271,,,,0.014199899956957201,-0.023592440323851677
IL36G,,,,,,,,,,,-0.03342597952508192,,,,,,,
RTN4,0.07785520720507318,0.03208637033181574,-0.04002452655260762,0.03101991615871648,-0.06410793210765224,-0.04204536046151948,-0.12461913261105058,-0.1389428364368263,0.08025652227863976,-0.035786890348171056,-0.04044773923072689,-0.029051944044708965,-0.07142743162504735,-0.033251149479091725,-0.001690175082665291,0.028475406125826414,-0.06107779105015885,-0.023909885319048748
HEBP1,0.03186785072645808,0.029962508346513938,0.03325551816662918,-0.006090584619020228,0.053588668568979335,0.04261818105683757,0.019421120452757262,0.05289769333354308,0.08523164045112082,-0.04353591934364833,0.025531553929412313,0.036812587273281676,-0.027016499597235975,0.0654255828072562,0.036896514817125685,-0.024463688011416643,0.08035086598716379,-0.021332347766462947
WNT7B,0.045593500956756135,0.0029382242974123596,-0.026760303771211556,0.08291343675876256,-0.03417527662129372,0.08552721086274165,-0.004872902128319726,-0.05482305385192792,-0.04749486815510876,-0.011723842705607912,-0.018017738660522583,0.1339163512046342,,-0.03583567372699232,0.018527482631094747,-0.02805511905113178,0.014201592820579359,0.026973042976898984
PTMA,-0.06352694366550363,0.10141306893112906,0.05335953985423943,0.07618860188432068,-0.024201096476127927,0.03923167198787399,0.13523787382883726,-0.018656005054186298,0.02544882600906609,0.046654212861930194,0.07890151157647791,0.021605117891922727,0.13286704556490364,0.07485348246765207,-0.012493181045568786,0.030228725313648768,-0.18270650598914853,-0.105468807526389
FASLG,,,,,,,,,,,,,,,,,-0.024443939403148804,
CEACAM1,,0.002164198478645139,-0.019356524282457585,,0.019306437184950155,-0.035071842695087826,,0.047161127435936624,0.043455709823082216,,,0.0724969564776991,-0.009757507345501864,-0.02008049547156242,-0.02349195631300564,-0.029764501133673887,0.057590602725458226,
PDAP1,-0.034298620847226305,0.0844903847502947,0.016778561848488638,0.04646627990802497,0.023661424000005395,0.018447699514904957,0.10305565260544605,0.11053172831326141,-0.008582622755776743,0.012904540342485194,0.05914771309235228,-0.05349800956687337,0.056347835003223386,0.02167381593311081,-0.035489629681200834,0.05576004831838726,-0.03623607522059886,-0.021254658461322604
QDPR,0.0563426982811128,-0.0008350381255463307,-0.0478612832068572,0.05809087043277124,0.013698031747948482,0.05334417033627271,-0.03660765905347796,-0.12216914606215153,0.008739669057380025,-0.08085332057089963,0.0225500720747787,-0.023878026887736277,-0.0047931762220795706,-0.022212127670849097,0.08302925922791865,-0.07983137080557103,0.09921402327763804,0.04947717984348886
POMC,0.045867030339676804,0.04642370493778329,-0.03419151313418553,,-0.028011479444654465,-0.062162588430102826,0.003278433256713193,-0.0035977473450042913,-0.03168561949563263,0.007501524722079337,0.02390078905309458,0.12268383083384518,0.05311859473292334,-0.04821464427526457,0.04334941989697309,-0.024220561616385264,0.03963855709758111,-0.006567733944774116
CCL18,-0.011022547118500113,-0.028012116259461498,,,,,,,,,,0.1411353553808628,,-0.03674706039367092,0.008838326939214014,0.0036063279469292935,,
CCL17,,,,,-0.010437416814630045,,,,-0.0018089207177188987,0.08261368380129885,0.041069876044000225,,,0.19869295289642808,-0.008987095033516202,,0.09624929219809301,
VEGFD,0.018540023789819875,0.032249279782263024,0.013025300539166836,,-0.02548309025964482,0.03704829115517612,,0.04905660974828344,-0.002597225999674798,-0.010643869839791084,0.020376734575261984,-0.015469005888280637,-0.025608123264751058,,0.04581605202093336,,,
TNFSF13,,0.13458547699253373,,,-0.015777309738597717,,0.05627928741558709,,,,,,,0.07216913368797094,-0.014116603534685303,0.011674357248897383,0.11742478014909752,-0.025665209854066298
WNT5A,0.10035358150651534,0.06379351055660241,0.04113524073357781,0.08354052766961367,0.0016727307442649874,0.10448903957376235,0.07970321911779607,0.0870242692787128,-0.006684069478648597,-0.027723676363768882,0.002456237752473636,0.011168145370060958,0.05675811003834539,-0.009397241430548134,0.026997645031950485,0.02303125703036034,0.004598892113880997,-0.03501982251353339
CXCL8,-0.013213224141469184,-0.025743572845952845,-0.029365716894173662,-0.07227603951683084,-0.03775193426645546,-0.0995706957158689,0.051528295670122896,0.07624476558258657,-0.015510260599172796,-0.009912034405660365,0.04009296138347968,-0.11126445136593183,-0.03692167349069905,0.020143399808025136,-0.06402370378337315,-0.05670068751669977,-0.0054516348741466695,0.026306066180664098
GRN,0.0837331740584465,0.045981739695750805,-0.017158599573760626,0.11853035144448634,0.014769867297533039,-0.0415186995024286,0.03211645226875251,0.12709124571441074,-0.009550413626602779,0.01803884751331163,-0.011301567561924424,0.08468530897547076,0.020121926254845542,0.05310954721757127,-0.04660031780793738,-0.019201614602248396,-0.03505858850084082,-0.040074564643834194
MIA,0.003493399179519294,0.00025351726070724147,0.04925550975346316,-0.022246306499607734,-0.016083966740896183,0.0842272408472304,-0.004075662261498245,0.1331704752658063,0.01917318503088566,-0.01210516036464604,0.018450698942160403,0.04648541381129727,-0.01384012124342703,-0.059084721371060155,0.09240693287528705,-0.007991913053577255,0.08004704753477816,-0.013091844384068607
COL4A4,-0.061312712022221064,0.042668266697773634,0.007320033808009809,-0.008203512599057139,-0.000623662187277644,0.10683162402954019,0.16180058138675138,-0.02910777720434887,-0.019876121191630382,-0.02033570672113682,0.03734089302681803,,-0.012484736074431204,0.04709205802153848,0.017787734535618945,-0.04157948571825058,0.0044583770029136835,-0.02868475818274545
TAC1,0.045368295564053,0.05242939183696071,-0.08333266691410263,0.09133486038491023,-0.05202214494918993,0.0048329402526862105,-0.046690219289042226,-0.11287878741469815,0.10578356053813343,-0.00589258377904534,-0.07199824422714789,,,,,-0.008068765070272384,-0.04312939084319722,0.03405470695588533
RARRES2,0.010699072831138913,-0.00516871415971388,0.03266977035817563,0.0005013187809307118,0.05301596865362448,-0.010915366025961831,0.044664442684156584,0.1394992226793837,0.011206035718184675,-0.026328177288317798,0.04308540528569524,0.027751510907993517,0.0762258253184248,0.02181328257910174,-0.049820345944938865,0.00954674722494636,0.04209559248649487,0.00896781249887809
