,MGH258,UKF259,UKF296,ZH1019T1,ZH8812bulk
IGFL3,,,,,0.035576098321557774
BMP1,0.008075780288209931,0.017564467965793005,0.020720743469222373,0.031664087307140355,0.03618295763475664
NDP,-0.03418961461111736,0.06996512027882741,0.03381619594974292,0.0778519277451487,0.0023830096355331315
TNFSF18,-0.021911208987701148,,,-0.05127186626421995,-0.019462767931003908
RTN4,-0.011133933867912898,0.006182483492279275,-0.020641524376752075,0.06325834714193747,-0.07888315217996751
HEBP1,0.061078192141525815,0.011818942556287399,-0.013463732646216144,0.007926470915927582,0.02077477363747718
WNT7B,-0.019303088840015244,0.011147466205930712,-0.0137412414154803,,-0.040698222240685845
PTMA,0.04278579280164744,0.009675899168620217,0.0330509051863703,-0.13083844059451955,-0.03629262107621592
FASLG,0.028960697809532695,,,,
CEACAM1,-0.008877648229782278,-0.016644979129896244,,0.07117983093430552,0.061035115629023674
PDAP1,0.03223625390227351,-0.008433444287339864,0.027843565596068317,-0.002691488861557548,-0.021862389672811615
QDPR,-0.0068145478170197225,-0.0032856825258839105,0.02596636668689766,-0.061376612857465346,-0.05039916327702401
POMC,0.03373012954872309,0.015654608155245456,-0.020429988333672218,0.09626396830740477,0.035851126451706
CCL17,,-0.0200099188215379,0.04937208993289404,,-0.02488216275170344
VEGFD,,0.02981408325805496,0.0791466906204527,-0.04901302356947633,-0.026243001840463465
TNFSF13,,-0.013802394167889753,,,0.08880726496706423
WNT5A,-0.026000553191432813,-0.04640880504637236,0.028621369498943564,-0.07568045969889851,0.01542192681764082
CXCL8,,-0.017488129300134683,0.08614355302666225,0.02128790698385414,0.04906633059648766
GRN,0.005195829876648541,0.007817639956238446,-0.02099932090490953,0.048795118831973544,0.013336477324211496
MIA,-0.025266085501256363,-0.0038027904456363593,-0.014188174911638717,-0.05571337267496041,0.04499632526355718
COL4A4,-0.022355335265378452,0.007925315242058502,-0.02383500550343291,0.03734158649915968,0.015147484995886022
TAC1,0.09987565502636757,0.024881678696131317,-0.012450264754239613,,
RARRES2,0.02727593778559523,0.008233628003329376,-0.03657172953709193,0.0374129059474021,-0.01766382800959349
FGF7,0.0264610506031736,0.053155630299213295,0.02287409557106186,-0.0671297393781435,-0.02883164027972146
HBEGF,0.09209402292961337,-0.010771641665192925,-0.013612307021961909,0.04258098304897358,-0.018520208938387617
CSF3,,-0.023850078509673935,,,
PI3,,-0.041158034944920735,,,0.23727745259250804
PCSK1N,0.012675124388895566,0.03133169643354244,-0.0536285674543765,0.004334549848009597,0.048703065114133394
NTS,,,-0.01570750858744097,,
SFRP1,0.04165050894576468,-0.01745942762699966,-0.017007804989500677,-0.022276575203429322,0.033892971878060535
MICA,-0.010767961112500756,-0.01580024950648373,-0.005386663888406956,0.06799815442583412,0.007086898464472861
TG,0.06428412532868165,-0.01884148858074161,-0.012308474488491894,-0.05217908338549182,
ADA,0.06683168055362701,-0.04655564205692058,-0.019989952417488025,-0.014372825248132408,0.006932853631557862
LAMC3,0.002318749865254312,-0.01161224625874327,0.0043711880912540345,-0.13364339764370747,-0.006562521465822763
CCL7,,-0.013622366140277713,,,
NGF,,-0.031212320143047385,,0.02741136148903199,
TNFSF15,,-0.015169170958592456,,-0.036819373468312794,
HMGB1,-0.0029936811804148035,0.023089477778875194,0.022778920664306843,-0.041815896678220645,-0.03712881505097059
ITGB3BP,-0.05590230790421447,0.005409168673394468,-0.007030160497733019,-0.03296935230775064,-0.0038535129566075583
AANAT,,-0.01380239564099301,-0.014188175700821232,,0.03304984345041211
RELN,-0.0185331614465322,0.0014299122700593065,-0.003579121992677977,0.041803208290263155,-0.038490333353668686
IL15,-0.02358367031700245,-0.008914750861472892,0.0360618463159962,0.01275082658931752,0.016233299088233774
BSG,0.021483651324893417,-0.01925650077124965,0.036168695774211765,0.042143804659790236,0.05659834950018548
ADAMTS3,0.04767497320333538,-0.009047229896275454,0.09834344241442071,,0.016685444436578135
CD34,0.04023570214392698,-0.016488082018234235,-0.00436960276438897,0.03183509230435964,0.049990114223743845
PLAT,0.06010220326866729,0.050639488229142396,0.035642193264388375,-0.010606661293505654,0.11138102547249992
NTF3,,,0.014387579710934323,,
LTA,,-0.017459426810220197,,,
CKLF,0.06364220094796874,0.019761226886485846,0.006352266352565876,-0.06688281652409232,-0.04329442083861263
