,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.00679392237567217,,,,,,,,,,,-0.04543684802513597,,,0.03273271295665251,,
BMP1,0.05778665224228761,0.021509047690827204,0.025346570279089264,0.06731282834958684,-0.041669904324481484,-0.10375163142534469,-0.05564195094827197,-0.3365266017269465,0.04909188735757811,-0.08351803485682231,-0.12101233218450666,-0.23304945878228966,0.1431379617850693,-0.26087441488129354,-0.06457223491899708,0.057809863839732654,0.05768224207514967,0.06097517403597329,0.0964418848241383,0.20951043598274763,0.021568388991676204,0.029929880629559397,0.08563620731721462,-0.0948060302189209
NDP,0.03670104375870703,0.09915559117206021,-0.006652771303186532,0.04762001720476363,-0.03143673367903065,0.2051155182529029,0.022238659282338046,-0.11251726297193672,-0.0400314447019495,0.0021267913180205277,-0.06877729528273817,0.0038301606339029848,0.15909590604579402,-0.2700796272812322,0.08257871191591247,0.1154213637601837,-0.02865152906519445,0.014291999479319075,0.0699852396154135,-0.1720334349392349,0.12124657187422296,-0.026980416314857637,-0.08334349274158169,-0.03101246794788192
TNFSF18,0.0202045543885731,-0.015628537352934128,0.015064056032851051,,,,-0.03064667529562869,-0.08118212143979212,0.0001233957175699155,,,,0.09418796133771755,,0.057394442565390974,,,,-0.046858219360857156,,0.13425961229496344,-0.014811122059927495,0.03864584276782905,
IL36G,,,,,,,,,,,,-0.05829377760838979,,,,,,,,,,,,
RTN4,0.19339951512047737,0.15586894828217518,0.015551704336381051,0.03894586512961743,0.04783928393673517,0.24942327153300745,0.3067809646366222,0.5098842625954036,0.0017610522606794916,0.25494119234439877,0.294205816606576,0.32860168419414026,-0.004370163471023445,0.1372207564480267,0.1079215004238369,-0.04036166356533601,0.11666909405148954,0.18571370240862695,-0.16483067238074645,0.16036031246153812,-0.08576105594178429,0.1919157804370594,-0.04292038214988355,0.028692307589812706
HEBP1,-0.039054407496093,0.028961954852096673,0.01602742090106189,0.035190303415266654,-0.0172016400745913,-0.03691955721634649,-0.13483681492548893,-0.14458093932240773,-0.07884496993548044,-0.08181652324906365,-0.24527955523002506,0.03694481958678847,-0.0027031258370501863,0.06982093886613064,0.05271093632765835,-0.09590127042936868,-0.029198463760151873,0.05624929569456949,0.027197174703006425,-0.08521725393341029,0.009246711563906029,0.036109595581894,0.015737951430267738,-0.1385658916617075
WNT7B,0.3013385392099077,0.08765057914214891,0.08625446874679002,0.08085394746840242,0.04057463316154486,0.0813955788615991,0.13918674764113576,0.45169942530352697,0.18523139448642445,0.18081399760934164,,0.03500069216441286,0.12113682561012509,0.20020353614438907,,-0.0472447793244545,-0.04204265241579725,-0.018674795448772125,0.07952216395489768,-0.04934476592501593,0.04225726730769719,0.14947351694214275,-0.008924403644197257,0.14590278571508855
PTMA,-0.1202619367190568,-0.006835774545511829,-0.017316153634600456,0.004135917688197902,0.05514966197079197,-0.19287604005238684,-0.2539419779658361,0.02211037318491274,-0.02223819509387261,-0.17834449888787582,-0.3647600112084777,-0.32441814640916417,-0.045186878655692514,-0.04726293675288957,-0.031217643781816486,-0.05024400865175461,-0.010602344973420646,0.05220016722797308,-0.18858692655828277,0.18245290655417246,-0.026599572893632194,-0.10513540826367962,0.10542445286503621,-0.21251337518430724
FASLG,,,,,,,,,,,,,,,,,,,,,,0.059383582621736715,,
