,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,ZH1007nec,ZH1019T1,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.012843355306474352,,,,-0.015610213203398083,,0.009150288879434563,
BMP1,-0.02714862686471192,0.03340825366780398,0.02069157598049864,-0.033330431350190814,0.04806452341929567,0.07271551232900962,0.02699035529008341,0.011591427378101614,-0.06808706623337298,-0.07602897997342348,-0.05585861630914184,0.014766881706952341,0.07841127714974702,0.09327499402704141
NDP,0.09359451967953317,-0.004466307258451791,0.04292410805350454,-0.03794823651802782,0.048186511041057783,-0.007368940505493247,0.02626517039697075,-0.03255738775135876,0.035073254574085194,0.07135421710708907,0.027652814682156142,0.006890498997711075,-0.03328618633084815,0.06386032948536204
TNFSF18,-0.010426319498142964,0.08933081512868853,,,,-0.011440818300260128,0.022060631075198452,-0.012490943186152794,,-0.02202684779621724,-0.01609853734022051,,-0.04490750625037751,0.013056748683048161
RTN4,-0.008077177163512876,0.11181789996604906,0.03173552529485627,-0.0017638127458871934,0.025533822277415647,-0.02207904387872553,-0.052923083931201,-0.04263639879248872,-0.00019631697326683364,0.14784148071074193,0.007796831084205075,-0.044412032497599604,0.055001991339023205,-0.13040115982844158
HEBP1,0.07251676458003857,0.0414374392561992,-0.01477925200107662,0.0011235884359969916,0.016532668101092742,0.0652075537059577,0.027939115447148232,0.007150835186247546,-0.04713949503535982,-0.03809681007435338,0.01737549817365102,-0.032831734624427754,0.01627063657624416,0.0007889912459273651
WNT7B,-0.026014307803833348,-0.031869022934409075,-0.03484532005670805,0.06469742703179372,0.036192621614762666,-0.001852782791091406,-0.024017472220255888,-0.03580412589038607,-0.05820467033060383,,-0.018113223303442436,-0.031834235191589684,0.06934430433549524,-0.010387413057081256
PTMA,0.018366108805527862,0.019709936813002843,0.014299756805710455,0.007662909945478765,0.010458275821665176,0.09112167245769365,-0.07595861605943029,0.03790941129271428,-0.020640125445973035,0.01598180444196536,-0.01480062341486669,0.021652986531081327,-0.02003445898456919,-0.004771912581420685
FASLG,,,,,,,,,,,,,-0.011006761940764803,
CEACAM1,,-0.01733250514458667,,0.04376590171487616,-0.01620797514531824,,-0.025097661873891373,-0.019645277863991926,-0.043829576348322935,-0.025561975703407954,-0.02313191744785023,-0.021128844884238662,0.03001906462989113,
PDAP1,-0.002301535120081404,-0.033445516448092495,0.008922627467300248,-0.027520422256196057,-0.026616453462559947,0.08225344340110247,0.10185182115522289,-0.05431004931161583,0.016187800982957915,-0.11022557420645962,-0.014949084007573625,0.11351514732790914,0.016522884055184678,0.0182277475516603
QDPR,0.04953635892109378,-0.01764657029014034,0.03568490986875374,0.008114358333238508,0.040064943855817534,-0.010283495235202509,-0.04830999013398141,0.056042609356674704,0.03251436082837327,-0.06883060016246154,0.05265648583269867,-0.07898820468617102,0.0040066389958528,-0.08570056460005426
POMC,-0.0563166970812453,-0.004794374873166163,,0.02518812053262743,0.01111006276008919,0.05097536109957954,-0.005958384174416598,-0.01449350271269192,0.08461691820472866,-0.07258565115828708,-0.0159537558293333,-0.03456401462656276,0.01959667197092409,0.00023221921961152635
CCL18,0.051445591466162226,0.05765651829576277,,,,,,,-0.03758157031407649,,,0.05001732477594095,,
CCL17,,,,0.12226701216876784,,,,-0.015578638065072179,,,-0.020581164384416525,,-0.02470119262109518,
VEGFD,-0.04506750059990116,-0.021629335643882128,,-0.01696671315743807,0.03116307585435688,,-0.0030084995207783926,0.05008050251310551,-0.04233983987807545,0.015620519488145653,-0.021706776063192008,,,
TNFSF13,,-0.01632219075818291,,-0.01050457719230214,,-0.011095207061921719,,,,,-0.02207063718209386,-0.007967728518297348,-0.00948069139254659,0.0373463439841069
WNT5A,0.0072533650112245095,0.02284953290853405,-0.008078662646954464,-0.012843845673499355,-0.0147160239298428,0.031179834999009736,0.029665636234912997,-0.013896965142837362,0.04571969318465203,0.03931071816757863,-0.052600323785040405,0.07960292444063478,0.00959755384892219,0.031041369140486684
CXCL8,-0.02713391973435315,0.08885609963179844,0.022901909491138926,0.06461005909358337,-0.005517515668721873,-0.015782212419822472,-0.023643550980231368,0.05020266546056591,-0.052982734785060624,-0.01098400307723799,0.060921310564132136,0.020346723297058993,-0.00632415672586489,0.012026315940134868
GRN,0.0032737289827569813,0.035431289970434356,-0.03646778971099464,-0.004188756540046563,0.03054561067272835,-0.022999024590888057,0.04171516751811572,-0.007018446286677185,-0.003994604820959207,-0.047394389902504525,0.03631422275279466,-0.024285032929026482,0.07733899937748571,-0.000995642846351978
MIA,-0.046201024690712356,0.05317250827576959,0.032537039308266735,-0.03206702394285473,-0.007879760747567653,-0.02006227420304264,0.13684493679191748,-0.03062001918970224,-0.056037625316402745,-0.0050043934208226625,-0.0007915969140767171,-0.012803119397256845,0.04216281732077134,0.06445457489195927
COL4A4,0.004431656377695018,-0.025976648126209024,0.1332566284356929,0.09251576566860702,0.02135391036193974,0.02395078189540304,-0.012656173354336326,-0.016264580122300826,,0.030449224503975417,-0.03170362005523751,0.0966204473986372,-0.003634774318908012,-0.027485215799969414
TAC1,-0.010271207617643266,0.04247677310821723,-0.006154813507854867,0.03978876726705831,0.0004787928919837806,-0.04306631809667114,-0.04234626664280924,0.026049230266369003,,,,0.014676497650165701,0.01824989240291646,-0.05433726296622653
RARRES2,0.040384450393804325,0.033850958466795485,0.048074289231362845,-0.025559113619876454,0.002025312234651586,-0.022435233193125608,0.07150199521023971,0.016089627461736755,-0.016880772740011166,0.08797851244943787,-0.06672133732221396,0.009617469575733874,0.004453739960159536,-0.034269137889215026
FGF7,0.0015859772307784694,,-0.042020647420580114,0.008166903245509225,0.05509038732196359,-0.030256988980886523,0.04554107524150694,0.015307195242324049,-0.0925589021363405,-0.024272753422562066,-0.051899640132457604,0.006235887753081773,0.02253603713374635,-0.004374150989476366
HBEGF,-0.0784533823896018,0.01092646279801237,0.026209732040369787,0.08531676281134155,0.024091198590850755,0.10419403290388897,-0.007876183119324897,-0.04895600010247013,0.015838153094593906,0.043745911221435646,0.02079862490207377,0.004108523008250983,0.07009112881533514,0.11182571914549272
CSF3,-0.045368268659217115,,0.08482561966525029,0.07974907880212113,0.007372153701125398,,-0.013389987807800463,,,,,-0.017582784488636337,-0.026006545221289874,0.0381690680287345
PI3,-0.053745479587676705,0.00833101168737731,0.028328572476802476,0.03676298219796962,-0.04756883789468493,,-0.015077303000293167,,0.10017363788041105,,-0.01748705585663823,0.07853396667316595,0.02008295546196785,-0.042274249913730515
PCSK1N,-0.04087322415734576,-0.056869724917956437,0.027087509781161093,0.0014449216929552072,0.036185773769109975,-0.057724224033614095,-0.012341920090222159,0.052102103249381054,-0.0249142076024598,0.0800487705265317,0.00575413262737892,-0.0300510261107332,-0.012576180216833164,-0.09570856891859808
NTS,,,,,-0.00018815476065806117,-0.012887209234470726,-0.016457905715694773,-0.0034071716173430283,,,,0.0008853875831760775,-0.027284835857194333,
SFRP1,-0.019464687624129264,-0.004889767355537568,,-0.013287832749183917,0.002903462139961534,-0.016063873349210077,0.07740879791553759,-0.025840342057768778,-0.013419514878944465,0.04445855577901777,0.009363426624406625,-0.022574075379185824,-0.03761722245618565,-0.03969230333997513
CXCL13,,,-0.01795968154798697,,-0.01753166661921202,,,,,,,0.060576185162682886,,0.02444985464469948
MICA,0.07422549778705528,0.028468097554643825,0.04382703344296252,0.031577778832296496,-0.008282070182725558,0.04213514995591672,0.048342592909244184,0.01843200604038977,-0.046273147748667594,0.00986306479623237,0.06003291373081479,0.00474851793839669,0.08743573285336229,0.04823393666212554
TG,-0.003452705321865023,0.038261607520666534,,0.00623241040998448,0.010680970423761047,0.03646325619196902,-0.016160517308915764,-0.01569488830047437,-0.05938207561120129,-0.027185340673684666,,-0.024930028683486108,0.019524778494617194,0.0852430315086129
ADA,-0.02153314378940103,0.04800333815843649,0.009835494223898246,-0.015733872297741387,-0.027289417319807587,-0.014568982827453487,0.03400586574776596,-0.045288586485401953,0.024963576921495093,0.0021436248949355447,-0.00199472834509854,0.042276328921766824,0.09436578165131,0.01927533541263644
LAMC3,-0.0314441017615101,0.014195787074391484,0.00025216358057602965,-0.020370211311357318,0.024509326391258524,0.033458699861393104,0.05523309619450374,-0.04640162482966699,-0.08240208167222642,-0.04672515087038611,0.030293483683791447,0.01629461845552574,0.011566027832912199,0.06581122407708778
CCL7,,0.13565210647627368,,-0.01036756340398213,0.03910904638676636,,,,,,,,0.03268666778030609,-0.049589930714195346
NGF,-0.02613794923559467,-0.023621940659021918,,-0.02375473575854388,-0.02481028721086729,-0.014194965599707286,,,,-0.09107105929946134,,0.02743374269343409,0.016155347515354336,0.024848340200849812
TNFSF15,-0.03233590530952938,,,-0.011544788921364697,0.15331937964563924,-0.017235800243755435,,,,-0.071280655760421,,0.061542847246582044,-0.023303599441833238,0.04419270766910552
HMGB1,-0.015205088507257497,-0.04353657156924378,-0.07005408290663637,-0.018639645661615772,0.023898976158189176,0.08287625413277303,0.04720656359468416,0.06046723314236778,-0.0013879973399690887,-0.14385119514579056,-0.06689442173078401,0.029556028669172375,-0.04145948609259792,-0.0024170267983705234
ITGB3BP,0.06458848634901623,0.018444783954426273,0.028230101371640493,0.023739736301641858,0.010503007826642916,0.07428583518753519,0.03346294651555732,-0.054096058998753645,0.0030385080207056625,-0.010591097212643712,-0.08015144810820245,0.06957285334132425,0.03907214352219477,0.038400337807559894
