,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
DCN,0.06632133446527584,-0.0084199460897352,0.08487102215173595,0.007189573348420041,-0.008857969035500696,0.09605203744630951,0.07262894067685449,-0.03674324792595504,0.036403520455488114,0.22505960759404028,-0.0071377776816146585,0.10852096094194263,0.15550486269432784,0.13741208435776414,-0.004220008971242394,0.16269420193597633,0.0014068739425149295,0.03304485407673803,0.1743748121706975
RARRES2,0.020892829983655086,0.046159157611635256,-0.0003438543681764933,0.03987501619810716,0.019360547795726716,0.09699184486200045,-0.003197398071134531,-0.017529498226110937,0.07408284685250574,-0.22154176460773506,-0.030748001422281738,0.012793648594984362,0.0017085349006658438,0.11223576458937609,0.07320745907773774,-0.036878560678456185,0.020413600193399814,0.028276190487055992,-0.028302114174580267
SEMA4A,0.03500387795044384,0.016284478316814274,0.07011583127440885,-0.003686053185416742,0.0007833935683397431,-0.06550996288388564,0.03842501802071227,0.012225940343760245,0.011170900751344574,-0.010419090383361586,0.025560897398081765,0.016054557111329835,0.009674258543423533,0.12185738302980179,-0.008792927715352065,0.05306549139397279,0.028595205605505776,-0.0066195115375042935,0.030367728249984162
GDF11,0.038608000877584835,-0.05020652554083117,-0.014265153339633284,0.01913331517010446,0.013897900999892835,0.06193716093600796,0.03393725728515974,0.07179721256171898,0.04966784314613867,0.052960097455424064,0.028783949039453274,0.09783141812966026,-0.11911777169872899,0.08625697906465796,0.006774479844105222,-0.022758894421503053,-0.04101533907323869,0.027149330317039134,0.028763667201313976
GPC3,-0.02255710303709846,-0.025437639592191082,-0.020648870095789567,0.04148035788841113,-0.0019143188079824237,-0.021385822528902955,0.02695942914511088,-0.02534391441260927,-0.021839330157518096,0.12692450439534264,,0.050829711905345396,,-0.010509798659100915,-0.041661273895024886,0.03969416363440048,0.007452680869806466,0.0987271363270397,-0.004916874531763904
OSTN,,,-0.03525127526273756,-0.014138105836201462,,-0.025163369605486527,-0.015205090303220235,0.027200484472091457,,,,,,,,-0.03855625994238947,,,0.02664633943521339
GRN,0.016604728980687083,-0.03297088825037614,0.038585970248326315,0.004615031332597462,0.0406937425236297,0.09129123785236264,0.032581466113459995,-0.0375173134761625,-0.018089326420635172,-0.07132111512281382,-0.029611832892503576,0.01886466549816256,-0.03591518826920255,0.03320664780339637,0.09180278802339754,0.057375835722145496,-0.03664012933346442,0.01889492168214811,0.06688960864277149
CALM1,-0.013654755418409433,-0.016843048500971448,0.10449750377253135,-0.024138092773193946,-0.02136180262219615,-0.12334399737053899,0.061517506765533775,0.03692202778769937,0.049937339231337904,0.15968818067237045,0.12346282954123687,0.025565398320828218,0.0680428843927691,-0.05824490612842737,0.004274429792103752,-0.08801900294400679,-0.012858678647260322,0.0017630920201327583,0.07246216092478035
ANGPTL4,0.0023174869990864,0.0366435138400364,-0.002566192340366256,-0.0006863698665261578,-0.031032612037321456,0.0016004944753598852,0.029699343419669573,0.014216857980232324,0.02057736395594926,-0.1634404499666755,-0.06887769850565975,0.027663069472802327,-0.08969889218644223,0.1054528378437454,0.0598547365610373,-0.010439402446148589,-0.028142028438703108,0.010991466119992818,-0.07997271202092092
BMP8B,0.025851639865272558,-0.022628072578307803,0.05845519131116511,0.056805059742253416,0.029834212021830387,-0.06808847396115165,0.011292464790342368,-0.021223854242771754,0.0035036988911897734,0.10539618468852367,0.022588951712312514,0.009514950843600628,0.02767252168242454,-0.017533348556101,0.0763329096861247,-0.037864150870002666,-0.048015984378134646,0.02227368844516288,-0.008458349563585274
