,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.022046860042690308,,,,,,,,,,,0.07309347967190673,,
BMP1,-0.06230006081783176,0.016760102275106017,-0.03744962405313084,0.05776602654319929,-0.01696460693002272,0.01998906746406934,-0.034392738773028037,0.03243119834681848,-0.06982230846210394,0.001017160283475564,-0.01579696794686715,0.05792499869778265,-0.03967921254974142,-0.04484099831555213,0.04016911891084112,-0.01776945650275073,0.004620643555192213,0.15294849080024947,0.06428513223400345,-0.06464478539993879
NDP,0.07586916707040427,0.00604513624843492,-0.02346792716581942,0.04795456193733026,-0.03946652231593447,0.02136765821728177,-0.04551190257938298,-0.008516106055215803,-0.010089668166509996,-0.04204729876766185,-0.018569048248360667,-0.025274799190509817,-0.026645324729199234,0.15988336359594987,0.07630188709216201,-0.008262304179923,0.023809396216828926,0.016003094706534667,-0.028999038697362325,0.06115201803084696
TNFSF18,-0.02181210511034524,-0.03480104073856807,0.017102974035252464,,,-0.02061180203969032,-0.02082804487146807,-0.01139033310061125,,,,,0.015528215904197095,0.009527495847362127,,,,0.03161426847017199,0.049148453423170285,
IL36G,,,,,,,,,,,,0.019139557970424787,,,,,,,,
RTN4,-0.011313586218506417,0.09248992770551799,-0.034527424729554015,-0.013815389446997813,-0.00195336483350593,0.04075148485531191,0.05150176989379998,0.040259392743535384,0.0020107897056109944,0.0019422662282929713,-0.025739017809833703,0.003912204174863115,-0.06463363435976689,0.12620774297417095,-0.05890911902115994,-0.008840749098211479,-0.058202894725086995,0.023620227437953743,-0.10986851625028285,0.044174623265363505
HEBP1,0.028099414286952843,0.034117583748682,-0.007599311592736435,-0.0031991420574363247,0.04725386668911191,-0.036546994454640463,0.006800433422530599,-0.0074402864755635945,-0.02439878168957709,0.0128044730166905,-0.034666614421575884,0.024003535106456822,0.09106737197404872,0.03843589784957381,-0.008292706050013005,0.06894578727505755,0.012044368755696382,0.04777815666372785,-0.00398629843085007,0.03680872653382665
WNT7B,-0.02609624869670868,-0.030089762638421873,-0.006912781806181479,-0.009548439755233704,-0.0004561424119035135,0.007960409752849758,0.009698460063529077,0.029423182666185998,-0.011878754606001173,,-0.005735574551030892,-0.019873153451301875,-0.036093534689468756,,-0.00233985636559665,-0.014413481861791677,0.04649624125935721,-0.0068071643153019895,-0.02124339345561495,-0.05852864918436448
PTMA,-0.07396082499142877,0.011227650292289365,0.01704192988005153,0.03847111023924881,-0.008573126790144466,0.07217223351531492,-0.023037492023872543,0.04479016515279766,-0.037731861542086645,-0.019771689971740444,0.03422348727933203,0.022415821664139395,0.10679195849945004,-0.017149467929502997,-0.044876175179730846,0.03664000193075655,-0.04312752924240815,0.08327991793226863,0.15750011644903764,0.13162305335958246
FASLG,,,,,,,,,,,,,,,,,,0.028518928664335662,,
CEACAM1,,-0.022149908683319033,0.053587575262006,-0.028265885987901754,-0.023793190072707856,,-0.025032574332082877,0.012162339024877539,,,,,,0.05955817536484325,0.04551524750145794,-0.022034264863140984,-0.017096390777045587,-0.039462709180887484,,
PDAP1,0.009811797272671759,-0.00173728833911213,-0.010885022970036056,0.00245925947012517,0.008093537721856125,0.003500040484599464,-0.07573922765026997,-0.010895446091742507,0.03162739680197238,-0.026903037380142155,0.05033727325397265,0.019012390276487653,-0.01639682754888644,-0.021485825047920088,0.04126431784093897,0.03851006710739457,0.0014569334613571232,-0.04901886519800605,0.019844853926922455,-0.017890289128690364
QDPR,-0.011642272325146088,-0.015757562106618606,0.00781143992830787,-0.049036963885071366,0.007972149430431865,-0.03745938981711101,-0.029100656826176744,0.00550327013213761,0.010616951262686471,-0.044778156183051435,-0.017759411862428357,3.2866190913767366e-05,-0.10938405364010957,0.018565885527487294,-0.10057531847760234,-0.005592391161248107,0.047782394016604085,0.013721873129044751,-0.05082536951719148,0.11446506464145587
POMC,-0.04118489459827812,0.05208366650910326,0.028367779590544612,0.03485936989793523,0.017216178012218582,-0.012441403346714248,-0.015254811286699997,-0.013216441803624922,-0.012468220289631465,0.06583811519658837,-0.026341204644943696,0.0060308147216618585,0.04759703009713242,-0.07376089197916526,-0.05925557326265871,-0.026270366354886936,-0.04005073961136133,0.08087972997088358,0.009945754413509741,0.0456443922780736
CCL18,0.04925957374270534,-0.027640993224208342,,,,,,,,0.08612920145766469,0.05605026466499858,,,,-0.024959915060600763,0.003665398968861139,0.037854243394010216,,,
CCL17,,,,-0.030219311552271234,,,,-0.014205963006200117,-0.014702568255207072,,,-0.016517549018138795,,,,-0.015632244432000918,-0.024679713388399895,0.08489246440765359,,
VEGFD,-0.03295825853098348,-0.027641002001518315,0.031660032689378705,0.028520756124954142,0.04421113209813757,,-0.036934404504242985,-0.015135252026223744,-0.010784511619608873,0.004035897150540532,-0.017797182660571953,-0.01770236888634754,,-0.054614170792066014,,,-0.017096390777045587,,,
TNFSF13,,-0.020858787104896997,,0.11896886262084513,,0.10741774296573746,,,,,,,,,,-0.02999592906587329,0.003982193367006966,-0.021523998883060787,0.19611908943523837,
WNT5A,0.010591850736992404,0.02195972295015196,0.050511095780170934,0.023275883509872964,-0.00888849905209131,0.047276198812581396,-0.017212626550837176,0.01639959215457539,-0.0378737022573318,-0.02977002230909855,0.006689095036491712,0.024157798142644724,0.03691096512524769,-0.030261961067056153,0.06772732591453436,-0.010782915703294992,-0.04131046662549645,0.06972174232024067,0.09565545783713036,0.1239545100677528
CXCL8,0.0061028056611877905,0.03668814103300489,-0.01830907060238611,-0.030933923921393873,-0.03410018195988129,-0.014834819172209647,-0.026178280454575736,0.048206672325540954,-0.010043006146334582,-0.008354392422489703,0.01763699624855225,0.0229072434834877,,0.019444648480219644,-0.043945860233915786,-0.032848744792060396,-0.07580398257291825,-0.022850251791290892,0.06475273713193971,-0.12871480889654027
GRN,0.022090062505492718,-0.012812867836345972,0.0013043224540026353,0.053777032367799335,-0.05800464262085622,0.053265034735988814,-0.001666822925674206,0.039708119080811045,-0.0030302193614434583,-0.011995063089746646,0.025745856003349877,0.06328033336226194,0.1330530868343461,-0.06785461076147985,0.06846193208596758,-0.0011988689413867089,-0.05583528301904088,0.08086955724442785,-0.005134797340109965,0.011605097595974521
MIA,-0.032157407587262495,0.012532933930399346,-0.028444553614359117,0.02907727864125953,-0.005332534151131717,-0.03614423492152643,-0.050285307285357975,-0.01738174919096934,-0.012265110770305735,,0.008648872287749174,0.0343280993481972,0.042069921391563146,0.024401101597929537,-0.010325700899872023,0.0402799320361666,0.11558575893784281,0.05807344244200549,-0.028799121258262977,
COL4A4,0.0033612692675255088,-0.010728897132865036,0.01218330770068449,0.02567651986163563,-0.005248149517256749,-0.01901879130163156,0.013537400285487573,-0.014831464892095676,0.00701235384175801,,,0.04869639852066369,,-0.020430522611723758,0.06339874322940882,0.011475287248770519,-0.02737399480712253,-0.011838144046749223,0.11249791197286718,
TAC1,-0.041553157888349235,0.013126656106735617,-0.041865985554154606,-0.014654584778459047,0.0711375180823065,-0.011903188060143064,0.0645475939958116,-0.013479606316048439,-0.00761296920690555,-0.00930320070915179,,0.011338148514328742,,,,,,0.06928994922614717,-0.16090362267224087,0.02220986438774319
