,UKF266,UKF269,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,-0.020688238737793567,,0.1526548866428842,
BMP1,-0.034353449280851475,0.0976660810014322,0.023145772361514244,0.05739538663110244,0.10038563257598562
NDP,0.07821069064175817,0.03179352419698222,0.10523402504847146,0.07925139652676971,0.012937348476644009
TNFSF18,-0.011239799654751427,0.0481863489557506,,-0.001305577679663599,0.05346479356877683
RTN4,0.07674174495843893,-0.08960535373729586,-0.02805097473010271,-0.06270752202017917,-0.1623001284518235
HEBP1,-0.010603739622865491,0.05646857083835195,0.04036855588227493,0.06660033450035499,-0.01148254317360316
WNT7B,0.06847221731925152,-0.024947014819565058,-0.031787887038221406,0.021514637286685623,0.047798048803007274
PTMA,-0.02684885157783611,-0.09596771810953621,0.016185986485814884,-0.023748073627736604,-0.023665997495168765
FASLG,,,,0.010019267730527645,
CEACAM1,,0.03874997266117665,-0.015399751345296819,0.043999127536043674,
PDAP1,0.037656589238753875,0.05905881154822073,0.004013253433889697,0.024961863421202407,-0.026889129229529067
QDPR,-0.06240970710721953,-0.029571164091874033,0.003822674965452274,0.03599777953270756,-0.10037351413034803
POMC,-0.029652858449058732,0.07536090299188883,-0.025076839813121178,-0.02244861192379271,-0.030691418820975497
CCL18,,,0.06383099711691136,,
CCL17,,,-0.022230507854607503,-0.02202437090893716,
VEGFD,,0.009274537805909595,-0.015399751345296819,,
TNFSF13,-0.010900260910633276,,0.06150333961666409,-1.589641902777994e-05,-0.011340631080176562
WNT5A,-0.017731485266118015,0.1045834960743717,0.02045984094190787,0.0356575432246544,0.09834697274365306
CXCL8,-0.015504914163657423,-0.006302771509301239,-0.047070025094634524,-0.015149178297461338,0.061238657597424306
GRN,-0.018553910845371998,0.08352099404547639,-0.025551865887215277,-0.03744067322768545,0.012811505173144668
MIA,-0.019709773963962007,0.08178301430001798,0.08101446206776954,0.09424033257615277,0.12994418532520444
COL4A4,-0.010371116678407592,0.05437466457194945,0.010292796521574188,-0.024708111839319452,0.03445596781138621
TAC1,-0.01189130163532863,-0.07323533009083201,,-0.028953275092094024,-0.11591772494102603
RARRES2,-0.003329334920229957,0.10220631826868086,0.013210795778065021,0.022372013430279034,0.024775329286240586
FGF7,0.06441502015835489,0.01419758878367982,0.05098299446650967,0.025892602893713274,-0.009007456480168567
EFNA2,,,-0.014636433054956832,,
HBEGF,-0.013831052132642359,0.13407403777658544,-0.017718510770116283,-0.029527104163198058,0.1321331378341403
CSF3,,-0.0037222360553952226,0.0008329815421206901,0.012572008739283278,0.0478890217531255
PI3,,0.0387752879743807,-0.022203737602036817,-0.05038039609683774,-0.05031320902904366
PCSK1N,0.059604917920374555,-0.0037102124685499667,-0.06902585830797338,0.06012339347720074,-0.07828211941915295
NTS,-0.012660777061813844,0.03405874728751639,-0.017831716217815763,0.07905390274609903,
SFRP1,-0.026683900017038825,0.05844404317827192,-0.06154819855122612,0.044547033424350464,-0.05532441845868045
CXCL13,,,-0.037605168926924296,,0.1671850963282898
MICA,0.034003426469938494,0.09379478487814344,0.021427276210204068,0.06287378363711428,0.04721079849343406
TG,0.0605844804329905,-0.02603156513505136,0.051692183036176245,0.12492858898612827,-0.039639256369396046
ADA,0.041917839685359316,0.04580016159182319,0.022413733410026507,0.022134710462885513,0.03303097102955215
LAMC3,-0.004248337087236343,0.08777178821177141,0.013727259097951338,-0.025430592916403583,0.07006014270393225
CCL7,,,,-0.00742375549696223,0.06035212499481278
NGF,-0.013945555751302394,,-0.01443969477057573,-0.04941641572451246,0.0009030367780735327
TNFSF15,-0.016932962008908238,,,-0.03669285693716053,0.043866171670940333
HMGB1,-0.05692895748767475,0.030818001832915897,0.012546043022185809,0.03776518018513565,-0.03155941441692971
ITGB3BP,-0.042138743717143406,0.04414694763828823,0.04136692797790206,0.01450919924767707,0.01892077453773053
AANAT,,0.0003218737085375733,0.001848324501688136,0.023851082171225516,-0.027077227758577557
RELN,-0.0031249276871297177,-0.026878980541400394,,,-0.07348224042999872
IL15,-0.01204880912229769,-0.026879796843885282,0.02024888031272557,0.0025893920296486557,0.05007013381823087
UTS2,,0.11189717107480701,,,
BSG,-0.026053005667543094,0.034284584919763404,0.004877858866847036,0.03599057713188401,0.12280377145470946
ADAMTS3,-0.019407145927255027,0.08086608674978557,0.035368543209589445,0.09979334930777878,0.062380673196676215
CD34,-0.0493309891916197,0.09805461677775736,0.11497300310473632,-0.014508326564399234,0.05381243569608125
CCL23,,-0.022137391656991058,,,
PLAT,-0.03965127919931991,0.10084946389488318,0.010512710380367543,0.07290407159676777,0.09947961624175482
NTF3,,,0.030941743182619313,,
LTA,,,,-0.03460099448581982,
CKLF,0.014381385403875145,0.08792241110392253,0.032650700528049505,0.06665373882571148,0.09500763174519732
CD24,-0.05035449227912667,0.03682904934706077,-0.0504040110649813,-0.027020748108819704,-0.0836226928905587
HSP90AA1,0.03136665797137763,-0.13772830291533017,-0.07968398005593919,-0.017139161483143237,-0.15073935498772864
BMP4,-0.00561378363095392,-0.026036039170853138,0.03153933506565376,-0.005017782183990667,0.018128626537856435
SCGB3A1,-0.015380517943629669,,0.04514426765220692,-0.02570680258524556,0.006409163370872873
IGFBP4,-0.011544017249898052,0.1053725306172371,-0.060743607586272966,-0.00599842067425513,0.03917933091002408
RSPO4,,,,-0.02748987881982732,0.07165298915896695
LEFTY2,-0.0011164871753702697,0.06756353911978834,0.10260887827957829,0.09569652725897804,-0.05784615316023844
PF4,,,-0.013415304222334676,0.06649138635714208,-0.026746388004214843
ANGPTL2,-0.017112120921424653,0.07995336186208953,0.0062865504763933945,0.02536317720293896,0.0647296456970561
LRIG2,0.03535964318051173,0.04291230070099548,-0.00010413206280956657,0.06565134440126949,0.07689959229730016
ICOSLG,-0.03010749982703079,0.08575077767918443,0.029574473686688002,0.034826432278915395,0.021784032897517156
WIF1,-0.004669058774981198,-0.1024245787384367,,,0.04508434589164975
NPPC,-0.029507469302563018,-0.03783487635703223,0.007114983588504947,,0.030801714501344654
LYZ,0.04748740771205292,0.09603452492714697,0.030160395460146868,-0.06828143567080174,-0.04491255239080093
EREG,,,0.028878890526043793,-0.052255504432246525,0.0013022205667176292
SPTAN1,-0.03826716986829701,-0.01601561473403853,-0.03468208024293706,0.046750535274614806,-0.07927152396362218
LIPC,0.0012457356584914217,0.012354525907728989,,-0.0437487433039211,0.0938531591934118
COL8A1,0.07686685913576716,0.041778298809835836,0.09228757354485327,-0.04307517802416132,0.05347094677755405
GSTM2,-0.010188890516514216,0.04419762708184387,-0.04147039479064614,0.07617801430571429,-0.0641133488736856
SPX,-0.01783540255350358,-0.0436573762044055,0.1054284116191562,0.13797734529168998,-0.027888196431893896
MFGE8,-0.04946311352463045,0.029300109137529767,-0.025125150441497966,0.05290492723517755,0.004184276898798786
TGFA,0.026217320943775095,0.042272221711390424,0.05728229837000747,0.08729410235183793,0.020381414126709935
SLIT2,0.03267612603788811,-0.009708919883275956,0.07334366081176323,-0.046710360816048825,0.05850393873058089
PLTP,-0.013000629240421063,0.13599046262154713,-0.04554973427370487,0.029606199279496797,0.08154895370112496
APOD,-0.024690014327664375,0.012025971198619107,0.008146719699544584,-0.06871652443022283,0.04149996453657054
B2M,-0.043941652895149584,0.15098449898180502,0.04109908250488971,-0.0711487620208267,0.014774668628670886
OMG,0.01727229647787799,-0.0647831457896682,0.004595776360961508,0.13963467255220965,-0.05976030271439277
CXCL3,,0.004900697273455573,-0.04993921661147635,0.005711394035786232,0.03744675569790405
CXCL10,-0.01646935708491433,0.09266967572434619,-0.017993812011737456,0.00538053238061051,-0.011857367845407725
RSPO3,-0.03999376943108611,-0.03194713725519318,0.05304476280858123,0.009960216424380636,-0.06048161004800055
CORT,-0.02772064196792412,-0.05529167858848409,-0.014038434021026345,,
