,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.014060730085260131,,,,,,,,,,0.05470494317646207,,,0.041824964305263966,,
BMP1,-0.024021548798854923,-0.023559317808933767,0.020549051614469075,-0.06960068039784775,-0.038082598649236236,-0.04740164908639336,-0.04246898109397962,0.20849916180768518,0.04508481533596652,-0.007644913060170848,-0.02638932237041868,0.04719593006460509,0.0359204209818645,0.11837257372415703,-0.07479349906116063,-0.0059742564102838545,0.018762328896831437,0.03297158968130121,-0.05173028620625149,0.06079476192903221,0.030142458864443247,0.03828441516357036,0.041404879559930004
NDP,-0.013082665993981474,0.107139017663196,0.09425352694251685,0.03856492943417671,0.013914988335184288,0.0727253729392582,-0.0038628977348050706,0.06510714699368338,0.020281178288396935,0.08219640824851304,0.0001602122958957986,0.03355978410337758,0.02098541817452477,0.05408289983477602,-0.04719321771937839,0.13114978624999662,0.05883276160022766,0.06634343003640567,-0.009875773705302241,0.08693022158395737,0.14357117412600798,0.05776590188995584,0.04717373043038631
TNFSF18,0.05819307087534477,-0.030638179383104487,0.004928975223688859,0.02145184733123458,,,-0.012213188515292938,0.17086006280004362,-0.020950662505980062,,,,0.10420289833189382,,0.0024606290881834594,,,0.0832048200955695,,0.04282287249106812,0.04484877078421475,0.032008281487447963,
IL36G,,,,,,,,,,,,0.054164421337801534,,,,,,,,,,,
RTN4,-0.04052827223844605,0.03761591686775952,-0.014834652870968858,-0.019538152064246406,0.03682343782849182,0.06355757759673981,0.025584888046027217,-0.22572829739089867,0.014507537410083699,-0.08076142824778015,0.049341698930092465,-0.029214519691571822,-0.09845870360314209,-0.11150514327775472,0.12217270517030325,-0.057379011729458404,-0.009109276420124738,-0.016541553880237585,-0.03788638241984857,-0.12824586623320078,-0.02082172383750884,-0.05561857465008013,0.035935990407646466
HEBP1,0.08558047908077737,-0.014616103005964162,0.06412332985015144,-0.060816325015368794,-0.0084718089205678,-0.021250082688541037,-0.05254078188427353,0.044140365186426285,0.023938500012026416,0.016827421545476912,-0.007943909942273083,0.023701777637077932,0.027462388478533634,0.07247431337113401,-0.03788593094225563,-0.047921887508375116,-0.011555982241412768,0.04963490570690786,-0.005383530568557809,0.09328786384294907,0.12210582502513269,0.005345468288218028,0.02961338653105271
WNT7B,0.14485747218965506,0.07780002939722844,0.013600905490367757,-0.021678090439663948,0.047341457916595116,0.04332282158895853,0.01494029400558144,-0.09319237238257723,-0.0498300240003773,-0.06739686060990344,,0.06144911720183682,-0.00976296930325717,-0.07766050694367019,,-0.03654080548480148,-0.0027898975829627006,0.02390847155392915,-0.020366672272462638,0.038037202710710545,0.04070228288411425,0.06520780021215031,-0.01149263598917037
PTMA,0.05488193839913404,-0.13979622827888566,0.019130971990180677,-0.01583040847094131,0.02963686755351498,-0.015960580062925236,0.019447119525739853,-0.11178688307568796,0.04903144429195281,0.033201484816404205,-0.04347413951686471,0.06816060801866101,0.013804474326793117,-0.10144340084953775,0.13947824846574006,-0.10188865869201015,0.06334790291918871,0.007360395148794196,-0.03381641859346985,-0.04146655943589603,-0.12325013299378028,-0.04154465764923132,0.11964410278081858
FASLG,0.0735339224153809,,,,,,,,,,,,,,,,,,,,-0.03365794762283615,,
CEACAM1,-0.05462602286643935,,-0.003349643452597649,-0.01663663056309908,0.017746876717872163,-0.0200863784802126,,0.060336060399927324,0.08938442421564624,,,,,0.06267147284788625,0.020245374399130735,-0.039668193854466,-0.014716201787083698,0.014425646606325703,-0.013517656594014087,,0.19390193800629282,,
PDAP1,-0.009936601992983943,-0.027814514679741553,0.018706102027115448,0.013769359673219413,0.018426704913002776,0.02473625496583473,-0.0582520225243099,0.15909601033325468,-0.0015739847263962488,0.044236738457657326,0.0095400461944266,0.07325145933793674,0.07682759834196917,-0.004402613359980513,-0.06796367889883156,-0.004913239312510877,-0.03681468515714023,0.017489213174060495,0.005963651127841709,0.08165845436730383,0.01042698326587784,-0.030523508657027104,0.015315752498485472
QDPR,0.07086111316378375,0.11960903767565144,-0.013345519955207157,-0.0018463063598199434,-0.0010925127391472728,0.03144721119938219,-0.020496807969407938,-0.18256378982234323,0.04235645905133595,-0.011403772945346313,0.0035968516237893607,0.024851020698969942,0.0514862435417725,-0.010173288420294326,0.07849736771226494,-0.09652175503105402,0.028028454391678555,0.02546130437073817,-0.05206892727813438,-0.054825753692598934,0.0820761790549686,0.008242954545347295,0.049557574619674444
POMC,0.006257909115156796,0.03649289689602041,-0.012109941559107598,-0.006865189533963077,-0.015219688201303089,0.05152632420104603,0.018485372253345404,0.0552969140130019,0.058811293099365496,0.04353982295138542,0.014371779444281287,0.011790933630260202,0.014989856971289703,0.01179236777388684,-0.0210007645597484,-0.06641793259961258,0.015185133647548317,0.017696065592509445,-0.022113110432311782,,0.08533778427046979,0.04136155320721042,-0.05695633491808552
CCL18,,-0.011913221382646971,-0.016786691722711706,,,,,,,,-0.026336957590351966,,,-0.02131669574040788,,-0.04410176526435309,-0.023767459774490816,,0.03848271148010335,,,,
CCL17,,,,,-0.03948329731959138,,,,-0.015293840641631308,0.04606022325783757,,0.05501228848772906,,,,,-0.021243761154472563,0.06018314065069099,,,0.012932709051854232,,
VEGFD,,-0.007836988982048062,0.029500275522856105,0.0028790451830586444,-0.023287054087694527,-0.019217509676106127,,0.038628867207890584,0.02130393614017302,0.0015858778013313661,-0.03850003473078836,0.005713974869227425,,-0.027327796259554258,0.06302472567290442,,-0.014716201787083698,0.01476526940021057,,,,,
