,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.03479405934511526,0.03317585688108337,
BMP1,0.027228171274503023,0.01919744274226384,0.02094783334750692,-0.021549403026402757,0.006376393233338689,-0.024940494367315307,-0.009544457992143719,0.0923605086415308,0.0430021548013261,0.08502641900997499
NDP,0.030898222535477263,0.018349805600451453,-0.01289948085640903,0.06768641781647275,0.09015896916023404,0.029911685634415843,0.023323068442044365,0.040312227244252444,0.0301841169113654,0.025719163644827226
TNFSF18,,,0.027338792709084465,,0.07034246085796454,,,0.053535796873678904,-0.02812556064563659,-0.044731835979141585
IL36G,,0.10742609181492048,,,,,,,,
RTN4,-0.03606306295816187,0.021236923397323998,-0.08504581241998724,-0.012932234692454707,-0.0763896262017226,0.026962511223726945,0.003642728760760866,-0.011587303957155893,0.06350210835959379,-0.0016947688273417872
HEBP1,-0.001525987266062457,-0.022520523358154736,0.011844872872332763,-0.05764234627415417,-0.0796819322514806,0.013722960446274433,-0.03265860446695515,-0.03696318399044183,0.027023257399571447,0.01771664736289374
WNT7B,-0.01960262458165417,-0.015116032933254355,0.021002278864462598,-0.008922105515344562,,0.012360167446878175,-0.0010185445095809908,0.030797024175842885,-0.011432581330715199,-0.04531540971612832
PTMA,0.06272360070111965,0.07999187971936095,-0.07344841927872085,0.05371994617463122,-0.05220285266641335,-0.035397123007029505,-0.024150124560620673,0.023488145939429467,-0.028465500137626127,-0.0115511972729861
FASLG,,,,,,,,,-0.023924453049336304,
CEACAM1,,,,0.047829393818468076,-0.006819245413126574,0.024237707334804348,0.01290024067191821,-0.010070203015522179,0.08358355827459531,
PDAP1,0.030031755043715445,0.0075926597917487385,0.022539668116668306,0.1059456878694874,0.04548239134224896,0.027685390351583364,0.01912419163964607,0.004233937596099577,-0.003690247174893949,0.04606267656479395
QDPR,0.03802035485113365,0.06827733451236355,0.015582341312708683,0.04390896006776045,0.015465371742584581,-0.013605492978528685,-0.0038288090806230567,0.002785652495049746,0.038631531217020884,0.017310513740188153
POMC,-0.029118169654174235,-0.029465756960951908,-0.02554398408461522,-0.12980495540743583,-0.036214378809746456,0.03503013334028414,-0.05323251864331068,0.011871262259947803,-0.004769228300999646,0.06832002537013067
CCL18,0.055146831162176876,,,0.020020977253234894,,0.04849886430907033,-0.03113311996473378,,,
CCL17,,-0.012563673678998983,,,,-0.021844548879327255,-0.032802472958249236,0.02978141909556105,-0.021684829503773945,
VEGFD,-0.00037313440210491806,-0.013464878220679016,,-0.05194057244114885,-0.026438204590035073,,-0.02272327426668139,-0.03483268204945255,,
TNFSF13,,,,,,0.021825410067138992,-0.012026854353287944,0.05033447284390395,-0.03533361971722328,-0.007922444102723263
WNT5A,-0.011234454549705637,-0.008676645480910891,0.05696088201354271,0.024859129047281672,-0.11427539517476921,-0.008236237696646996,0.005260202313318914,0.08126569483113029,-0.004093140675255785,-0.004751963274764478
CXCL8,0.06689053365410023,0.00877564347147166,,-0.13441171917899053,0.03461938212520636,-0.0613900670717183,-0.0536142752490619,0.07845283011843746,-0.035062883235873074,0.010612544857991676
GRN,-0.0069268170733594,0.015046042755966006,0.05077704123521649,0.03618605564320154,0.012034232430112476,0.01197648239583563,0.021811550127957685,0.033516488883959104,0.029472798947198727,0.013737250060646106
MIA,-0.026680681702520904,-0.01844076778573785,-0.04009447046869773,-0.06972311856766376,-0.03115321242575865,0.02202496523057062,0.046472887150134645,0.0842275900036423,0.020802489696998647,-0.05342709996985726
COL4A4,,0.07519849164877222,,,0.06660370072138438,-0.018362633171380777,-0.011945275650364169,-0.04035877827463759,0.031769422484168044,0.02773466945300938
TAC1,,-0.021329454706002372,,,,,,,-0.02850691338898369,0.012368011357162319
RARRES2,-0.047465021622647804,0.014230224629615314,0.04557402823268219,0.03554635123835469,0.021302268953001784,0.03711349734799568,0.013958672614441975,-0.05538719282310314,-0.006016927988388031,0.06928174020378258
FGF7,0.014476829460258708,0.030212906979835794,-0.024529176108328644,-0.10199499754303824,0.07287787492415417,-0.045758620011627685,-0.007524348304559421,-0.02788085584070121,0.09256978842605455,0.08520790860865664
EFNA2,,,,,,,-0.02159695147904319,,,
HBEGF,0.14397693987422502,0.023157535703069144,0.021677567423013636,-0.01099990797056929,0.007984082006602415,-0.025075615705748396,0.07147635567396576,-0.055116849661584796,0.03604022674064337,-0.010570820881996422
CSF3,0.03798172492909263,,,,,-0.027450249870826206,-0.03671668319875391,,-0.022830780187683673,0.04306549872011614
PI3,,,,-0.06655016876140427,,-0.027342784889877833,-0.02261104602375577,-0.028061332316786456,-0.014572783647069069,0.0905718374534364
PCSK1N,0.047997086901678955,-0.02905743467957743,-0.028780744054885992,0.03726324979407527,-0.11436977202682527,0.03920761314057282,0.019121251820337415,-0.00080143763012796,0.037095206970285344,0.0368383606420378
NTS,,,,,,-0.034449110172004326,-0.010619116688916186,,0.005639262728213833,
SFRP1,-0.058097667101635046,0.07131849561311394,-0.012203805083180084,0.07316522530677094,-0.026577591992835426,0.0743660012263388,-0.003306092418866317,0.027899868221315377,-0.033023630392294626,-0.06287055698878098
CXCL13,0.08648857822942817,,,,,-0.03875607392380032,0.031197987895571447,,,0.017602306937415452
MICA,-0.03268296621557295,0.008968763164604978,0.08046542423790545,0.08863698555363286,0.1341190402611529,-0.004829533826495499,-0.059580536418722796,0.08979747569690819,0.06873239389516766,0.03279328541356707
TG,0.013609525038122443,-0.018872410637134584,0.03126211803713834,-0.013084452989593653,-0.01753518670728197,-0.013947420020338412,0.03408973154647121,,0.021686243365427165,-0.01992031992421913
ADA,0.02747053911722509,0.08213728560510107,-0.03070589884834146,0.07372699430136766,0.054254859845045994,0.00445799430544608,0.080251637569412,0.012035441720521109,0.00659500781286838,0.08522547519180475
LAMC3,-0.009777848955624798,-0.024118998236761315,-0.012132069212696616,0.07389368577508991,-0.007513540414477944,0.05051385291804006,0.027617801673285147,0.05301294342172592,-0.003047882792736149,0.019083832267483877
