,ZH8812bulk,ZH916T1,ZH916inf
IGFL3,-0.022245083926373175,-0.019211068509711306,
BMP1,0.004358049771454589,-0.013178927314644377,-0.07746153734215576
NDP,-0.0011883126906584382,-0.0357680776347509,-0.0170878417066324
TNFSF18,0.021961860094773817,0.049536285859452064,
RTN4,-0.0010647280379303076,-0.039944945622000246,0.011116628038415248
HEBP1,0.05119554372535838,0.06225774781415076,0.06602270136311073
WNT7B,0.053263283718440316,-0.03003838387529462,0.10367494636074379
PTMA,0.0003714123844251894,0.013451254016298072,-0.006065766654846071
FASLG,,-0.016661753164521887,
CEACAM1,0.014195496485675753,-0.02318238236233063,
PDAP1,0.021310299821277648,0.02388405110855112,0.02771268009421834
QDPR,0.04347827663346521,0.02074376011260679,0.07499877423582087
POMC,-0.02783756042096673,0.016976075008282483,0.03072713405397884
CCL17,0.025008928738354544,-0.01510200780187308,
VEGFD,0.03439646848348241,,
TNFSF13,0.06529323219701326,-0.024607461199778184,
WNT5A,0.08230422531048938,0.006666589988668846,-0.0797231273866945
CXCL8,0.020427132051902497,0.12086720689905563,0.01024483615817027
GRN,0.031107499448193854,-0.011264974687331456,-0.05978374206364605
MIA,-0.005186659815843996,0.0540288197945117,
COL4A4,0.0949705098464742,0.03540471283093111,
TAC1,,0.12409996294612215,-0.05340494067529681
RARRES2,-0.017924187277163328,0.024602575034120302,-0.07502356711511862
FGF7,-0.007626439445629297,-0.0007591234645387906,0.07573523347714144
HBEGF,0.009539972250758137,-0.04886650006818457,-0.13326739924774458
CSF3,,-0.015900084455690196,
PI3,-0.0047526189828827345,0.014976966187047542,
PCSK1N,0.016630441030039498,-0.06469337009030637,0.025882519110463242
NTS,,0.10207001067227874,
SFRP1,0.031148609477773107,-0.022998710861148828,0.020113041444869754
MICA,0.04715219862909782,-0.017082294535343556,0.10014908708195282
TG,,-0.0022093201948439993,
ADA,0.036778690570755085,-0.03212040751457816,-0.048041335328679845
LAMC3,-0.008286062842288085,-0.007930255999857869,-0.046918675268377744
CCL7,,-0.01666174723980134,
NGF,,0.019402091485483285,
TNFSF15,,-0.0017124066956329632,
HMGB1,-0.0034481557465653456,0.0041264013790848755,-0.08546038093572647
ITGB3BP,0.026249780198578335,0.019956177549070267,-0.07604384297999299
AANAT,-0.03627885662461505,0.07396238876968043,
RELN,0.0339743685042527,,0.028195861903140353
IL15,-0.008690180347358408,-0.022424035324840694,
BSG,0.007534717937675116,0.0034560419947131677,0.017903768108098288
ADAMTS3,0.02295166513681692,-0.030501307136517466,
CD34,-0.041664199072983535,0.01049716988044339,-0.007290982538785844
PLAT,0.025558883309970457,-0.008689888857826393,-0.0013657062629774293
LTA,,-0.02372573958357092,
CKLF,-0.03149388350925476,-0.01786607892082301,-0.12141888899931857
CD24,0.005839441423299055,-0.023440807431401825,0.029716763425127243
HSP90AA1,0.08058156229280693,0.04038310121086501,-0.05787957305881601
BMP4,-0.015472151158584095,-0.022459197513200746,
SCGB3A1,,-0.03493522931791869,
IGFBP4,0.05711888646029277,-0.00456159923802259,-0.003786487356942111
RSPO4,,0.04975373277126266,
LEFTY2,0.055171376884171536,-0.037341143558265205,
PF4,,-0.0237257340932588,
