,UKF266,UKF296,ZH1007inf
BMP1,-0.037738212193535375,-0.029896837506970746,-0.003026566594195579
NDP,0.07828819818817884,-0.053760417396582716,-0.08918765684844274
TNFSF18,0.021165353726265636,,-0.026700397991358104
RTN4,0.06058934275910649,-0.02130270275682249,-0.0716622948254309
HEBP1,-0.001462626224152342,0.016421476980049192,0.03175100952496749
WNT7B,-0.03138365073019207,-0.013333401732465127,-0.02939453208519581
PTMA,-0.02685435369541879,0.03146820804538105,-0.12771778730909952
PDAP1,-0.06536191954851898,-0.022944734107140496,-0.08081871129719294
QDPR,0.05148922575752972,0.020736753659038293,-0.02477229873616091
POMC,-0.016430839610627163,0.12968067025788166,-0.07195670338548622
CCL17,,-0.016503013619510867,
VEGFD,,-0.012105160067877664,
TNFSF13,-0.011095205506652975,,
WNT5A,-0.07158546701708722,-0.046116258518521656,-0.05569514789799878
CXCL8,-0.01578221020755356,-0.011272851405066077,
GRN,0.0014742619616051988,0.0728773030957138,-0.02045209774077202
MIA,-0.020062271390816802,-0.013767070254237986,-0.038476265915527746
COL4A4,-0.010556597848787014,-0.023127583168342142,
TAC1,0.0731112642145416,-0.002191510719520276,
RARRES2,-0.018292492499404647,0.013149403972548004,0.1072230351137966
FGF7,-0.030256984739618294,-0.04800810999111348,-0.07971208790532482
HBEGF,-0.05533305168708157,-0.03108721172861851,0.006891134464742137
PCSK1N,0.0899863406418655,-0.027610709520784062,0.006397589139237339
NTS,-0.012887207428008387,0.03340995412597381,
SFRP1,-0.03922164727030877,-0.01650301378570977,-0.023363399846680295
MICA,-0.02735352047379283,-0.009386423037945088,0.001092862943550866
TG,0.08512079413903745,-0.011943159290104385,-0.012211347332825953
ADA,-0.029060231984705035,-0.019396651156638904,0.07861051705048194
LAMC3,0.02724909468921865,0.014678086464936575,-0.1237849825864554
NGF,0.09065668987126899,,
TNFSF15,-0.017235797827730097,,-0.03154015586165619
HMGB1,-0.07525755353104116,-0.033661418415900916,0.08066601337453817
