,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF275,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,,,,-0.01754461597910481
BMP1,0.012788119259346014,0.060037675192508334,0.05103057951836326,-0.027518857764629027,0.018083993944444203,0.17130785524366954,-0.015983316904190505,-0.0036977161238523513,0.0316857957894792,-0.01981269851858611,-0.00020920373747084989,0.07473631995951031
NDP,-0.024687571093933297,0.01710958079773748,-0.025681021173895594,-0.011610215889294286,-0.01209720197020225,0.06586955902817541,0.0061250722490502505,0.051520788325629875,0.025212497074362884,0.04088213390379661,-0.002665313760819123,0.0029331071940880147
TNFSF18,0.036252986256657835,-0.014975074590477738,,,,-0.016407532342173493,-0.013506325325882383,-0.05071176003594426,,,,0.039120655656252626
RTN4,-0.03517432131519505,-0.02881240942414455,0.06256465147800823,0.007568418231280951,-0.04384311921364577,-0.049594503347003,-0.010864980635939216,0.04613100975901597,-0.044289018294314385,-0.03286312705345825,0.09255708036398708,-0.003911391965507268
HEBP1,-0.025337832115634465,-0.039075512432592704,-0.034176991239129914,-0.00495124962165592,0.014045256435884914,0.05883922184181259,-0.020757162746421226,-0.041438260769542795,0.018069734553607594,0.07992369809992991,-0.035215362021705776,0.014249584105944737
WNT7B,-0.04173586765067757,-0.017018619991953664,-0.031103831022213573,0.006739321006005035,-0.05646205136085513,0.06048474552657841,-0.03142747493028352,,0.040072263261428216,0.06936044463459005,0.011052993277967188,0.08852299819789035
PTMA,-0.017059845237640422,0.046170650827379374,0.034385751795085476,-0.017052470209938875,0.02495284005322888,0.08646095778805131,-0.01571624495668654,-0.055334230912501836,-0.10278779646026069,0.009308344478142987,0.07490443981820895,-0.002971172079488881
FASLG,,,,,,,,,,,,-0.01521643945324537
CEACAM1,0.05757467145770922,-0.013060767242757865,,0.019210075301356485,0.023991957686383316,,0.030447253866437565,0.09367460697591547,0.023063918783926912,-0.029541137207178075,0.02542208425383572,-0.021171440611034268
