,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,,,,-0.018835959583539563,,,,,
BMP1,0.06241327028957197,0.05430614965657382,0.013579047862784055,0.0788042168348944,0.09316439854876031,-0.023576764066874475,0.033773059795850505,-0.0016777481632338988,-0.021907211861361013,0.04716827499671996
NDP,-0.0008891367672289751,0.033759627229167,-0.021905248510761647,0.03527487698881212,0.008091939410239038,-0.03859088313997808,0.01177084399277961,0.018629594145950546,-0.014338058311852388,-0.017492156544760024
TNFSF18,0.008042755836842741,,,0.022117937658103232,-0.00018787558479251124,-0.01879878387122492,-0.04663382837775116,,,
RTN4,-0.016010505421986825,0.004629734985355241,-0.037584441793741166,-0.10727691995356389,-0.12506332603516496,0.002474608934970071,-0.07048469807728283,-0.01921959728795773,0.01958718325563887,-0.024018092729436592
HEBP1,0.012638863187630982,-0.03489792751746178,0.062477031684966454,0.05074000287365212,0.032891865812237846,-0.002695543592209723,-0.07017082327855627,0.03762486770043711,0.05973696085894696,0.03113047559541375
WNT7B,0.0527268158277353,-0.032553776998981085,-0.009217250951156815,0.06769584141687827,0.0010906164499412132,-0.007699225224431014,,0.031013559892217483,0.03950305964396465,0.04546756468187469
PTMA,-0.01588978197180388,0.015723014394165076,0.001609371603843124,0.158885398632717,-0.07384831406326849,-0.036497048402321236,0.03878909654355936,-0.002391918375023247,-0.001632286238432928,-0.0011862895495492634
CEACAM1,-0.01938973294481386,,-0.002925803812980179,,0.025191166357854646,-0.029566008519256583,-0.03279149578046422,-0.0018874632386296846,0.15163153238699303,0.16202131956693935
PDAP1,0.0061821436978737035,-0.004389172899742667,0.012345714884227296,0.07577498189381461,0.11210243433464531,-0.0105947015226101,-0.052551205458997614,0.034196559530595826,0.0045476880589079395,-0.019113644952580566
QDPR,0.025346569074608246,0.046866416517295666,0.044234759131986254,-0.04024990163776879,-0.11223362102867526,-0.02057467790675169,0.037544352323506704,0.02556524785719932,0.0605332854974363,0.04736604804285033
POMC,0.0713532718350995,,0.0167192082802351,-0.010520142010761303,0.02646620182468854,0.003831992587055044,-0.039011890103694886,-0.015497542391371914,0.033136575906435296,0.038279691549189074
CCL18,,,,,,,,-0.017015769121629637,-0.04125176274817236,0.00751522260947773
CCL17,,,-0.02939010029346194,,,-0.023445743498216178,,-0.01529664541780002,0.04193405228239968,
VEGFD,-0.005049009879861712,,0.012100614861259832,,0.019459337673369693,-0.02497945662908055,-0.044579319926348816,,-0.016893071826819338,
