,UKF248,UKF255,UKF260,UKF269,UKF334,ZH8811Bbulk
IGFL3,,,,-0.014337209148495551,,
BMP1,-0.04493583796103644,-0.004332705695428974,0.005334553415859102,0.029955719175309762,0.026015337228504375,-0.06285422428653648
NDP,-0.0573572391991783,0.030119905001931763,0.015761633298647118,0.07752849521920749,0.054888218827613376,0.026521547577699794
TNFSF18,-0.030940066447324315,,,-0.021290325170702583,,
IL36G,,,,,-0.021214447842608956,
RTN4,0.02199358113920765,-0.010281571814598565,-0.020889343628507525,-0.06862441112055584,-0.016216298222516624,-0.042258388879241354
HEBP1,-0.008933782901039484,0.06269215817790737,-0.045553066136918896,0.0347167997193464,-0.014985028524442685,-0.00809040713229118
WNT7B,-0.005708908680854919,-0.0370056830737904,0.03186354798289838,-0.05934126586434724,0.005674382503941106,-0.0037283686423740707
PTMA,-0.065026925976875,0.053685703872605274,0.01032614486476879,-0.025082746536930413,0.0335633354256321,0.03916735368701727
CEACAM1,-0.019692504359634128,,-0.018066804646513963,0.000950980602209292,,-0.015175142148689657
PDAP1,-0.011454495633830818,0.048318982402254775,0.03633885878436323,0.06523210244124392,0.015432219666563128,-0.05200176624504609
QDPR,-0.01648554745379524,0.03896273836730677,-0.013291696963213884,-0.06823239749799363,0.01003862422070477,0.05741092583664281
POMC,-0.04667343501985407,,-0.014842903655623458,0.04433811803874005,-0.0454521818820721,0.04491874261829268
CCL18,-0.010783432863784697,,,,,-0.03705669223484272
CCL17,,,,,-0.019380000382193327,-0.021906270378466857
VEGFD,-0.02457439261722464,,-0.017285295776574772,0.025283059610896913,-0.004333488867542404,0.03753786039224046
TNFSF13,-0.018544625256591087,,,,,-0.023811366949837213
WNT5A,0.004632507839451365,0.02030142338387196,-0.03479871356273202,0.05234791911730549,0.05671493745170481,0.06125913782306713
CXCL8,0.06419654677254137,0.014877930628499616,0.04584972491901085,0.11137547275776558,-0.0049683768938005276,-0.06478813747801017
GRN,-0.07202966830523269,0.04167050861915792,-0.03726713028897255,0.07230595725296912,-0.022013368311868675,-0.017063894859289108
MIA,0.006275757391357857,-0.014824654237257411,-0.019417604032523406,0.020166957989345695,-0.02844566771365018,0.09150287550071216
