,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916inf
IGFL3,,,,,,,,-0.00863220797255312,,,,,,,,,-0.0021123225483751654,,,
BMP1,-0.0289879593749097,0.17208717208125518,0.029894779105653142,0.26518903881146827,0.023105505048145774,0.03161380832296189,0.3239248268523241,0.2500909516834995,-0.08493985076493442,-0.05616289329954073,-0.1061265136934944,0.0016413982116836266,0.008743633705774781,0.14597848535129523,-0.17318697517291137,-0.14198842002480802,-0.0020532755975085346,-0.05695252616182462,0.05645491890517764,0.12851857930756916
NDP,0.05286069989945168,0.06872655406089793,-0.03657240571195183,0.05068635448896158,0.003144432521855341,0.040452165565808614,0.00600724313040498,0.06881619441331642,0.05930414045829143,0.04994727250609666,-0.021635336701138527,-0.041361708667944835,0.005319865842515003,0.06707525978342813,0.0039191505554697845,0.10716006039054275,0.005437147781953218,0.08512383825316516,-0.007290366145782001,0.06577160929167561
TNFSF18,0.12712181722194962,0.07003507920420228,0.027052857548048623,,,,0.07050127669173459,0.02667984194363168,-0.002010492645845203,,,-0.01748739074427223,-0.011616094682493888,,,,0.017080481075096045,,-0.043921733607291825,
IL36G,,,,,,,,,,,-0.02670784861919612,,,,,,,,,
RTN4,0.056743511619841196,-0.047548308413914185,-0.06610452264963196,0.061248777261923015,-0.01700870830371608,-0.07311488377669366,-0.5361016183910422,-0.2954160605258109,0.06082072361101883,0.1113154802010251,0.23949563939551896,0.058315161437590884,0.08378613979898102,-0.08597596508492775,0.07857642959279598,0.04323218807476861,0.04942845091199042,0.21768142432150064,-0.00519849095968205,-0.12101831281035895
HEBP1,0.021777774464470098,0.07487294390811566,-0.030856456411017693,-0.11086847582638057,0.0201597037157362,0.06907959710286184,0.22445124605056227,0.2051910521683384,0.04096084843914559,-0.06739422764220036,-0.058120515997907,-0.04817143199538989,0.03904952193616957,0.012996391729698513,0.13812466379328525,0.12003024517437316,0.01797320830686792,0.03814253496969275,0.09361737018672314,0.09860717641093356
WNT7B,0.09309627944631779,-0.04148732184702037,0.030739378189418135,0.017224983568098096,0.04319581169188224,0.20591324158810823,-0.09428396953264874,0.026905739269040434,-0.017558793348577136,,0.0673464227603395,-0.0424462018888888,,0.05138669345644609,-0.02310076954176641,0.05451054833947611,0.03885969785670658,0.06819700617472461,-0.04392168806375347,-0.034007664925866786
PTMA,0.0946024711133949,0.3500600037201125,0.10319500695138244,0.49720182162931437,-0.0194699636200784,-0.026620866016071956,0.7142978348806831,-0.09426336456975637,0.07523912093656579,-0.07534763925865931,-0.2309490537984051,0.1480442216941911,-0.06637149896858102,-0.04871788563599691,0.032241680505817966,-0.0028621646769362743,-0.021591425741955952,0.048429875751625905,0.11427284633779665,0.050473586049672246
FASLG,0.04525906590572432,,,,,,,,,,,,,,,,,,,
