,UKF251,UKF259,UKF266,UKF275,UKF296,UKF313,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.058191772450456425,
BMP1,0.008914565723004933,0.06814842870896383,-0.003721307520062194,0.07076422067568834,0.02355626514990657,-0.0021337033995090437,0.05922421041260096,0.07627834148123218,0.11754532379921352,-0.0070133528380520995
NDP,0.005472898496036609,-0.07713869595594455,-0.020290365532528866,-0.00547471073259063,-0.010692105279598326,0.0762442153573136,0.04791780715503373,-0.0594033670452706,0.04899127722576092,0.1067522195659521
TNFSF18,0.03769010670903583,,-0.01103526537251061,0.02700192003218921,,,,,0.049156191025275145,-0.05594573463499331
RTN4,0.02422591324452067,-0.03154880642957788,-0.03727746353446789,-0.003847019308560796,0.04513196954262983,0.030536784857207008,-0.021222746800887187,-0.059711970468047416,-0.12000804944090154,0.29667451857411586
HEBP1,0.037128609867589556,0.0072086512245615395,0.0112836080935389,0.06420534631245593,0.012719244914815863,-0.017938273467825953,-0.008944619846260752,-0.0056986363030422215,0.02746365139998766,-0.02210144231511726
WNT7B,0.05593141458561756,-0.025822631927350834,0.017539152349245798,-0.04489656534541406,0.014019023108126144,-0.017850022208573346,0.056807977071881975,-0.00625358410046548,-0.04064655013690768,-0.019261341441783934
PTMA,-0.001584796971303341,0.032876978141498425,-0.035915680048662545,-0.003820286558452628,-0.01579931082984085,-0.007106682607556322,-0.013157174306771824,-0.017773138254595224,0.0513688178617886,-0.22461365867066152
FASLG,,,,,,,,,-0.006063455415332612,
CEACAM1,-0.025946144732822807,-0.022259189173786692,,0.012927421303912869,,,-0.031136870377759078,0.006312256360131234,-0.03774379172041885,
PDAP1,-0.014076794335587974,-0.020120969168098024,0.015846439195223338,-0.01618295330277119,-0.04425088803395193,0.005739775371300682,0.022111662566509645,-0.054365947499381465,-0.06898923329313672,-0.20815311151689864
QDPR,0.02776198472928523,-0.001462456375756625,-0.08234238453605158,-0.03400773752427523,0.058578451897792747,0.01344017218896383,-0.04013342167645651,-0.013647256520813736,-0.031067178283083387,0.35673429348944585
POMC,-0.03885865346590337,-0.026226684490275317,0.011917971968383052,-0.0258872225458722,0.0203615345554543,0.00867010968045563,-0.008598968497018213,-0.0018279116441384264,0.09679765624097801,0.05357033926845959
CCL18,,,,,,-0.03321260785299859,0.11021802729151557,0.11959022364574337,,
CCL17,,-0.03617215151811691,,-0.027825411051185134,-0.013920451951911368,,0.05933036497989195,,0.04606050870838168,
VEGFD,0.06213618450804768,0.02186224283953909,,-0.011294473210283354,-0.010210819852676195,0.00766945302307274,,,,
TNFSF13,,-0.0023511088556102803,-0.010701905325117875,,,,0.0198372068002327,-0.027408960775641564,0.0796813852650692,0.0665219438853327
WNT5A,-0.03528041756531716,0.004213760730489551,-0.0574272913207451,-0.025680761172639857,-0.0009348171917062104,-0.00864593608255439,0.07115898811600033,-0.05449768400615975,0.25077903757180037,-0.19759914257395483
CXCL8,-0.025320734063631896,-0.030801177006278782,0.18325056394236594,-0.02432122922466098,-0.009508759428019544,-0.03666409250049667,0.08202395978369294,0.0584493171283201,-0.012812560316120469,-0.23902004460671053
GRN,-0.02357466963446044,0.040105456776972914,-0.08184838528250388,0.00911705561344853,-0.0021163442649348068,-0.022871754208382198,0.03911454460482206,0.11178693911749044,0.2456370414887049,0.12356139866998868
MIA,-0.03304985914948669,-0.03733365437844792,-0.01935110881025141,-0.016076053490839536,-0.011612657203780958,0.06815587112320969,0.08944769764248424,0.10924369670417505,-0.07103763617651968,-0.11404353053496932
COL4A4,0.012964030912911186,-0.04638228582288178,-0.010182390102221944,0.04034114532733884,0.010284714577925118,,0.03880955004065102,-0.01879344563013522,0.14030260007967607,-0.08500501770542225
TAC1,0.022043859413282185,-0.06687359273138352,-0.050343928962480085,0.028456003241991067,0.05330904310571783,,,-0.04211138742919797,0.15516900719341897,0.11609370517772863
RARRES2,0.0899578265912954,-0.029602471561551352,0.06137002894231187,-0.039990647122674264,-0.024113375682112644,-0.004539709996806934,0.0642419877612529,0.08845052438291712,0.05949334691592219,-0.2450866325508557
FGF7,-0.0180654236629583,-0.00036555792053503304,-0.02918444240737749,0.005313036366715897,0.05776301143838397,0.06585169426063565,-0.009396380188196548,9.238606482417887e-05,0.03481044070771561,0.0012015489835141046
HBEGF,0.01368266137610667,-0.025011538664282355,-0.02166648076782672,0.007450360645493871,0.02045780337543756,-0.018175111309522315,0.029918648388863246,0.039674036091479556,-0.02443318596359558,-0.23211579388650175
CSF3,,-0.021541993438784553,,,,-0.03571328352946127,0.08592034002982334,0.010962415623152215,0.03591230549528509,-0.05498341899169831
PI3,,0.021977778046076393,,,,,0.06407271863082586,0.14419583297744576,-0.1327290158678328,-0.21310952387870513
PCSK1N,-0.002384515930726583,-0.03921761719247647,-0.03206293057413306,0.06677981864806568,-0.015232067233540206,0.0015333812065825305,0.02179587013549539,0.0031220640925462076,-0.02165178760367935,0.26977209382649364
NTS,,,-0.012430384792512635,-0.033186922181600326,-0.014277038828384294,,-0.05153390955856335,-0.0351404927065105,-0.08252120958580714,
SFRP1,0.006260842594212106,-0.022498938009960744,-0.0378313277325347,0.02802619833435931,-0.013920452092101753,-0.02690423280471661,0.05169705594797624,-0.07249958561314183,0.04740085507560388,0.024577436223118972
CXCL13,-0.04695458512835859,,,,,0.026409163523481712,0.052118287866046296,0.07048293911157676,,-0.012340913527262387
MICA,-0.05302375962693534,0.0062635321720039645,-0.026383899445906873,0.0003788677340799438,-0.03615003916086127,0.005721641218880526,0.12600902835624037,0.032536150750571605,0.0989248111991804,-0.08223114594833383
TG,0.030851737109235673,-0.007613700664169574,-0.014347940865002701,0.011508568846009901,-0.01007417062634949,-0.008131666744069675,-0.029352223335347677,-0.02879955363705755,0.004055651426656395,0.01140845861652694
ADA,0.04136941944219507,-0.040874870534779464,0.03083864333696149,-0.028871107117839308,0.08904068181914374,0.021052764182038188,0.05378014394789622,0.0032153177104276205,0.1199621270137414,0.05045173334408071
LAMC3,0.003614222119343918,0.07531025316218387,0.08349085899258495,0.08138797622744237,-0.012265565503671532,-0.006466548199536901,0.030360416998700283,0.05797294376621244,0.3025207722295351,0.13573044748598312
CCL7,,0.050651964173589095,,,,,-0.03310797181437524,,-0.03540730362125462,-0.22089756157568174
NGF,,-0.023546328123518794,0.09596705726753077,,,0.0134053929124867,0.0654124868950994,0.07042475457539703,0.24748626432439175,-0.030917431478527196
TNFSF15,,0.16241059451924023,-0.01662482740356952,,,0.011919054543317245,-0.019205897702442083,-0.021729883921342043,0.05223777829800473,-0.12599389164331967
HMGB1,0.06657746438633644,0.020955055098599195,-0.045746582813041996,0.0008930914521261694,0.015886473248590834,-0.0037957552078887406,-0.04511435060327392,-0.020659126827001096,-0.14839706623800225,-0.021491673636189916
ITGB3BP,0.021598896969337533,-0.0686857830990578,-0.07172114950607714,0.010181575912066552,0.020995361299232393,-0.002138878072118946,0.0492083462336964,-0.00098555314524153,0.049156520870676186,-0.1451355848804619
AANAT,,-0.024950743223486182,,-0.025210284452589892,-0.011612657849706602,,0.0013264212277236027,,-0.036032001416845275,0.032994037902544085
RELN,-0.0421943925800068,0.011401974918378648,0.038665044336991986,0.10011317327350497,0.011558991995679193,,,0.07674732628572482,,0.10524753044958297
IL15,0.005662399084061205,0.034579045442680964,-0.011829553032208577,0.0914274742381127,-0.02495940741454109,-0.0025318685077633505,-0.011537251598291998,0.06582187457209952,0.10600782409115249,-0.10760972032893702
UTS2,,,,,,,-0.02473397149693096,,,
BSG,-0.04527632009293412,0.01741496324879838,0.016001008169194912,-0.012157909023177588,-0.0025319229848710474,-0.10952862897410079,0.12030653719493055,0.08546637870073107,0.004941251828017573,-0.18072649062355092
ADAMTS3,-0.0004883609428879288,-0.033970979428234765,-0.019053987794147558,-0.025867621074788606,0.0638504937638131,0.05663719595206403,0.03506065461477826,0.02715859178006292,-0.04064433074802982,-0.05166707477361705
CD34,-0.012878977065728109,0.05018208329592714,-0.04843329717072392,0.034791272031901035,-0.02172696752884093,-0.013153194912072055,0.023604301288502823,0.11828079277794375,0.2045683971820473,0.04774373682068592
PLAT,0.022925890968219283,-0.03985470396093501,-0.079622230527148,0.03750290990653886,-0.04309528124743314,0.037424583702555664,0.053415375564804184,-0.01703184537401125,0.06279509672048827,0.05410724766959636
NTF3,,,,,-0.018745600021476936,0.020821516879544467,0.11110799597260852,-0.02458995515417583,,
LTA,0.024795506006805596,0.026186728314247065,,0.022567267861970317,,,,,0.049308873551571555,
CKLF,0.028993220310224194,-0.019104133468229062,-0.05678146937767891,0.0599614680929291,-0.0011688722461535548,0.09890167899614541,-0.012548366958266468,0.004565783634129297,-0.05223421155229246,0.017868793298198547
APELA,,,,,,0.04687178287690743,,,,
CD24,0.041986182194148965,-0.01879446274999205,-0.010804504375728295,0.03283110321520718,-0.0010368378206052826,0.008482046273131786,-0.026343348327107764,-0.02311625335603054,0.032037637057073805,0.02187048602022773
HSP90AA1,0.03576894697399395,-0.042777852508071354,0.006291720175347758,-0.03943059441853831,0.009158529525634755,-0.03544678238069375,-0.017591829643788647,0.08957042272323366,-0.16604174646917697,0.07677960149869574
BMP4,0.02030598993898182,-0.026774936308931088,-0.047404040218606926,-0.009950411784879596,-0.005765015293903984,0.008508999249388244,0.049195783843633906,0.00023027597268546464,0.12149649635658502,0.11348636822031868
SCGB3A1,,,0.03377065698470955,,-0.009795390476027822,0.029476727336871067,-0.005138582120152049,0.05783254428570652,0.13431537939028623,0.013546199719866165
IGFBP4,0.0256446514409383,0.098376520039194,-0.06901465901797972,0.04399576556084738,0.020480512666260584,0.005551656708551209,0.024064569571151925,0.1257756133989239,0.32165706707200814,0.11221183026700227
RSPO4,-0.010163429540689843,0.0849418577936901,,0.02320933381578064,-0.00979538904323038,,,0.020651736317676705,0.080508283316126,-0.048547648265128536
LEFTY2,0.0672359223585063,-0.01908233659187561,-0.033908634798828594,0.02300654332464826,-0.01074076388614232,0.004649909050939468,-0.028104918888668843,-0.005635740828216918,0.08376688733924893,0.04907927332335938
PF4,-0.02360154750634652,-0.008147117144310042,,,,,,,-0.05109573809561529,0.09660975846749115
ANGPTL2,0.015452109603721627,-0.047280608921922644,-0.0564047944901197,0.06576768471435758,-0.018796440026020614,-0.03106499898817892,0.04055395862326783,-0.03259427499616559,0.09149931723331647,0.05294683981839876
LRIG2,0.06096393122181986,0.06393541721015306,0.02555669213532965,-0.013758208269550942,0.01172333017299605,0.016124396631942983,0.005180758699738539,0.038035419401187924,0.04984655620721135,0.030219307873359195
ICOSLG,-0.006903192911256506,-0.03087757458026243,-0.03956138276912146,0.041239430921895144,-0.0029623112495977544,0.02099134934136893,0.08830262992205111,-0.04111838988501195,0.15876407672293624,-0.045465104962286645
WIF1,,,0.019306612850471194,-0.00852041424428616,-0.018432894090462282,,,-0.028250928383797908,,-0.04753166861588478
NPPC,,0.020351628081356335,-0.015132627428878505,0.05478429983543701,-0.013613193630352271,,0.09382530915805869,0.0034666938013887243,,0.11937217640508188
LYZ,0.05034315764352206,0.046231191757363996,0.09300270810355672,-0.006975028945989408,-0.010692221781924496,-0.013736410618017933,0.058876996968792686,0.061209351086590175,0.2302704191958939,0.005128437203844017
EREG,,,,,,-0.017097417866978378,0.02377514882021698,0.026395446099587366,0.01424381967795113,0.07531069735415671
