,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.018835946314708654,,,,,0.024094821807814953,-0.022546136395056125,,
BMP1,0.005680661289325433,-0.044877676574887726,0.020806516415897924,-0.049497422878204016,-0.10579204074099295,-0.05061117909488374,0.00600556246744504,-0.047256213941117814,-0.073318959792726,0.049873935289527244,0.06330984571796434,-0.05066893161790028,0.0008665588005702454
NDP,0.023941712170261573,-0.01163976481327113,0.0660573660835539,-0.012893402772583232,-0.025056394872474123,0.05581877169231803,0.010180537422662197,-0.0013761241987613596,-0.020247571726883868,-0.04506266325055011,0.00967508982839916,-0.0317085910908202,-0.07991945310355639
TNFSF18,-0.01632827910798131,,,0.0004527643153372824,-0.014452788936638641,0.03125241898318291,,,,-0.029717436134503547,0.006302118726375165,-0.03523593325410652,
IL36G,,,,,,,,,-0.01544292897817941,,,,
RTN4,-0.017440774573456656,-0.014161745930997942,0.02440407983223286,0.1261439088615008,0.14786593041545593,0.013533192087651705,-0.035958810336042916,0.2516035780332916,0.07565966223896707,0.05021796920584883,-0.0037965687620548894,0.20690563764034597,0.026715949436688275
HEBP1,0.025723100612539695,-0.0015491774686347006,0.002810292088282659,-0.012449218781147683,-0.05478297276710969,0.0257983147695563,0.04192766342839302,-0.058297479599899775,-0.04883550164363309,0.048413652314824245,0.050052045639776506,0.012036484029210101,-0.022703168193593526
WNT7B,-0.004228039344105725,0.07814562726476218,0.0681272571483392,0.05355849106036114,0.13536445532407054,0.020039170068182236,-0.0028501058565821497,,0.023087308501899568,0.07796439369516332,0.004843663700447019,0.03908379632674645,0.11082012645479632
PTMA,-0.026836800773359017,0.016697391202619306,-0.012845163106348053,-0.11540830980803261,0.006077699726531305,0.03327662598778358,0.04409391734272555,-0.25683881005721326,-0.13088731575081713,0.11272354568519968,-0.02150408620053941,-0.054932706736961816,-0.21740548211974675
FASLG,,,,,,,,,,,0.001172070377602937,,
CEACAM1,0.0004602071212427039,0.09364908808344805,-0.01824295857497135,,-0.03680799918717659,0.012448078645965947,,,,0.019092604405895275,-0.027206875788259016,,
PDAP1,0.07371705588990016,0.01572818134731034,-0.01809625931165894,-0.021879079662199836,-0.09556865840637219,0.005666152159816343,0.03981006278948155,-0.020423449275649177,-0.001280771713056095,-0.01979521237029203,0.034137042478755084,0.04207348743284022,-0.08620967472658678
QDPR,0.07809094678047225,-0.05421702933442509,0.13606629811156917,0.039607367646593714,0.03598436362619553,0.06463105249163285,0.026689236392410658,-0.2585164839372545,0.0297636171769592,0.03208725548430028,-0.021063745725111778,0.08069007829373151,-0.043529459111872594
POMC,0.0035657508435880773,0.01458017617747125,0.022142270371751184,-0.042966226267016155,0.005636621948267678,0.02211768027531341,-0.007511144051601618,-0.038535194463063346,0.09302916046594546,0.041380864033415954,0.0021840394922520204,-0.021568454160084957,-0.01516454345039374
CCL18,0.007114967467196394,,,,,,,-0.11663515159993594,,,,,
CCL17,,0.007499169768558391,,,,0.01847791665696794,0.0035440651032479184,,-0.014107554046171932,-0.037992236514527926,0.09758773962380744,,
VEGFD,0.006835826596284775,0.004674217158330459,-0.017453829881811742,,-0.03155526270228733,-0.02761962298355014,0.05223968218748519,0.01825355298960903,-0.015119502629304797,0.024605837547408957,,,
TNFSF13,-0.017280805358738653,-0.009891274541429868,,0.07206622992188953,,,,,,-0.001752986170361059,-0.014405519297286182,0.07383809583354725,
WNT5A,0.004667811671762239,-0.021961002992575616,-0.028646013158705977,-0.05623193537557537,-0.10093591104797145,0.05046901320095118,0.03300188064569634,0.042751834464774874,-0.008120912097754047,-0.006077462081714949,0.03295031911161184,-0.03085427623066268,0.007495554639057921
CXCL8,-0.036421587752058684,0.03922913698681849,-0.08423159302247042,0.03531412526916539,-0.03208610575025332,-0.07105652767399029,0.03070423022447126,-0.0792029535698197,-0.014888061584054325,-0.05394069412748736,-0.03944869547146967,-0.12252690674279262,0.0029160480735615445
GRN,-0.002053143889478904,-0.02604820322881654,-0.029783711013798536,-0.10529183400729505,-0.1163616967842318,-0.031406672583278,0.060397113860396937,-0.2154136396175831,0.09188020517990811,-0.018015794033213326,0.02690560140097667,-0.012881099631190215,-0.007877580302680758
MIA,-0.0052710361388005516,0.02390092671790314,-0.04548032410790536,-0.016517366029607634,-0.03968279756405487,0.008317805145124027,0.041198378248763164,,-0.020706851740750636,-0.0865963423981611,-0.010718526416661362,-0.04916315515992099,
COL4A4,-0.014836288914703198,0.010523449983430919,-0.004808008901080669,0.031030528348631705,-0.018561426991882096,-0.016997791856787577,-0.036052993190989785,,-0.020086414394058557,-0.020174974701248086,0.014642546917089822,-0.04785429656689682,
TAC1,0.01899377495246553,0.0363749832990569,0.15839404870545437,0.12686475406183895,0.15462192457895022,0.09791930152375758,-0.0532355556974166,0.18912852510453765,0.11437796750006932,,-0.023299654647775014,0.15638341281264662,0.10101099910933695
RARRES2,0.0362086166160298,0.0758002782493246,-0.08715374854576656,0.015043208272145664,-0.12909422223416378,0.0919894816088904,-0.0020751791131582505,-0.04412045951759959,-0.07536502912411848,0.051762269930884605,0.006100439814556049,-0.09021805436290306,0.016971674764695778
FGF7,,0.08551247141966083,0.0755703911722975,0.00980263529033288,-0.03610081712763296,-0.06169871114860713,0.02620527839385071,0.044178387096469776,-0.016120016164755325,0.04344453970214755,0.03574657855969501,0.048968915167121804,-0.02699915510367324
HBEGF,0.011585845275129302,0.06764425264155081,-0.07992969109933906,-0.04154364335671943,-0.06650268944908168,-0.04557606614491963,0.030581668484270807,-0.10298530105093012,0.021341883960172125,0.05357120933963282,-0.016123966061005277,-0.11689273222880783,0.04275728922569612
CSF3,,0.014288547623192385,-0.03256002591452943,,-0.019637632494305595,,,,,,-0.018660360960645495,-0.006585716655623286,
PI3,0.10304463497220774,0.02612527052624624,-0.05354131724609241,,-0.022112233377282287,,,,,-0.03228060131287831,-0.018774150140535364,0.025068654415033864,
PCSK1N,-0.01736457673323269,-0.05701208839396368,0.05683757047024952,-0.012928181696558527,0.09519084405101025,-0.007744154164611907,-0.05333704289392868,0.25044153136715636,0.10857566327930784,-0.0007765377751323244,0.03909468729844501,0.12472843489487763,0.10094375623707075
NTS,,,-0.045856216320338386,-0.0066826710820018535,-0.02413701257311568,0.023448802446306646,0.013954508628541173,0.013901664568962175,,,0.11081808210798394,,
SFRP1,0.04225341588312166,-0.015557404336026965,-0.019911797296253128,-0.036186250511005325,-0.003987039183750297,0.04043741455175493,0.05973353634520759,-0.1188117371525657,-0.020327511707530492,-0.015270864171801466,-0.026991318662145172,0.015353301984179078,0.005424295510838561
CXCL13,,,-0.019732845405854245,,,,,,,,,-0.055606525611380846,
