,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,-0.026789160922814182,,,,,,,,0.10427352276005158,,-0.017544605252252654
BMP1,0.034520857617978074,0.08707331384228877,0.010719406335008683,0.031198177911309438,-0.0017020198387567042,-0.01261568549225325,0.04092888660018366,0.025018713367534896,-0.013414323006759911,0.0397932175071884,-0.041907510007455545,-0.011763121407221478,-0.00492813430531997,0.020786718469928665,0.002419869788293724,-0.017765251471564693,0.05378975497132039,-0.03548169920857465
NDP,-0.01356099048820562,0.04595102029345175,-2.6217799476843146e-05,-0.004141688681200505,-0.029045648253678297,0.0009010108866734054,0.06732932268738287,-0.0039182042283374355,-0.008919543710511567,0.017541881144535452,0.04208392311067069,0.06308595980153243,-0.01352993875424851,0.018445359073685514,0.03481852369763268,0.011347895673967094,0.010347732526288038,-0.06549682194942773
TNFSF18,0.09001429635913698,0.00499063516453719,-0.02196993632640371,0.01882974035516196,,,-0.021296572575408394,0.11056178516829308,0.02183990671086008,,,0.005592862971080355,,,,-0.017122448670747123,,0.014540601723368516
IL36G,,,,,,,,,,0.05396201171865142,,,,,,,,
RTN4,-0.01582834414209868,-0.013219247113351368,0.024797850111509354,-0.019778640963440355,-0.04953962182201009,0.01930479240689241,-0.03869184999435457,-0.07330537762900159,-0.011940241205576454,-0.104401021070501,0.002539241531582857,-0.03040794357925115,-0.059148661351606395,-0.01804067879014911,-0.033343747524519886,0.01079003711827848,0.009450342626769997,0.019013199580845512
HEBP1,-0.008295534944863334,-0.05673018326661834,0.04437921343129445,0.04236303932591449,0.013495190364047636,0.034227493419409824,-0.01433266803557159,0.06621218834078217,-0.012601513118082932,0.062061515649791094,-0.013864585034048063,-0.014086620837652426,0.024424228283850814,0.028895765479196655,0.03306373642342024,-0.013652427833971938,0.03480971769640264,0.012759050043649767
WNT7B,0.1068968632620531,0.03110411577602554,-0.03425139479247126,-0.017638615402727074,7.656519010690584e-05,0.016754076001772075,-0.06155638725215807,0.0050622461156617235,0.009613594685213642,-0.02417909855370007,0.06131765571609823,,-0.03139835667390247,0.005622765029924204,0.07160456926199234,-0.0358044253405871,-0.022338912311980718,0.021801391567140945
PTMA,-0.0006678806956198479,-0.06591944464373072,0.014697754897087923,0.0026096056390095728,0.07383158312200495,-0.02907848185469483,0.06944922065973184,-0.04479530467815649,0.00871247452437539,0.09458130039540516,-0.04746776934701704,0.04682638990485901,-0.013707394001843065,-0.002397415046951174,-0.000882388651236932,0.032955510901275104,0.018307863692763323,-0.026926310209155056
FASLG,0.08562513400782935,,,,,,,,,,,,,,,,,-0.015216430149850156
