,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.013038940347653396,,,,,,,,-0.016842702945020948,0.04987726890319615,
BMP1,0.0362546396586615,0.05512993683939768,-0.0022824723036477066,0.016075871477711307,0.023681054665506778,0.07572299625399763,-0.030505037883822923,0.030239966553053443,-0.036378802927286534,0.1041384453358986,-0.007040970519158327,0.08675773926389171,0.04280420639500032,0.039596337514220405,0.2312170942707089,0.07965538580325049
NDP,0.02183161629149143,0.008810964516678857,-0.0046749856032028345,0.027130346914220393,0.0008168523277735122,0.002639816307760408,0.020488523235021042,0.019234353031598567,-0.02837493523655047,0.0413181108356757,0.13814106396220285,-0.10663033364074079,0.03964344506151513,-0.04940323983803913,-0.008878275439649235,0.02809740698982215
TNFSF18,0.12554446725527485,0.02528578783377492,-0.028922138347347824,,,-0.019362434976549422,-0.021346768573542434,,,,0.09343207618852335,,,0.09882456062491668,0.08227354324239113,0.07111504293984308
RTN4,0.09522475166070633,0.03008020403250536,-0.037265648698771955,0.03246255111329293,0.06178386233039437,-0.09467899075811109,-0.03360655123184012,-0.029970227955089957,-0.0634681048208736,-0.04289990773769886,-0.03086918540333297,-0.014484494914345175,-0.02936681292984935,-0.04348660888689008,-0.04397190300518247,-0.0746715620305702
HEBP1,0.01285592621370773,0.06718972998850196,-0.026491487969045137,-0.0037933889304221455,-0.05292634653264249,0.0634860335494034,0.04998891972530389,0.020746024945896585,0.018448654780362367,0.040462340703012925,-0.006067761594385821,0.028437899075874577,0.04881295689492029,0.04236104418785432,0.022463645613998672,-0.007191667995301221
WNT7B,0.0147168979280292,0.009259558580405855,-0.024972002119369938,-0.00013053815089578497,-0.0011191371827877859,-0.053967771394383,-0.0012477470031625581,-0.0026478954174043675,,-0.011070961334566346,-0.0187636627062562,0.055062450957819406,-0.029361425427806797,-0.008854283024998024,0.012926861302627294,-0.0356403589510602
PTMA,0.037205825850534884,0.014408242854493101,0.06787800680795388,-0.00656379059243919,-0.023112026302055798,-0.04267911563081591,-0.03150408821611025,-0.015094875273952618,0.01801786556736476,0.14027298146455774,0.07195564679700339,0.029519952742208876,-0.08975054297597415,0.022340583661109227,0.1855536007207143,0.07530510088701715
FASLG,0.0151879775026775,,,,,,,,,,,,,,0.10227947685110299,
CEACAM1,0.047298269531887795,-0.018779916300993175,-0.02646577686073949,0.046491654057303086,-0.006898194009896088,0.006169143566931344,0.031686113945950806,,,,,-0.02419545163215142,-0.016452654827516105,-0.02495827629298991,0.011020466452812868,
PDAP1,-0.09422612171299358,0.012032628812845095,0.06597588310967392,0.04542800666900128,-0.07340844872093602,0.05843699876070276,-0.019333402395912615,-0.004193912485114294,-0.023934458486774498,0.11598836208888608,0.09420600302014456,-0.030716916994318735,-0.019945533887572194,-0.06798860532943558,-0.0774794395620062,-0.08250319982346993
QDPR,0.10665433206690692,0.020160477776933302,-0.010776048568317237,-0.0008767176165950114,0.009223153925670217,-0.05190389666316488,-0.041553619790774654,-0.03263269671961433,0.044308158004794145,0.10615245282390633,-0.007795244358448141,-0.007270366860125881,-0.02083232869563476,-0.0010786054550441073,-0.03400098128618292,-0.017816526684124225
POMC,-0.03561917847080648,0.0014043055291840377,0.010095700152166147,0.049436319490580215,0.0656307844772907,0.014512355215958457,-0.00044698334808825703,0.05165937086676426,-0.017774410022698924,-0.023584310261349453,0.0004835690071175273,0.024349699686733877,0.016557278304792384,0.00796326792431878,0.1301677786005828,0.16370247506411673
CCL18,,-0.02730471475391324,,,,,,,0.10602332972515623,0.1434896491543637,,0.27000905521478613,0.07397555745973997,,,
CCL17,,,,0.0826794990274678,,,0.02545406101660883,0.10682550488660962,,,,,0.21051742128904424,-0.022206130913952807,0.017998066027604304,
VEGFD,,0.000682604809591996,0.04246819277881983,0.04218672534603843,0.010676375322487518,0.08555664319436272,-0.011838367579352142,-0.01677951631998158,-0.022687543463182084,0.09197642525996805,,,,-0.02342061420704037,,
TNFSF13,,0.03169902933672131,,0.05610706140211351,,,,,,,,,-0.022397509978970123,-0.0028523174971861985,0.05258147679997277,0.031140178145246555
WNT5A,-0.10745099153954434,0.07708869140367647,0.049184651111434996,0.07157725606051253,-0.08066309653691825,0.011441480433252514,-0.021777346942015458,0.04094246373420101,0.029663946638863598,0.0491935965733104,0.08709795997806874,-0.07264374725819642,0.09113685115666127,0.014344493652131224,0.1609496163587781,0.05612721836500306
CXCL8,,-0.02526977612834662,-0.03549378889802893,-0.06448910956983982,0.0488023382517066,-0.04343373851244689,0.02933421822921296,0.03886653957803289,-0.030136257359212035,-0.0093538171812464,,-0.030204030933629267,0.07812290695071679,-0.0315278653028609,-0.01664041958999421,0.08351014780501585
GRN,0.04921873352313687,0.08046370404264384,0.03271526736875911,0.07129953936730951,0.09135029318761044,0.04957347492731293,0.009404744609223224,0.004785782787622322,0.047580572891382705,0.022348983360331073,0.07563355312413661,0.06353127681801837,0.07142013217548228,-0.042569117212924425,0.19410864255748664,0.17301051445381344
MIA,0.05234652927830108,0.04786509178322031,0.046392110336891536,-0.015310695560153763,0.03614842035807005,0.003360681102168538,-0.006574714605716799,-0.019083166080745614,,-0.0061604499241989675,0.18092332066136657,-0.027537314976328123,-0.006396452209857029,0.02898033896396531,0.02491710746075104,0.03206943670428653
COL4A4,0.01761747440484319,0.02703646753930271,-0.020862130911726527,-0.005702569631541572,-0.016009726208531222,-0.012848907895085904,-0.009081004204533996,0.04293856913118263,,,,-0.021689246022927846,-0.03084168253379471,-0.03420674963977665,0.11368448880566084,0.12123135779679749
TAC1,-0.030338088092055807,0.01258241083839906,-0.019787951498019513,0.03476408219467464,0.010370693710545612,-0.07013910845588199,-0.07939954183882915,-0.05178078449335272,-0.04671425832624675,,,,,,-0.006849316752558451,-0.046958077075661846
RARRES2,-0.04253566236169823,0.0032102313795490324,-0.033310647500812696,0.020010797009211836,-0.012760875285581267,0.03968414788891,0.08846282256680098,0.009954322851172996,-0.02969797713827963,-0.07424815290698117,0.020752562474690615,-0.016312457879649418,0.11620749546619533,-0.037409107790342004,-0.012259961226688647,-0.11290754677646812
FGF7,-0.016427045646836624,,-0.010726495452344189,0.04949408998246461,-0.008464206118642585,-0.012179723271761478,-0.01148412840968444,-0.014707644513645491,-0.02913082951886207,0.08010818617332623,0.035079116910995245,0.014998509192656339,-0.04603652731570802,-0.055997327539010655,-0.05540944025524979,0.056914074875491404
HBEGF,0.02350276656419491,0.039012929440580456,0.02221035234582846,-0.013375185024517473,0.012084168179393881,0.0393452185722348,0.08506994775640074,-0.00895123890574801,0.011138360406479144,0.12866328535284055,0.08467461094004577,-0.03011557276538986,0.08917618511208976,-0.08142597861892308,-0.006633055274962819,0.10699298731466844
CSF3,,,,-0.015953607114626654,-0.028180404280366705,-0.013593897242234265,,,,-0.024405509422429597,,,0.1286618424425376,,-0.03601203862794497,0.005077037534059802
PI3,,-0.03930390113113165,,0.019878018099283638,-0.010444218276656257,0.08359414701482863,,,,,,,0.035953779808813986,-0.018867729949532813,-0.09174404095432845,-0.0689355761318831
PCSK1N,-0.08352793948029776,-0.019714233821950273,-0.053739060778837056,-0.012504853954987733,0.029229698742311544,-0.01752451269093298,0.07544902171876679,-0.036271351656981976,-0.009758856350886354,0.07598161888472266,0.007345127398142645,-0.04380828286422018,-0.03913245859899434,0.0035112902010135424,-0.08108736753774763,-0.011784524250484082
NTS,,,,,0.0025203612455294024,-0.016708534939158075,0.09530522360354567,-0.01950528512204696,-0.020426076970589735,,,,0.004191119720036781,,-0.04109918945085719,
SFRP1,0.01926666800642771,-0.013000075832695704,0.012543528961187142,0.019893996271973878,0.08958531476748582,0.032147315593509494,0.04436977445480624,-0.0228755826105113,0.02720390903833041,0.03682076671271133,0.02630038324601606,0.021617690871423848,-0.028650464847974462,-0.00796638934059674,0.049389152052565145,-0.04524141142526621
CXCL13,,,-0.011195604671239822,,0.0035935079182198397,,,,,0.04120930572009306,,,0.27168443991941627,,,0.12870703033222705
