,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916T1
CCL17,,,,0.03279143712162207,,,-0.019380000981337905,,,-0.024386205192888366,,-0.020637891733088973
VEGFD,-0.012979552663399448,-0.016240742605676976,,-0.0011077260514652733,0.020622490931277854,,-0.020770147314996643,-0.03972786341008602,,0.0307234913432974,,
TNFSF13,0.01429674513072144,,,-0.015145470571733119,,0.12077818091659252,,,,0.08733179465483266,-0.016242202873860526,-0.033627722004237234
WNT5A,0.056642860583844226,0.01931682777566453,0.04118877764419965,-0.0136486465312175,0.02605700021280291,0.03830671998837249,0.048375691692480044,-0.01862263034890609,0.03381459674753294,0.009139030515956903,-0.007846317625589872,0.07062651925759178
CXCL8,-0.05083060946550045,0.02704834343631388,-0.15419534996347634,0.02460893281157517,-0.033434448060080814,6.307377353665754e-05,0.039996146284844575,0.031530554853613176,-0.03812294451820189,-0.06774897456969489,0.04187820547958636,0.005743224447658853
GRN,0.03549993954242864,-0.03802276830564297,0.07380074089329014,-0.02907485525062306,0.04914582021657002,-0.014374675717085124,-0.02927013721328967,0.008774916257085656,-0.007165503146899629,-0.01908161228645485,0.0005723585240290447,0.033950500210763845
MIA,-0.05209810120476099,-0.014443380712503312,-0.0069759058678805904,0.03168214397628399,0.04975414144472592,-0.009703869437866207,0.042884621044421554,-0.08413772762843694,0.15628530662112144,0.12509659768453973,-0.0299227746137405,0.0036227611085510114
COL4A4,-0.008536035132967624,-0.02428946444753871,0.05086032025738934,0.013738974112159508,0.02799475466021272,-0.012887217789990002,-0.027593353843931853,-0.03110769945983335,-0.02737574744876463,0.12321729912860142,-0.016487772286431293,0.038706189845057984
TAC1,-0.04283499380735253,-0.021731075271871764,0.05102214599785057,-0.03992170230790428,-0.05766585776438836,0.0037000991017682745,-0.026759935617881078,,,,-0.010291592910792763,0.004000793412284236
RARRES2,-0.019982383823089814,0.04194868612966924,-0.08361419207302716,-0.014661584141693842,-0.017621717199017374,0.012241958705062317,0.031811540915804834,-0.11486187823007786,-0.003284450869236277,-0.0020687845530066597,0.005369681614399841,0.04685938771508468
FGF7,,0.05384759980368121,-0.01949328772388299,0.0757021021838306,-0.03590392053648601,0.06350947861187568,0.004242490322624303,-0.029481791980426216,-0.07535268585320175,0.004686837325390418,0.04053188221325377,0.034286420319494734
EFNA2,,,,,,,,,,-0.016055731254748386,,
HBEGF,0.054982826607431326,-0.03889716323678757,-0.05419282358618298,0.06039697295228766,0.04034007405846495,0.05771745557253902,-0.027503608319822254,0.026264406337785755,0.01374339852366402,0.041286730530283755,0.030569342705908727,-0.01678087561054043
CSF3,,,-0.030183623863809628,0.007536956806420838,0.0015852275336391412,,,,,-0.016635039436092316,-0.020736247799485148,-0.003047718060540789
PI3,-0.027509985072359133,,-0.03066393005251611,-0.03244476154689232,-0.044106347214706486,,,,,-0.07293546228422143,-0.007954998912999998,-0.04720884716370094
PCSK1N,-4.077249016151038e-06,-0.031988011134049074,0.1031279383975131,-0.048314187260776756,0.02798445236201333,0.022663172347081907,-0.023504117205845956,-0.022596800822698215,0.10047086308443405,-0.04953633534475104,0.02612669466577165,0.025792652442720578
NTS,,,,,-0.015393901231354656,-0.015732364840307347,,,,-0.01956086174337595,0.0852777777219564,0.06061962133082715
SFRP1,0.07570003408639708,0.02283304814827978,,-0.019158360796506395,-0.0213923640224181,0.01155691171861769,-0.02148443370156517,0.0366018337275427,0.0692261945392573,0.03267724402661289,0.004672952179768714,0.051854486752963176
CXCL13,,-0.0147100058292171,0.0258649281894312,,0.048800112745091245,,,,,-0.021231826168617175,-0.02280315751329394,
MICA,0.017111266625984726,-0.04058586536700762,-0.03250418037143682,0.0008033457942137586,-0.014100113004151609,0.0009361049232094868,0.010361543874732544,0.010113127124243637,-0.03803865975275739,0.013941913752089235,0.028273530383094485,0.11851944372971739
TG,0.019983212847251398,-0.015418660471244483,,-0.020674906639830938,0.03064564857653712,-0.01815929628593177,-0.005565006150997418,0.17608961220960095,-0.035255618278786455,0.06381374513464404,-0.01706625058420397,0.031092206702621524
ADA,0.07640670859154682,-0.01117713352573161,-0.0156693045121447,-0.0012270169889485576,0.07066315189932915,0.04361423144235381,0.0356307325460699,-0.08654486487986664,0.007430151972810327,0.005166951582044453,-0.008961635215491984,0.039184197078544425
LAMC3,0.059625705793960884,-0.02741850615796224,0.0741354034995471,-0.02843972133684217,0.08878344784191074,0.02890720951906748,0.041848901483033635,-0.06785175686818061,0.017322775819990113,0.03984970623124674,-0.004894300070760881,0.0424911680242502
CCL7,-0.016633054381492592,,,-0.014947924467693533,0.03568548667400636,,,,,,,-0.022769378756145604
NGF,-0.02855812839074091,,,0.03576332050778294,0.018621904832146555,-0.01732883928918214,,-0.11863733340881547,-0.03217724303495231,0.08572648019244519,-0.035599606002971934,0.10853071668773567
TNFSF15,,,,-0.016645244988397277,0.05146348481801034,0.10366647614172216,,0.08569959361895094,-0.03249629492801775,,0.07220882888621676,0.08828977839345793
HMGB1,0.0307664912698042,0.05952897842854526,0.14090585288679727,-0.05683631137605996,0.0627534271166658,0.02374911154248514,-0.025721876548743073,0.06773327730498735,0.04472876319032492,-0.04480387350788932,-0.06905054405390895,-0.009286361838442404
ITGB3BP,0.028049404034387368,0.024642446371524723,-0.00044673100031052023,0.07206025232637639,-0.02763246372381496,0.02684364550631887,0.030739888807643532,0.00819939892740921,0.015601934399778918,-0.0009131713488773303,0.005571520525622539,-0.05339530644788523
AANAT,-0.024132031364998585,,,-0.015145472188180365,0.061798892796232734,,0.06702794942885992,,0.09832713592990444,0.18744092661958164,,0.010176644519597927
RELN,0.03512835930182435,0.0030697580411359754,-0.0339913723043578,0.08480715815826269,0.03093721063544454,-0.001961961371867067,0.09178462761935542,0.0793031074127495,,,-0.01555384399969234,
IL15,-0.005790216897764573,-0.019643137548611352,,0.035601812856788845,-0.06413472543720328,-0.014971929454072063,-0.02411047578851978,0.06872495670943225,-0.03812304415590093,0.03473545618893174,-0.03141060974900129,0.04472821266777202
BSG,0.01229701863042662,-0.013710390747297569,0.03473945768973128,-0.042265889930278015,0.02684656545835332,-0.004722383101023193,0.03108008943365728,-0.06732138167998743,0.008528364253869993,0.01204242107817042,-0.025828950084934275,-0.013804209680700032
ADAMTS3,0.003838866046437791,-0.002564379116008806,,0.0014369319232919598,0.012970310851016778,-0.02411544715983801,-0.03151282164969896,,-0.02700392684403769,0.012183483580045269,-0.03741651550010644,0.13091810726599545
CD34,0.062446882844642775,0.0164167259917789,0.043729415462832065,-0.014932301288635355,-0.010681019571283546,0.04415117335547669,0.015269301733706026,0.017076402362784175,0.0026557726643329747,0.05825248764480508,-0.06409279977791772,0.07257413781532601
PLAT,0.07382078601805901,0.01530024545650525,0.07152471114049036,0.03227308771168699,0.014420729466481713,-0.005311099823436173,0.07058958309822566,0.02769866218338216,0.001368187473278157,0.07042714769250379,-0.023674266655003485,0.006853342762771776
NTF3,,,,,,,,,,0.09098752068003568,0.015119329852435607,
LTA,,0.04437004323659307,,0.039945559862661274,,,-0.010090370710286933,,,,,-0.032422791143868285
CKLF,0.030319503670841675,-0.02230355072757973,0.11563590462598997,0.004113091239457457,0.0600091949416162,0.022449131827210957,0.016051224275494137,-0.023506000521811805,0.08123990549806409,0.04439115399873435,0.017304906278765207,-0.0063489327235202175
CD24,0.03758238889797894,0.0749724752024673,0.06630066254139884,-0.01168608021819937,-0.001819988496472776,0.00029212613484680714,0.04375688925031587,-0.0375867719122694,0.038346370214771934,0.02367912477184388,0.02343487781461926,-0.038408290895294996
HSP90AA1,-0.020881059560494027,-0.03119244241343995,-0.036365016190497965,-0.05619138950667365,-0.030948693898849883,0.005402524516148526,-0.04019789781408728,0.07979032182153553,-0.011238105885914484,-0.10719298407412677,-0.05476558688652616,-0.03834101975248975
BMP4,0.015319578785708617,-0.012019931945865904,0.013512728467124598,0.010540371858019997,-0.0363905749391486,0.06164310273662697,-0.020544618144495427,0.0109097947066291,-0.004225082163392143,-0.04546216436154508,0.10472746783083393,0.03563808790956098
SCGB3A1,-0.016633052718209376,,0.030636379711851246,,0.07546370981546534,0.15630481519552475,-0.016823973234280722,0.07309371244515493,,0.11772652054901624,-0.026741162306967776,-0.002822286743819078
IGFBP4,0.04847542204610022,0.0021459857291608636,-0.009059827921044311,-0.015436531251142695,-0.005352968526679077,0.023755333149706532,-0.022665013876095878,0.013983655184470175,-0.014961536046165005,-0.05473739809293766,-0.02359810214250857,0.08215263738690234
RSPO4,,-0.018330677592559342,,-0.02932522637969033,0.002042400955371979,,0.00808767071169811,0.011501821250605358,,,-0.01800903477243121,0.04643761356774271
LEFTY2,0.04645691698326566,-0.011478190704304574,0.05938054312397377,-0.01148896165601035,-0.0003349737506567922,0.02770374480560755,0.004800708081341063,,-0.028819761087005482,0.004114820237473013,-0.024491097508341015,0.07201998467154
PF4,-0.01725412219963403,-0.010314299207647015,,-0.013041769606390724,,,,,,-0.014716189285035616,,0.01996113992264747
ANGPTL2,0.061024061856237474,-0.011896549396669912,0.07671730829882388,-0.0022006260727040292,0.04501826942822618,0.037328456582578835,0.056380612456376794,-0.08906794434730021,0.037286684383146015,0.07601404794552577,-0.07831784690338331,0.0056252167839252465
LRIG2,0.011202892197243297,-0.045803490999545976,-0.00787776480663619,-0.034435145409815834,-0.009273421882939168,0.0077402913569302855,0.07794082827665129,0.07214126512157323,0.04818482499099735,0.013587178252195188,-0.009539184184350527,0.0491832596646661
ICOSLG,0.0693430532244159,0.031282589862808546,-0.04883408831797686,0.022251807334711823,0.012035737085956037,-0.013762537743586012,-0.0505863572088812,0.06986268062833542,0.0848946285118691,0.06164751389586026,-0.0410846300996082,0.03243520861993784
WIF1,-0.009254723464508424,,0.01630265398428449,,-0.015335407412196201,0.010766099145599473,0.05482191620396507,,,,-0.016741142210409465,
NPPC,-0.05160018472226979,,0.05057990332055922,-0.02023100084369671,-0.044959827249543616,-0.03666617541053078,-0.0034053548687336017,-0.032327957671230284,0.13352763803330914,0.0017970611223157881,-0.006368395492986948,
LYZ,0.03229907855755642,-0.005660550392456438,-0.05252161828037896,0.003992139094678993,0.04785135476112874,-0.003606564645884189,0.025326150349848038,-0.06450770330803136,0.021727805402628277,0.01391788424462555,0.014507928635092792,0.009414774342922023
EREG,,,-0.02759912776901502,,-0.016248939624502304,,,,,-0.006951488113408969,-0.02243055644265861,0.026263231814499424
SPTAN1,0.027478243786537355,-0.020246927114710704,0.10084855163499347,-0.01987019687136595,0.040950110804337005,0.012374755372505677,0.07840886748852026,-0.05015504001940101,0.05888065914712487,0.02179190628064394,0.039975368344951696,0.03228148028360854
PTH2,,,,,,,,,,,0.040748098612980996,
LIPC,-0.02112358072851015,0.026126507329572498,,-0.023437031299158976,0.035630571667757335,-0.006565430463151692,-0.019531372010853112,0.043462297532311935,-0.030331624386087108,,,0.07358584646313647
COL8A1,0.034571527750705724,-0.037990575157539196,0.0700163310527594,0.009883090456989105,0.0698638762443162,0.030260605129474295,0.012799803417245261,0.09785113639363774,0.036938152636409545,0.06323115236652323,-0.05694717068888467,0.0213830074677423
GSTM2,-0.016567639005242836,0.06539194045494393,-0.028544683146018393,-0.023366985906487957,0.043948944231733275,-0.012660782362815298,0.008440134675363635,-0.036910156191913006,0.06067386022890169,0.0011697819120722232,0.0109760746119225,-0.007610052762799676
SPX,-0.002149000359447167,-0.01970739210637495,,0.037062687448844195,-0.002521156107849558,0.041308186568100584,-0.003382082023330514,,-0.03855110452230139,-0.018272029999893493,0.04228541577936673,0.045692124122130334
MFGE8,0.03423194087746974,-0.0285715305772079,0.01433381883316913,-0.0009550944405761384,-0.015085221254395813,-0.013457114698020639,-0.02501182849623486,0.042143410509005476,-0.008259921090184506,0.05731624294369574,-0.039222835899679065,0.035391858628823644
TGFA,0.06254985257638683,0.028019715605752903,-0.004648010880858981,0.00594349611078217,0.015192536961286132,0.07264315229615706,0.03729349782727222,-0.058223737392246074,0.015931983454604066,-0.009555558637101877,-0.011562935082709657,0.05424416007938667
SLIT2,0.039712945591483806,-0.02689421393366839,-0.023980355644384353,-0.008583847612642326,-0.05357524909303877,0.010875524940414466,-0.01929571461601412,-0.03245771751526658,0.06461426412719491,0.07404062982047045,0.03671175158044142,-0.0380949522649044
PLTP,-0.006945061289940763,-0.0007204179160257087,0.06067272492284396,-0.019918921842647184,0.011312061922272366,0.01155856893429651,0.00937626332998472,-0.07473616953596622,-0.020832222246203954,-0.050081880199818886,-0.0026591620316625754,0.08896775402853142
APOD,0.04528427929126792,-0.008727960902708371,0.12015251448167939,-0.03602316867798562,-0.01890866052639546,-0.03820210645476097,0.008102124819028823,0.09781028214078312,0.028549309688564,0.09490775376564439,-0.008107343300233973,2.857265829684155e-05
B2M,0.08160241113512237,-0.07039950125687511,0.025508207822475794,0.06812404015973829,0.025032573871539197,0.001201444775766121,-0.018111616999195043,-0.06278646588736504,0.006218946970882471,0.033347595924371344,-0.015412284134298564,0.05026374367150508
OMG,0.014743826842131788,0.04779299492753754,0.09880838483104111,0.03357394432163185,0.042147519550104325,-0.045247520861096194,-0.036051002548935306,-0.01367676379999696,0.031109792151629227,0.0888274880041331,-0.023709985180016067,0.027096654804427925
CXCL3,0.0065113961510359615,-0.02120521757749821,-0.037889123735736684,0.014634250915430752,-0.028326386804193606,,-0.017363910790146854,,,-0.022594231041911456,-0.017648505804299268,0.030240941194228727
CXCL10,0.10775998626821832,0.03304723012104608,,-0.02453898392801108,0.012523134956721482,0.051716049928214006,-0.027593355587152372,-0.03761901828478223,-0.03642498134581119,-0.01973867600283108,0.03518278448011812,-0.008442711772172847
RSPO3,-0.022593888721107163,,0.04175882992151268,-0.015145471069101446,-0.02495294269871898,0.04180626771435623,-0.018144952119104857,,,0.07879207205521892,0.018799029632163435,-0.0231064671027225
CORT,-0.0019262375808231928,0.05096728750991958,0.13236093527585965,-0.025637004628235722,-0.030284163490002566,-0.022658036425512725,-0.03394245478923097,,,0.011155739140669045,0.020755445824487316,
NCAN,0.050906866396332726,0.08161861407092569,0.11323964532562172,-0.06346258986365365,-0.007275122938104503,0.013295918628908191,0.06404558447938272,0.06815850869931574,0.05356266152087917,0.08675992335900891,-0.011270292999311267,-0.018587380670068557
PRG4,0.10074716488345115,,0.012466857682570765,-0.01494792679710567,-0.01786621738661703,,0.010362121826713236,,,-0.022723264822035516,0.0014726582724370525,0.0020002370287845474
ZG16B,0.006184601055520324,-0.012411582727488555,,0.04960461627760029,,,,,-0.02507046200299278,,,-0.02881127776185059
