,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
DCN,0.006563656329775782,0.03899362115017275,0.02217864811798064,0.008113882284911634,0.059840243508989595,-0.01879551354141676,0.015551960886287929,0.11926406802969723,0.09890892704335627,0.026398496346313746,-0.06272895104022508,-0.030582823982579877,0.02728978705520378,-0.04752495629465173,0.13722330530911944,-0.018337062900570623,0.039423015501681875,-0.03416204089218292,-0.05788200523874196
RARRES2,-0.15093669058890125,0.0578879178522718,-0.006905568139170157,-0.0307497318927151,0.04658060577897127,0.05022235297721292,-0.012531903338697872,0.09671075499509278,-0.08328091958782112,0.05717830610484949,0.008004465668948085,0.014343058016687402,0.0123312094831915,-0.006593421552298993,-0.006926400022353955,0.06085369863431196,-0.01154196048885839,0.017047024216242896,-0.07374994816199326
SEMA4A,0.03187420771607222,0.10896482299876263,-0.025550413236577283,-0.02235533888513898,0.010670854808520425,0.07273093331306524,0.023109616661150228,-0.03627817852596568,-0.009041500519734293,-0.042574951682537804,-0.10833476248546742,-0.0475239803785708,0.026668589637740617,0.04381006205050283,0.023787947189342185,0.0232968850388184,0.027525050403050953,-0.0036110692362703377,-0.06210546142629838
GDF11,0.015114053002838088,-0.009599335524734702,-0.02937288021849175,0.013202764267906834,0.029196254233419833,-0.001955325782635522,-0.028462349950692304,0.0647369785493807,0.023746748104028242,0.003095223332498552,0.003635149994707604,0.015922832744394707,-0.06429518386498931,-0.01855268024986389,0.09215545284850005,0.02292930139193806,0.12311055867732633,0.05267337100667196,-0.004001468923320248
GPC3,-0.005903425488590139,0.10305131649924217,-0.009071974250428737,-0.0195868553829087,-0.029637553195096894,-0.029375639684399792,-0.04660433971538375,0.0687155275878769,0.005490383542154919,,,0.034003171107595445,-0.030725772086364463,-0.00011516615127391242,0.08272856795532021,-0.003667531128560743,0.09738274737659522,0.07577651821704755,
OSTN,,,,0.15310672298316685,0.023077033858483077,-0.017620870763204184,,-0.01688221816588719,0.05561117140310397,,,,,,-0.0371928672671269,,,0.03373363957458739,
GRN,0.04835350361604046,0.021029764000694996,0.005886994819564676,0.02722970306449826,0.0027344157912306283,0.03908443932814396,0.028213645072973838,0.09131050771781131,-0.0076690004026351245,0.049960089613383676,-0.03151483656158705,0.011855279470780399,0.04696838003756132,-0.039277525220961854,0.09853826326824495,-0.05172980776110865,0.1176301137784479,-0.020747042818936752,-0.022968153169918713
CALM1,-0.040298610168133374,0.0783637782934419,0.02113106728265773,0.046928312730738934,0.06420673450798119,-0.055052586457839614,0.003236191338485444,-0.09654122948767914,0.059380822676256655,-0.03826781227072214,0.06845270617945902,0.034252054062752384,-0.05967526273475974,-0.03909300367742179,-0.10711656944208316,0.011656397956736094,0.011078262997854804,-0.1454399643894358,-0.012201258301799262
ANGPTL4,0.05652182473229336,-0.019260291253594373,0.03367042856229368,-0.09741497321234993,-0.005735528995517862,-0.01155676834470272,-0.006507295308909242,0.065716101974561,-0.005565374591658045,0.013338169792938526,-0.058801356680973076,-0.09621685490474575,0.012122072682521934,0.0625334927173731,-0.037556401462005395,0.0530124685059653,0.17774350871274108,0.04182701590897681,0.05694797061453011
BMP8B,0.0531408022730705,-0.0024605374586375594,0.03705014349860432,-0.01287905151277693,0.01243133514882108,0.06218883709121396,0.02559767719600147,0.01478617122751475,-0.02084804508125239,-0.012936783284281994,-0.0545440497998291,0.018767789302474653,0.029135615688369115,-0.006558360959903602,0.006763035893472659,0.07860313270213069,0.1169450242943822,0.04316565572150655,-0.006209696405189952
