,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,0.027331044341906856,,,,,,,,0.061258516325125134,,-0.016880324946391297
BMP1,0.036989819414585304,0.05408058010724278,0.011089163327193228,0.1645091232308826,0.014194578667704745,0.007481571121072271,0.13529756298159942,0.27842467440981106,-0.013226769598037244,0.08007669656294422,0.030381954047709842,-0.029060049070765794,0.047572185508864655,-0.12129420895705063,-0.08351049597624002,0.03914078031062507,-0.06382975325595987,0.07155302008053663
NDP,-0.007739607960120698,0.04505048235009311,0.0031112880868615915,0.10174832256094109,0.05217360529175394,0.048338138019270574,-0.01946342505111853,0.034887074621945076,0.03674519270866993,-0.003446491802547129,0.1408820853023972,0.07532637604698958,0.05343360636602679,0.033885515150610744,0.11233342325504297,-0.034527270203137374,0.026122013454434736,-0.0034528348111025225
TNFSF18,0.03313622324949376,0.11461264142154236,0.06601532178381435,,,,-0.0073306339887132775,0.1300811279548347,-0.01779229363110684,,,0.009594961106062557,,,,-0.025660713582213494,,0.09707350317292918
RTN4,-0.10264904142710098,0.07002336881167462,0.018184148462436076,0.11184026510921585,-0.015133954857902114,0.041202907139098265,-0.17721210786917863,-0.35972212708964546,0.02800130426121847,-0.032461444130649636,-0.022041192370833705,0.018882621172056493,-0.020042443182579243,-0.07506648957771621,-0.03665521989347979,-0.09305997734910075,-0.0558448495090355,-0.08094454043610318
HEBP1,-0.02029844719934534,0.057749866984705564,-0.016996706590559362,-0.035785600338188596,0.036557658244309885,0.0254897719597643,0.06903388960525328,0.1308981866417352,0.025388933474934077,0.06860944768971769,-0.016061542300678838,0.012619032048881587,-0.012134742711018744,0.06342949243912721,0.005446475454527208,-0.04216767044667867,0.029040150656416706,0.035554235693836915
WNT7B,0.039061970967769255,0.017875789466468287,-0.01957137896910815,0.05115626275519715,-0.0013273310764295347,-0.005445971561895541,0.03763486924701607,-0.09624061975040325,0.009432709720785375,-0.02777950553496529,-0.020828493744658675,,0.007819192829910919,0.0063142049757804325,0.046592105744743324,0.013826221048993455,0.03933828174348952,0.037301304106238595
PTMA,-0.011353995227611638,0.2017148064209159,-0.023390461795707144,0.2246688711278126,0.044374414080805634,0.0878921564916095,0.22579087108772014,-0.13456189882505645,0.006350764996465737,0.04650027414859336,0.03971927663312859,-0.05962758449339881,-0.16453719654664048,0.016974267802536986,0.017301045652941934,-0.04516888647850959,-0.0015575696478773667,0.06894145560690094
FASLG,0.016974246917898977,,,,,,,,,,,,,,,,,-0.0146403000671991
CEACAM1,0.06079533933214578,-0.01276252186763837,0.0946300371432775,,0.048882374355316616,0.014433316168941827,,0.14454136593613548,0.029756931583051514,,,0.01494857838854124,0.11866420967610723,-0.029633361549541423,-0.02033984057590927,0.07388662917130602,-0.01603498306079712,0.0004618260434777929
PDAP1,0.10869620593238398,0.07592945123378184,-0.0219140737432078,-0.04579977231319419,0.0610227272164912,-0.03577843754269581,0.10082154680110095,0.2654574665613898,-0.028657110519886928,0.014313088271276564,0.037197133837438036,-0.023030731767005926,0.07891841910508278,-0.026381435782352032,-0.06284899878549526,0.09248795172998131,0.0015030121110179934,-0.054422467297589
QDPR,-0.08096247978509474,0.09084687904115614,0.021369783518285532,0.13193429914984103,0.008081959919900511,-0.026253867305579163,-0.07617107768651438,-0.28870884751095544,0.04733534466208052,0.03281584443203648,0.023684997478966557,0.00502103499227729,-0.09125450612454249,0.1273459409728135,0.13847307663845393,-0.018682456667707594,0.012313918113731727,-0.022645918216151112
